RB_Number,Building_Name,Date_Registered,Links,Parish,Features,Status,architect_names,builder_names,reasons_for_registration,construction_start_year,construction_end_year,construction_start_date_text,construction_end_date_text,registration_date_text,deregistration_date_text,notes_extraction,cleaned_text_source,md_path,Needs_Review
78,"Clinch's Brewery Building, North Quay",29/03/1985,https://www.gov.im/media/632069/0500078regbldwaterfrontrestaurant.pdf,Douglas,,Registered,[],[],"[""architectural or historic interest""]",,,,,"29th day of March, 1985",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-78/rb-78.md,no_names; no_dates
79,"Ramsey Court House, Parliament Street",26/04/1985,https://www.gov.im/media/632867/0500079regbldcourthouse.pdf,Ramsey,,Registered,[],[],"[""architectural or historic interest""]",,,,,"26th day of April, 1985",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-79/rb-79.md,no_names; no_dates
80,"Our Lady of the Star and Sea St Maughold's Roman Catholic Church, Queens Promenade",26/04/1985,https://www.gov.im/media/632873/0500080regbldourladyofthestara.pdf,Ramsey,,Registered,[],[],"[""architectural or historic interest""]",,,,,"26th day of April, 1985",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-80/rb-80.md,no_names; no_dates
82,"The Castle Mona Hotel, Central Promenade",03/10/1985,https://www.gov.im/media/632075/0500082regbld-castlemona-hotel-v2.pdf,Douglas,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"3rd day of October, 1985",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-82/rb-82.md,no_names; no_dates
83,"Tynwald Old Mill and original Mill Wheel, Fuller's Hammer and related machinery, St Johns",04/11/1985,https://www.gov.im/media/632501/0500083regbldtheoldwoollenmills.pdf,German,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"23rd day of October, 1985",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-83/rb-83.md,no_names; no_dates
84,"St Paul's Church, Market Square",27/11/1985,https://www.gov.im/media/632879/0500084regbldstpaulschurch.pdf,Ramsey,,Registered,[],[],"[""architectural or historic interest""]",,,,,"23rd day of October, 1985",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-84/rb-84.md,no_names; no_dates
85,Christ Church,21/01/1986,https://www.gov.im/media/632531/0500085regbldchristchurch.pdf,Laxey,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"21st day of January, 1986",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-85/rb-85.md,no_names; no_dates
86,"The Spire of St Andrew's United Reform Church, Finch Road",19/02/1986,https://www.gov.im/media/1349789/rb-86-st-andrews-spire.pdf,Douglas,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"14th February, 1986",,"The registration refers only to the spire of the Church, not to the nave.",fenced_block,data/gov.im/registered-buildings/outputs/rb-86/rb-86.md,no_names; no_dates
87,"Ramsey Youth Centre, Waterloo Road",19/02/1986,https://www.gov.im/media/632885/0500087regbldyouthcentre.pdf,Ramsey,,Registered,[],[],"[""architectural or historic interest""]",,,,,"19th February, 1986",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-87/rb-87.md,no_names; no_dates
88,"Lough House, Approach Road",18/04/1986,https://www.gov.im/media/632891/0500088regbldloughhouse.pdf,Ramsey,,Registered,[],[],"[""architectural or historic interest""]",,,,,"11th day of April, 1986",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-88/rb-88.md,no_names; no_dates
89,"Philip Christian Centre, Christian Street",06/05/1986,https://www.gov.im/media/632807/0500089regbldphilipchristiancentr.pdf,Peel,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"6th day of May, 1986",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-89/rb-89.md,no_names; no_dates
90,Ballure Church,08/05/1986,https://www.gov.im/media/632897/0500090regbldballurechurch.pdf,Ramsey,,Registered,[],[],"[""architectural historic interest""]",,,,,"25th day of April, 1986",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-90/rb-90.md,no_names; no_dates
91,"Staward Farm, Ballabrooie, Sulby",23/02/1987,https://www.gov.im/media/632543/0500091regbldoutbuildingsstawardf.pdf,Lezayre,,Registered,[],[],"[""architectural or historic interest""]",,,,,"23rd day of February, 1987",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-91/rb-91.md,no_names; no_dates
93,4 Finch Road,27/07/1987,https://www.gov.im/media/632087/0500093regbldoffice4finchroad.pdf,Douglas,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"27th day of July, 1987",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-93/rb-93.md,no_names; no_dates
94,6 Finch Road,27/07/1987,https://www.gov.im/media/632093/0500094regbldcaferoyale.pdf,Douglas,,Registered,[],[],"[""architectural or historic interest""]",,,,,"19th June, 1987",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-94/rb-94.md,no_names; no_dates
95,8 Finch Road,27/07/1987,https://www.gov.im/media/632099/0500095regbld8finchroad.pdf,Douglas,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"19th June, 1987",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-95/rb-95.md,no_names; no_dates
96,12 Finch Road,09/09/1987,https://www.gov.im/media/632105/0500096regbld12finchroad.pdf,Douglas,,Registered,[],[],"[""architectural or historic interest""]",,,,,"19th June, 1987",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-96/rb-96.md,no_names; no_dates
97,14 Finch Road,09/09/1987,https://www.gov.im/media/632111/050097regbld1214finchroad.pdf,Douglas,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"19th June, 1987",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-97/rb-97.md,no_names; no_dates
98,16 Finch Road,27/07/1987,https://www.gov.im/media/632117/0500098regbld16finchroad.pdf,Douglas,,Registered,[],[],"[""architectural or historic interest""]",,,,,"27th day of July, 1987",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-98/rb-98.md,no_names; no_dates
99,18 Finch Road,27/07/1987,https://www.gov.im/media/632123/0500099regbld18finchroad.pdf,Douglas,,Registered,[],[],"[""architectural or historic interest""]",,,,,"19th June, 1987",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-99/rb-99.md,no_names; no_dates
100,20 Finch Road,27/07/1987,https://www.gov.im/media/632129/0500100regbld20finchroad.pdf,Douglas,,Registered,[],[],"[""architectural interest"", ""architectural or historic interest""]",,,,,"19th June, 1987",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-100/rb-100.md,no_names; no_dates
101,22 Finch Road,27/07/1987,https://www.gov.im/media/632135/0500101regbld-offices-22-finch-road.pdf,Douglas,,Registered,[],[],"[""architectural or historic interest""]",,,,,"27th day of July, 1987",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-101/rb-101.md,no_names; no_dates
102,24 Finch Road,27/07/1987,https://www.gov.im/media/632141/0500102regbldoffices24finchroad.pdf,Douglas,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"19th June, 1987",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-102/rb-102.md,no_names; no_dates
103,Former Castletown Brewery,,https://www.gov.im/media/631985/0500103regbld-office-1-brewery-court-add.pdf,Castletown,,De-registered,[],[],"[""architectural or historic interest""]",,,,,"11th August, 1987",,"The document includes various correspondences and historical notes related to the registration and deregistration process of the building. The building was initially registered due to its architectural or historic interest, and the registration included the stone wall and railings on the roadside. The registration was confirmed on 7th September, 1987, and public notice was given on 10th September, 1987. The document also contains discussions about the building's condition and proposals for its development.",fenced_block,data/gov.im/registered-buildings/outputs/rb-103/rb-103.md,no_names; no_dates
104,"The Foundry, East Quay",21/09/1987,https://www.gov.im/media/632813/0500104regbldtheforge.pdf,Peel,,Registered,[],[],"[""architectural or historic interest""]",,,,,"11th September, 1987",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-104/rb-104.md,no_names; no_dates
105,"The Old thatch, Brunswick Road",17/02/1988,https://www.gov.im/media/632147/0500105regbldoldthatch.pdf,Douglas,Thatched building,Registered,[],[],"[""historic interest""]",,,,,"12th February, 1988",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-105/rb-105.md,no_names; no_dates
106,"St Matthew's Church, North Quay",19/09/1988,https://www.gov.im/media/632153/0500106regbldstmatthewschurchhal.pdf,Douglas,,Registered,[],[],"[""historic interest""]",,,,,"19th day of September, 1988",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-106/rb-106.md,no_names; no_dates
107,"The Rechabite Hall, Allan Street",09/11/1988,https://www.gov.im/media/632159/0500107regbldrechabitehall.pdf,Douglas,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"4th November, 1983",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-107/rb-107.md,no_names; no_dates
108,"8 Dwellings, numbered 5-9 Charles Street and 1-11 Queen Street",17/02/1989,https://www.gov.im/media/1379799/rb108-notice-of-registration_compressed.pdf,Peel,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"17th February, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-108/rb-108.md,no_names; no_dates
109,"Finch Hill United Reformed Church, Buck's Road",,https://www.gov.im/media/632165/0500109regbld-finch-hill-united-reformed-church-add.pdf,Douglas,,De-registered,[],[],"[""architectural interest"", ""historic interest""]",1866.0,,probably 1866,,"3rd February, 1989","20th November, 1991","The document discusses the registration and subsequent deregistration of Finch Hill United Reformed Church. The registration was initially justified by its architectural and historic interest, but the appeal argued that the building lacked sufficient merit and that maintaining it was financially burdensome. The appeal was successful, leading to deregistration.",fenced_block,data/gov.im/registered-buildings/outputs/rb-109/rb-109.md,no_names
110,"The South, East and West elementsf the Courtyard at Ellerslie Farm",16/03/1989,https://www.gov.im/media/632621/0500110regbldellersliemanorhouse.pdf,Marown,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"15th March, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-110/rb-110.md,no_names; no_dates
111,"The former premises of T Moore & Sons, Mill Road, Peel (The Kepperyard)",23/08/1989,https://www.gov.im/media/1363146/0500111regbld-kipper-houses.pdf,Peel,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"23rd day of August, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-111/rb-111.md,no_names; no_dates
112,The Falcon Cliff Hotel,11/09/1989,https://www.gov.im/media/632171/0500112regbldfalconcliffhotel.pdf,Douglas,,Registered,"[""John Robinson""]",[],"[""architectural interest"", ""historic interest""]",1836.0,,1836,,"11th day of September, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-112/rb-112.md,
113,The Douglas Head Hotel,11/09/1989,https://www.gov.im/media/632177/0500113regbldapartments122dougla.pdf,Douglas,,Registered,[],[],"[""architectural interest""]",,,,,"11th day of September, 1989",,The document is a notice of registration for the Douglas Head Hotel as a protected building due to its architectural interest. The registration prohibits alteration or demolition without prior consent.,fenced_block,data/gov.im/registered-buildings/outputs/rb-113/rb-113.md,no_names; no_dates
114,"The Salisbury Hotel, Victoria Street",11/09/1989,https://www.gov.im/media/632183/0500114regbldsalisburyhouse.pdf,Douglas,,Registered,[],[],"[""architectural and historic interest""]",,,,,"11th day of September, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-114/rb-114.md,no_names; no_dates
115,The Harbour Swing Bridge Tower and Mechanism,11/09/1989,https://www.gov.im/media/632189/0500115regblddouglasswingbridge.pdf,Douglas,,Registered,[],[],"[""architectural and historic interest""]",,,,,"11th day of September, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-115/rb-115.md,no_names; no_dates
116,"The Palace Lido, Central Promenade",,https://www.gov.im/media/632195/0500116regbld-the-palace-lido-add.pdf,Douglas,,De-registered,[],[],"[""architectural interest""]",,,,,"23rd day of March, 1990",,"The building was registered due to its architectural interest, but later deregistered after an appeal. The appeal highlighted the impracticality and financial burden of maintaining the building, as well as the lack of viable alternative uses.",fenced_block,data/gov.im/registered-buildings/outputs/rb-116/rb-116.md,no_names; no_dates
117,"Kate's Cottage, Keppel Gate",11/09/1989,https://www.gov.im/media/632699/rb-117-registration-notice-and-entry-summary-221123.pdf,Onchan,,Registered,[],[],"[""Surviving example of an upland farm-worker’s dwelling dating from the mid-19th century."", ""As the historic location of Keppel Gate, which gave access to the mountain section of the TT course, the property illustrates important aspects of the nation’s farming and sporting history.""]",1860.0,,shortly after 1860,,11.09.1989,,The building was originally built as a shepherd’s cottage and has undergone significant restoration between 2017 and 2022. It was historically known as Keppel Gate Cottage and mistakenly referred to as Kate’s Cottage during the 1930s TT Races.,fenced_block,data/gov.im/registered-buildings/outputs/rb-117/rb-117.md,no_names
118,"Village Hall, Royal Avenue",11/09/1989,https://www.gov.im/media/632705/0500118regbldonchanparishhall.pdf,Onchan,,Registered,[],[],"[""architectural and historic interest""]",,,,,"11th day of September, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-118/rb-118.md,no_names; no_dates
119,St Peter's Parish Church,11/09/1989,https://www.gov.im/media/1349732/rb119-st-peters-church-scan.pdf,Onchan,,Registered,"[""Hanson"", ""Welch""]","[""Johnny Sam Skillicorn""]","[""architectural interest"", ""historic interest""]",1830.0,1830.0,"8th July, 1830","30th August, 1830","11th day of September, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-119/rb-119.md,
120,The Market Buildings,11/09/1989,https://www.gov.im/media/632201/0500120regbldnewmarkethall.pdf,Douglas,,Registered,[],[],"[""architectural interest"", ""no other comparable buildings of this type on the island"", ""architectural quality of expression worth preserving""]",,,,,"11th day of September, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-120/rb-120.md,no_names; no_dates
121,"St Catherine's, St Catherine's Terrace",11/09/1989,https://www.gov.im/media/632717/0500121regbldstcatherines.pdf,Onchan,,Registered,[],[],"[""historic interest""]",,,,,"11th day of September, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-121/rb-121.md,no_names; no_dates
122,"Welch House, Church Road",11/09/1989,https://www.gov.im/media/632723/0500122regbldwelchhouse.pdf,Onchan,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"30th August, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-122/rb-122.md,no_names; no_dates
123,"Braeside, King Edward Road",11/09/1989,https://www.gov.im/media/632729/0500123regbldbraeside.pdf,Onchan,Baillie Scott,Registered,[],[],"[""architectural interest""]",,,,,"11th day of September, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-123/rb-123.md,no_names; no_dates
124,"Leafield, King Edward Road",11/09/1989,https://www.gov.im/media/632735/0500124regbldleafield.pdf,Onchan,Baillie Scott,Registered,[],[],"[""architectural interest""]",,,,,"11th day of September, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-124/rb-124.md,no_names; no_dates
125,19 Governor's Road,11/09/1989,https://www.gov.im/media/632741/0500125regbld19governorsroad.pdf,Onchan,,Registered,[],[],"[""architectural interest""]",,,,,"11th day of September, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-125/rb-125.md,no_names; no_dates
126,21 Governor's Road,11/09/1989,https://www.gov.im/media/632747/0500126regbld21governorsroad.pdf,Onchan,,Registered,[],[],"[""architectural interest""]",,,,,"11th day of September, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-126/rb-126.md,no_names; no_dates
127,23 Governor's Road,11/09/1989,https://www.gov.im/media/632753/0500127regbld23governorsroad.pdf,Onchan,,Registered,[],[],"[""architectural interest""]",,,,,"11th day of September, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-127/rb-127.md,no_names; no_dates
128,25 Governor's Road,11/09/1989,https://www.gov.im/media/632759/0500128regbld25governorsroad.pdf,Onchan,,Registered,[],[],"[""architectural interest""]",,,,,"11th day of September, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-128/rb-128.md,no_names; no_dates
129,27 Governor's Road,11/09/1989,https://www.gov.im/media/632765/0500129regbld27governorsroad.pdf,Onchan,,Registered,[],[],"[""architectural interest""]",,,,,"30th August, 1989",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-129/rb-129.md,no_names; no_dates
131,Ballaglass Power Station,11/05/1989,https://www.gov.im/media/632627/0500131regbldballaglasspowerstati.pdf,Maughold,,Registered,[],[],"[""architectural interest""]",,,,,"27th April, 1990",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-131/rb-131.md,no_names; no_dates
132,"Watch House, part of former Red Pier",20/07/1990,https://www.gov.im/media/632207/0500132regbldwatchhouseswitchroo.pdf,Douglas,,Registered,[],[],"[""historic interest""]",,,,,"20th day of July, 1990",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-132/rb-132.md,no_names; no_dates
133,"Woodlands Towers, Ashley Road",20/07/1991,https://www.gov.im/media/632771/0500133regbldwoodlandtowers.pdf,Onchan,,Registered,[],[],"[""historic interest""]",,,,,"4th July, 1990",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-133/rb-133.md,no_names; no_dates
134,"The Coach House, Selbourne Drive",04/10/1990,https://www.gov.im/media/632213/0500134regbldoldcoachhouse.pdf,Douglas,,Registered,[],[],"[""historic interest""]",,,,,"26th September, 1990",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-134/rb-134.md,no_names; no_dates
135,"Thurot Cottage, Hill Road",17/10/1990,https://www.gov.im/media/631625/0500135regbldthurotcottage.pdf,Bride,,Registered,"[""Atlantes Architects""]",[],"[""historic interest""]",,,,,"17th day of October, 1990",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-135/rb-135.md,no_dates
136,"The Old Court House, Kirk Michael",14/02/1991,https://www.gov.im/media/632651/0500136regbldthecourthouse.pdf,Michael,,Registered,[],[],"[""historic interest""]",,,,,13th February 1991,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-136/rb-136.md,no_names; no_dates
137,"The Nook, Quarterbridge Road",15/04/1991,https://www.gov.im/media/632219/0500137regbldthenook.pdf,Douglas,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,5th April 1991,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-137/rb-137.md,no_names; no_dates
138,Kirk Christ Lezayre Parochial Church,11/07/1991,https://www.gov.im/media/1351765/0500138regbld-lezayre-church-reduced.pdf,Lezayre,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,4th July 1991,,"The document provides a detailed history of Kirk Christ Lezayre Parochial Church, including its registration as a protected building due to its architectural and historic interest. It includes historical references, descriptions of the church's condition over the centuries, and notable features such as stained glass windows and memorials.",fenced_block,data/gov.im/registered-buildings/outputs/rb-138/rb-138.md,no_names; no_dates
139,Warehouse building at 26 West Quay,01/08/1991,https://www.gov.im/media/632903/0500139regbldflatsthurwoodplace.pdf,Ramsey,,Registered,[],"[""Corlett Sons & Cowley Limited""]","[""architectural interest"", ""historic interest""]",,,,,12th July 1991,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-139/rb-139.md,no_dates
140,The Quarter Bridge Hotel,,https://www.gov.im/media/632225/0500140regbld-quarterbridge-hotel-add.pdf,Douglas,,De-registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,1st day of August 1991,15 January 1992,,fenced_block,data/gov.im/registered-buildings/outputs/rb-140/rb-140.md,no_names; no_dates
141,"Landmark Tower known as The Herring Tower, Langness",01/08/1991,https://www.gov.im/media/632567/0500141regbldherringtower.pdf,Malew,,Registered,[],[],"[""architectural and historic interest""]",,,,,21st June 1991,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-141/rb-141.md,no_names; no_dates
142,"The Powder House, Langness",01/08/1991,https://www.gov.im/media/632573/0500142regbldthepowderhouse.pdf,Malew,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,1st day of August 1991,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-142/rb-142.md,no_names; no_dates
143,"Orrisdale Limekiln, Glentrunk, Michael",15/10/1991,https://www.gov.im/media/632657/0500143regbldorrisdalelimekiln.pdf,Michael,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,4th October 1991,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-143/rb-143.md,no_names; no_dates
144,"The Saddle Hotel, Parliament Street",01/01/1991,https://www.gov.im/media/632909/0500144regbldnightlifemarketplace.pdf,Ramsey,,Registered,[],[],"[""architectural and historic interest""]",,,,,11th March 1992,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-144/rb-144.md,no_names; no_dates
145,"Okells Brewery, Glen Falcon",17/03/1992,https://www.gov.im/media/632231/0500145regbldoldbrewerywinetradi.pdf,Douglas,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,11th March 1992,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-145/rb-145.md,no_names; no_dates
146,"Thurot Cottage Outbuildings and Gate, Hill Road",21/10/1992,https://www.gov.im/media/631631/0500146regbldthurotcottageoutbuil.pdf,Bride,,Registered,[],[],"[""architectural and historic interest""]",,,,,16th September 1992,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-146/rb-146.md,no_names; no_dates
147,Point of Ayre Lighthouse,05/11/1993,https://www.gov.im/media/631637/0500147regbldlighthouse.pdf,Bride,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,15th October 1993,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-147/rb-147.md,no_names; no_dates
148,Langness Lighthouse,05/11/1993,https://www.gov.im/media/632579/0500148regbldlangnesslighthouse.pdf,Malew,,Registered,[],[],"[""architectural and historic interest""]",,,,,15th October 1993,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-148/rb-148.md,no_names; no_dates
149,Douglas Head Lighthouse,05/11/1993,https://www.gov.im/media/632237/0500149regblddouglasheadlighthous.pdf,Douglas,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,15th October 1993,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-149/rb-149.md,no_names; no_dates
150,Balladoole Farm Buildings,08/02/1994,https://www.gov.im/media/631517/0500150regbldballadoolefarm.pdf,Arbory,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"17th December, 1993",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-150/rb-150.md,no_names; no_dates
151,"2, 4, 6, 8, 10, 12, 14, 16, & 18, Albion Terrace",24/08/1994,https://www.gov.im/media/632915/0500151regbld218albionterrace.pdf,Ramsey,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,2nd August 1994,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-151/rb-151.md,no_names; no_dates
152,"3, 4, 5, 6, 7, 8, 9 & 10 Auckland Terrace & West House",24/08/1994,https://www.gov.im/media/632921/0500152regbldbeanoa.pdf,Ramsey,,Registered,[],[],"[""architectural and historic interest""]",,,,,25th May 1994,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-152/rb-152.md,no_names; no_dates
154,Queens Pier,06/02/1995,https://www.gov.im/media/632927/0500154regbldqueenspierentrance.pdf,Ramsey,,Registered,[],[],"[""architectural and historic interest""]",,,,,"6th day of February, 1995",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-154/rb-154.md,no_names; no_dates
155,Ballure Inn,12/07/1995,https://www.gov.im/media/632933/0500155regbld7ballureroad.pdf,Ramsey,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,23rd June 1995,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-155/rb-155.md,no_names; no_dates
156,"Facade and Foyer, Strand Cinema",11/07/1995,https://www.gov.im/media/632243/0500156regbldsiteformerlyknownas.pdf,Douglas,,Registered,[],[],"[""architectural and historic interest"", ""earliest and best example of a tiled facade"", ""strikingly good example of \""People's Palace\"" Architecture"", ""major contribution to the streetscape""]",,1913.0,,"26th July, 1913","7th April, 1995",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-156/rb-156.md,no_names
157,"The Village House, Foxdale",31/10/1995,https://www.gov.im/media/632795/0500157regbldvillagehouse.pdf,Patrick,,Registered,[],[],"[""architectural and historic interest""]",,,,,26th October 1995,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-157/rb-157.md,no_names; no_dates
159,"""Ivydene"", Little Switzerland",26/01/1996,https://www.gov.im/media/632249/0500159regbldivydene.pdf,Douglas,Baillie Scott,Registered,"[""Mackay Hugh Baillie Scott""]",[],"[""architectural and historic interest"", ""one of the earliest recorded works of Mackay Hugh Baillie Scott"", ""example of Arts and Crafts style"", ""internationally renowned architect""]",1893.0,1894.0,1893,1894,12th January 1996,,"The building ""Ivydene"" in Little Switzerland, Douglas, was designed by Mackay Hugh Baillie Scott and built between 1893-94. It is recognized for its architectural and historic interest, being one of the earliest works of Baillie Scott, an internationally renowned architect. The building is a notable example of the Arts and Crafts style and is recommended for listing for both its internal and external features. The registration prohibits alteration or demolition without prior consent.",fenced_block,data/gov.im/registered-buildings/outputs/rb-159/rb-159.md,
160,"The Red House, Victoria Road",26/01/1996,https://www.gov.im/media/632255/0500160regbldredhouse.pdf,Douglas,Baillie Scott,Registered,"[""Mackay Hugh Baillie Scott""]",[],"[""architectural and historic interest"", ""good example of its style blending traditional British rural features with American influences"", ""important works of the internationally renowned Architect Mackay Hugh Baillie Scott"", ""innovative approach to planning""]",1892.0,1893.0,October 20th 1892,,12th January 1996,,"The Red House was designed and built by Mackay Hugh Baillie Scott for his own occupation. It is noted for its architectural and historic interest, blending traditional British rural features with American influences. The building is a significant example of Baillie Scott's work and is maintained to high standards.",fenced_block,data/gov.im/registered-buildings/outputs/rb-160/rb-160.md,
161,"""Oakleigh"", Glencrutchery Road",26/01/1996,https://www.gov.im/media/632261/0500161regbldoakleigh.pdf,Douglas,Baillie Scott,Registered,"[""Mackay Hugh Baillie Scott""]","[""W Macadam""]","[""architectural and historic interest"", ""one of the major works of the internationally renowned Architect Mackay Hugh Baillie Scott"", ""architectural significance as a few examples of design by an internationally recognised architect"", ""important contribution to the built Heritage of the Isle of Man""]",1893.0,1893.0,1893,1893,12th January 1996,,"The building is a significant example of Mackay Hugh Baillie Scott's work, showcasing his early development and unique architectural style. It is noted for its picturesque facade and innovative use of space and materials.",fenced_block,data/gov.im/registered-buildings/outputs/rb-161/rb-161.md,
162,"Myrtle Bank, Little Switzerland",26/01/1996,https://www.gov.im/media/632267/0500162regbldmyrtlebank.pdf,Douglas,Baillie Scott,Registered,"[""Mackay Hugh Baillie Scott""]",[],"[""architectural interest"", ""historic interest""]",1895.0,1896.0,1895,1896,12th January 1996,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-162/rb-162.md,
163,"Hollybank, Little Switzerland",26/01/1996,https://www.gov.im/media/632273/0500163regbldhollybank.pdf,Douglas,Baillie Scott,Registered,"[""Mackay Hugh Baillie Scott""]",[],"[""architectural interest"", ""historic interest""]",1895.0,1896.0,1895,1896,12th January 1996,,"The building is one of the most important works of Mackay Hugh Baillie Scott, an internationally renowned architect. It was built as a speculative venture and represents a departure from his earlier architectural style.",fenced_block,data/gov.im/registered-buildings/outputs/rb-163/rb-163.md,
164,"Falcon Cliff Terrace, Ivy Cottage, Thie Bannee, Inglenook, Thorn Bank",26/01/1996,https://www.gov.im/media/632279/rb-164-falcon-cliff-terrace-ivy-cottage-thie-bannee-inglenook-thorn-bank-terrace-registration-documents-130623.pdf,Douglas,Baillie Scott,Registered,"[""Mackay Hugh Baillie Scott""]",[],"[""architectural and historic interest"", ""one of a group of four terraced houses by Mackay Hugh Baillie Scott"", ""sensitive and creative use of craftsmanship and materials"", ""revolutionary approach to internal planning"", ""important landmark in terraced housing""]",1897.0,1898.0,1897,1898,12th January 1996,,"The building is part of a group of four terraced houses designed by Mackay Hugh Baillie Scott, known for his Arts and Crafts style. The property has been converted into two flats but retains many original features.",fenced_block,data/gov.im/registered-buildings/outputs/rb-164/rb-164.md,
