PA Ref,Property Address,PROPOSAL,Decision,Decision issued,Determining Body
18/00005/CON,12 Derby Square Douglas Isle Of Man IM1 3LS,Registered Building consent for the demolition of existing dwelling and replacement with new dwelling (in connection with application 18/00004/GB),Permitted,12-Apr-18,Principal Planner - South (SC)
18/00006/B,3 Collins Lane Ramsey Isle Of Man IM8 1AL,Installation of external cladding,Permitted,07-Feb-18,Head of Development Management
18/00007/B,Mullen Beg Patrick Road Patrick Village Isle Of Man IM5 3AW,Alterations and erection of extension,Permitted,26-Feb-18,Head of Development Management
18/00008/B,Former Outbuildings Ballavoddan Phildraw Road Ballasalla Isle Of Man IM9 3EG ,"Conversion of outbuildings to 2 holiday cottages, including two storey extension and associated fencing.  Demolition of garage and erection of double garage, garden store and car port",Permitted,10-Apr-18,Principal Planner - South (SC)
18/00009/B,7 Croit Ny Kenzie Andreas Isle Of Man IM7 4FA ,"Erection of porch, garage and living room extensions",Permitted,29-Mar-18,Principal Planner - South (SC)
18/00010/B,Ballakillingan Farm Churchtown Ramsey Isle Of Man IM7 2AL ,"Change of use of part of field 135010 to campsite from 1st May to 30th September annually, and installation of two hook up points (retrospective)",Permitted,13-Mar-18,Planning Committee
18/00011/B,"Units 1, 2 And 3 The Warehouse Demesne Road Douglas Isle Of Man IM1 3DS ","Alterations to units 1, 2 and 3, and conversion of unit 1 from retail (Class 1) to a dog day care centre",Permitted,27-Feb-18,Planning Committee
18/00012/B,42 Bowring Road Ramsey Isle Of Man IM8 3EJ,Alterations and erection of a rear extension,Permitted,29-Mar-18,Principal Planner - South (SC)
18/00013/B,25 South Quay Douglas Isle Of Man IM1 5AR,Demolition of existing industrial unit and formation of car park for a period of 4 years,Permitted,16-Nov-18,Planning Committee
18/00014/B,15 Barrule Park Ramsey Isle Of Man IM8 2BN,"Alterations to property including replacement of conservatory roof with flat roof, new door to garage and new windows",Permitted,09-Mar-18,Principal Planner- North (CB)
18/00015/B,Bluebell House Braaid Farm Braaid Road Braaid Isle Of Man IM4 2AW ,Erection of stable to replace existing building and formation of equestrian manege,Permitted,13-Mar-18,Planning Committee
18/00016/B,Land Adj To Bankfield Bungalow Ballamodha Straight Ballasalla Isle Of Man  ,Erection of a new dwelling,Refused,05-Mar-18,Head of Development Management
18/00017/D,Zurich House Isle Of Man Business Park Douglas Isle Of Man IM2 2SA ,Installation of illuminated and non-illuminated signage (forming amendments to application 17/01025/D),Permitted,05-Mar-18,Head of Development Management
18/00018/B,88 Pine Grove Ballasalla Isle Of Man IM9 2EA,Alterations and extensions to property including new porch and removal of a chimney stack,Permitted,09-Mar-18,Head of Development Management
18/00019/B,Castletown Harbour Pump Station Hope Street Castletown Isle Of Man  ,Installation of replacement windows and door,Permitted,07-Feb-18,Head of Development Management
18/00020/B,Ardlea 5 Somerset Road Douglas Isle Of Man IM2 5AD,Replacement of existing roof slates with new roof slates (retrospective),Permitted,10-Apr-18,Principal Planner - South (SC)
18/00021/B,Reayrtyn Glen Road Colby Isle Of Man IM9 4HW,Replacement of existing conservatory roof with Tapco Slate roof,Permitted,07-Feb-18,Head of Development Management
18/00022/B,Highfield Glen Vine Drive Glen Vine Isle Of Man IM4 4EX ,Erection of Greenhouse,Permitted,07-Feb-18,Head of Development Management
18/00023/B,1 Sycamore Close Onchan Isle Of Man IM3 3HW,Erection of fencing (retrospective),Permitted,02-May-18,Principal Planner- North (CB)
18/00024/A,Sulby Shop Gara Aalin Main Road Sulby Isle Of Man IM7 2HR,"Approval in principle for the erection of a dwelling to the rear of existing shop, including means of access",Permitted,09-Jul-18,Planning Committee
18/00025/C,Beechwood Fairy Cottage Laxey Isle Of Man IM4 7JP ,Additional use of residential property as self catering tourist accommodation,Permitted,29-Mar-18,Principal Planner - South (SC)
18/00026/GB,Welch House Church Road Onchan Isle Of Man IM3 1BF,Replacement of rotten windows and door light with hardwood windows painted white - RB 122 (in connection with Registered Building application 17/00027/CON),Permitted,24-Apr-18,Head of Development Management
18/00027/CON,Welch House Church Road Onchan Isle Of Man IM3 1BF,Registered Building consent for the replacement of rotten windows and door light with hardwood windows painted white - RB 122 (in connection with application 17/00026/GB),Permitted,24-Apr-18,Head of Development Management
18/00028/B,18 St Catherines Drive Douglas Isle Of Man IM1 4BQ,Replacement of existing pebble dash wall covering with protex render system to front side and rear elevations,Permitted,13-Feb-18,Principal Planner - South (SC)
18/00029/A,Palm Court And Jurby Garage Coast Road Jurby Isle Of Man IM7 3ET,"Approval in principle for the residential development of site including siting, design and means of access",Refused,25-Apr-18,Planning Committee
18/00030/B,Westend Cottage 9 Arbory Road Castletown Isle Of Man IM9 1NA,Alterations and erection of rear extension (amendment to PA 17/00768/B),Permitted,08-Mar-18,Principal Planner - South (SC)
18/00031/B,50 Derby Square Douglas Isle Of Man IM1 3LP,"Replacement windows in pvc, grey to front, white to rear",Permitted,17-May-18,Head of Development Management
18/00032/B,Overdale Quarterbridge Road Douglas Isle Of Man IM2 3RJ,Alterations and extensions to dwelling (forming amendments to PA 16/00628/B),Permitted,29-Mar-18,Principal Planner - South (SC)
18/00033/B,Seascapes Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX ,Erection of gates to existing access,Permitted,03-Aug-18,Director 2017+
18/00034/B,Land Adjacent To Reayrt Ny Glionney All Saints Park Lonan Laxey Isle Of Man  ,Erection of 13 dwellings with associated landscaping and open space,Permitted,14-May-18,Planning Committee
18/00035/B,9 Scarlett Road Castletown Isle Of Man IM9 1NT,Extension of vehicular access and driveway,Permitted,09-Mar-18,Head of Development Management
18/00036/B,Land To The Rear  20 - 22 Marathon Road Douglas Isle Of Man,"Erection of building containing two 1 bedroom apartments, connected to existing apartment building",Refused,18-Jul-18,Head of Development Management
18/00037/B,Cronk Mooar Andreas Road Aust Ramsey Isle Of Man IM7 4EF ,Erection of two single storey extensions to existing dwelling,Permitted,30-Jul-18,Planning Committee
18/00038/C,Skanco Court Cooil Road Douglas Isle Of Man IM2 2SR ,Change of use of office space to dental surgery,Refused,14-Jun-18,Director 2017+
18/00039/B,Greystones 44 Albany Road Douglas Isle Of Man IM2 3NA,"Alterations including demolition of workshop, toilet and rear chimney, and installation of two rear glass dormers, two rooflights to front, new window and door to kitchen, and replacement of roof slates.",Permitted,13-Feb-18,Principal Planner - South (SC)
18/00040/B,Ashdowne House Ballavale Road Santon Isle Of Man IM4 1EH,Creation of a roof top pavilion,Permitted,26-Feb-18,Planning Committee
18/00041/C,Flat 2 5 Fort William Head Road Douglas Isle Of Man IM1 5BG ,Additional use of property as self-catering tourist accommodation,Permitted,10-Apr-18,Principal Planner - South (SC)
18/00042/B,Cronk Ny Killey Dreemskerry Ramsey Isle Of Man IM7 1AX ,"Variation of condition 1 of PA 13/91300/B for the demolition of existing and erection of a replacement dwelling, to extend the period of approval for a further four years",Permitted,09-Mar-18,Head of Development Management
18/00043/B,Jurby School School Close Jurby Isle Of Man IM7 3BJ,Construction of an external bin store/enclosure,Permitted,29-Mar-18,Principal Planner - South (SC)
18/00044/B,39 Governors Hill Douglas Isle Of Man IM2 7AT,Replacement of existing annex roof with tiled roof,Permitted,29-Mar-18,Principal Planner - South (SC)
18/00045/B,3 Malew Road Castletown Isle Of Man IM9 4EA,Replacement of existing annex roof with tiled roof,Permitted,09-Mar-18,Principal Planner- North (CB)
18/00046/B,25 Westminster Terrace Douglas Isle Of Man IM1 4EE,Alterations and erection of extension and garage to rear,Permitted,02-Mar-18,Principal Planner - South (SC)
18/00047/B,Sutton Oak Lower Dukes Road Douglas Isle Of Man IM2 4BL,Extension and alterations to provide ancillary living accommodation and additional garage,Permitted,02-Mar-18,Principal Planner - South (SC)
18/00048/B,Site Within Grounds Of Rushen Abbey Rushen Abbey Ballasalla Isle Of Man  ,Erection of a glasshouse and erection of replacement fencing,Permitted,21-Jun-18,Head of Development Management
18/00049/B,Cloughwilley Park Tosaby Road St Marks Ballasalla Isle Of Man IM9 3AN,Erection of a sun room to replace existing,Permitted,26-Feb-18,Head of Development Management
18/00050/B,52 Murrays Lake Drive Mount Murray Douglas Isle Of Man IM4 2HZ,Alterations and erection of two storey extension to side of dwelling,Permitted,09-Mar-18,Principal Planner- North (CB)
18/00051/LAW,31 Derby Road Douglas Isle Of Man IM2 3ES,"Application to make lawful the installation of replacement PVC windows, rooflights, PVC fascia boards, and alterations to rear yard parking area",Certificate of Lawfulness AGREED,20-Mar-18,Head of Development Management
18/00052/B,Site Within Callows Yard Malew Street Castletown Isle Of Man  ,Conversion of existing two storey storage area in to duplex apartment,Permitted,26-Feb-18,Planning Committee
18/00053/B,22 Athol Street Douglas Isle Of Man IM1 1JA,Installation of replacement windows to front elevation basement office,Permitted,14-Jun-18,Director 2017+
18/00054/B,10 Close Corneil Port Erin Isle Of Man IM9 6BN,Erection of garage,Permitted,26-Feb-18,Head of Development Management
18/00055/B,Rotherwood Belmont Road Douglas Isle Of Man IM1 4NR ,"Alterations to property including demolition of outbuildings, widening and adjustments to vehicular access, and alterations to window openings",Permitted,09-Mar-18,Head of Development Management
18/00056/B,Mandalay Groves Lane Douglas Isle Of Man IM2 1HF,Replacement of existing glazed conservatory roof with fibreglass,Permitted,29-Mar-18,Principal Planner - South (SC)
18/00057/C,8 Castlemona Avenue Douglas Isle Of Man IM2 4EH,Additional use of dwelling to provide a beauty treatment room,Permitted,25-Apr-18,Planning Committee
18/00058/B,Store Shore Road Bay Ny Carrickey Port St. Mary Isle Of Man IM9 5LZ ,Conversion of Storage Barn to tourist accommodation ancillary to Shore Hotel,Permitted,16-Mar-18,Head of Development Management
18/00059/B,6 Cronk Drine Union Mills Isle Of Man IM4 4NG,Removal of a chimney,Permitted,09-Mar-18,Principal Planner- North (CB)
18/00060/B,Maple Ridge Viking Hill Ballakillowey Colby Isle Of Man IM9 4BJ,"Alterations including repositioning of front door, installation of render and cladding, replace existing conservatory roof with a flat roof with lantern and installation of replacement roof tiles",Permitted,27-Feb-18,Head of Development Management
18/00061/B,Stable Block St Judes Road Sulby Isle Of Man  ,Erection of shed to serve as changing facility in connection with stables (retrospective),Refused,24-May-18,Head of Development Management
18/00062/B,39 Arbory Street Castletown Isle Of Man IM9 1LL,Installation of a replacement front door,Permitted,09-Mar-18,Principal Planner- North (CB)
18/00063/B,2 Hatfield Grove Douglas Isle Of Man IM1 3HD,"Replacement of existing timber windows and doors with UPVC; sliding sash windows and composite door to front, casement windows and UPVC door to rear",Permitted,27-Mar-18,Head of Development Management
18/00064/B,Cobblers Goose Switchback Road Knocksharry Peel Isle Of Man IM5 2AG,Replacement of existing garage door with sliding folding doors and erection of first floor conservatory above,Permitted,09-Mar-18,Principal Planner- North (CB)
18/00065/LAW,Ullswater 110 Castlemona Avenue Douglas Isle Of Man IM2 4EF,Application to make lawful the use of the property as a House in Multiple Occupancy,Certificate of Lawfulness AGREED,01-Jun-18,Head of Development Management
18/00066/D,29 Parliament Street Ramsey Isle Of Man IM8 1AT ,Installation of non-illuminated signage,Refused,29-Mar-18,Principal Planner - South (SC)
18/00067/B,Ramsey Grammar School West   Lezayre Road Ramsey Isle Of Man IM8 2RG,"Alterations, erection of first floor extension to provide a study area and repositioning of existing escape stair",Permitted,22-Mar-18,Head of Development Management
18/00069/B,"Plot 128,  20 Ballacross Road Slieau Whallian View Land At Ballawattleworth Peel Isle Of Man  ",Erection of a detached dwelling (amendment to approved PA 13/91289/B),Permitted,14-Mar-18,Principal Planner - South (SC)
18/00070/B,Fildraw Phildraw Road Ballasalla Isle Of Man IM9 3EH,Erection of storage barn for maintenance equipment and machinery,Permitted,09-Mar-18,Head of Development Management
18/00071/GB,"Land Adjacent To Kates Cottage, Keppel Gate Mountain Road Onchan Isle Of Man  ",Installation of a sewage treatment plant (in association with 18/00072/CON),Permitted,17-Apr-18,Department Application
18/00072/CON,Kate's Cottage Mountain Road Onchan Isle Of Man IM4 5BP,Registered Building consent for the installation of a sewage treatment plant (in association with 18/00071/GB) Registered Building Nos. 117,Permitted,17-Apr-18,Department Application
18/00073/B,62 Ormly Road Ramsey Isle Of Man IM8 3LJ,"Alterations and additions including removal of conservatory, erection of extension, removal of chimney stack, installation of gable window and erection of detached garage",Permitted,12-Apr-18,Principal Planner - South (SC)
18/00074/B,Imperial Hotel Castlemona Terrace Central Promenade Douglas Isle Of Man IM2 4LU ,Demolition of property and site clearance (in connection with application 18/00075/CON),Permitted,02-Aug-18,Planning Committee
18/00075/CON,Imperial Hotel Castlemona Terrace Central Promenade Douglas Isle Of Man IM2 4LU ,Registered building consent for the demolition of property and site clearance (in connection with application 18/00074/B),Permitted,02-Aug-18,Planning Committee
18/00076/B,Traie Creggagh Queens Road Port St. Mary Isle Of Man IM9 5EP,"Creation of new vehicular access to provide off street parking, and associated ground works and level alterations",Permitted,12-Apr-18,Principal Planner - South (SC)
18/00077/B,Development Area C Jurby Industrial Estate Jurby Isle Of Man  ,Erection of workshop,Permitted,03-May-18,Principal Planner- North (CB)
18/00078/B,Overseas 3 Lag Birragh Drive Onchan Isle Of Man IM3 2JW,Extension of existing balcony and installation of retractable awning to existing balcony,Permitted,16-Apr-18,Principal Planner - South (SC)
18/00079/D,Outbuildings  Ballastrang Castletown Road Ballaglonney Santon Isle Of Man IM4 1EU,Installation of non-illuminated signage,Permitted,14-Mar-18,Principal Planner - South (SC)
18/00080/B,The Cottage Woodland Heights Ashley Road Onchan Isle Of Man IM4 5BB ,Installation of front dormer window at first floor level (forming amendment to PA 13/00243/B),Permitted,02-Mar-18,Principal Planner - South (SC)
18/00081/B,Brambles Main Road Union Mills Isle Of Man IM4 4AN,Conversion of existing outbuildings to provide self-contained living accommodation,Permitted,24-Apr-18,Planning Committee
18/00083/C,Flat 7  Victoria Court Victoria Road Douglas Isle Of Man IM2 4HH,Additional use of residential apartment as self-catering tourist accommodation,Permitted,11-May-18,Planning Committee
18/00084/B,Yn Ard Thie Bradda Road Port Erin Isle Of Man IM9 6QA ,Alterations to property and creation of off road parking area and balcony at front of property,Permitted,09-Mar-18,Head of Development Management
18/00085/B,3 Raad Ny Gabbil Castletown Isle Of Man IM9 1HH,"Alterations, erection of a two storey side extension, installation of four front elevation roof lights and four rear dormer windows and formation of a sun room from existing rear conservatory",Permitted,14-Mar-18,Head of Development Management
18/00086/B,Golf Links Pavilion Car Park Entrance Rowany Golf Club Rowany Drive Port Erin Isle Of Man IM9 6LN,Erection of a flagpole,Permitted,15-Mar-18,Head of Development Management
18/00087/B,10 Fleshwick Close Ballakilley Rushen Isle Of Man IM9 5NS ,Erection of dwelling (amendment to PA 15/01308/B),Permitted,15-Mar-18,Head of Development Management
18/00088/B,Ravenswood 27 Farmhill Park Douglas Isle Of Man IM2 2EE,Alterations including installation of full height windows to front elevation and rear French doors,Permitted,15-Mar-18,Principal Planner - South (SC)
18/00089/B,8 Vicarage Park Douglas Isle Of Man IM2 2QB ,"Replacement of existing conservatory with garden room, and creation of patio area with access ramp, balustrading and walling",Permitted,07-Mar-18,Principal Planner - South (SC)
18/00090/B,26 Belgravia Road Onchan Isle Of Man IM3 1HH,Erection of infill extension to property and removal of chimney stack,Permitted,15-Mar-18,Head of Development Management
18/00091/B,Denizli Booilushag Ballajora Ramsey Isle Of Man IM7 1BD,Erection of a replacement dwelling with associated landscaping,Permitted,09-Mar-18,Principal Planner - South (SC)
18/00092/B,Flat 1 2 The Esplanade Central Promenade Douglas Isle Of Man IM2 4LR ,"Alterations to front elevation include installation of replacement windows, extension to create a glazed link corridor and rendering works to rear elevation",Permitted,26-Apr-18,Principal Planner - South (SC)
18/00093/LAW,8 Stanley Mount Peel Isle Of Man IM5 1NE,Application for certificate of Lawful Development for installation of replacement windows and door on front elevation,Certificate of Lawfulness AGREED,15-Mar-18,Head of Development Management
18/00094/B,Land And Stables Adjacent To Stovell Tromode Road Douglas Isle Of Man  ,"Variation of condition one of PA15/01357/REM, Erection of a detached two storey dwelling, addressing siting, design, external appearance, internal layout and means of access, to extend the period of approval",Permitted,27-Apr-18,Principal Planner - South (SC)
18/00095/B,1 Raad Kirree Varrey Peel Isle Of Man IM5 1QR ,Installation of flue from multi fuel stove on south western gable,Permitted,15-Mar-18,Head of Development Management
18/00096/B,Stanley House Baldhoon Road Laxey Isle Of Man IM4 7QG,Replacement of existing glazed conservatory roof with tiles,Permitted,27-Mar-18,Head of Development Management
18/00098/B,1 Lower Cronk Orry Minorca Hill Laxey Isle Of Man IM4 7EG ,Erection of two storey extension to side of property,Permitted,01-Jun-18,Principal Planner - South (SC)
18/00099/B,Paies House Main Road Sulby Isle Of Man IM7 2HR ,Alterations and erection of a glazed link extension,Permitted,09-Mar-18,Principal Planner - South (SC)
18/00100/B,Ballacallum Ballaragh Road Laxey Isle Of Man IM4 7PE ,Alterations and erection of extension to replace existing conservatory,Permitted,29-Mar-18,Principal Planner - South (SC)
18/00101/B,4 Victoria Place Douglas Isle Of Man IM2 4ET,Conversion of existing dwelling in to three self contained one bedroom apartments,Refused,14-May-18,Planning Committee
18/00102/B,Barrule 10 Devonshire Road Douglas Isle Of Man IM2 3RB,Erection of a first floor extension,Permitted,15-Mar-18,Principal Planner - South (SC)
18/00103/B,14 Alderley Close Douglas Isle Of Man IM2 1NT,Erection of a rear extension,Permitted,15-Mar-18,Principal Planner - South (SC)
18/00104/B,Part Of Playing Fields Nobles Park Douglas Isle Of Man  ,Erection of a temporary building to be used as a bar and hospitality facility during the TT and Festival of Motoring periods,Permitted,13-Mar-18,Planning Committee
18/00105/B,Ingleside 1 Shore Road Castletown Isle Of Man IM9 1BF,"Window, door and conservatory roof alterations to rear elevation",Permitted,09-Mar-18,Head of Development Management
18/00106/B,10 Woodburn Square Douglas Isle Of Man IM1 4DB ,Demolition of existing rear extension and balcony and construction of workshop/storage area at ground floor level and living accommodation/terrace at first floor level (in connection with registered building application 18/00107/CON),Permitted,14-Jun-18,Director 2017+
18/00107/CON,10 Woodburn Square Douglas Isle Of Man IM1 4DB ,Registered Building Consent for the demolition of existing rear extension and balcony and construction of workshop/storage area at ground floor level and living accommodation/terrace at first floor level (in connection with application 18/00106/B),Permitted,14-Jun-18,Director 2017+
18/00108/B,Unit 16 Tromode Estate Carrs Lane Tromode Douglas Isle Of Man IM4 4RG ,"Conversion of Unit 16 into 2 units including new offices and welfare facilities, new pedestrian entrance door and new fire escape door",Permitted,27-Apr-18,Principal Planner - South (SC)
18/00109/B,3 - 4 Parliament Square Ramsey Isle Of Man IM8 1AH,Refurbishment of shop premises,Permitted,30-May-18,Principal Planner - South (SC)
18/00110/B,The Old Mortuary Farrants Way Castletown Isle Of Man IM9 1NR," Variation of condition two of PA 17/00319/B, to extend the permitted opening hours to 7am-Midnight daily",Permitted,09-Mar-18,Head of Development Management
18/00111/A,Site Adj To  10 Birchley Terrace Onchan Isle Of Man  ,Approval in principle for the erection of a detached dwelling,Permitted,15-May-18,Planning Committee
18/00112/B,12 - 14 Clinches Court Douglas Isle Of Man IM1 4LH,"Alterations, window alterations and installation of cladding to front elevation",Permitted,29-Mar-18,Head of Development Management
18/00113/B,Former Digital World The Milestone Peel Road Douglas Isle Of Man IM1 5ED,"Alterations, erection of front extension to provide entrance porch and change of use from retail of electrical goods (Class 1) and warehouse to retail of wine and liquor (Class 1), warehouse and deli / cafe (Class 3)",Permitted,10-Apr-18,Planning Committee
18/00114/B,1 Fleshwick Close Port St Mary Isle Of Man IM9 5NS ,Erection of dwelling (amendment to PA 15/01308/B),Permitted,15-Mar-18,Head of Development Management
18/00115/B,22 Hawarden Avenue Douglas Isle Of Man IM1 4BS,Erection of a rear extension,Permitted,15-Mar-18,Principal Planner - South (SC)
18/00116/B,Dreemskerry Lodge Dreemskerry Ramsey Isle Of Man IM7 1BF ,Erection of a retaining wall,Permitted,22-Mar-18,Principal Planner - South (SC)
18/00117/B,Garage Poyl Breck East Baldwin Isle Of Man  ,Alterations and erection of first floor extension to existing studio apartment,Refused,22-May-18,Head of Development Management
18/00118/B,154 Woodbourne Road Douglas Isle Of Man IM2 3BD,Installation of replacement windows to front elevation,Permitted,13-Mar-18,Planning Committee
18/00119/B,Land Associated With Cronkbane House Oak Hill Port Soderick Isle Of Man  ,Creation of an outdoor riding arena,Permitted,16-May-18,Principal Planner- North (CB)
18/00120/B,Ballachrink Lodge Glen Mooar Road St Johns Isle Of Man IM4 3AG,"Replacement of existing dwelling with new dwelling including garage, sensory room and link",Permitted,17-Aug-18,Planning Committee
18/00121/B,Cronk Ard 64 Ballanard Road Douglas Isle Of Man IM2 5HE,Two storey extension to dwelling and creation of additional vehicular access,Permitted,27-Apr-18,Principal Planner - South (SC)
18/00122/C,Langness Cottage & Barrule Cottage Lower Ballachrink Ballamodha Straight Ballasalla Isle Of Man IM9 3ES ,Additional use of tourist accommodation as residential accommodation,Permitted,15-Mar-18,Head of Development Management
18/00123/B,24 Church Street Peel Isle Of Man IM5 1HL,Installation of replacement windows to ground and second floors (retrospective),Application Withdrawn,27-Feb-18,Withdrawn
18/00124/B,24 Church Street Peel Isle Of Man IM5 1HL,Roofing works to dwelling and workshop (retrospective),Permitted,12-Apr-18,Principal Planner - South (SC)
18/00125/B,103 Cronk Liauyr Douglas Isle Of Man IM2 5LS ,Alterations and extension to dwelling,Permitted,15-Mar-18,Principal Planner - South (SC)
18/00126/B,Land Between Holly Bank And No 9 Ballagorry Drive Glen Mona Ramsey Isle Of Man  ,Erection of five detached dwellings (amendment to PA 12/00366/B),Permitted,09-Jul-18,Planning Committee
18/00127/B,Unit 22 Block D Balthane Industrial Estate Balthane Ballasalla Isle Of Man IM9 2AX ,Conversion from storage use to a dog grooming business and store,Permitted,26-Mar-18,Planning Committee
18/00128/B,4 Milner Terrace Castletown Isle Of Man IM9 1AJ,Installation of a replacement roof light,Permitted,15-Mar-18,Head of Development Management
18/00129/B,7 Glen Park Drive Douglas Isle Of Man IM2 6HN,Erection of two single storey extensions to property,Permitted,15-Mar-18,Principal Planner - South (SC)
18/00130/B,Walton House Bridge Road Ballasalla Isle Of Man IM9 3DA,Alterations to window positions (forming amendments to works constructed under PA 16/00850/B) - retrospective,Permitted,15-May-18,Head of Development Management
18/00131/B,6 Mountain View Peel Isle Of Man IM5 1QD,Alterations and erection of side and rear extensions to provide garage and additional living accommodation,Permitted,16-Apr-18,Principal Planner - South (SC)
18/00132/B,Beach House Bay View Road Port St. Mary Isle Of Man IM9 5AE,Removal of a chimney,Refused,15-May-18,Principal Planner- North (CB)
18/00133/B,Thie Plaish Glen Road Colby Isle Of Man IM9 4NX,Replacement of existing garage door with a window to rear elevation,Permitted,15-May-18,Head of Development Management
18/00134/B,Plot 3 Adjacent To Arbory Vicarage Main Road Ballabeg Castletown Isle Of Man IM9 4BT ,Erection of a detached dwelling,Refused,05-Dec-18,Head of Development Management
18/00135/B,Close Leece Farm Patrick Road St Johns Isle Of Man IM4 3BR,Conversion of existing barn to provide a farm shop (Class 1) and cafe (Class 3) with associated kitchen in association with works approved under 17/00322/B,Permitted,03-Apr-18,Principal Planner- North (CB)
18/00136/B,1 Ravenscliffe Telephone Exchange Road Laxey Isle Of Man IM4 7HU ,Replacement of existing annex roof with tiled roof,Permitted,15-Mar-18,Principal Planner - South (SC)
18/00137/B,Former Peel Gasworks Office Mill Road Peel Isle Of Man  ,Erection of a detached office building to replace existing,Permitted,16-Aug-18,Principal Planner- North (CB)
18/00138/B,Creg Mooar Saint Marys Road Port Erin Isle Of Man IM9 6JL,"Alterations, roofing works, erection of a rear two storey extension and amendments to existing vehicular access",Permitted,16-Apr-18,Principal Planner - South (SC)
18/00139/B,10 Quarry Lane Peel Isle Of Man IM5 1QQ ,Widening of driveway and vehicular access (retrospective),Permitted,15-Mar-18,Head of Development Management
18/00140/B,Land At St German's Cathedral Derby Road Peel Isle Of Man  ,"Variation of condition one of PA 13/91514/B, Construction of a Lychgate along Derby Road to form new pedestrian entrance to Cathedral grounds which incorporates facilities for a re-located bus shelter, to extend the period of permission by four years",Permitted,22-Mar-18,Head of Development Management
18/00141/B,Kermode House 74 Parliament Street Ramsey Isle Of Man IM8 1AQ,Conversion of ground floor opticians to a hot food and drink establishment (Class 3),Permitted,28-Mar-18,Principal Planner - South (SC)
18/00142/B,Ballaveare Old Castletown Road Port Soderick Isle Of Man IM4 1BB ,Erection of a detached three car garage,Permitted,30-Apr-18,Principal Planner- North (CB)
18/00143/B,21 The Park Onchan Isle Of Man IM3 1HP,Replacement of existing glazed conservatory roof with tiles,Permitted,15-May-18,Head of Development Management
18/00144/B,Glenside Residential Home Victoria Road Douglas Isle Of Man IM2 4AF ,Construction of a 60 bed residential care home and day care unit for older residents,Permitted,09-Jul-18,Planning Committee
18/00145/B,Ridgmont The Crofts Castletown Isle Of Man IM9 1LY,Erection of an extension to replace existing conservatory (amendment to PA 17/00175/B),Permitted,22-Mar-18,Head of Development Management
18/00146/B,Fairwinds 47 Garth Avenue Surby Port Erin Isle Of Man IM9 6QU,"Alterations, erection of a rear extension and installation of replacement roof tiles",Permitted,03-Apr-18,Principal Planner- North (CB)
18/00147/C,22 Slieau Curn Park Kirk Michael Isle Of Man IM6 1EP,Change of use of existing detached garage/office as hair salon,Application Withdrawn,15-May-18,Withdrawn
18/00148/LAW,Holmleigh Main Road Kirk Michael Isle Of Man IM6 1AD,Installation of replacement windows and erection of a rear porch (retrospective),Certificate of Lawfulness AGREED,30-Apr-18,Head of Development Management
18/00149/D,"Goods Yard, Manx Electric Railway New Road Laxey Isle Of Man  ",Installation of signage in connection with exhibition site,Permitted,06-Apr-18,Principal Planner - South (SC)
18/00150/B,28 The Crofts Castletown Isle Of Man IM9 1LZ,"Demolition of existing outrigger to the rear of property and construction of replacement single storey outrigger with small two storey section, replacement of windows, and construction of garden room",Permitted,03-Apr-18,Principal Planner- North (CB)
18/00151/B,21 River Walk Braddan Douglas Isle Of Man IM4 4TJ,Installation of flue from a log burner (retrospective),Permitted,03-May-18,Principal Planner- North (CB)
18/00152/B,Tanyard House Braaid Road St Marks Ballasalla Isle Of Man IM9 3AR,"Variation of condition 1 of PA 13/91216/B for the erection of a two storey extension, to extend the period of approval for a further 4 years",Permitted,03-Apr-18,Principal Planner- North (CB)
18/00153/B,Gys Yn Jiaas Main Road Colby Isle Of Man IM9 4NS ,Erection of two storey extension to rear of property (amendment to PA 17/00761/B),Permitted,03-Apr-18,Principal Planner- North (CB)
18/00154/B,The Mount May Hill Ramsey Isle Of Man IM8 2HG,Erection of a second floor sunroom extension,Permitted,25-May-18,Principal Planner - South (SC)
18/00155/B,St Margarets Queens Grove Ramsey Isle Of Man IM8 2JE,Alterations and erection of a side extension to dwelling,Permitted,12-Apr-18,Principal Planner - South (SC)
18/00156/B,Bailrigg House Ballanard Road Douglas Isle Of Man IM2 5PT,Installation of first floor French doors with glass balustrade to flat roof,Permitted,12-Apr-18,Principal Planner - South (SC)
18/00157/B,Ardonan Nurseries Ardonan Lane Regaby Ramsey Isle Of Man IM7 3HN,Erection of an agricultural building to house livestock and farm machinery,Permitted,06-Sep-18,Head of Development Management
18/00159/B,Field 214268 Summerhill Road Jurby Isle Of Man  ,Erection of an agricultural building to provide storage of agricultural machinery and animal feed,Refused,04-Jul-18,Director 2017+
18/00160/B,4 Mount Rule Cottages West Baldwin Road Mount Rule Isle Of Man IM4 4HS ,Erection of rear extension with solar panels above,Permitted,27-Mar-18,Planning Committee
18/00161/B,"Field 432440 And Part Field 432475, Adjacent Billown Quarry Foxdale Road Ballasalla Isle Of Man  ",Extension to existing quarry,Permitted,09-Aug-18,Department Application
18/00162/LAW,The Old Toll House King Edward Road Onchan Isle Of Man IM3 2JY ,Application to make lawful the use of Toll House as three self contained residential units / apartments (two additional) and use of Gatehouse as single residential unit,Permitted,06-Jul-18,Director 2017+
