PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,PA Ref,Property Address,Appeal decision
Erection of a detached garage with store over to replace existing garage,Refused,03-Apr-12,Senior Planning Officer - South (SC),20-Apr-12,01-Aug-12,12/00209/B,St Trinians Cottage Main Road Crosby Isle Of Man IM4 2DW,Refused at Appeal
Creation of an outside seating area,Permitted,07-Aug-12,Department Application,15-Mar-12,02-Aug-12,12/00260/C,Macbeths 21 - 23 Victoria Street Douglas Isle Of Man IM1 2LW ,Department Application Approved
Installation of three solar panels to roof of existing detached garage,Permitted,11-May-12,Senior Planning Officer - North (CB),30-May-12,30-Jul-12,12/00267/B,Ballatyne 29 Cronk Cullyn Colby Isle Of Man IM9 4NQ ,Appeal Withdrawn
Alterations and erection of extensions to dwelling,Permitted,04-Apr-12,Senior Planning Officer - South (SC),10-Apr-12,30-Jul-12,12/00274/B,Far End 88 King Edward Road Onchan Isle Of Man IM3 2AU,Approved at Appeal
Erection of a building to replace existing barn for the storage of TT course equipment,Refused,11-Jul-12,Planning Committee,24-Jul-12,10-Oct-12,12/00275/B,Land Adjacent To Ard Na Mara House Quines Hill Port Soderick Isle Of Man  ,Appeal Withdrawn
Junction improvements,Permitted,12-Jul-12,Department Application,24-Feb-12,28-Jun-12,12/00277/B,Ballachurry Road Greeba Isle Of Man  ,Department Application Approved
Installation of eleven vertical pedestals for supply of mains electricity (retrospective),Refused,17-Apr-12,Planning Committee,08-May-12,14-Aug-12,12/00280/B,Field 330135 Knockaloe Farm Patrick Village Isle Of Man  ,Refused at Appeal
Erection of a single storey extension to north elevation,Refused,23-Apr-12,Planning Committee,08-May-12,14-Aug-12,12/00285/B,Read Ellan Cottage Jurby East Isle Of Man IM7 3HA   ,Refused at Appeal
Erection of first floor and two storey extensions to dwelling,Permitted,02-May-12,Planning Committee,17-May-12,14-Aug-12,12/00293/B,5 Majestic Drive Onchan Isle Of Man IM3 2JQ,Approved at Appeal
"Erection of a single storey extension to provide public entrance, waiting room and toilets",Permitted,22-May-12,Department Application,28-Feb-12,10-May-12,12/00295/B,Vehicle Test Centre Ballafletcher Road Cronkbourne Douglas Isle Of Man IM4 4QJ,Department Application Approved
Erection of a garden room extension with link,Refused,17-Apr-12,Senior Planning Officer - South (SC),03-May-12,01-Aug-12,12/00296/B,Riverside Barn King Edward Road Onchan Isle Of Man IM4 6AB ,Refused at Appeal
Approval in principle for the erection of three detached dwellings,Permitted,17-Apr-12,Planning Committee,03-May-12,17-Aug-12,12/00298/A,Former Motorlands Garage Site Shore Road Bay Ny Carrickey Port St. Mary Isle Of Man IM9 5LY,Approved at Appeal
Creation of cafe outside seating area and installation of awning,Permitted,14-Jun-12,Department Application,09-Mar-12,14-Jun-12,12/00328/B,40 Duke Street Douglas Isle Of Man IM1 2AX,Department Application Approved
Continued display of externally illuminated fascia sign and the display of illuminated display panels showing services offered and opening hours (retrospective),Refused,03-May-12,Planning Committee,11-May-12,11-Oct-12,12/00329/D,70 / 72 Bucks Road Douglas Isle Of Man IM1 3AE,Refused at Appeal
Erection of four detached dwellings,Permitted,24-May-12,Senior Planning Officer - South (SC),11-Jun-12,31-Aug-12,12/00366/B,Land Between Holly Bank And No 9 Ballagorry Drive Glen Mona Ramsey Isle Of Man  ,Approved at Appeal
Creation of vehicular access and off road parking in front garden,Refused,20-Apr-12,Senior Planning Officer - South (SC),03-May-12,01-Aug-12,12/00367/B,8 Nursery Avenue Onchan Isle Of Man IM3 4HG,Refused at Appeal
Approval in principle for the erection of a dwelling,Permitted,10-May-12,Senior Planning Officer - South (SC),24-May-12,11-Oct-12,12/00371/A,Land Adjacent To Kerrowkeil Patrick Road St Johns Isle Of Man  ,Approved at Appeal
Alterations and erection of extension to dwelling,Refused,14-Jun-12,Senior Planning Officer - North (CB),19-Jun-12,22-Aug-12,12/00380/B,Ballavarkish Beg Grenaby Road Ballabeg Castletown Isle Of Man IM9 4HD ,Appeal Withdrawn
Erection of 19 industrial units for a mixed use of general industrial and storage / distribution with associated external works and drainage,Permitted,09-May-12,Planning Committee,25-May-12,03-Oct-12,12/00413/B,Development Adjacent To BCS House Peel Road Braddan Douglas Isle Of Man IM4 4LE,Refused at Appeal
Installation of illuminated signage,Permitted,24-May-12,Senior Planning Officer - South (SC),06-Jun-12,30-Aug-12,12/00414/B,8 - 12 Main Road Onchan Isle Of Man IM3 1AS ,Approved at Appeal
Installation of a flat roofed dormer to dwelling,Refused,30-Apr-12,Senior Planning Officer - South (SC),14-May-12,15-Jun-12,12/00423/B,Cronk Beg Eleanora Drive Douglas Isle Of Man IM2 3NN,Appeal Withdrawn
Creation of an outside seating area (In association with 12/00442/CON),Permitted,14-Sep-12,Department Application,21-Mar-12,23-Aug-12,12/00441/GB,26 Victoria Street Douglas Isle Of Man IM1 2LE,Department Application Approved
Registered Building consent for the creation of an outside seating area (In association with 12/00441/GB) Registered Building Nos. 225,Permitted,14-Sep-12,Department Application,21-Mar-12,23-Aug-12,12/00442/CON,26 Victoria Street Douglas Isle Of Man IM1 2LE,Department Application Approved
"Replace existing building with a new three storey clubhouse, including associated car parking, utilities and drainage",Refused,11-Jul-12,Planning Committee,11-Jul-12,30-Oct-12,12/00443/B,The Pro Shop And Clubhouse Castletown Golf Links Fort Island Road Derbyhaven Isle Of Man IM9 1UA,Approved at Appeal
Alterations and erection of an extension to dwelling,Permitted,14-May-12,Senior Planning Officer - South (SC),29-May-12,31-Aug-12,12/00447/B,50 Wybourn Drive Onchan Isle Of Man IM3 4AN,Approved at Appeal
Erection of stables within steel portal building (Retrospective),Refused,12-Jun-12,Planning Committee,29-Jun-12,09-Oct-12,12/00479/B,Part Of Field 1403 Staarvey Road Peel Isle Of Man  ,Appeal Withdrawn
Erection of an extension and conversion of dwelling to create three self contained apartments,Refused,17-May-12,Senior Planning Officer - South (SC),18-May-12,14-Aug-12,12/00483/B,42 Woodbourne Road Douglas Isle Of Man IM1 3AN,Approved at Appeal
"Demolition of existing 14 dwellings and erection of 16 elderly persons dwellings with new access road, parking and associated Biomass Boiler House to serve community heating scheme (Amendments to PA 11/00013/B)",Permitted,07-Aug-12,Department Application,05-Apr-12,02-Aug-12,12/00536/B,Project 4 Site 1 - 27 Clagh Vane Ballasalla Isle Of Man IM9 2EU,Department Application Approved
Erection of decking and shelter in rear garden and fencing in front garden (Retrospective),Permitted,30-May-12,Planning Committee,18-Jun-12,12-Sep-12,12/00540/B,6 Coronation Court Ramsey Isle Of Man IM8 3EF,Approved at Appeal
"Environmental improvements including new road, parking facilities, enhanced paving surfaces, upgraded boundary fencing and improvements to communal areas",Permitted,20-Nov-12,Department Application,23-Apr-12,15-Nov-12,12/00570/B,"Kerroo Coar, Glen Faba, Roxwell Terrace, North View,  St Germans Place, Heathfield Drive, West View And Boilley Spittal  Peel",Department Application Approved
Approval in principle for erection of two dwellings,Refused,29-May-12,Head of Development Management,19-Jun-12,11-Oct-12,12/00579/A,Field 534183 Clypse Onchan Isle Of Man  ,Refused at Appeal
"Conversion of former vehicle showroom and workshop into a childrens play facility with cafe  ",Refused,21-Aug-12,Planning Committee,23-Aug-12,17-Dec-12,12/00581/B,S & S Motors Milner Terrace/Alexandra Road  Castletown Isle Of Man,Approved at Appeal
"Creation of a temporary access track and erection of a temporary general purpose agricultural building to house garden maintenance machinery, vehicles and helicopter",Refused,12-Jun-12,Planning Committee,15-Jun-12,23-Jul-12,12/00582/B,Cronk Breck Bernahara Road Andreas Isle Of Man IM7 3HH ,Appeal Withdrawn
Installation of replacement windows and door to front elevation,Refused,31-May-12,Senior Planning Officer - North (CB),20-Jun-12,11-Oct-12,12/00585/B,8 The Crofts Castletown Isle Of Man IM9 1LW,Refused at Appeal
Additional use of office space above garage as tourist living accommodation,Refused,07-Jun-12,Senior Planning Officer - North (CB),19-Jun-12,22-Oct-12,12/00619/C,Fo-Glion Glen Rushen Road Glen Maye Isle Of Man IM5 3BA,Refused at Appeal
Approval in principle for the replacement of existing farm buildings with new farm buildings and agricultural workers accommodation,Refused,07-Jun-12,Senior Planning Officer - North (CB),21-Jun-12,22-Oct-12,12/00626/A,Laurel Bank Farm Glen Helen Road Laurel Bank St Johns Isle Of Man IM4 3NJ,Refused at Appeal
Erection of a maximum of one plotting / tool shed on each allotment and alteration to existing entrance gateway (retrospective),Permitted,12-Jul-12,Planning Committee,01-Aug-12,16-Aug-12,12/00636/B,Field 134249 Garey Road Garey Ramsey Isle Of Man  ,Appeal Withdrawn
Approval in principle for erection of dwelling and garage,Refused,15-Jun-12,Senior Planning Officer - North (CB),01-Jul-12,31-Oct-12,12/00643/A,Field 514231 Court Farm  Main Road Santon Isle Of Man  ,Approved at Appeal
"Alterations including creation of a chimney, steps alteration, retention of secondary driveway and access and creation of gate pillars to approved entrance (retrospective)",Permitted,04-Jul-12,Senior Planning Officer - North (CB),16-Jul-12,10-Sep-12,12/00649/B,Kinsale Dalby Isle Of Man IM5 3BR ,Appeal Withdrawn
"Construction of 38 sheltered housing apartments and ancillary accommodation, parking and public open space",Permitted,04-Oct-12,Department Application,11-May-12,04-Oct-12,12/00664/B,Phase 10 Heather Crescent Douglas Isle Of Man IM2 1AX,Department Application Approved
Erection of a replacement garage,Permitted,18-Jun-12,Senior Planning Officer - North (CB),09-Jul-12,31-Oct-12,12/00675/B,Thie Vane Truggan Road Port St. Mary Isle Of Man IM9 5AX,Approved at Appeal
Regeneration works to highway,Permitted,07-Aug-12,Department Application,11-May-12,02-Aug-12,12/00679/B,Douglas Regeneration Phase One Junction Of Victoria Street And Duke Street Douglas Isle Of Man  ,Department Application Approved
Erection of an animal shelter,Refused,21-Aug-12,Planning Committee,31-Aug-12,17-Dec-12,12/00688/B,Field 434756 (Formally 660) Ballamodha Straight Ballamodha Ballasalla Isle Of Man  ,Refused at Appeal
Erection of a storage shed,Refused,07-Aug-12,Planning Committee,24-Aug-12,31-Oct-12,12/00693/B,Ballamodha Break Pressure Tank Ballamodha Straight Ballamodha Ballasalla Isle Of Man  ,Refused at Appeal
 Conversion of former piggery to form two dwellings with associated car parking,Refused,21-Aug-12,Planning Committee,30-Aug-12,14-Dec-12,12/00733/B,The Piggery Slegaby  Little Mill Road Onchan Isle Of Man  ,Refused at Appeal
Alterations and erection of a two storey extension to dwelling,Refused,02-Jul-12,Senior Planning Officer - South (SC),09-Jul-12,30-Oct-12,12/00747/B,16 Cherry Walk Douglas Isle Of Man IM2 5NN,Refused at Appeal
Alterations and erection of a first floor dormer extension to dwelling,Permitted,03-Jul-12,Senior Planning Officer - North (CB),11-Jul-12,31-Oct-12,12/00750/B,Greenacres 8 Ballakneale Close Port Erin Isle Of Man IM9 6NE,Refused at appeal
Creation of wheelchair access in section of rear boundary wall,Refused,22-Aug-12,Head of Development Management,07-Sep-12,10-Jan-12,12/00763/B,1 Gretch Noa Laxey Isle Of Man IM4 7PF,Refused at Appeal
Conversion of dwelling into three apartments with parking,Permitted,16-Jul-12,Senior Planning Officer - South (SC),06-Aug-12,31-Oct-12,12/00764/B,8 Kingswood Grove Douglas Isle Of Man IM1 3LX,Approved at Appeal
Erection of advertising signage,Refused,12-Jul-12,Senior Planning Officer - North (CB),26-Jul-12,31-Oct-12,12/00804/D,Motors & Mowers Station Road Kirk Michael Isle Of Man IM6 1AE,Refused at Appeal
Erection of an industrial vehicle storage / workshop unit,Permitted,31-Jul-12,Senior Planning Officer - North (CB),15-Aug-12,24-Aug-12,12/00809/B,Industrial Plot Close Chiarn Peel Isle Of Man  ,Appeal Withdrawn
Demolition of existing dwelling and the erection of a replacement dwelling,Refused,02-Oct-12,Planning Committee,08-Oct-12,18-Dec-12,12/00832/B,Cronk Ny Killey Dreemskerry Ramsey Isle Of Man IM7 1AX ,Refused at Appeal
Conversion from an art gallery to a coffee shop,Permitted,25-Jul-12,Senior Planning Officer - North (CB),27-Jul-12,09-Aug-12,12/00860/B,14 Parliament Street Ramsey Isle Of Man IM8 1AP ,Appeal Withdrawn
Erection of an extension to dwelling,Permitted,15-Oct-12,Senior Planning Officer - South (SC),05-Nov-12,29-Nov-12,12/00865/B,25 Falcon Cliff Court Douglas Isle Of Man IM2 4AH,Appeal Withdrawn
"Variation of condition 4 of approved PA 10/00544/B, residential development of 101 dwellings with associated highway and drainage works, public open space and landscaping (re-advertised to correct administrative matters)",Permitted,02-Oct-12,Department Application,26-Jun-12,27-Sep-12,12/00914/C,"Field 311825 And Parts Of Fields 315097, 311826, 311827 & 314444 Between Derby Road / Poortown Road & QE2 High School And East Of Reayrt Ny Keylley Peel Isle Of Man  ",Department Application Approved
Erection of a replacement stable and store,Permitted,08-Aug-12,Senior Planning Officer - North (CB),24-Aug-12,17-Dec-12,12/00921/B,Glenmoar Farm Corlea Road Ballasalla Isle Of Man IM9 3BA,Approved at Appeal
Erection of an animal shed / food store,Refused,01-Aug-12,Senior Planning Officer - South (SC),15-Aug-12,31-Oct-12,12/00925/B,Winterbrook Cottage Ballaragh Road Laxey Isle Of Man IM4 7PG,Refused at Appeal
Erection of a detached general storage building,Refused,13-Aug-12,Senior Planning Officer - South (SC),22-Aug-12,31-Oct-12,12/00928/B,Elmville Main Road Ballaugh Isle Of Man IM7 5EB,Refused at Appeal
Alterations and erection of extensions to dwelling,Refused,28-Sep-12,Senior Planning Officer - South (SC),04-Oct-12,18-Dec-12,12/00935/B,Ballafayle Farm Cranstal Bride Isle Of Man IM7 4BP ,Refused at Appeal
Erection of a dwelling,Permitted,14-Aug-12,Senior Planning Officer - South (SC),04-Sep-12,18-Dec-12,12/00950/B,Land At Cronk Liauyr Douglas Isle Of Man  ,Approved at Appeal
Erection of detached garage with store/gymnasium over,Refused,15-Oct-12,Senior Planning Officer - South (SC),25-Oct-12,18-Dec-12,12/00958/B,Valley Crest Main Road Santon Isle Of Man IM4 1EJ,Refused at Appeal
"Alterations, extension and conversion of existing dwelling into three apartments and creation of vehicular access and parking spaces in rear yard",Refused,14-Aug-12,Senior Planning Officer - South (SC),04-Sep-12,17-Dec-12,12/00962/B,26 Castlemona Avenue Douglas Isle Of Man IM2 4EQ,Refused at Appeal
Extension of domestic curtilage,Refused,14-Sep-12,Planning Committee,01-Oct-12,18-Dec-12,12/00999/C,Field 433155 Adjacent To Curlew Cottage Scarlett Castletown Isle Of Man  ,Approved at Appeal
Conversion of existing retail shop to a takeaway and installation of extraction unit to rear elevation,Refused,02-Oct-12,Planning Committee,17-Oct-12,26-Nov-12,12/01005/B,1 Station Road Port Erin Isle Of Man IM9 6AE,Appeal Withdrawn
Roofing works,Permitted,04-Oct-12,Department Application,17-Jul-12,04-Oct-12,12/01007/B,Government Offices Old Hanover Street School Lord Street Douglas Isle Of Man IM1 1LE ,Department Application Approved
Removal of top outlet and re-cladding of industrial unit,Permitted,30-Oct-12,Department Application,12-Jul-12,25-Oct-12,12/01010/B,Unit 244 Jurby Industrial Estate Jurby Isle Of Man IM7 3BD ,Department Application Approved
Installation of wrought iron gates to replace existing gates,Permitted,06-Sep-12,Head of Development Management,25-Sep-12,18-Dec-12,12/01011/B,15A Factory Lane Peel Isle Of Man IM5 1NA,Approved at Appeal
Erection of a replacement dwelling (comprising amendments to PA 12/00563/B),Refused,19-Sep-12,Planning Committee,18-Sep-12,18-Dec-12,12/01028/B,Field 134924 Lower Glentramman Farm  Garey Road Garey Ramsey Isle Of Man  ,Approved at Appeal
Erection of a timber bmx ramp (Retrospective),Permitted,21-Sep-12,Planning Committee,11-Oct-12,18-Dec-12,12/01033/B,Queig 5 Faaie-Ny-Cabbal Kirk Michael Isle Of Man IM6 2HS,Approved at Appeal
Erection of a roof extension to side elevation and installation of dormer to rear elevation,Refused,07-Sep-12,Senior Planning Officer - South (SC),28-Sep-12,18-Dec-12,12/01066/B,12 Sunningdale Drive Onchan Isle Of Man IM3 1EQ,Refused at Appeal
Alterations and extensions to dwelling to form ancillary living accommodation and widening of driveway and vehicular access,Refused,20-Sep-12,Senior Planning Officer - North (CB),03-Oct-12,18-Dec-12,12/01068/B,Amberwell Surby Road Surby Port Erin Isle Of Man IM9 6TA,Refused at Appeal
"Re-development of existing coach park including creation of three coach parking bays, manoeuvring/drop off area, waiting area, paving, seating and lighting",Permitted,03-Nov-12,Department Application,02-Aug-12,01-Nov-12,12/01071/B,Coach Park Mines Road Laxey Isle Of Man  ,Department Application Approved
Alterations and replacement entrance conservatory,Permitted,25-Oct-12,Department Application,15-Aug-12,25-Oct-12,12/01136/B,Pre-School Assessment Centre  Pulrose Road Douglas Isle Of Man IM2 1AT,Department Application Approved
Erection of an extension to front elevation,Permitted,03-Oct-12,Senior Planning Officer - North (CB),12-Oct-12,26-Oct-12,12/01171/B,1 Queens Court Queens Road Port St. Mary Isle Of Man IM9 5EU ,Approved at Appeal
Creation of outside seating area,Permitted,24-Dec-12,Department Application,03-Sep-12,20-Dec-12,12/01209/C,Artisan  28 Victoria Street Douglas Isle Of Man IM1 2LE,Department Application Approved
Installation of demarkation barriers with signage,Permitted,24-Dec-12,Department Application,04-Sep-12,20-Dec-12,12/01210/D,Artisan  28 Victoria Street Douglas Isle Of Man IM1 2LE,Department Application Approved
"Alterations including re-surfacing works and installation of seating, lighting bollards and gullies to connect to existing drainage",Permitted,20-Nov-12,Department Application,07-Sep-12,15-Nov-12,12/01243/B,Georges Lane Castletown Isle Of Man  ,Department Application Approved
Erection of a building to create a joiners workshop,Permitted,21-Nov-12,Department Application,11-Sep-12,15-Nov-12,12/01262/B,Development Area C Jurby Industrial Estate Jurby Isle Of Man  ,Department Application Approved
Widening of carriageway and relocation of pavement and wall,Permitted,24-Dec-12,Department Application,01-Oct-12,20-Dec-12,12/01313/B,Southern Corner Of Pulrose Road And Peel Road Douglas Isle Of Man  ,Department Application Approved
Douglas Promenade improvements Phase 1,Permitted,24-Dec-12,Department Application,03-Oct-12,20-Dec-12,12/01327/B,Sea Terminal Building To Royal Bank Of Scotland Buildings Loch Promenade Douglas Isle Of Man  ,Department Application Approved
Registered Building Consent for re-location of clock (RB no196 in association with 12/01327/B),Permitted,24-Dec-12,Department Application,15-Oct-12,20-Dec-12,12/01376/CON,Jubilee Clock Victoria Street Douglas Isle Of Man  ,Department Application Approved
"Re-construction of the highway and footpaths, drainage, services, street lighting ,street furniture and signage",Permitted,23-May-14,Department Application,06-Jan-14,15-May-12,14/00003/B,Section Of Derby Road From Junction Of Mona Street  And Atholl Place  Peel Isle Of Man  ,Department Application Approved
