PA Ref,ADDRESS,PROPOSAL,Decision issued,Determining Body,Decision
15/00120/A,"Car Park, Coastguard Store & Whitestones Maine Road Port Erin Isle Of Man  ",Approval in principle for the demolition of existing property and store and erection of six dwellings addressing siting,19-May-15,Planning Committee,Permitted
15/00121/B,Keeilley Halt Walpole Drive Ramsey Isle Of Man IM8 1LX ,Creation of two windows from an existing window to dwelling,17-Mar-15,Director Delegation,Permitted
15/00122/B,Heatherland 58 Majestic Drive Onchan Isle Of Man IM3 2JL,Creation of two windows and provision of ancillary living accommodation to dwelling,17-Mar-15,Director Delegation,Permitted
15/00123/B,Whiteleas Main Road Kirk Michael Isle Of Man IM6 2HG,Installation of replacement windows and doors,17-Mar-15,Director Delegation,Permitted
15/00124/B,Meary Voar Arragon Santon Isle Of Man IM4 1HJ ,"Demolition of existing outbuilding and erection of a building housing swimming pool, gym, spa, staff and office accommodation",11-Sep-15,Department Application,Permitted
15/00125/B,St Pauls Square Bookshop Unit 2-3 Church Walk St Pauls Square Ramsey Isle Of Man IM8 1LA ,Conversion of part of existing premises to provide coffee bar with provision for serving hot food,27-Apr-15,Head of Development Management,Permitted
15/00126/B,Field 434022 Land Behind Derbyhaven House Derbyhaven Isle Of Man  ,Erection of a detached dwelling with integral garage,08-May-15,Planning Committee,Permitted
15/00127/B,Land At Maybank The Crescent Baldrine Isle Of Man IM4 6DY ,Erection of a dwelling with integral garage,12-May-15,Head of Development Management,Permitted
15/00128/C,Tromode House Ballafletcher Road Cronkbourne Douglas Isle Of Man IM4 4QE,Change of use of existing residential care hostel to a residential and resettlement centre together with offices and welfare facilities for the Probation Service,19-May-15,Planning Committee,Permitted
15/00129/B,7 Rosedene Avenue Onchan Isle Of Man IM3 3HF ,"Alterations, erection of extension and dormer to dwelling and widening of vehicular access and driveway",18-Mar-15,Head of Development Management,Permitted
15/00130/B,43 New Road Laxey Isle Of Man IM4 7BQ,Conversion of ground floor shop to residential accommodation alterations to rear garage and installation of replacement windows and door,26-Mar-15,Director Delegation,Permitted
15/00131/B,29 Larivane Meadows Andreas Isle Of Man IM7 4JF ,Alterations and erection of extension to dwelling,17-Mar-15,Director Delegation,Permitted
15/00132/B,52 Lhon Vane Close Onchan Isle Of Man IM3 3BA,Alterations and two storey extension to rear elevation of dwelling,10-Apr-15,Director Delegation,Permitted
15/00133/B,Shearwater Fort Island Road Derbyhaven Isle Of Man IM9 1TZ,Alterations and erection of a two storey extension to front and rear elevations of dwelling,17-Mar-15,Director Delegation,Permitted
15/00134/B,28 Droghadfayle Park Port Erin Isle Of Man IM9 6EP,External window and door alterations,10-Mar-15,Head of Development Management,Permitted
15/00135/B,Field 134337 Ballamanaugh Farm Main Road Sulby Isle Of Man  ,Erection of a Feed Bin,10-Mar-15,Head of Development Management,Permitted
15/00136/B,Vehicle Entrance Laxey Glen New Road Laxey Isle Of Man  ,Widening of vehicular entrance to glen,17-Mar-15,Director Delegation,Permitted
15/00137/B,Ports Of Call Bay View Road Port St. Mary Isle Of Man IM9 5AE ,"Change of use of part of first floor office suite into a self contained apartment, external alterations including replacement of air handling plant serving kitchen",18-Mar-15,Head of Development Management,Permitted
15/00138/B,38 Woodburn Square Douglas Isle Of Man IM1 4DD ,Installation of replacement windows and doors,17-Mar-15,Director Delegation,Permitted
15/00139/B,Eairy Kellag Eairy Jora Lane Garth Crosby Isle Of Man IM4 2HF,Alterations and erection of extension to dwelling,17-Mar-15,Director Delegation,Permitted
15/00140/B,26 Duke Street Douglas Isle Of Man IM1 2AY,Removal of parapet wall to rear of property and re-rendering all rear elevation walls (in association with 15/00141/CON),17-Mar-15,Director Delegation,Permitted
15/00141/CON,26 Duke Street Douglas Isle Of Man IM1 2AY,Registered Building Consent for removal of parapet wall to rear of property (in association with 14/00140/B),17-Mar-15,Director Delegation,Permitted
15/00142/B,19 Peel Road Douglas Isle Of Man IM1 4LS,Installation of ten roof lights to rear elevation,24-Apr-15,Head of Development Management,Permitted
15/00143/B,Green Looms Croit E Caley Colby Isle Of Man IM9 4AP ,Replacement of existing glazed conservatory roof with light weight roof tiles,10-Mar-15,Head of Development Management,Permitted
15/00144/B,16 Ivydene Avenue Onchan Isle Of Man IM3 3HD,Replacement of existing glazed conservatory roof with light weight roof tiles,10-Mar-15,Head of Development Management,Permitted
15/00146/C,Ground Floor Court Row Chambers Court Row Ramsey Isle Of Man IM8 1AA ,Change of use of room currently designated as restaurant to delicatessen in addition to present restaurant activities,24-Mar-15,Director Delegation,Permitted
15/00147/B,Sandygate House Clenagh Road Sandygate Ramsey Isle Of Man IM7 3AF,Erection of a replacement dwelling (comprising amendments to PA 14/01084/B),26-Mar-15,Director Delegation,Permitted
15/00148/B,Waters-Edge Kewaigue Douglas Isle Of Man IM4 1AF ,Removal of existing conservatory and erection of replacement sun room over existing footprint,17-Mar-15,Director Delegation,Permitted
15/00149/GB,Stanley House Castle Street Castletown Isle Of Man IM9 1LF,Provision of staircase and alterations to form extension to restaurant (in association with PA 15/00150/CON),02-Apr-15,Director Delegation,Permitted
15/00150/CON,Stanley House Castle Street Castletown Isle Of Man IM9 1LF,Registered Building Consent for provision of staircase and alterations to form extension to restaurant (RB no 66 in association with PA 15/00149/GB),02-Apr-15,Director Delegation,Permitted
15/00151/B,Mooragh Park Cafe Mooragh Park Ramsey Isle Of Man IM8 3AP,Replacement of existing roof glazing with roof tile and installation of six roof lights,25-Mar-15,Director Delegation,Permitted
15/00152/B,1 Southview Queens Promenade Douglas Isle Of Man IM2 4NP ,"Re-instatement of pitched roof over existing bay window (retrospective) installation of glazed balcony, door and replacement windows to front elevation",26-Mar-15,Director Delegation,Refused
15/00153/B,The Nook Lower Foxdale Isle Of Man IM4 3BD ,Replacement of existing window with doorway and erection of a raised decking platform to rear elevation,25-Mar-15,Director Delegation,Permitted
15/00154/B,Ken Quines  15 Station Road Port Erin Isle Of Man IM9 6AE ,Installation of replacement shop front and  replacement windows to front elevation (comprising amendment to PA 13/91115/B),17-Mar-15,Director Delegation,Permitted
15/00155/C,15 Hutchinson Square Douglas Isle Of Man IM2 4HT,Change of use of flats from tourism to residential,25-Mar-15,Director Delegation,Refused
15/00156/C,The Old Market House Balthane Road Balthane Ballasalla Isle Of Man IM9 2AF,Change of use of two rooms of existing office accommodation to hairdressing salon with complementary beauty and health therapies,22-Apr-15,Planning Committee,Permitted
15/00157/B,19 Close Quane Peel Isle Of Man IM5 1PZ,Replacement of existing glazed conservatory roof with light weight roof tiles,17-Mar-15,Director Delegation,Permitted
15/00158/B,2 Farmhill Drive Douglas Isle Of Man IM2 2EQ,Replacement of existing glazed conservatory roof with light weight roof tiles,25-Mar-15,Director Delegation,Permitted
15/00159/B,3 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HU,Replacement of existing glazed conservatory roof with roof tiles,25-Mar-15,Director Delegation,Permitted
15/00160/B,Field 214380 Upper Ballacrye Sandygate Ramsey Isle Of Man  ,Erection of an agricultural storage building with field access and hard-standing,30-Mar-15,Director Delegation,Refused
15/00161/B,Westbourne House Walpole Road Peel Isle Of Man IM5 1PE,Alterations to dwelling including erection of a raised deck area and extension of storage area below,08-Jun-15,Withdrawn,Application Withdrawn
15/00162/B,Parcel Of Land At Mull House Baymount Port Erin Isle Of Man  ,Erection of a dwelling with integral garage (comprising amendments to PA 13/00679/B),17-Mar-15,Director Delegation,Permitted
15/00163/B,Part Field 110275 Ballamoar Farmhouse Cranstal Bride Isle Of Man IM7 4BP ,"Erection of an animal shelter with food/bedding, vehicle and equipment store",13-May-15,Director Delegation,Permitted
15/00164/B,Garage 32 Derby Square Douglas Isle Of Man IM1 3LW ,Conversion of existing garage and store to office accommodation and installation of new garage door,12-Aug-15,Withdrawn,Application Withdrawn
15/00165/C,Unit 3   87 Parliament Street Ramsey Isle Of Man IM8 1AQ,Change of use from an office to a retail unit,25-Mar-15,Director Delegation,Permitted
15/00166/B,Stables Ballaclucas Farm Top Road Crosby Isle Of Man  ,"Erection of an equestrian building to provide an indoor riding school, stables and feed, tack and equipment store with associated car parking",15-Jul-15,Planning Committee,Permitted
15/00168/B,New Farmhouse Mylvoirrey Glen Road Ballaugh Isle Of Man IM7 5JD ,Erection of single storey extension to dwelling,25-Mar-15,Director Delegation,Permitted
15/00169/B,40 Ballatessan Meadow Peel Isle Of Man IM5 1DU ,Erection of a sun lounge extension to replace existing conservatory,25-Mar-15,Director Delegation,Permitted
15/00170/B,Private Road Between Cottages 21-26 & 27-30 Groudle Glen Cottages Groudle Old Road Onchan Isle Of Man  ,"Alterations to existing road to provide turning area, improve existing parking spaces and provide additional parking spaces and passing place",17-Mar-15,Director Delegation,Permitted
15/00171/B,Garage To Rear Of  6 The Maples Woodbourne Road Douglas Isle Of Man IM2 3AW ,Installation of single garage door to replace existing two garage doors and creation of rear doorway,25-Mar-15,Director Delegation,Permitted
15/00172/B,Field 534102 & 534103 Hillberry Onchan Isle Of Man  ,"Creation of woodland centenary park incorporating a nature trail, memorial garden, ponds, tree planting and implement shed",24-Apr-15,Head of Development Management,Permitted
15/00173/B,Melrose Four Roads Port St. Mary Isle Of Man IM9 5LQ,Removal of a chimney stack,25-Mar-15,Director Delegation,Permitted
15/00174/B,Rose Cottage Lhergy Cripperty Union Mills Isle Of Man IM4 4NF,Erection of a replacement dwelling with associated landscaping and parking,30-Mar-15,Director Delegation,Permitted
15/00175/B,Rose Cottage Lhergy Cripperty Union Mills Isle Of Man IM4 4NF,Erection of a detached dwelling with associated landscaping and parking,30-Mar-15,Director Delegation,Permitted
15/00176/B,Greenhill Communications Centre Isle Of Man Business Park Douglas Isle Of Man IM2 2QZ,Erection of temporary office accommodation,30-Mar-15,Director Delegation,Permitted
15/00177/B,Arts And Crafts Block King Williams College  Castletown Isle Of Man IM9 1TP,Erection of a storm porch,28-Apr-15,Head of Development Management,Permitted
15/00178/GB,Isle Of Man Bank & Trustee Savings Bank The Parade Castletown Isle Of Man IM9 1LG,15/00286Installation of external lighting (In association with 15/00179/CON),08-Jun-15,Department Application,Permitted
15/00179/CON,Isle Of Man Bank & Trustees Savings Bank The Parade Castletown Isle Of Man IM9 1LG,Registered Building consent for the installation of external lighting (In association with 15/00178/GB) Registered Buildings Nos. 39 & 40,08-Jun-15,Department Application,Permitted
15/00180/B,Field 430242 Corlea Farm  Corlea Road Ballasalla Isle Of Man  ,Construction of new vehicular access to serve dwelling approved under PA 14/01385/REM,22-Apr-15,Planning Committee,Permitted
15/00181/B,8 The Laurels Douglas Isle Of Man IM2 7DN,Replacement of existing glazed conservatory roof with light weight roof tiles,25-Mar-15,Director Delegation,Permitted
15/00182/B,18 Cannan Avenue Kirk Michael Isle Of Man IM6 1HF,Conversion of existing integral garage to living accommodation and erection of a detached garage,30-Mar-15,Withdrawn,Application Withdrawn
15/00183/B,Honey Fall Barroose Road Baldrine Isle Of Man IM4 6AP,Erection of extension to rear elevation,30-Mar-15,Director Delegation,Permitted
15/00184/B,Lhergy Moar Farm Eairy Isle Of Man IM4 3HX ,Erection of a sun lounge extension to replace existing conservatory,25-Mar-15,Director Delegation,Permitted
15/00185/B,Glentruan Cottage Lhen Road Bride Isle Of Man IM7 4BG,Demolition of existing detached garage and erection of single storey building to be used for cookery courses,05-May-15,Planning Committee,Permitted
15/00186/B,"Plot 71, 72 ,73  & 89 To 102 Residential Development Under Construction  Land At Ballakilley Church Road Port St. Mary Isle Of Man  ",Erection of 24 dwellings (comprising amendments to approved  PA 13/00777/B),24-Feb-15,Withdrawn,Application Withdrawn
15/00187/B,Harbour House Tent Road Laxey Isle Of Man IM4 7DB,Alterations and erection of a dormer extension and ground floor extension to rear elevation of dwelling,30-Mar-15,Senior Planning Officer - South (SC),Permitted
15/00188/B,Site  At Junction With Glen Chass Road And Howe Road Rushen Isle Of Man  ,Erection of a detached dwelling,01-Jun-15,Planning Committee,Permitted
15/00189/B,"Plots 74, 75, 76A & 76B  Cronk Cullyn Colby Isle Of Man  ",Erection of four detached dwellings (comprising amendments to PA 13/91392/B),25-Mar-15,Director Delegation,Permitted
15/00190/B,16 Wesley Terrace Douglas Isle Of Man IM1 3HF,Installation of a replacement front door,25-Mar-15,Director Delegation,Permitted
15/00191/B,30 Droghadfayle Road Port Erin Isle Of Man IM9 6EN,Erection of an extension to front elevation of dwelling,25-Mar-15,Director Delegation,Permitted
15/00192/B,Grest Home Andreas Road Ramsey Isle Of Man IM7 4EA,Erection of a sun room extension and ramped approach to porch,30-Mar-15,Director Delegation,Permitted
15/00193/B,"Struan Barrule Intake, South Barrule Plantation Shoulder Road Foxdale Isle Of Man  ",Engineering works to remove water intake structures,26-Mar-15,Director Delegation,Permitted
15/00194/B,Flat 8  Athol Buildings Derby Road Peel Isle Of Man IM5 1HH,Installation of replacement windows,30-Mar-15,Director Delegation,Permitted
15/00195/B,Nautical Museum Bridge Street Castletown Isle Of Man  ,Alterations including replacement of existing entrance doors and screen with double doors and replacement of an existing roof light,26-Mar-15,Director Delegation,Permitted
15/00196/B,Methodist Sunday School Glen Road Laxey Isle Of Man IM4 7AQ,Demolition of existing building and erection of a pair of semi-detached dwellings with parking,26-Jun-15,Head of Development Management,Refused
15/00197/C,Shop  Balmoral Buildings  Promenade Port Erin Isle Of Man IM9 6AG,Change of use of existing retail shop to an estate agency,26-Mar-15,Director Delegation,Permitted
15/00198/B,Field 521919 Land Adjacent To Eden Park  Cooil Road Cooil Douglas Isle Of Man  ,Variation of condition 10 of approved industrial development (PA 11/01232/B) to allow for research and development uses,05-May-15,Planning Committee,Permitted
15/00199/B,Glentramman Cottage Glen Tramman Ramsey Isle Of Man IM7 2AR ,Conversion of detached stone store building to a kitchen for operation of a catering business and installation of glazing units to replace existing openings,05-May-15,Planning Committee,Permitted
15/00200/B,Meary Veg Sewage Treatment Works Balnahowe Santon Isle Of Man IM4 1HL ,Erection of a detached substation,26-Mar-15,Director Delegation,Permitted
15/00201/B,Victoria House 6 The Promenade Castletown Isle Of Man IM9 1BJ ,Erection of a first floor extension over existing garage to provide additional living accommodation,26-Mar-15,Director Delegation,Permitted
15/00202/B,Viking House Mooragh Promenade Ramsey Isle Of Man IM8 3AG,Removal of chimney stack to rear elevation,07-Apr-15,Head of Development Management,Permitted
15/00203/B,1 Meadowbrook Gardens Douglas Isle Of Man IM2 2NT,Widening of existing driveway and vehicular access,07-Apr-15,Head of Development Management,Permitted
15/00204/B,Holiday Cottage Primrose Lodge Slieau Lewaigue Lewaigue Ramsey Isle Of Man IM7 1BH ,Installation of three roof lights,07-Apr-15,Head of Development Management,Permitted
15/00205/B,Land Opposite Ballachree Cottage Churchtown Ramsey Isle Of Man  ,Variation of condition one of approved PA 10/00133/REM (erection of a dwelling) to extend period of permission,21-Sep-15,Withdrawn,Application Withdrawn
15/00206/B,9 Woodburn Square Douglas Isle Of Man IM1 4DB ,Installation of replacement window to rear elevation,07-Apr-15,Head of Development Management,Permitted
15/00207/B,Hollywood Cottage Glen Road Laxey Isle Of Man IM4 7AP,Installation of replacement windows to front and rear elevations,22-Jul-15,Director Delegation,Permitted
15/00208/B,Stanley House Baldhoon Road Laxey Isle Of Man IM4 7QG,Demolition of existing conservatory and erection of an extension to dwelling,07-Apr-15,Head of Development Management,Permitted
15/00209/B,The Swan Public House Lezayre Road Ramsey Isle Of Man IM8 2LN,"Annual erection of temporary scaffolding viewing platform for spectators during the TT and MGP Races, over stream between road and public house",27-May-15,Department Application,Permitted
15/00210/B,41 Ballagarey Road Glen Vine Isle Of Man IM4 4EF,Alterations and extensions to dwelling and creation of additional vehicular access,07-Apr-15,Head of Development Management,Permitted
15/00211/B,"Plot 71-73, 89-93, 101 & 102 Residential Estate Under Construction    Land At Ballakilley Church Road Port Erin Isle Of Man  ",Erection of 16 dwellings (amendment to PA 13/00777/B),25-Aug-15,Planning Committee,Permitted
15/00212/B,Plots 94-100 Residential Estate Under Construction  Land At Ballakilley   Port Erin Isle Of Man ,Erection of 8 dwellings (amendment to PA 13/00777/B),25-Aug-15,Planning Committee,Permitted
15/00214/B,Plot 9 McLeod's Field Mcleods Field Peel Isle Of Man IM5 1UX ,Widening of vehicular access and paved hard standing to form additional parking space,28-Apr-15,Head of Development Management,Permitted
15/00215/B,Ballagorry Beg Glen Mona Ramsey Isle Of Man IM7 1HF ,Alterations to roof to provide additional living accommodation to dwelling,15-Jun-15,Planning Committee,Permitted
15/00216/B,14 Springfield Rise Foxdale Isle Of Man IM4 3JX ,Erection of a first floor extension over garage,10-Apr-15,Director Delegation,Permitted
15/00217/B,18 Ballanoa Meadow Santon Isle Of Man IM4 1HQ,Erection of a first floor extension over garage and extension to driveway,10-Apr-15,Director Delegation,Permitted
15/00218/C,29 McLeods Field Peel Isle Of Man IM5 1UX ,Additional use of residential dwelling as tourist accommodation,13-Apr-15,Director Delegation,Permitted
15/00219/B,2 Windsor Terrace Douglas Isle Of Man IM1 3LU ,Creation of roof deck balcony/terrace to rear elevation,30-Mar-15,Director Delegation,Permitted
15/00220/B,The Abbey Restaurant  Rushen Abbey Ballasalla Isle Of Man IM9 3DB ,Construction of a timber lean-to extension to rear elevation (retrospective),07-Apr-15,Head of Development Management,Permitted
15/00221/B,Ard-Ny-Shee 3 Viking Close Ballakillowey Colby Isle Of Man IM9 4BH,Erection of an extension to dwelling,10-Apr-15,Director Delegation,Permitted
15/00222/A,Land At Montreux Court Douglas Isle Of Man  ,Approval in principle for erection of two detached dwellings with new vehicle access addressing siting and means of access,07-Apr-15,Head of Development Management,Permitted
15/00223/D,1 Quines Corner Douglas Isle Of Man IM1 4LF ,Erection of non-illuminated signage,28-Apr-15,Head of Development Management,Permitted
15/00224/A,Field 321270 Glen Vine Park  Glen Vine Isle Of Man  ,Approval in principle for erection of two dwellings addressing siting and means of access,18-Jun-15,Director Delegation,Permitted
15/00225/B,QEII High School Douglas Road Peel Isle Of Man IM5 1RD ,Erection of fencing and gates,28-Apr-15,Head of Development Management,Permitted
15/00226/B,Field 315109 Peel Road St Johns Isle Of Man  ,Erection of a timber shed to be used for beekeeping purposes,02-Apr-15,Director Delegation,Permitted
15/00227/B,Part Of Field 234366 Cammall Farm Douglas Road Kirk Michael Isle Of Man  ,Creation of a TETRA radio site comprising of a 12.2 metre mast accommodating two antennas and associated equipment cabinet,07-Apr-15,Head of Development Management,Permitted
15/00228/B,26 Ballaterson Fields Ballaugh Isle Of Man IM7 5AW,"Alterations, replacement of existing garage door with a window, erection of a garage extension and porch to dwelling",07-Apr-15,Head of Development Management,Permitted
15/00229/B,Whitebridge St Georges Crescent Port Erin Isle Of Man IM9 6HR,Removal of chimney stack,27-Apr-15,Head of Development Management,Permitted
15/00230/B,40 Queen Street Castletown Isle Of Man IM9 1NZ,Erection of extension to rear elevation,02-Apr-15,Director Delegation,Permitted
15/00231/B,59 Cronk Ny Greiney Douglas Isle Of Man IM2 5LH,Installation of roof dormers to provide additional living accommodation,13-Apr-15,Director Delegation,Refused
15/00232/B,19 - 20 St Georges Street Douglas Isle Of Man,Creation of a temporary car park,07-Apr-15,Head of Development Management,Permitted
15/00233/B,Pear Tree Cottage 54 Mill Street Castletown Isle Of Man IM9 1AH,Erection of a replacement conservatory to rear elevation,13-Apr-15,Director Delegation,Permitted
15/00234/B,Strathcona Ballakillowey Road Colby Isle Of Man IM9 4BN,Erection of a conservatory to front elevation of dwelling,07-Apr-15,Head of Development Management,Refused
15/00235/B,Builder's Yard Corner Of Maine Road & Maine Avenue Port Erin Isle Of Man IM9 6LG,Erection of a dwelling to replace existing building,05-May-15,Planning Committee,Permitted
15/00236/B,Corrin Memorial Home Albany Road Peel Isle Of Man IM5 1HR,External alterations including window and door alterations,12-May-15,Director Delegation,Permitted
15/00237/D,Entrance To Snugborough Trading Estate Union Mills Isle Of Man IM4 4LH ,Erection of non-illuminated signage,07-Apr-15,Head of Development Management,Refused
15/00238/B,23 Balleigh Mews Ramsey Isle Of Man IM8 3NW,Erection of an extension to dwelling,07-Apr-15,Head of Development Management,Permitted
15/00239/B,"Plot 61 (Slieau Whallian View) Field 311826,   Between Poortown Road & QE2 High School East Of Reayrt Ny Cronk  Peel Isle Of Man  ",Erection of a dwelling (comprising amendments to dwelling approved under PA 13/91289/B),13-Apr-15,Director Delegation,Permitted
15/00240/B,Murdoch House  Showroom Warehouse & Premises North Shore Road Ramsey Isle Of Man IM8 3DY,Extension to building to provide three apartments including associated parking,30-Jul-15,Planning Committee,Permitted
15/00241/B,7 Malvern Road Douglas Isle Of Man IM2 5AS,Installation of an external gas meter,07-Apr-15,Head of Development Management,Permitted
15/00242/C,22 Slieau Curn Park Kirk Michael Isle Of Man IM6 1EP,Additional use of residential dwelling as tourist accommodation,13-Apr-15,Director Delegation,Permitted
15/00243/B,Lawson Croft The Lhen Andreas Isle Of Man IM7 3EH ,Erection of a sun room extension to dwelling,07-Apr-15,Head of Development Management,Permitted
15/00244/B,Arcadia Ballagyr Lane Peel Isle Of Man IM5 2AD,Erection of an extension to dwelling,13-Apr-15,Director Delegation,Permitted
15/00245/B,Ruskinville Little Switzerland Douglas Isle Of Man IM2 6AE,Replacement of glazed garden room roof with light weight roof tiles with roof lights (retrospective),27-Apr-15,Director Delegation,Permitted
15/00246/B,115 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JE,Erection of fencing (retrospective),27-Apr-15,Director Delegation,Permitted
15/00247/B,11 Ballamaddrell Port Erin Isle Of Man IM9 6AS,Erection of a conservatory to replace existing to dwelling,13-Apr-15,Director Delegation,Permitted
15/00248/B,35 - 36 Derby Square Douglas Isle Of Man IM1 3LW,Conversion of existing office building into two dwellings including the construction of a two storey rear extension and replacement windows throughout,05-May-15,Head of Development Management,Permitted
15/00249/B,29 Governors Hill Douglas Isle Of Man IM2 7AT, Enclosure of existing front porch area,13-Apr-15,Director Delegation,Permitted
15/00250/B,2 Knocksharry Cottages Ramsey Road Peel Isle Of Man IM5 2AF,Erection of a first floor extension to dwelling,13-Apr-15,Director Delegation,Permitted
15/00251/B,JDW Engineering   Glen Darragh Road Glen Vine Isle Of Man IM4 4BE  ,External alterations to workshop building including raising of roof height,13-Apr-15,Director Delegation,Permitted
15/00253/B,Field 114108 Thurot Cottage Road Bride Isle Of Man  ,Erection of a horse shelter,16-Apr-15,Director Delegation,Permitted
15/00254/B,3 Howe Road Onchan Isle Of Man IM3 2AP,"Alterations, creation of a first floor extension to dwelling, landscaping works and creation of a pedestrian access",13-Apr-15,Director Delegation,Refused
15/00255/B,Land Adjacent To Lingmell Highfield Drive Baldrine Isle Of Man  ,Erection of a detached dwelling with associated parking and access,21-Sep-15,Planning Committee,Refused
15/00256/B,15 Lhon Dhoo Close Onchan Isle Of Man IM3 3BE,Erection of a front porch to dwelling,07-Apr-15,Head of Development Management,Permitted
15/00257/B,5 Milner Terrace Castletown Isle Of Man IM9 1AJ,Installation of a replacement front door to dwelling,13-Apr-15,Director Delegation,Permitted
15/00258/B,12 Third Avenue Douglas Isle Of Man IM2 6AL,Alterations and erection of a rear extension to provide ancillary living accommodation to dwelling,13-May-15,Director Delegation,Permitted
15/00259/B,Land Adjacent To Sherwood And Lhergy Vreck Crescent Road Ramsey Isle Of Man  ,Variation of condition one of approved residential estate layout of roadway and seven plots (PA 09/00464/B) to extend permission by four years,12-Mar-15,Withdrawn,Application Withdrawn
15/00260/B,Baljean Cottage Baldhoon Road Laxey Isle Of Man IM4 7QL,Erection of a two storey extension to dwelling,13-May-15,Director Delegation,Refused
15/00261/B,The Croft Glen Auldyn Ramsey Isle Of Man IM7 2AE ,Erection of a pedestrian footbridge,13-Apr-15,Director Delegation,Permitted
15/00262/B,Netcetera The Dataport Balthane Ballasalla Isle Of Man IM9 2AP ,Alterations and installation of air conditioning units to commercial building,13-Apr-15,Director Delegation,Permitted
15/00263/B,18 Y Vaarney Yiarg Castletown Isle Of Man IM9 1HZ ,"Alterations, erection of a dormer extension and installation of a roof light to dwelling",13-Apr-15,Director Delegation,Permitted
15/00264/B,1 Elm Drive Ballawattleworth Peel Isle Of Man IM5 1WA ,Installation of a flue to dwelling,13-Apr-15,Director Delegation,Permitted
15/00265/B,Diamond House Demesne Road Douglas Isle Of Man IM1 3DS,Conversion of loft / storage space to an exercise area for combined use by the childrens nursery and ladies gym,10-Apr-15,Director Delegation,Permitted
15/00266/B,Former Apartment Building  Hillside House Vernon Road Ramsey Isle Of Man IM8 2EG,Demolition of existing building and erection of three detached dwellings with integral garaging,28-Apr-15,Director Delegation,Refused
15/00267/B,Part Of Lane Behind 47 Duke Street Douglas Isle Of Man  ,Alterations and erection of a fire escape staircase to premises,09-Jun-15,Department Application,Permitted
15/00268/GB,Ballagawne Level Crossing Gatehouse Mount Gawne Road Colby Isle Of Man  ,Repair works to roof and window / door alterations to building (in association with 15/00269/CON),27-Aug-15,Withdrawn,Application Withdrawn
15/00269/CON,Ballagawne Level Crossing Gatehouse Mount Gawne Road Colby Isle Of Man  ,"Registered Building consent for internal alterations, repair works to roof and window / door alterations to building (in association with 15/00268/GB) Registered Building Nos. 279",27-Aug-15,Withdrawn,Application Withdrawn
15/00270/B,Bayr Niar 5 Primrose Terrace Port St. Mary Isle Of Man IM9 5AP,Installation of replacement windows and door to dwelling,24-Apr-15,Director Delegation,Permitted
15/00271/B,8 Kissack Road Castletown Isle Of Man IM9 1NP,Erection of an extension to rear of existing garage,24-Apr-15,Director Delegation,Permitted
15/00272/B,Rosien Bay View Road Port Erin Isle Of Man IM9 6NA,Demolition of existing garage and erection of extension to dwelling,24-Apr-15,Director Delegation,Permitted
15/00273/B,27 Julian Road Douglas Isle Of Man IM2 6HS,"Alterations, erection of extension and widening of driveway and vehicular access to dwelling",24-Apr-15,Director Delegation,Permitted
15/00274/B,Police Headquarters Dukes Avenue Douglas Isle Of Man IM2 4RG ,"Alterations, conversion of lower ground floor garage and storage area to provide locker and toilet area, creation of doorway with access staircase and erection of extension to building",28-Apr-15,Head of Development Management,Permitted
15/00275/B,Laxey Glen Pavilion New Road Laxey Isle Of Man IM4 7BE,Partial conversion of Pavilion to provide a children's nursery,21-Oct-15,Department Application,Permitted
15/00276/B,15 Westminster Terrace Douglas Isle Of Man IM1 4EE,"Extension of existing balcony, erection of access steps and installation of replacement railings",12-May-15,Director Delegation,Permitted
15/00277/B,Field 230253 Orrisdale Road Orrisdale Kirk Michael Isle Of Man  ,Installation of replacement roof tiles to stable block,18-Sep-15,Director Delegation,Permitted
15/00278/C,119 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JB ,Appeal against approval for additional use of residential dwelling as a hair salon,08-May-15,Planning Committee,Permitted
15/00279/B,6 Manor Woods Douglas Isle Of Man IM2 2PE ,Demolition of existing conservatory and erection of an extension to dwelling,28-Apr-15,Head of Development Management,Permitted
15/00280/B,7 Cooil Ushtey Port Lewaigue Ramsey Isle Of Man IM7 1AQ,Erection of a conservatory to front elevation of dwelling,28-Apr-15,Senior Planning Officer - South (SC),Permitted
15/00281/B,30 Laurys Avenue Ramsey Isle Of Man IM8 2HE,Erection of an extension to dwelling,28-Apr-15,Head of Development Management,Permitted
15/00282/GB,1 Prospect Hill Douglas Isle Of Man IM1 1ES ,"Alterations, erection of a three storey extension and creation of French doors to roof terrace (in association with 15/00283/CON)",17-Jul-15,Director Delegation,Permitted
15/00283/CON,1 Prospect Hill Douglas Isle Of Man IM1 1ES ,"Registered Building consent for alterations, erection of a three storey extension and creation of French doors to roof terrace (in association with 15/00282/GB) Registered Building Nos. 195",17-Jul-15,Director Delegation,Permitted
15/00284/B,26 Malvern Road Douglas Isle Of Man IM2 5AR,Installation of replacement windows to front elevation (retrospective),28-Apr-15,Head of Development Management,Permitted
15/00285/GB,Packet House The Quay Castletown Isle Of Man IM9 1LD ,"Alterations, installation of replacement roof tiles and replacement bay window to dwelling (in association with 15/00286/CON)",20-May-15,Planning Committee,Permitted
