Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,21/00006/B,"Door / window alterations, roofing works and installation of a roof lantern to rear annexe",15-Mar-21,Principal Planner - South (SC) CLOSED,Beacon Croft Beacon Croft Lane Port Erin Isle Of Man IM9 6JW 
Permitted,21/00007/B,Alterations and replacement of existing garage doors with new double garage door,19-Mar-21,Head of Development Management,7 Pinehurst Glen Douglas Isle Of Man IM2 1PP 
Permitted,21/00008/C,Change of use of industrial unit to gym facilities,29-Apr-21,Planning Committee,14 Hills Meadow Industrial Estate Douglas Isle Of Man IM1 5EA 
Permitted,21/00009/MCH,Minor changes application to PA 20/01025/B involving alterations to the external detail and internal layout of the Maple house type on 5 plots,30-Apr-21,Head of Development Management,"Residential Curtilage Of Knock-E-Tholt And Parts Of Gardens Of Adjacent Dwellings Court Hey, Ty Hesq & Westlands Douglas Road Kirk Michael Isle Of Man"
Permitted,21/00010/B,Alterations and erection of a single storey extension to front elevation,05-Mar-21,Principal Planner - South (SC) CLOSED,Baltic House Baltic Road Kirk Michael Isle Of Man IM6 1EF
Permitted,21/00011/B,Alterations within rear garden & erection of detached garden room with chimney,18-Mar-21,Head of Development Management,13 Reayrt Ny Crink Crosby Isle Of Man IM4 2EA 
Permitted,21/00012/D,Installation of signage and window vinyls,16-Mar-21,Principal Planner - South (SC) CLOSED,Diamond House  Westmoreland Road Douglas IM1 4AQ
Refused,21/00013/B,Alterations to existing roof dormer removal of chimney stack and re-roofing works,06-Apr-21,Principal Planner - South (SC) CLOSED,77 Derby Road Douglas Isle Of Man IM2 3EA 
Permitted,21/00014/B,Installation of 4 external chiller units,16-Mar-21,Principal Planner - South (SC) CLOSED,Diamond House  Westmoreland Road Douglas IM1 4AQ
Refused,21/00015/CON,Registered Building consent for demolition elements to PA 21/00013/B,06-Apr-21,Principal Planner - South (SC) CLOSED,77 Derby Road Douglas Isle Of Man IM2 3EA 
Permitted,21/00016/B,Erection of replacement bridge,02-Mar-21,Planning Committee,Pulrose Bridge Pulrose Road Douglas Isle Of Man  
Permitted,21/00018/CON,"Registered Building consent for repair works to roof slates, chimney stacks and gable coping slabs. Registered Building Nos. 268",16-Mar-21,Principal Planner - Enf (AM),Glen Mooar House Glen Mooar Road St Johns Isle Of Man IM4 3AQ 
Permitted,21/00019/C,Additional use of dwelling as massage therapy business,01-Apr-21,Planning Committee,37 Woodbourne Road Douglas Isle Of Man IM2 3AD
Permitted,21/00023/MCH,Minor Change application to PA 20/00603/B involving alterations to window size and design and external finish,16-Feb-21,Head of Development Management,Ballacree Farm Ronague Road Ballabeg Castletown Isle Of Man IM9 4HF 
Permitted,21/00024/B,Erection of 15 detached dwellings (amendment to PA 19/01155/B),12-Apr-21,Planning Committee,"No.s 6, 10, 12, 14, 15, 16, 18, 20,  22, 23, 25, 27, 33, 35 Raad Roagan And 2 Close Skeddan, Glenfaba Rise Peel IM5 1DZ"
Permitted,21/00025/B,Alterations and erection of a 2 storey extension to side elevation and single storey double garage with terrace to rear elevation,25-May-21,Planning Committee,Ballasaige House Dreemskerry Ramsey Isle Of Man IM7 1BF 
Department Application,21/00026/B,Construction of Steel Truss Pedestrian Bridges,24-Aug-21,Department Application,"St Johns To Kirk Michael Heritage Trail Glen Wyllin Bridge, Glen Mooar Bridge, And A1 Peel Road Bridge  Isle Of Man"
Refused,21/00027/B,Erection of a shed (retrospective),18-Feb-21,Principal Planner - South (SC) CLOSED,Struan Cottage Saint Marys Road Port Erin Isle Of Man IM9 6JG
Permitted,21/00028/B,"Alterations, replace garage door with a window and widening of existing driveway and vehicular access",18-Feb-21,Principal Planner- North (CB),22 Claughbane Drive Ramsey Isle Of Man IM8 2AY
Permitted,21/00029/B,Erection of rear extension to replace existing conservatory,18-Feb-21,Principal Planner- North (CB),9 Turnberry Avenue Onchan Isle Of Man IM3 2JS
Permitted,21/00030/B,Erection of an extension to rear elevation,18-Mar-21,Principal Planner- North (CB),29 Cronk Drean Douglas Isle Of Man IM2 6AU
Refused,21/00032/B,"Additional use of site for sale of food (30sq.m), sale of outdoor activity and country clothing (75sq.m) and sale of conservatory furniture (50sq.m)",18-Mar-21,Planning Committee,Rileys Garden Centre Ballapaddag Cooil Road Douglas Isle Of Man IM4 2AF 
Permitted,21/00033/B,"Window and door alteration, access reconfiguration and installation of a wheelchair platform lift",22-Apr-21,Principal Planner- North (CB),Heritage Court 41 Athol Street Douglas Isle Of Man IM1 1LA 
Permitted,21/00034/B,Erection of a replacement detached dwelling with integral garage and associated parking,25-Feb-21,Head of Development Management,The Haven Arbory Road Castletown Isle Of Man IM9 1ND
Permitted,21/00035/B,Erection of an agricultural building for equestrian storage and storage of field maintenance machinery,08-Apr-21,Principal Planner - South (SC) CLOSED,Field 121172 Upper Cronk Farm Bride Road Andreas Isle Of Man  
Permitted,21/00037/B,Proposed replacement porch structure to front elevation and alteration of window / door openings to outrigger,15-Mar-21,Principal Planner - South (SC) CLOSED,4 Sartfell Road Douglas Isle Of Man IM2 3LZ
Permitted,21/00038/CON,Registered Building consent for the demolition elements relating the application 21/00037/B,15-Mar-21,Principal Planner - South (SC) CLOSED,4 Sartfell Road Douglas Isle Of Man IM2 3LZ
Permitted,21/00039/B,Erection of 2 field shelters for livestock and horses,15-Mar-21,Principal Planner - South (SC) CLOSED,"Field 434509 Swallows Rest,   Bayrauyr Road St. Marks IM9 3AT "
Permitted,21/00040/B,Erection of a replacement garage/ landscaping store and porch,01-Apr-21,Planning Committee,Close E Kelly Ballamona Straight Jurby Isle Of Man IM7 3AP
Permitted,21/00041/B,Erection of proposed detached dwelling and garage,01-Apr-21,Planning Committee,Plot Adj To Instow & Dreeymlang Ballagorry Drive Glen Mona Ramsey Isle Of Man  
Permitted,21/00043/C,Change of use to a dental practice,15-Mar-21,Principal Planner - South (SC) CLOSED,Shop 7 Clinches Court Douglas Isle Of Man IM1 4LH
Application Withdrawn,21/00044/B,Installation of decking and creation of additional parking spaces,19-Feb-21,Withdrawn,Shore Hotel Old Laxey Hill Laxey Isle Of Man IM4 7DA
Permitted,21/00045/B,Erection of detached garages to rear of dwellings,18-Jun-21,Principal Planner - South (JS),12 & 14 St Catherines Close Douglas Isle Of Man IM1 4HY 
Permitted,21/00046/B,Alterations and erection of garden room extension to replace existing conservatory on rear elevation of dwelling.,18-Mar-21,Principal Planner- North (CB),Croftbank 5 Clifton Drive Ramsey Isle Of Man IM8 3ND
Permitted,21/00048/B,Removing of the ramp and staircase in front of the shopfront,26-Apr-21,Head of Development Management,1886 Bar And Grill 6 Regent Street Douglas Isle Of Man IM1 2EA 
Permitted,21/00049/B,"Extension of the residential curtilage, erection of new garage and extension to the rear of the existing dwelling, creation of new site entrance, driveway and turning area",27-Apr-21,Planning Committee,Rose Cottage Ballafreer Lane Union Mills Isle Of Man IM4 4AS 
Permitted,21/00052/B,"Erection of first floor extension to replace existing conservatory, creation of three additional windows and installation of replacement windows and front door",16-Mar-21,Principal Planner - South (SC) CLOSED,Parkgate House 9 Victoria Road Castletown Isle Of Man IM9 1EN 
Permitted,21/00053/B,Alterations and erection of extension,16-Mar-21,Head of Development Management,Sea Bank Marine Terrace Port St. Mary Isle Of Man IM9 5EN 
Permitted,21/00055/B,Removal of rear chimney stack,18-Mar-21,Planning Committee,Weston 74 Main Road Onchan Isle Of Man IM3 1AL
Application Withdrawn,21/00056/B,Variation of condition 2 to PA 19/01284/C to extend opening hours of restaurant,12-Mar-21,Withdrawn,Athol Park Guest House Athol Park Port Erin Isle Of Man IM9 6EX 
Permitted,21/00057/B,Installation of replacement roofing to 39 dwellings,19-Mar-21,Head of Development Management,1-39 Strang Close Strang Douglas Isle Of Man IM4 4QU
Permitted,21/00058/REM,Reserved Matters application to PA 19/00686/A for the erection of a detached dwelling and garage,26-Apr-21,Head of Development Management,Land Adjacent To Laurieston House Booilushag Ballajora Ramsey Isle Of Man IM7 1BB
Permitted,21/00059/B,Conversion and extension of existing stone storage building for both tourist and residential use,12-May-21,Planning Committee,Ballig Handleys Corner Kirk Michael Isle Of Man IM6 1AY
Refused,21/00060/B,Installation of a flat roof dormer to the rear elevation,24-Mar-21,Head of Development Management,8 Ballaglonney Close Crosby Isle Of Man IM4 2DH
Permitted,21/00061/B,Alterations and erection of an extension with integral garage,01-Apr-21,Planning Committee,Borodaill Peel Road Glen Mooar Kirk Michael Isle Of Man IM6 1HL 
Permitted,21/00062/B,Installation of replacement windows,16-Mar-21,Principal Planner- North (CB),14 Cronkbourne Road Douglas Isle Of Man IM2 3LB
Certificate of Lawfulness DECLINED,21/00063/LAW,Certificate of Lawful Use for conversion of dwelling into flats,16-Jun-21,Head of Development Management,Ar-Tigh Westmoreland Road Douglas Isle Of Man IM1 4AW
Permitted,21/00065/B,"Replace garage door with bi folding door, window alterations and creation of rear doorway",25-Feb-21,Head of Development Management,Thie Noa Grove Mount Ramsey Isle Of Man IM8 3HE 
Permitted,21/00066/B,Widening of existing driveway,15-Mar-21,Principal Planner - South (SC) CLOSED,9 Devonshire Road Douglas Isle Of Man IM2 3QY
Refused,21/00067/B,Re-location of existing gate access to improve visibility and erection of proposed agricultural storage building in west corner of Field No 211069,24-Mar-21,Principal Planner- North (CB),Field 211069 Jurby Road Sandygate Ramsey Isle Of Man  
Permitted,21/00068/B,Installation of replacement windows (retrospective),15-Mar-21,Principal Planner - South (SC) CLOSED,Marlor House 130 Woodbourne Road Douglas Isle Of Man IM2 3BA 
Permitted,21/00070/B,Creation of traffic calming measures,29-Mar-21,Principal Planner - South (SC) CLOSED,Section Of Road Near Roundabout Victoria Road Castletown Isle Of Man
Permitted,21/00071/B,Erection of rear single storey extension and installation of replacement windows,24-Mar-21,Head of Development Management,25 Douglas Street Peel Isle Of Man IM5 1BA
Permitted,21/00072/CON,Registered Building consent for the demolition elements relating the application 21/00071/B,24-Mar-21,Head of Development Management,25 Douglas Street Peel Isle Of Man IM5 1BA
Refused,21/00073/A,Approval in Principle to erect a single dwelling,07-May-21,Principal Planner- North (CB),Land East Of Thie Corneil Clay Head Road Baldrine Isle Of Man IM4 6DN 
Permitted,21/00074/B,Variation of Condition 1 of PA 19/00163/B for an extension of time for a further 2 years,16-Mar-21,Head of Development Management,Builders Yard  Corner Of Marine Rd & Maine Port Erin IM9 6LG
Permitted,21/00075/GB,"Alterations, installation of replacement windows to front elevation and window / door alteration to rear (in association with 21/00077/CON)",15-Mar-21,Principal Planner - South (SC) CLOSED,Former Lloyds Tsb Bank Market Square The Parade Castletown Isle Of Man IM9 1LQ
Refused,21/00076/B,Installation of a replacement front door,12-Apr-21,Principal Planner- North (CB),13 Berkeley Street Douglas Isle Of Man IM2 3QB
Permitted,21/00077/CON,"Registered Building consent for alterations, installation of replacement windows to front elevation and window / door alteration to rear (in association with 21/00075/GB) Registered  Building Nos. 40",15-Mar-21,Principal Planner - South (SC) CLOSED,Former Lloyds Tsb Bank Market Square The Parade Castletown Isle Of Man IM9 1LQ
Refused,21/00078/A,Approval in principle for the erection of a dwelling to determine siting and access,23-Mar-21,Head of Development Management,Field 210313  Land Adjacent To Ballakeenan Beg Jurby West Crossroads Jurby West Isle Of Man  
Permitted,21/00079/B,Proposed external air conditioning condenser and edge protection rails on the flat roof to the rear of the property,19-Mar-21,Head of Development Management,Lloyds Bank 71 Parliament Street Ramsey Isle Of Man IM8 1AN 
Permitted,21/00080/B,Installation of solar panels and creation of a borehole,25-Feb-21,Head of Development Management,Rnli New Norbury Lifeboat House Queens Promenade Ramsey Isle Of Man IM8 1BH
Permitted,21/00082/B,Extension of existing rear first floor balcony,19-Mar-21,Principal Planner - South (SC) CLOSED,66 Groudle Road Onchan Isle Of Man IM3 2EZ 
Permitted,21/00083/MCH,Minor Change application to PA 18/00637/GB involving the reduction of apartment numbers from 17 to 11 and amendments to elevations and finishes to approved rear apartment block building,03-Mar-21,Head of Development Management,Bayqueen Hotel The Promenade Port St. Mary Isle Of Man IM9 5DG 
Permitted,21/00084/B,Removal of Condition 14 to PA 18/00977/B concerning the flood alleviation storage tank,12-Apr-21,Principal Planner - South (SC) CLOSED,"Former Eurocars Site,  Peel Road Douglas IM10 1MM"
Permitted,21/00085/GB,"Demolition of registered building and substation and construction of building to provide 23 apartments and cafe/spa/wellness/gym with associated car parking, landscaping and substation (amendments to previously approved PA18/00637/GB and in association wi",22-Apr-21,Head of Development Management,Former Bayqueen Hotel The Promenade Port St. Mary Isle Of Man IM9 5DG 
Permitted,21/00086/B,Erection of a detached building to provide a games room / garden store,26-May-21,Principal Planner- North (CB),25 Farmhill Park Douglas Isle Of Man IM2 2EE
Permitted,21/00087/B,Construction of a detached home office cabin,18-Mar-21,Planning Committee,Ballaglea Cottage Ballamodha Straight Ballamodha Ballasalla Isle Of Man IM9 3AZ
Permitted,21/00088/B,Re-positioning of 2 parking spaces and re-routing of approved footpath through public open space (amendment to PA 19/00137/B),26-Mar-21,Head of Development Management,8 Kennaugh Close And Public Open Space East Of 8 Kennaugh Close Kennaugh Close Reayrt Mie Ballasalla Isle Of Man IM9 2BE 
Permitted,21/00089/B,Alterations and erection of two storey extension to rear of dwelling and front porch extension,27-Apr-21,Planning Committee,Ballamoar Cottage Earystane Colby Isle Of Man IM9 4HN 
Permitted,21/00090/B,"Erection of extension, replace garage door with a window and widening of driveway and vehicular access",24-Mar-21,Principal Planner- North (CB),6 Highfield Crescent Onchan Isle Of Man IM3 3BH
Permitted,21/00091/C,Change of use of agricultural land to residential use,26-May-21,Planning Committee,Part Field 624032 Rear Of 1 And 2 Mount Sayle Port E Vullen Maughold Isle Of Man IM7 1AP 
Permitted,21/00092/B,Variation of condition 1 to PA 16/01076/B (Erection of two detached dwellings) for an extension of time for a further 4 years,27-Apr-21,Planning Committee,Site Adjacent To Drumain Farm Ballaragh Laxey Isle Of Man IM4 7PN 
Permitted,21/00093/B,"Alterations, erection of ground and first floor extensions and installation of a flue",24-Mar-21,Head of Development Management,Coach House Ballaterson Beg Ballaugh Isle Of Man IM7 5BN
Refused,21/00094/B,"Alterations, replacement of garage door with a window, erection of a first floor extension and side single extension to provide replacement garage and utility",17-Jun-21,Planning Committee,2 Sprucewood View Foxdale Isle Of Man IM4 3HA 
Permitted,21/00095/B,Installation of bi folding doors to rear elevation,24-Mar-21,Principal Planner- North (CB),15 Fairway Drive Ramsey Isle Of Man IM8 2BB
Permitted,21/00096/B,Alterations and erection of an extension,25-Mar-21,Principal Planner- North (CB),44 High View Road Douglas Isle Of Man IM2 5BJ
Permitted,21/00097/B, Single storey extension to existing property to form Swimming Pool and erection of replacement Kitchen / Conservatory,25-Mar-21,Head of Development Management,Ballagick Farm Moaney Road Santon Isle Of Man IM4 1HY 
Permitted,21/00098/B,Alterations and installation of two doorways and three roller shutter doors and alteration to building to form four units for existing Research & Development and Light Industrial (Class 2.2) and / or Storage & Distribution (Class 2.4),19-Mar-21,Head of Development Management,Media House Ballafletcher Road Cronkbourne Douglas Isle Of Man IM4 4RA 
Permitted,21/00099/B,"Erection of side and rear extensions to provide garage, living space and ancillary living accommodation and creation of additional driveway and vehicular access",25-Mar-21,Head of Development Management,3 Ballastrooan Colby Isle Of Man IM9 4NR
Permitted,21/00100/B,Reduction in size of window on front elevation,21-Apr-21,Principal Planner - Enf (AM),19 Fairfield Avenue Onchan Isle Of Man IM3 4BG
Permitted,21/00101/D,Installation of illuminated signage,30-Apr-21,Principal Planner- North (CB),Court Row Chambers Court Row Ramsey Isle Of Man IM8 1AA
Permitted,21/00102/C,Change of use from delicatessen shop (class 1.1) (part of existing restaurant) to restaurant (class 1.3),07-Apr-21,Principal Planner - South (SC) CLOSED,Ground Floor  Court Row Chambers Court Row Ramsey Isle Of Man IM8 1AA 
Certificate of Lawfulness AGREED,21/00103/LAW,Certificate of Lawful Use for removal of an agricultural occupancy condition,26-Feb-21,Principal Planner - Enf (AM),New Bungalow   Cooil Roi Farm Barroose Road Baldrine Isle Of Man IM4 6AP
Permitted,21/00104/MCH,Removal of first floor extension above Garage / Utility & removal of First Floor En-suite Alterations. New Canopy structure above Utility door.,16-Mar-21,Principal Planner- North (CB),Corlea 22 Keeill Pharick Glen Vine Isle Of Man IM4 4EW 
Permitted,21/00105/B,"Removal of existing conservatory, erection of a two storey extension to side elevation, conversion of existing garage and creation of additional hardstanding",27-May-21,Principal Planner- North (CB),11 Whitebridge Road Onchan Isle Of Man IM3 4HQ
Refused,21/00107/B,Alterations and replacement of existing shop front windows and door with UPVC windows door,07-Apr-21,Head of Development Management,Tower Building Strand Road Port Erin Isle Of Man IM9 6HE
Permitted,21/00108/B,"External alterations including replacing & upgrading cladding, replacement of windows and rendering of facades of three industrial Units",19-Mar-21,Head of Development Management,"Units 42, 44 & 46 Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QS"
Permitted,21/00109/CON,"Registered Building consent for repair works, roofing works, replacement windows and doors, installation of a new window (in association with PA 21/00136/GB) Registered Building Number 164",04-Jun-21,Head of Development Management,Ivy Bank Falcon Cliff Terrace Douglas Isle Of Man IM2 4AY
Permitted,21/00110/B,Installation of patio doors,06-May-21,Principal Planner- North (CB),39 Selborne Drive Douglas Isle Of Man IM2 3NJ
Permitted,21/00111/B,Erection of a single storey extension and raised decking to the rear of dwelling,13-Apr-21,Head of Development Management,12 Upper Dukes Road Douglas Isle Of Man IM2 4BA
Permitted,21/00112/B,"Alterations to existing conservatory including new glazing, roof, covered patio area, external fireplace and raised decking",03-Jun-21,Principal Planner - Enf (AM),Newlands Cronk Lane Union Mills Isle Of Man IM4 4JY 
Certificate of Lawfulness AGREED,21/00113/LAW,Certificate of Lawful Development for the installation of replacement windows,21-May-21,Principal Planner- North (CB),5 West View Peel Isle Of Man IM5 1BN
Permitted,21/00114/B,Alterations and erection of a two storey extension to side elevations and widening of vehicle access,06-Apr-21,Director 2017+,79 Cronk Grianagh Estate Douglas Isle Of Man IM4 4RR 
Permitted,21/00115/B,Erection of rear extension to replace existing conservatory,19-Mar-21,Head of Development Management,14 St Marys Glebe Port St. Mary Isle Of Man IM9 5PF
Permitted,21/00116/C,Additional use of existing parking spaces for the parking of two minibuses,01-Apr-21,Planning Committee,Castle Rushen High School Arbory Road Castletown Isle Of Man IM9 1RE
Permitted,21/00117/B,Replacement of existing conservatory with single storey extension,26-May-21,Principal Planner- North (CB),18 Hilltop Rise Douglas Isle Of Man IM2 2LE
Permitted,21/00118/C,Additional use of existing parking spaces for the parking of five minibuses,01-Apr-21,Planning Committee,Bunscoill Rhumsaa Lezayre Road Ramsey Isle Of Man IM8 2PA 
Permitted,21/00119/C,Additional use of existing parking spaces for the parking of two minibuses,01-Apr-21,Planning Committee,Sulby Primary School Main Road Sulby Isle Of Man IM7 2HP 
Refused,21/00120/B,Erection of a two storey side extension and installation of dormer windows,13-May-21,Head of Development Management,171 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JG 
Permitted,21/00121/B,"Replacement of two timber framed sliding sash windows, with installation of 2 uPVC sliding sash windows",03-Jun-21,Principal Planner- North (CB),Flat 8  Keighley House 59 Loch Promenade Douglas Isle Of Man IM1 2NA
Permitted,21/00122/B,Erection of field shelter and associated food store,06-Apr-21,Head of Development Management,Field 424947 Oakhill Mansion  Ronague Road Ballabeg Castletown Isle Of Man IM9 4HF 
Permitted,21/00123/B,Erection of a single storey extension on to the side of existing garage,29-Apr-21,Planning Committee,Balliargey Abbeylands Isle Of Man IM4 5EE 
Permitted,21/00124/B,Erection of an agricultural building,06-May-21,Principal Planner- North (CB),Ballamaddrell Farm Grenaby Road Ballabeg Castletown Isle Of Man IM9 4HD 
Refused,21/00125/B,Erection of a detached dwelling with integral garage with associated parking and access,24-Mar-21,Principal Planner- North (CB),Plot 1 Port E Chee Lheaney Road Ramsey Isle Of Man IM8 2JF
Refused,21/00126/B,Erection of a detached dwelling with integral garage with associated parking and access,24-Mar-21,Principal Planner- North (CB),Plot 2 Port E Chee Lheaney Road Ramsey Isle Of Man IM8 2JF
Refused,21/00127/B,Erection of a detached dwelling with integral garage with associated parking and access,24-Mar-21,Principal Planner- North (CB),Plot 3 Port E Chee Lheaney Road Ramsey Isle Of Man IM8 2JF
Certificate of Lawfulness AGREED,21/00128/LAW,Certificate of Lawful Development for disability lift and access,08-Apr-21,Principal Planner - South (SC) CLOSED,Cooilbane House Main Road Sulby Isle Of Man IM7 2HR
Permitted,21/00129/B,"Erection of a two storey extension, door / window alterations and installation of a flue",27-May-21,Principal Planner - South (SC) CLOSED,14 Aspen Drive Ballawattleworth Peel Isle Of Man IM5 1WT 
Permitted,21/00130/B,Erection of an agricultural building,13-May-21,Head of Development Management,Field 414754 Ballakilpheric Farm Ballakilpheric Colby Isle Of Man IM9 4BT 
Permitted,21/00131/B,"Conversion of former laundrette and tattoo parlour into 3 apartments and adjacent live in workshop, creation of two pavement terraces and alterations to entrances",26-Aug-21,Principal Planner - South (JS),22 & 24 Broadway Douglas Isle Of Man IM2 4EL
Permitted,21/00132/B,Alterations and erection of an extension to side elevation,27-Apr-21,Planning Committee,Sycamore House Jacks Lane Port E Vullen Ramsey Isle Of Man IM7 1AW 
Refused,21/00133/B,Erection of two semi-detached dwellings and creation of new vehicle entrance,29-Apr-21,Planning Committee,Land To Rear Of Glenlea Highfield Drive Baldrine Isle Of Man IM4 6ED 
Permitted,21/00134/B,"Replacement of existing windows and doors, cladding to front and side elevations, rendering works to rear and side elevations",08-Apr-21,Principal Planner - South (SC) CLOSED,Elm Tree House Main Road Onchan Isle Of Man IM3 1AH
Permitted,21/00135/C,Additional use of residential dwelling as tourist accommodation,07-Apr-21,Head of Development Management,The Studio The Terrace Derbyhaven Isle Of Man IM9 1TY
Permitted,21/00136/GB,Installation of replacement windows and doors and creation of a new window (in association with PA 21/00109/CON) Registered Building Number 164,04-Jun-21,Head of Development Management,Ivy Bank Falcon Cliff Terrace Douglas Isle Of Man IM2 4AY
Permitted,21/00137/B,"Replacement of existing garage / store, erection of replacement building to create ancillary living accommodation and the additional use for tourist accommodation",13-Oct-21,Principal Planner - Enf (AM),Tremesare Lodge Blackberry Lane Douglas Isle Of Man IM2 4PD
Permitted,21/00138/B,Conversion of existing outbuilding / ancillary living accommodation to a dwelling (class 3.3) and relocation of existing stable block,14-May-21,Principal Planner - South (SC) CLOSED,Norfolk Place Main Road Greeba Isle Of Man IM4 3LG
Permitted,21/00139/B,Erection of a replacement timber fencing and the installation of a flue,12-Apr-21,Planning Committee,Westfield 21 Arbory Road Castletown Isle Of Man IM9 1ND
Permitted,21/00140/B,Additional use of dwelling (class 3.3) as tourist accommodation (class 3.6) and installation of a replacement front door,06-Apr-21,Principal Planner - South (SC) CLOSED,4 Douglas Street Castletown Isle Of Man IM9 1AY
Permitted,21/00143/B,Installation of replacement windows,19-Mar-21,Principal Planner- North (CB),14 Thorny Road Douglas Isle Of Man IM2 5ED
Application Withdrawn,21/00144/B,"Variation of condition 2 of PA 17/00870/B, Erection of two 6 storey apartment buildings containing 23 apartments in total and associated parking, to amend the car parking provision",12-Mar-21,Withdrawn,Land At Corner Of Premier Road And Mooragh Promenade Premier Road Ramsey Isle Of Man  
Permitted,21/00145/B,Erection of a replacement detached garage with games room above,18-Oct-21,Planning Committee,Ard Biljyn Quines Hill Port Soderick Isle Of Man IM4 1AU 
Permitted,21/00146/B,Installation of timber cladding to replace render,15-Apr-21,Head of Development Management,5 Ballabeg Grove Glen Vine Isle Of Man IM4 4HZ 
Refused,21/00147/B,Increase the height of a section of existing fencing,25-Mar-21,Head of Development Management,2 St Marys Glebe Port St. Mary Isle Of Man IM9 5PF
Permitted,21/00148/B,Erection of a rear extension,06-Apr-21,Principal Planner - South (SC) CLOSED,12 Ballaquane Park Peel Isle Of Man IM5 1PT
Permitted,21/00149/B," Alterations and erection of single storey extension, creation of decking, and rendering works",25-Mar-21,Principal Planner- North (CB),49 Sea Cliff Road Onchan Isle Of Man IM3 2JD
Certificate of Lawfulness AGREED,21/00150/LAW,Certificate of Lawful Development for the installation of a rear shutter door,24-Mar-21,Principal Planner- North (CB),9 Mount Bradda Douglas Isle Of Man IM1 4AR
Permitted,21/00151/B,Installation of stone cladding to dwarf walls of porch and stone cladding to south elevation of Cottage 2 and garage doors replaced with French doors to Cottage 3 (retrospective),16-Apr-21,Principal Planner - South (SC) CLOSED,Glen Moar Tea Room Cottages 2 & 3 Glen Helen Road Laurel Bank St Johns Isle Of Man IM4 3NN 
Permitted,21/00152/B,Creation of a wildlife pond with associated platform,09-Apr-21,Principal Planner - South (SC) CLOSED,Ballachurry Nature Reserve Old School Road Port St. Mary Isle Of Man IM9 5LR 
Permitted,21/00153/B,Alterations and erection of extensions,07-May-21,Principal Planner - South (SC) CLOSED,1 Ballacaine Cottages Ballamona Straight Jurby Isle Of Man IM7 3AP
Permitted,21/00154/B,Replacement of part of wall and re-surfacing of footpath (in association with PA 21/00155/CON),28-May-21,Principal Planner- North (CB),Villa Marina Complex Villa Marina Colonade Douglas Isle Of Man IM1 2HH 
Permitted,21/00155/CON,Registered Building consent for demolition aspect of PA 21/00154/B,26-May-21,Principal Planner- North (CB),Villa Marina Complex Villa Marina Colonade Douglas Isle Of Man IM1 2HH 
Permitted,21/00156/B,Alterations and erection of extension and porch,25-Mar-21,Principal Planner- North (CB),30 Bellevue Park Peel Isle Of Man IM5 1UE
Certificate of Lawfulness DECLINED,21/00157/LAW,Certificate of Lawful Development for the creation of a tree house,11-Nov-21,Principal Planner - South (JS),Kerrowgarrow House Kerrowgarrow Road Greeba Isle Of Man IM4 3LQ
Certificate of Lawfulness DECLINED,21/00158/LAW,Certificate of Lawful development for the removal of a boundary wall,21-May-21,Principal Planner- North (CB),73 Woodbourne Road Douglas Isle Of Man IM2 3AQ
Permitted,21/00159/MCH,Minor Change application to PA 20/00610/B involving alterations to garage doorway and above internal storage,24-Mar-21,Head of Development Management,Lavender Cottage Tosaby Road Eairy Isle Of Man IM4 3HW
Permitted,21/00160/B,Erection of ancillary living accommodation,13-Apr-21,Principal Planner - South (SC) CLOSED,Blencathra 71 Slieau Curn Park Kirk Michael Isle Of Man IM6 1EW 
Permitted,21/00161/B,"Erection of 3no dwellings with integral garage and associated landscape, drainage and driveways on previously approved site (incorporating amendments to PA20/00931/B)",15-Apr-21,Head of Development Management,Field 321270 Park Close Glen Vine Isle Of Man  
Permitted,21/00162/B,Erection of a detached garage,21-Apr-21,Principal Planner - South (SC) CLOSED,South View Ballamodha Straight Ballasalla Isle Of Man IM9 3EN
Permitted,21/00164/MCH,Minor Changes application to PA 19/01130/B involving alterations to the service yard and overflow carpark,13-May-21,Head of Development Management,Tesco Superstore Lake Road Douglas Isle Of Man IM1 5AF
Permitted,21/00165/B,Installation of a replacement front door,12-Apr-21,Planning Committee,12 Brighton Terrace Douglas Isle Of Man IM1 4AP
Permitted,21/00166/B,Erection of a first floor extension over the existing garage and installation of replacement garage doors,10-Jun-21,Principal Planner - South (JS),57 All Saints Park Lonan Laxey Isle Of Man IM4 7LD 
Refused,21/00167/CON,Registered building consent for alterations and internal works RB. 133,25-Nov-21,Head of Development Management,Woodland Towers Ashley Road Onchan Isle Of Man IM4 5BB
Permitted,21/00168/C,Temporary use of car park for a period of 5 years,29-Apr-21,Planning Committee,37-41 Circular Road Circular Road Douglas Isle Of Man  
Permitted,21/00169/B,Installation of replacement windows,07-Apr-21,Principal Planner - South (SC) CLOSED,Woodbourne Hotel Alexander Drive Douglas Isle Of Man IM2 3QF
Permitted,21/00170/B,Erection of a single storey rear extension and two storey side extension,21-Apr-21,Principal Planner - South (SC) CLOSED,Woodlands Glen Vine Drive Glen Vine Isle Of Man IM4 4EX
Permitted,21/00171/B,Replacement of existing detached garage at rear with new enlarged garage,17-May-21,Principal Planner - South (SC) CLOSED,2 The Promenade Castletown Isle Of Man IM9 1BJ
