"PA Ref","Proposal","Property Address","Decision","Decision Issued","Determining Body","Year"
"22/00516/B","Erection of a detached summer house with storage","Chequers Garey Ramsey Isle Of Man IM7 2EQ ","Permitted","22-Jul-22","Principal Planner- North (CB)","2022"
"22/00517/B","2 storey extension to front elevation with internal alterations and minor landscaping works","Braywood 51 Howe Road Onchan Isle Of Man IM3 2AZ","Permitted","09-Dec-22","Planning Committee","2022"
"22/00518/B","Erection of a detached dwelling with integral garage","Land Adjacent To Peacehaven Minorca Hill Laxey Isle Of Man IM4 7DN","Refused","28-Jul-22","Principal Planner - South (JS)","2022"
"22/00519/C","Change of use of first floor to a gaming lounge","Unit 2 Concorde House Westbourne Road Ramsey Isle Of Man IM8 2ER ","Permitted","05-Sep-22","Planning Committee","2022"
"22/00520/B","Proposed erection of dwelling","Land To The West Of 17 Royal Park Royal Park Ramsey Isle Of Man  ","Permitted","03-Oct-22","Planning Committee","2022"
"22/00521/B","Erection of a rear conservatory","26 Claughbane Drive Ramsey Isle Of Man IM8 2AY","Permitted","01-Jul-22","Principal Planner- North (CB)","2022"
"22/00522/B","Erection of rear and side extension, installation of replacement roof tiles and creation of additional off road parking","86 Birch Hill Crescent Onchan Isle Of Man IM3 3DA","Permitted","31-May-22","Head of Development Management","2022"
"22/00523/B","Creation of driveway and vehicular access","3A Coburg Road Ramsey Isle Of Man IM8 3EH","Permitted","29-Jul-22","Principal Planner- North (CB)","2022"
"22/00525/B","Alteration and erection of extension to first floor over existing garage","2 River Vale Braddan Douglas Isle Of Man IM4 4TH","Permitted","12-Jul-22","Principal Planner- North (CB)","2022"
"22/00526/B","Single storey extension to rear and side elevations","28 St Catherines Close Douglas Isle Of Man IM1 4JA ","Permitted","05-Aug-22","Director 2017+","2022"
"22/00527/B","Single storey extension to the rear of the house and re-roofing to main house and bay window","9 Bay View Road Onchan Isle Of Man IM3 1HX","Permitted","22-Jun-22","Principal Planner- North (CB)","2022"
"22/00529/B","Installation of a rooflight (retrospective)","2 Marguerite Cottage Glen Road Laxey Isle Of Man IM4 7AN","Permitted","13-Oct-22","Principal Planner- North (CB)","2022"
"22/00530/B","Demolition of kitchen and conservatory and erection of replacement kitchen and sunroom with pitched roof also covering garage and workshop","Carraghyn Glenlough Circle Glen Vine Isle Of Man IM4 4AX","Permitted","22-Sep-22","Principal Planner- North (CB)","2022"
"22/00531/B","Creation of a patio door to front elevation","Flat 1 5 The Esplanade Central Promenade Douglas Isle Of Man IM2 4LR ","Refused","31-May-22","Head of Development Management","2022"
"22/00532/B","Erection of agricultural building","Field 624395 Ballavelt Farm  Cornaa Ramsey Isle Of Man  ","Refused","07-Oct-22","Principal Planner - South (JS)","2022"
"22/00533/CON","Registered Building consent for the replacement of ground floor windows and door (in association with PA 22/00534/GB) Registered Building Nos. 31","Lloyd's Pharmacy  1 Malew Street Castletown Isle Of Man IM9 1LG","Permitted","06-Jun-22","Head of Development Management","2022"
"22/00534/GB","Replacement of existing ground floor windows and door (in association with PA 22/00533/CON)","Lloyd's Pharmacy  1 Malew Street Castletown Isle Of Man IM9 1LG","Permitted","06-Jun-22","Head of Development Management","2022"
"22/00536/B","Alteration and erection of a two storey extension to provide ancillary living accommodation","Ballacoraige House Cronk Road Ballaugh Isle Of Man IM7 5AT","Permitted","10-Aug-22","Planning Committee","2022"
"22/00537/B","Siting of a cold storage container and change of use of unit from industrial to food distribution (retrospective)","Unit 9 Kirby Farm Industrial Estate Vicarage Road Douglas Isle Of Man IM4 4LA ","Permitted","02-Sep-22","Principal Planner - South (JS)","2022"
"22/00538/B","Creation of 4 vehicle parking spaces","Tromode House Ballafletcher Road Cronkbourne Douglas Isle Of Man IM4 4QE","Permitted","22-Jun-22","Head of Development Management","2022"
"22/00539/B","Installation of fixed glazed panel / doors to rear elevation","2 Banks Howe Onchan Isle Of Man IM3 2ET ","Permitted","22-Jun-22","Principal Planner- North (CB)","2022"
"22/00540/B","Installation of panelling and rendering","Former Shelter Shore Road Port Erin Isle Of Man IM9 6HL ","Permitted","01-Jul-22","Principal Planner- North (CB)","2022"
"22/00541/B","Removal of existing artificial chimney stack and make roof good and single storey rear extension and attic conversion with front and rear dormers.","10 Imman Stronnag Reayrt Ny Cronk Peel Isle Of Man IM5 1GP ","Refused","21-Jul-22","Principal Planner - South (JS)","2022"
"22/00542/B","Erection of replacement single storey detached double garage","Eairy Kennels Tosaby Road Eairy Isle Of Man IM4 3HP ","Permitted","22-Sep-22","Principal Planner- North (CB)","2022"
"22/00544/B","Rendering of property (Retrospective)","Reaghbel 1 Birchleigh Close Onchan Isle Of Man IM3 4EX ","Permitted","23-Jun-22","Principal Planner- North (CB)","2022"
"22/00545/B","To erect a cycle shelter at the rear of the Town Hall","Town Hall Parliament Square Ramsey Isle Of Man IM8 1RT ","Permitted","15-Jul-22","Principal Planner- North (CB)","2022"
"22/00546/B","To erect a cycle shelter","Car Park Supermarket Station / Bowring Road Ramsey Isle Of Man IM8 2LL ","Permitted","13-Jul-22","Principal Planner- North (CB)","2022"
"22/00547/B","Re-configuration of layout of houses and two no. accessible bungalows","Westhill Avenue Castletown Isle Of Man IM9 1HX","Application Withdrawn","29-Jul-22","Withdrawn","2022"
"22/00548/B","Erection of single storey extension to Dog Kennels to provide indoor exercise area","Dog Kennels Knock E Nean Smeale Road Andreas Isle Of Man IM7 4JA","Permitted","19-Jul-22","Planning Committee","2022"
"22/00549/B","Creation of a parkland campus facility comprising of a head-quarters office building with restaurant, caf, collaborative working areas and 66 associated staff accommodation units with associated landscaping","Former Isle Of Man Holiday Camp Switzerland Road Douglas Isle Of Man  ","Permitted","22-Nov-22","Planning Committee","2022"
"22/00550/B","Side and single storey extension to detached garage","Yn Rheash Corlea Road Ballasalla Isle Of Man IM9 3BA","Refused","21-Oct-22","Principal Planner - Enf (AM)","2022"
"22/00551/B","Change of use to a residential property. Removal of existing garage roof and replace with 2 storey extension, including balcony to front elevation with associated works.","The Garage Esplanade Lane Central Promenade Douglas Isle Of Man IM2 4LP ","Refused","21-Oct-22","Principal Planner - Enf (AM)","2022"
"22/00553/B","Conversion of existing garage into living space, internal alterations and installation of raised deck over existing rear patio","Renshent 18 Manor Park Onchan Isle Of Man IM3 2EP","Permitted","12-Jul-22","Principal Planner- North (CB)","2022"
"22/00554/C","Additional use of residence as tourist accommodation","33 Hope Street Castletown Isle Of Man IM9 1AP","Permitted","12-Sep-22","Principal Planner - South (JS)","2022"
"22/00556/B","Demolish rear conservatory and erection of replacement two storey rear extension and erection of front porch","9 Cronk Y Berry Mooar Douglas Isle Of Man IM2 6HJ","Permitted","26-Aug-22","Principal Planner- North (CB)","2022"
"22/00557/B","Erection of detached single storey storage shed and the erection of a detached single storey leisure building with bi-folding doors to side elevation, erection of replacement front porch and installation of a window in existing rear glazed double door to ","9 Cronk Drean Douglas Isle Of Man IM2 6AX","Permitted","30-Sep-22","Principal Planner- North (CB)","2022"
"22/00558/B","Replacement of an existing window with French doors","Ballacubbon Farmhouse Main Road Colby Isle Of Man IM9 4NF ","Permitted","22-Jun-22","Head of Development Management","2022"
"22/00559/B","Installation of replacement windows","The Coach House Arbory Street Castletown Isle Of Man IM9 1LN ","Permitted","22-Jun-22","Head of Development Management","2022"
"22/00560/B","Convert existing guesthouse into 7no. one bedroom apartments with associated works","8 Clifton Terrace Douglas Isle Of Man IM2 3HX","Permitted","20-Jul-22","Head of Development Management","2022"
"22/00561/B","Extension to existing burial ground","Part Field 434062 Malew And Castletown Burial Ground  Great Meadow Castletown Isle Of Man  ","Permitted","09-Aug-22","Planning Committee","2022"
"22/00562/C","Additional use of agricultural shed for the parking of a HGV vehicle","Upper Ballachrink Farm St Marks Road Ballasalla Isle Of Man IM9 3AG","Permitted","06-Sep-22","Planning Committee","2022"
"22/00563/B","Demolish existing rear sun lounge and erection of replacement single storey extension.","Eaynin Dress 14 The Meadows Kirk Michael Isle Of Man IM6 1EX","Permitted","06-Jul-22","Principal Planner - Enf (AM)","2022"
"22/00564/MCH","Minor change application to reduce the floor area of one unit in Block D and corresponding changes to the elevations","Former Parkinsons Yard Peel Road Braddan Douglas Isle Of Man IM4 4LE ","Permitted","07-Jun-22","Principal Planner - Enf (AM)","2022"
"22/00565/B","Demolish rear conservatory and erection of replacement single storey extension","Thie Ain Ballagawne Road Baldrine Isle Of Man IM4 6EL","Permitted","13-Jul-22","Principal Planner- North (CB)","2022"
"22/00567/B","Installation of larger junction and pedestrian crossings and the creation of a highway and footpath with associated works.","Balthane Junction Douglas Road Ballasalla Isle Of Man IM9 2DJ","Permitted","28-Sep-22","Planning Committee","2022"
"22/00568/GB","Alterations to part of an existing outbuilding in connection with the change of use to a refreshments kiosk (in association with PA 22/00569/CON)","Point Of Ayre Lighthouse Cranstal Bride Isle Of Man IM7 4BS ","Permitted","06-Jul-22","Planning Committee","2022"
"22/00569/CON","Registered Building consent for the replacement of two windows and the installation of lighting on an existing outbuilding (in association with PA 22/00568/GB) Registered Building Nos. 147","Point Of Ayre Lighthouse Cranstal Bride Isle Of Man IM7 4BS ","Permitted","06-Jul-22","Planning Committee","2022"
"22/00570/B","Proposed demolition of existing garage/store and construction of replacement garage/store building","25 Market Street Douglas Isle Of Man IM1 2PA ","Permitted","15-Jul-22","Head of Development Management","2022"
"22/00572/B","Installation of replacement windows and door","10 Auckland Terrace Parliament Street Ramsey Isle Of Man IM8 1AF ","Refused","15-Jul-22","Principal Planner- North (CB)","2022"
"22/00573/B","Erection of proposed detached general storage building to rear of dwelling.","Prospect Villa Andreas Road Aust Ramsey Isle Of Man IM7 4EF ","Refused","02-Aug-22","Principal Planner - South (JS)","2022"
"22/00575/B","Rebuilding of outbuilding including new roof, door and window and installation of three replacement rear windows and rear door (retrospective)","Overdale 5 Albany Road Douglas Isle Of Man IM2 3NP","Permitted","15-Sep-22","Principal Planner - South (JS)","2022"
"22/00576/B","Erection of a storage unit for the duration of 5 years","Unit 2 Ballapaddag Industrial Estate Douglas Isle Of Man IM4 2AF ","Permitted","27-Jun-22","Head of Development Management","2022"
"22/00577/B","Alterations and extension to provide ancillary living accommodation to dwelling and creation new vehicle parking and access","15 Fairway Drive Ramsey Isle Of Man IM8 2BB","Permitted","30-Sep-22","Principal Planner- North (CB)","2022"
"22/00578/B","Alterations including the creation of infill extension, installation of flue, windows, patio door, disability access ramp, re-roofing and demolition of chimney stack","23 Alberta Drive Onchan Isle Of Man IM3 1LT","Permitted","24-Nov-22","Principal Planner- North (CB)","2022"
"22/00579/B","Erection of proposed front canopy porch extension and external alterations to existing Bedroom to provide five roof lights","3 Parsonage Glebe St Johns Isle Of Man IM4 3LT ","Permitted","19-Aug-22","Principal Planner - South (JS)","2022"
"22/00580/B","Alterations and erection of a two storey extension to existing public house to provide restaurant, hotel accommodation and staff manager accommodation with associated alterations to existing car park comprising amendments to PA 21/00336/B","Shore Hotel Old Laxey Hill Laxey Isle Of Man IM4 7DA","Permitted","20-Oct-22","Principal Planner- North (CB)","2022"
"22/00581/LAW","Certificate of lawful development for replacement garage roof and replacement roof tiles to dwelling","44 Alexander Drive  (11 Woodbourne Villas) Douglas Isle Of Man IM2 3QG ","Certificate of Lawfulness AGREED","21-Sep-22","Principal Planner- North (CB)","2022"
"22/00582/B","Creation of single storey extension and masonry porch to front door","45 Knock Rushen Scarlett Castletown Isle Of Man IM9 1TQ ","Permitted","06-Jul-22","Principal Planner - South (JS)","2022"
"22/00583/B","Conversion of building into a single dwelling with integral garage","Former Bakery Christian Street Ramsey Isle Of Man  ","Permitted","12-Sep-22","Principal Planner - Enf (AM)","2022"
"22/00585/B","Alteration and erection of extension to provide living accommodation, ancillary living accommodation and garage","Kiondhooag East Foxdale Road Foxdale Isle Of Man IM4 3HQ","Permitted","26-Oct-22","Principal Planner - South (JS)","2022"
"22/00586/B","Replacement roof and velux windows with associated works","54 Derwent Drive Onchan Isle Of Man IM3 2DA","Permitted","15-Jul-22","Principal Planner - South (JS)","2022"
"22/00587/B","Alterations and repairs to existing outbuilding to change layout and cladding","The Warren Clannagh Road Santon Isle Of Man IM4 2HP ","Permitted","01-Aug-22","Head of Development Management","2022"
"22/00588/B","Replacement shop front to ground floor windows","9 Atholl Place Peel Isle Of Man IM5 1HE","Permitted","22-Jun-22","Head of Development Management","2022"
"22/00589/B","Installation of replacement windows to front elevation to sliding sash double glazed windows in white uPVC frames","37 Woodburn Square Douglas Isle Of Man IM1 4DD ","Permitted","13-Jun-22","Head of Development Management","2022"
"22/00590/B","Installation of an heat pump","11 Abbots Drive Abbotswood Ballasalla Isle Of Man IM9 3EB ","Permitted","24-Jun-22","Head of Development Management","2022"
"22/00591/B","Alterations including ground floor extension at rear of property to provide additional living accommodation","16 The Crofts Castletown Isle Of Man IM9 1LY","Permitted","08-Jul-22","Director 2017+","2022"
"22/00592/CON","Registered Building consent for demolition elements to PA 22/00591/B","16 The Crofts Castletown Isle Of Man IM9 1LY","Permitted","08-Jul-22","Director 2017+","2022"
"22/00593/B","Erection of rear porch. Removal of window apertures and installation of replacement front door and windows with associated works and re-rendering of the property.","7 Ballaquane Park Peel Isle Of Man IM5 1PT","Permitted","29-Jul-22","Principal Planner - South (JS)","2022"
"22/00594/B","Cladding of existing southern elevation following remedial structural repair work","Victory House Prospect Hill Douglas Isle Of Man IM1 1EQ ","Permitted","27-Jun-22","Head of Development Management","2022"
"22/00597/B","Proposed landscaping works - Erection of ornamental marble columns with capping over, together with tree planting / screening","Ballaman Ballnahowe Port Erin Isle Of Man IM9 6JF ","Permitted","15-Jul-22","Principal Planner - South (JS)","2022"
"22/00598/B","Extension to rear of the property","Wayside Saint Marys Road Port Erin Isle Of Man IM9 6JL","Permitted","14-Jul-22","Head of Development Management","2022"
"22/00600/B","Conversion of existing attic room into bedrooms with the installation of front and rear roof dormers","Greenbow Saint Marys Road Port Erin Isle Of Man IM9 6JP ","Permitted","26-Oct-22","Principal Planner - South (JS)","2022"
"22/00601/B","Installation of a flue","22 Crovens Close Douglas Isle Of Man IM2 7AH","Permitted","15-Jul-22","Head of Development Management","2022"
"22/00602/B","Alterations to existing dwelling including roofing works, alterations to windows and doors, installation of new windows, rebuilding of smaller side extension, replacement front porch and partial re-rendering and installation of cladding","Grenaby Bridge House Grenaby Ballasalla Isle Of Man IM9 3BD ","Permitted","29-Dec-22","Director 2017+","2022"
"22/00603/B","Replacement of existing conservatory with single storey extension","7 Pinehurst Glen Douglas Isle Of Man IM2 1PP ","Permitted","20-Jul-22","Principal Planner - South (JS)","2022"
"22/00604/B","Installation of a flue","14 Royal Park Ramsey Isle Of Man IM8 3UF ","Permitted","15-Jul-22","Head of Development Management","2022"
"22/00605/C","Change of use from Office (class 2.1) to Residential (class 3.3)","10 Peel Road Douglas Isle Of Man IM1 4LR","Permitted","05-Aug-22","Principal Planner - South (JS)","2022"
"22/00607/B","Refurbishment of derelict house and barns plus construction of linking extension to form a new dwelling; construction of detached garage / store and creation of new vehicle access using adjacent field","Rollage Ny Twoaie Sloc Road Earystane Colby Isle Of Man IM9 4BW ","Permitted","10-Aug-22","Planning Committee","2022"
"22/00608/B","Replacement roof and associated works","14 Sunnybank Avenue Onchan Isle Of Man IM3 3BW","Permitted","22-Jul-22","Principal Planner- North (CB)","2022"
"22/00611/B","Replace rear bay window with a door and window combination","1 Central Drive Onchan Isle Of Man IM3 1ET","Permitted","19-Aug-22","Principal Planner- North (CB)","2022"
"22/00612/B","Rear single storey extension with bi-folding door","33 Ballachurry Avenue Onchan Isle Of Man IM3 4BA","Permitted","19-Jul-22","Principal Planner- North (CB)","2022"
"22/00613/B","Replacement of existing rear conservatory with sun room. and first floor extension over Garage.","Hollin Bank 39 Hollin Bank Braddan Douglas Isle Of Man IM4 4TT ","Permitted","29-Jul-22","Principal Planner- North (CB)","2022"
"22/00614/B","Installation of replacement windows (Retrospective)","Harbour Bistro  Shipdesign House East Quay Ramsey Isle Of Man IM8 1BA","Permitted","13-Jul-22","Principal Planner- North (CB)","2022"
"22/00615/B","Extension to the rear and side and roof height increased for creation of rooms in the loft and installation of 2 dormers to the rear","5 Kirkway Onchan Isle Of Man IM3 1BH ","Permitted","02-Sep-22","Principal Planner - Enf (AM)","2022"
"22/00616/B","Installation of flue (Retrospective)","30 Cleiy Rhennee Kirk Michael Isle Of Man IM6 1HT ","Permitted","08-Jul-22","Principal Planner- North (CB)","2022"
"22/00617/B","Erection of detached single storey summer house to replace existing shed at the rear","Highcroft Upper Cronk Orry / Ramsey Road   Laxey Isle Of Man IM4 7PR","Permitted","26-Oct-22","Principal Planner - South (JS)","2022"
"22/00618/A","Approval in principle to build a replacement three bedroom two story house with a separate garage and workshop","Thie Dhorlish Rhenab Road Cornaa Ramsey Isle Of Man IM7 1EL ","Refused","12-Aug-22","Principal Planner- North (CB)","2022"
"22/00619/B","Erection of a detached garage","Stoneleigh Glen Road Ballaugh Isle Of Man IM7 5JE","Permitted","02-Nov-22","Principal Planner - South (JS)","2022"
"22/00620/B","Conversion of attached garage into living space with first floor extension above with 2 dormer windows to the front and rear and installation of replacement door and windows to garage door. Erection of replacement front porch and installation of a French ","Hampton Croft Clannagh Road Santon Isle Of Man IM4 2HP ","Permitted","14-Nov-22","Principal Planner - South (JS)","2022"
"22/00621/B","Conversion of attic to bedroom with installation of a rear dormer and the removal of rear chimney stack with associated works","14 Inner Circle Douglas Isle Of Man IM2 5BE","Refused","12-Sep-22","Principal Planner - South (JS)","2022"
"22/00622/B","Erection of replacement single storey front porch","Marlbrook Kerrowmoar Sulby Isle Of Man IM7 2AX ","Permitted","28-Jun-22","Head of Development Management","2022"
"22/00623/B","Installation of enclosure of existing external balcony","110 Kings Court Ramsey Isle Of Man IM8 1LJ ","Permitted","27-Jun-22","Head of Development Management","2022"
"22/00624/B","Install two additional windows for cross ventilation to a stable block","Mountain View Farm Stoney Mountain Road Foxdale Isle Of Man IM4 3HJ ","Permitted","04-Aug-22","Principal Planner - South (JS)","2022"
"22/00625/B","Alteration and erection of a first floor extension","4 Raad Bridjeen Reayrt Ny Cronk Peel Isle Of Man IM5 1GQ ","Refused","20-Jul-22","Head of Development Management","2022"
"22/00627/C","Additional use of staff accommodation as tourist living accommodation","Cottage Berrag Farm Sandygate Ramsey Isle Of Man IM7 3BS ","Permitted","01-Jul-22","Head of Development Management","2022"
"22/00628/B","Erection of Front Porch and installation of Bi-Folding doors to side (South) elevation","17 Cleiy Rhennee Kirk Michael Isle Of Man IM6 1HT","Permitted","13-Jul-22","Head of Development Management","2022"
"22/00629/B","Erection of single storey rear extension","18 Westminster Terrace Douglas Isle Of Man IM1 4EE","Permitted","08-Nov-22","Principal Planner- North (CB)","2022"
"22/00630/C","Change of use from office and retail space to single use bakery and coffee shop (Class 1.1 & 1.3)","Ground Floor Peveril Building Peveril Square Douglas Isle Of Man IM1 2BS ","Permitted","01-Jul-22","Head of Development Management","2022"
"22/00631/B","Erection of single storey side extension to the rear with associated works","17 Pinehurst Avenue Douglas Isle Of Man IM2 1PQ ","Permitted","15-Jul-22","Head of Development Management","2022"
"22/00632/D","Erection of non illuminated signage totem","Advertising Cherry Tree Drive Crosby Isle Of Man IM4 2EE ","Permitted","13-Jul-22","Principal Planner - South (JS)","2022"
"22/00633/MCH","Minor Change application to PA 20/00337/REM involving alterations to approved external and internal layouts including the installation of glass balustrade roof terraces, roof gardens, replacement cladding with Manx slate, roofing alterations and fenestrat","Land Adjoining Far End King Edward Road Onchan Isle Of Man  ","Permitted","25-Jul-22","Head of Development Management","2022"
"22/00634/B","Erection of rear single storey sun lounge with bi-fold door","2 Kirkway Onchan Isle Of Man IM3 1BH ","Permitted","15-Jul-22","Head of Development Management","2022"
"22/00636/B","Erection of rear single storey extension with roof lanterns and bi-folding door and replacement car port to side elevation.","Tavullia Booilushag Ballajora Ramsey Isle Of Man IM7 1BB ","Permitted","19-Jul-22","Head of Development Management","2022"
"22/00637/B","Installation of replacement windows and patio doors","Flat 7 Mount Rule House Mount Rule Douglas Isle Of Man IM4 4HP ","Permitted","29-Jul-22","Principal Planner- North (CB)","2022"
"22/00640/B","Alterations and extensions to provide additional and improved living and garage accommodation to dwelling","28 Belgravia Road Onchan Isle Of Man IM3 1HH","Refused","09-Aug-22","Director 2017+","2022"
"22/00642/B","Replacement of mechanical plant on the first-floor level roof at the rear of the building","First Floor Office Barclays House Victoria Street Douglas Isle Of Man IM1 2LE ","Permitted","30-Sep-22","Principal Planner- North (CB)","2022"
"22/00643/B","Installation of replacement windows and door to front elevation","90 Malew Street Castletown Isle Of Man IM9 1LS","Permitted","14-Jul-22","Principal Planner - South (JS)","2022"
"22/00644/B","Replacement of existing conservatory with a sunroom / family room space to rear of the property","84 Birch Hill Crescent Onchan Isle Of Man IM3 3DA","Permitted","15-Jul-22","Head of Development Management","2022"
"22/00645/B","Erection of single storey side extension behind existing garage, and conversion of one garage into living space with installation of a replacement window to garage door and installation of bi-fold doors to the rear of the property.","2 Fuchsia Road Reayrt Ny Keylley Peel Isle Of Man IM5 1GA ","Permitted","20-Jul-22","Principal Planner - South (JS)","2022"
"22/00646/B","Removal of shared chimney stack to below roof level and then roof over to match existing roof tiles","The Haven & Ballalace Tynwald Road Peel Isle Of Man IM5 1JL","Permitted","28-Jul-22","Principal Planner - South (JS)","2022"
"22/00647/B","Conversion of part residential and commercial unit (classes 1.1 & 3.3) to a single residential unit (class 3.3) with associated works.","58-60 Main Road Onchan Isle Of Man IM3 1AL","Permitted","15-Jul-22","Head of Development Management","2022"
"22/00649/B","Installation of replacement roof tiles","161 Royal Avenue Onchan Isle Of Man IM3 1LG","Permitted","24-Aug-22","Principal Planner- North (CB)","2022"
"22/00650/B","Installation of replacement windows and door to front elevation and replacement rear door","17 Beach Street Peel Isle Of Man IM5 1NJ","Permitted","22-Jun-22","Head of Development Management","2022"
"22/00651/B","Refurbish and remodel existing dwelling, convert attached outbuildings into part of dwelling, and build extension to dwelling","Ballaskelly Farm Mountain Road Onchan Isle Of Man IM4 5BL","Permitted","20-Dec-22","Planning Committee","2022"
"22/00652/B","Conversion of existing building from two residential units to four apartments for residential (class 3.4) and tourism use (class 3.6) and one commercial office (class 2.1) to basement floor level","2 Marathon Terrace Queens Promenade Douglas Isle Of Man IM2 4NH ","Permitted","29-Jul-22","Principal Planner- North (CB)","2022"
"22/00654/B","Erection of an agricultural building","Field Number 420855 Ballagawne Farm Ballagawne Road Ballabeg Castletown Isle Of Man  ","Permitted","06-Oct-22","Principal Planner - South (JS)","2022"
"22/00655/B","Proposed hot food takeaway (class 1.4) (retrospective) and restaurant (class 1.3) together with the installation of a ventilation intake unit and extract flue","Regent Corner House 64 Duke Street Douglas Isle Of Man IM1 2AR","Permitted","24-Nov-22","Principal Planner- North (CB)","2022"
"22/00656/B","Conversion of lower ground floor residential area to self-contained apartment with additional tourist use & longer term lets","Tremasare Lodge Blackberry Lane Douglas Isle Of Man IM2 4PD","Permitted","15-Jul-22","Principal Planner - South (JS)","2022"
"22/00657/LAW","Certificate of lawful development for door / window alterations made to the extension on the first floor resale","Glen Garwick Pack Horse Lane Baldrine Isle Of Man IM4 6DT","Certificate of Lawfulness DECLINED","15-Aug-22","Principal Planner - South (JS)","2022"
"22/00658/B"," Proposed alterations and conversion of existing dwelling into two separate dwellings","4 Falcon Cliff Terrace Douglas Isle Of Man IM2 4AU","Permitted","19-Oct-22","Principal Planner- North (CB)","2022"
"22/00659/B","Conversion of a garage with alterations including the installation of a window to replace a garage door and the installation of a flue","21 King Edward Close Onchan Isle Of Man IM3 2AG","Permitted","15-Jul-22","Head of Development Management","2022"
"22/00660/LAW","Installation of replacement windows and doors and removal of rear chimney stack and erection of satellite dishes (Retrospective)","Zaria 3 Sartfell Road Douglas Isle Of Man IM2 3LZ","Certificate of Lawfulness AGREED","15-Jul-22","Principal Planner- North (CB)","2022"
"22/00661/C","Erection of Summerhouse (Retrospective) and Additional use of summerhouse as tourist living accommodation","North Baldrine House Baldhoon Road Laxey Isle Of Man IM4 7NG","Permitted","16-Sep-22","Principal Planner- North (CB)","2022"
"22/00662/B","Creation of two new residential units with parking","5 Marguerite Place Foxdale Isle Of Man IM4 3HE","Application Withdrawn","19-Oct-22","Withdrawn","2022"
"22/00664/B","Installation of a replacement front door","Harbourside East Quay Ramsey Isle Of Man IM8 1BA","Permitted","22-Jul-22","Principal Planner- North (CB)","2022"
"22/00666/B","Removal of internal downpipes and installation of external rainwater hoppers and downpipes","Queens Court Ramsey Isle Of Man IM8 1LQ","Permitted","19-Aug-22","Principal Planner- North (CB)","2022"
"22/00668/B","Installation of a cycle shelter","Department Of Properties And Estates  Hills Meadow Industrial Estate Douglas IM1 5EF","Refused","20-Jul-22","Principal Planner - South (JS)","2022"
"22/00669/A","Approval in principle for the erection of 2 residential dwellings","Balla Bluff Pinfold Hill Laxey Isle Of Man IM4 7HL","Permitted","09-Aug-22","Planning Committee","2022"
"22/00670/B","Installation of a glazed sliding door to side elevation of detached garage","Greenfields Main Road Colby Isle Of Man IM9 4AE ","Permitted","01-Aug-22","Principal Planner- North (CB)","2022"
"22/00671/B","Variation of condition one of PA 18/00609/B, Erection of detached classroom unit within school grounds (retrospective), to extend period of permission by four years","Buchan School Arbory Road Castletown Isle Of Man IM9 1RD ","Permitted","03-Aug-22","Principal Planner - South (JS)","2022"
"22/00672/GB","Installation of replacement windows to front and side elevations RB 17 (in association with PA 22/00673/CON)","Mannanan House Market Square Castletown Isle Of Man  ","Refused","12-Jul-22","Director 2017+","2022"
"22/00673/CON","Registered Building consent for the installation of replacement windows RB 17 (in association with PA 22/00672/GB)","Mannanan House Market Square Castletown Isle Of Man  ","Refused","12-Jul-22","Director 2017+","2022"
"22/00676/GB","Replacement roof tiles, flat roofs, hanging wall ties, rainwater goods and associated lead work (in association with RB consent application 22/00677/CON)","Ivydene Little Switzerland Douglas Isle Of Man IM2 6AG","Permitted","26-Jul-22","Principal Planner - South (JS)","2022"
"22/00677/CON","Replacement roof tiles, flat roofs, hanging wall tiles, rainwater goods, lead flashings, lead valleys and repointing of chimney brickwork - RB 159 ( in association with application 22/00676/GB)","Ivydene Little Switzerland Douglas Isle Of Man IM2 6AG","Permitted","26-Jul-22","Principal Planner - South (JS)","2022"
"22/00681/B","Erection of two single storey rear extensions with flat roofs, installation of replacement pitch roof over existing swimming pool and creation of driveway around the dwelling.","Ballamin Cottage Lhen Road Bride Isle Of Man IM7 4BG","Permitted","12-Jul-22","Director 2017+","2022"
"22/00683/B","Installation of replacement windows.","15 Bridge Street Peel Isle Of Man IM5 1NF","Permitted","20-Jul-22","Head of Development Management","2022"
"22/00684/B","Erection of replacement front dormer and installation of replacement mid-elevation dormer and installation of replacement screened roof terrace (Min. 1800mm High) over existing garage","The Old Bakehouse Athol Street Port St Mary Isle Of Man IM9 5DS ","Refused","11-Nov-22","Principal Planner - South (JS)","2022"
"22/00685/MCH","Minor Change application to PA 21/01227/B involving alterations to central carport arrays 2 & 3 to share a common roof","Zurich House Isle Of Man Business Park Douglas Isle Of Man IM2 2QZ ","Permitted","01-Jul-22","Head of Development Management","2022"
"22/00686/A","Approval in principle for the erection of a dwelling addressing means of access and parking","Land Adjacent To 40 Greenlands Avenue Ramsey Isle Of Man IM8 2PL ","Refused","26-Oct-22","Principal Planner - South (JS)","2022"
"22/00687/C","Application for the change of use of the managers house from a dwelling to a self catering cottage for tourism and other","Broogh Fort Clay Pigeon Range Moaney Road Santon Isle Of Man IM4 1HY","Permitted","05-Aug-22","Director 2017+","2022"
"22/00688/B","Installation of a pitched roof dormer to rear bathroom with associated works.","The Coote Ballnahowe Road Ballnahowe Port Erin Isle Of Man IM9 6JF ","Permitted","20-Jul-22","Head of Development Management","2022"
