"PA Ref","Details","Local Authority","Date","Pub Date","URL"
"23/00805/B","Erection of two agricultural buildings and re-grading works to field 414783 Field 414783  Ballachrink Farm, Surby Port Erin IM9 6QR ","RUSHEN","2 Aug 2023","2024-06-07","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00805/B"
"24/00599/B","Installation of two flues 5 Bradda View Ballakillowey Colby Isle Of Man IM9 4BE ","RUSHEN","4 Jun 2024","2024-06-07","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00599/B"
"24/00606/C","Change of use to storage compound, siting of shipping container, erection of summerhouse, erection of fence and vehicle access (retrospective) Unit 25 The Old Airfield Braust Andreas Isle Of Man IM7 4JB ","ANDREAS","28 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00606/C"
"24/00596/C","Additional use of ten parking spaces for overnight parking and occupation by ten motorhomes The Wildlife Park The Curragh Ballaugh Isle Of Man IM7 5EA ","BALLAUGH","28 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00596/C"
"24/00615/B","Application for the removal of condition 4 of planning permission 23/01021/B Unit 2 Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QR ","BRADDAN","29 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00615/B"
"24/00576/B","Installation of replacement balustrade to front and rear balconies 18 Brewery Wharf Castletown Isle Of Man IM9 1EU ","CASTLETOWN","29 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00576/B"
"24/00578/B","Installation of replacement balustrade to front and rear balconies 19 Brewery Wharf Castletown Isle Of Man IM9 1EU ","CASTLETOWN","29 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00578/B"
"24/00616/B","Rear extension, steps/new access, renovation of windows/front door, upgrading of front elevation to original stone, and additional use as tourist accommodation. 32 Queen Street Castletown Isle Of Man IM9 1PA ","CASTLETOWN","29 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00616/B"
"24/00538/B","Replace existing brickwork on front elevation with cladding 15 Cronk Drean Douglas Isle Of Man IM2 6AX ","DOUGLAS","29 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00538/B"
"24/00577/B","Installation of a replacement shop front, front door and three air conditioning units to rear elevation 16 Prospect Terrace Woodbourne Road Douglas Isle Of Man IM1 3AL ","DOUGLAS","29 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00577/B"
"24/00579/B","Erection of a rear extension; reconfiguration of fence line to the rear. 34 Ballakermeen Close Douglas Isle Of Man IM1 4HU ","DOUGLAS","28 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00579/B"
"24/00589/B","Installation of replacement windows and doors 15 Primrose Avenue Douglas Isle Of Man IM1 4EA ","DOUGLAS","28 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00589/B"
"24/00611/GB","Replacement roof to the single storey side extension, erection of decking, the installation of an air source heat pump and the creation of two doors in existing window openings (retrospective) 2 Victoria Terrace Douglas Isle Of Man IM2 4EU ","DOUGLAS","29 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00611/GB"
"24/00617/B","Variation of condition 5 of planning consent 21/00527/B to permit stays of up to 14 days in the motorhome aire in the Boneyard of Noble\'s Park. Hardstanding To Rear Of Grandstand Nobles Park Douglas Isle Of Man  ","DOUGLAS","29 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00617/B"
"24/00624/B","Installation of 13 replacement third floor windows Jubilee Buildings Victoria Street Douglas Isle Of Man  ","DOUGLAS","24 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00624/B"
"24/00630/B","Replacement of existing front door and surround 27 Hutchinson Square Douglas Isle Of Man IM2 4HP ","DOUGLAS","21 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00630/B"
"24/00590/C","Additional use of two parking spaces for overnight parking and occupation by two motorhomes Axnfell Plantation Car Park Chibbyr Pheric Road Glen Roy Laxey Isle Of Man  ","GARFF","28 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00590/C"
"24/00603/B","Variation of condition 1 of PA 21/01308/B (Creation of Viking Settlement for education and entertainment purposes including erection of buildings and means of access) to extend the period of approval for a further three years Kattegat Jurby Road Sandygate Ramsey Isle Of Man IM7 3AG ","JURBY","28 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00603/B"
"24/00106/B","Demolition of existing dwelling; construction of 2 replacement dwellings; minor relocation of existing entrance and formation of new entrance East View  Sulby Bridge Sulby IM7 2EU ","LEZAYRE","8 Feb 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00106/B"
"24/00534/B","Conversion of existing redundant storage barn to provide a residential dwelling Barn Adj To Field 134413 Churchtown Ramsey Isle Of Man  ","LEZAYRE","28 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00534/B"
"24/00580/B","Removal of chimney stacks, internal alterations and removal of one window (partially retrospective) Kerrowmooar 5 Greeba Avenue Glen Vine Isle Of Man IM4 4ED ","MAROWN","24 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00580/B"
"24/00562/A","Approval in Principle for the erection of a detached dwelling with driveway and access, addressing the means of access 24 Birch Hill Grove Onchan Isle Of Man IM3 4EN ","ONCHAN","28 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00562/A"
"24/00595/B","Installation of replacement windows and render works to front elevation 29 Majestic Drive Onchan Isle Of Man IM3 2JL ","ONCHAN","24 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00595/B"
"24/00569/B","Demolition of existing former Empire Garage Showroom, workshop and garages building, and erection of seven dwellings with new road, parking, external works, foul and surface water drainage and reinstatement of the roads and pavements The Former Empire Garage Showroom  Marine Parade Peel, IM5 1PA  ","PEEL","29 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00569/B"
"24/00570/CON","Registered Building Consent for demolition elements to PA 24/00569/B The Former Empire Garage Showroom  Marine Parade Peel, IM5 1PA ","PEEL","29 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00570/CON"
"24/00597/B","Replacement of existing external front door 12 Gib Lane Peel Isle Of Man IM5 1PD ","PEEL","28 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00597/B"
"24/00608/GB","Removal of railings from external boundary wall (in association with 24/00609/CON) St Pauls Church Market Place West Ramsey Isle Of Man IM8 1JJ ","RAMSEY","28 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00608/GB"
"24/00609/CON","Registered building consent for removal of railings (in association with 24/00608/GB) St Pauls Church Market Place West Ramsey Isle Of Man IM8 1JJ ","RAMSEY","28 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00609/CON"
"24/00631/B","Installation of replacement front doors 2 And 3 Barrack Lane Ramsey Isle Of Man IM8 1BE ","RAMSEY","28 May 2024","2024-05-31","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00631/B"
"24/00527/GB","Construction of retaining walls and terrace on west elevation (in association with RB consent application 24/00529/CON) Lorne House Douglas Street Castletown Isle Of Man IM9 1AZ ","CASTLETOWN","21 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00527/GB"
"24/00529/CON","Registered building consent for construction of retaining wall and terrace on west elevation RB 269 (in association with 24/00527/GB) Lorne House Douglas Street Castletown Isle Of Man IM9 1AZ ","CASTLETOWN","21 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00529/CON"
"24/00239/B","Installation of additional supporting corbel and steel post to underside of balcony and overhanging gable on front elevation. 15 And 16 Queens Terrace Douglas Isle Of Man IM1 4BZ ","DOUGLAS","9 Apr 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00239/B"
"24/00471/B","Installation of a roof light, replacement roof tiles, removal of a chimney stack, creation of French doors within existing dormer opening and formation of a first floor terrace with associated glazed balustrade The Pantiles Ballanard Road Douglas Isle Of Man IM2 5HA ","DOUGLAS","21 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00471/B"
"24/00509/B","Reduction in height of existing chimney 9 Brisbane Street Douglas Isle Of Man IM1 3JH ","DOUGLAS","21 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00509/B"
"24/00539/B","Installation of replacement windows and doors 49 Hildesley Road Douglas Isle Of Man IM2 5AX ","DOUGLAS","22 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00539/B"
"24/00557/B","Installation of replacement roof slates, fascia, soffits gutters and down pipes 8-20 Windsor Terrace Douglas Isle Of Man IM1 3LT ","DOUGLAS","21 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00557/B"
"24/00594/B","Installation of a replacement front door with fanlight 1 Cambridge Terrace Douglas Isle Of Man IM1 3LL ","DOUGLAS","20 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00594/B"
"24/00519/B","Alterations, removal of existing extensions, erection of a ground floor rear extension and front porch and landscaping works Gob Ny Creg The Colony Port Lewaigue Ramsey Isle Of Man IM7 1AL ","GARFF","21 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00519/B"
"24/00546/B","Erection of a rear extension (amendment to PA 21/00357/B) 5 Bay View Terrace Laxey Isle Of Man IM4 7DG ","GARFF","22 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00546/B"
"24/00567/B","Partial removal of Manx sod bank (retrospective) and erection of Manx sod bank to match existing Dhoon School Glen Mona Ramsey Isle Of Man IM7 1HA ","GARFF","20 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00567/B"
"24/00561/B","Erection of a two storey dwelling with associated groundworks, drainage and site access amendments Balladoyne Main Road St Johns Isle Of Man IM4 3NA ","GERMAN","22 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00561/B"
"24/00593/C","Additional use of two parking spaces for overnight parking and occupation by two motorhomes Saw Mills Car Park Foxdale Road St Johns Isle Of Man IM4 3AS ","GERMAN","22 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00593/C"
"24/00525/B","Alterations and erection an extension to side elevation of dwelling Croit A Curleod Ballacaley Road Sulby Isle Of Man IM7 2HS ","LEZAYRE","21 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00525/B"
"24/00526/B","Erection of a detached garden room Gorsty Knoll Foxdale Road Eairy Isle Of Man IM4 3HN ","MALEW","20 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00526/B"
"24/00556/B","Creation of a window to side elevation and bi folding doors to rear elevation of garage to provide additional living accommodation 51 King Orry Road Glen Vine Isle Of Man IM4 4FL ","MAROWN","22 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00556/B"
"24/00560/B","Replacement playground equipment Crowes Field Recreation Ground  Main Road Kirk Michael IM6 1HG  ","MICHAEL","21 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00560/B"
"24/00493/B","Conversion, alteration and extension of Chain Home Radar Bunker to create a dwelling. Radar Bunker Creg Lea Farm Niarbyl Road Dalby Isle Of Man IM5 3BS ","PATRICK","30 Apr 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00493/B"
"24/00566/C","Change of use of building for the storage of vehicles (retrospective) Former Milk Depot Approach Road Ramsey Isle Of Man IM8 1EB ","RAMSEY","20 May 2024","2024-05-24","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00566/C"
"24/00170/B","Vehicular entrance modifications to improve access Ballig Farm West Baldwin Isle Of Man IM4 5EU ","BRADDAN","21 Feb 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00170/B"
"23/01200/B","Conversion of building from retail (class 1.1) to a community facility (class 4.3) Removal House  39 Finch Road Douglas IM1 2PW","DOUGLAS","1 Nov 2023","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01200/B"
"24/00522/B","Demolition of single-storey extension and erection of rear two-storey extension 15 Hatfield Grove Douglas Isle Of Man IM1 3HE ","DOUGLAS","10 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00522/B"
"24/00531/B","Erection of rear single storey extension 9 Cronk Y Berry Beg Douglas Isle Of Man IM2 6HA ","DOUGLAS","15 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00531/B"
"24/00541/B","Demolition of existing outbuilding and erection of an extension to side elevation 21 Ballakermeen Drive Douglas Isle Of Man IM1 4JE ","DOUGLAS","13 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00541/B"
"24/00559/B","Installation of five replacement windows to front elevation and one replacement window to rear elevation 29 Lancaster Road Douglas Isle Of Man IM2 5BB ","DOUGLAS","10 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00559/B"
"24/00568/B","Installation of replacement windows to front elevation 22 Kensington Road Douglas Isle Of Man IM1 3EP ","DOUGLAS","14 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00568/B"
"24/00540/B","Erection of two detached dwellings with associated garage, driveway and access Southview Minorca Hill Laxey Isle Of Man IM4 7DP ","GARFF","13 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00540/B"
"24/00547/B","Provision of mobile classroom containing two classrooms and toilet facilities QEII High School Douglas Road Peel Isle Of Man IM5 1RD ","GERMAN","13 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00547/B"
"24/00305/C","Change of use of industrial unit to dog grooming and kennelling (retrospective) Units 6 - 7 Parville Court Balthane Industrial Estate Balthane Ballasalla Isle Of Man  ","MALEW","13 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00305/C"
"24/00514/REM","Reserved Matters application to PA 21/01478/A for the erection of a detached dwelling with associated driveway and landscaping, addressing siting, internal layout, landscaping, drainage, design, and external appearance Land East Of Watersmeet Phildraw Road Ballasalla Isle Of Man IM9 3DU ","MALEW","9 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00514/REM"
"24/00528/B","Demolition of existing building and erection of a replacement detached dwelling with integral garage, associated greenhouse, summerhouse and workshop and re-establish existing access on Mill Road Abbey Mill Lodge Bridge Road Ballasalla Isle Of Man IM9 3DA ","MALEW","15 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00528/B"
"24/00553/B","Provision of mobile classroom containing one classroom and toilet facilities Adjacent To Existing Nursery Mobile Ballasalla School Douglas Road Ballasalla Isle Of Man IM9 2LA ","MALEW","13 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00553/B"
"24/00555/B","Provision of a mobile classroom containing one classroom and toilet facilities to replace existing units Community Cabins Ballasalla School Douglas Road Ballasalla Isle Of Man IM9 2LA ","MALEW","13 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00555/B"
"24/00440/B","Relocation and reorientation of 2no. agricultural buildings, and alteration to site levels (retrospective) Field 324368 Top Road Crosby Isle Of Man  ","MAROWN","24 Apr 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00440/B"
"24/00495/B","Change of use from residential to additional use as part tourism / self catered accommodation, together with new double doors and access with new steps and terraced area, with carport below (amendment to PA 23/01317/B) Stoneycroft Glen Vine Road Glen Vine Isle Of Man IM4 4HF ","MAROWN","15 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00495/B"
"24/00511/B","First floor infill extension Close Mooar Glen Darragh Road Glen Vine Isle Of Man IM4 4BE ","MAROWN","9 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00511/B"
"24/00518/B","Erection of a motorcycle garage / workshop and widening of existing vehicular access East Lodge Main Road Crosby Isle Of Man IM4 4BH ","MAROWN","14 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00518/B"
"24/00532/C","Additional use of tourist accommodation (class 3.6) as residential (class 3.3) Vicarage Holiday Cottages Land At Glebe Farm Main Road Kirk Michael Isle Of Man IM6 2HD ","MICHAEL","15 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00532/C"
"24/00515/B","Alteration to external finish of walls Dreemskerry Lag Birragh Drive Onchan Isle Of Man IM3 2JW ","ONCHAN","10 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00515/B"
"24/00551/B","Removal of clay tiles and wooden battens and apply render to front elevation Howend 61 Howe Road Onchan Isle Of Man IM3 2AY ","ONCHAN","15 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00551/B"
"24/00477/B","Conversion of existing Workshop into Residential accommodation (with additional Tourism Use) and construction of single storey residential extension (with additional Tourism Use) with Roof Terrace over Thie Ain Gordon Peel Isle Of Man IM5 3AT ","PATRICK","14 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00477/B"
"24/00497/B","Conversion of grassed car parking area to hardstanding Knockaloe Mart Patrick Village Isle Of Man IM5 3AJ ","PATRICK","10 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00497/B"
"24/00521/D","Installation of illuminated and non-illuminated signage Supermarket 13 Michael Street Peel Isle Of Man IM5 1HB ","PEEL","15 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00521/D"
"24/00543/B","Creation of off-road parking space within residential curtilage 44 Ballamaddrell Port Erin Isle Of Man IM9 6BA ","PORT ERIN","10 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00543/B"
"24/00558/B","Erection of a single storey extension with associated flue 2 The Crofts The Level Colby Isle Of Man IM9 4AL ","RUSHEN","14 May 2024","2024-05-17","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00558/B"
"24/00533/REM","Reserved Matters application to PA 22/00991/A for the erection of a two storey farmworkers\' dwelling with attached garage, associated parking/garden area and potential for ground mounted solar panels addressing siting, landscaping, drainage, design, internal layout, external appearance and means of access Field 124429 The Lhen Andreas Isle Of Man IM7 3EH ","ANDREAS","8 May 2024","2024-05-10","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00533/REM"
"24/00484/B","Demolish existing conservatory and create single storey rear extension 14 Ballachrink Colby Isle Of Man IM9 4PB ","ARBORY","3 May 2024","2024-05-10","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00484/B"
"23/01285/B","Erection of a new detached dwelling and re-alignment of access road, (part retrospective), at Plot 4, Stable Fields, Station Road, Ballaugh Field 224255 Station Road Ballaugh Isle Of Man  ","BALLAUGH","7 Nov 2023","2024-05-10","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01285/B"
"24/00466/B","Renovation of cottage and outbuilding to include alterations to window/door openings, creation of a detached garage/store, erection of wall for privacy and new vehicular access with associated driveway and parking area The Barn Bollyn Road Ballaugh Isle Of Man IM7 5AY ","BALLAUGH","3 May 2024","2024-05-10","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00466/B"
"24/00357/B","Replacement of garage door with a window (retrospective) 22 Victoria Terrace Douglas Isle Of Man IM2 4EX ","DOUGLAS","8 May 2024","2024-05-10","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00357/B"
"24/00434/B","Improvement works, replacing the boundary bollards and railings and relocating pay machines Bottleneck Car Park Loch Promenade Douglas Isle Of Man  ","DOUGLAS","17 Apr 2024","2024-05-10","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00434/B"
"24/00549/B","Installation of patio doors to replace rear window (retrospective) The Briars 43 Hawarden Avenue Douglas Isle Of Man IM1 4BW ","DOUGLAS","8 May 2024","2024-05-10","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00549/B"
"24/00550/B","Installation of replacement ground floor windows to front elevation Elworth House Hilary Park Douglas Isle Of Man IM2 3ED ","DOUGLAS","8 May 2024","2024-05-10","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00550/B"
"24/00537/C","Change of use of existing ancillary accommodation to self contained residential or tourist accommodation Moaney Woods Cottage Lonan Church Road Laxey Isle Of Man IM4 7JX ","GARFF","8 May 2024","2024-05-10","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00537/C"
"24/00510/C","Additional use of basement for picture-framing business Glen Cam Farm Corlea Road Ballasalla Isle Of Man IM9 3BA ","MALEW","2 May 2024","2024-05-10","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00510/C"
"24/00512/B","Replacement of 6 windows and a front door. Slieau Dhoo Main Road Kirk Michael Isle Of Man IM6 1AD ","MICHAEL","2 May 2024","2024-05-10","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00512/B"
"24/00503/B","Erection of extension to replace porch with balcony above and creation of doorways from existing windows to ground floor North West elevation and first floor South East elevation Cronk Airh 22 Albany Road Peel Isle Of Man IM5 1JR ","PEEL","8 May 2024","2024-05-10","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00503/B"
"24/00524/B","Installation of a replacement side door 6 Market Place Peel Isle Of Man IM5 1AB ","PEEL","8 May 2024","2024-05-10","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00524/B"
"24/00505/B","First floor south elevation window altered to a doorway onto the balcony. Installation of glass panels to top of balcony balustrade. Ivydene Shore Road Underway Port St Mary Isle Of Man IM9 5DX ","PORT ST MARY","3 May 2024","2024-05-10","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00505/B"
"24/00468/B","Redevelopment of an existing Sure Mobile site that will consist of replacing the current lightweight lattice tower with a new 8 meter slimline lattice tower with multiple mobile panel antennas/dishes/radio kit with associated ground equipment and boundary fence Sure Mobile Site  Field 114490 West Kimmeragh Farm Bride IM7 4BA ","BRIDE","25 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00468/B"
"24/00500/B","Erection of a detached building to store private vehicles, equipment and vehicles associated with site maintenance, solar panel associated equipment and log storage The Grange Bride Isle Of Man IM7 4AT ","BRIDE","29 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00500/B"
"24/00520/CON","Affixing of blue commemorative plaque to exterior wall Railway Station Victoria Road Castletown Isle Of Man IM9 1EF ","CASTLETOWN","1 May 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00520/CON"
"24/00237/B","Erection of wooden summer house in back garden 18 Ballaughton Manor Hill Douglas Isle Of Man IM2 1NZ ","DOUGLAS","30 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00237/B"
"24/00410/C","Change of use from shop (1.1) to hot food takeaway (1.4) and food and drink (1.3) 66 Bucks Road Douglas Isle Of Man IM1 3AF ","DOUGLAS","30 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00410/C"
"24/00472/B","Extended Balcony, New Sliding Doors to Replace Window & Blocking Up Doorway 31 Reayrt Carnane Douglas Isle Of Man IM2 5LN ","DOUGLAS","26 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00472/B"
"24/00478/C","Change of Use from offices to dwelling. 25 Hope Street Douglas Isle Of Man IM1 1AR ","DOUGLAS","24 Apr 2024","2024-05-03","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00478/C"
