"PA Ref","Proposal","Property Address","Decision","PA Decision Issued","Determining Body","Appeal Lodged","Appeal Determined","Appeal Decision","Year","URL"
"18/00338/C","Use of agricultural building as dog day care and training facility (retrospective)","The Barn Strenaby Farm Abbeylands Isle Of Man  ","Refused","05-Sep-18","Head of Development Management","11-Sep-18","08-Jan-19","Approved at Appeal","2019","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00338/C"
"18/00134/B","Erection of a detached dwelling","Plot 3 Adjacent To Arbory Vicarage Main Road Ballabeg Castletown Isle Of Man IM9 4BT ","Refused","05-Dec-18","Head of Development Management","17-Dec-18","06-Mar-19","Approved at Appeal","2019","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00134/B"
"17/01205/B","Erection of a building to provide two staff residential units and office accommodation with associated landscaping and parking","Land At Arragon House Santon Isle Of Man  ","Refused","04-Sep-18","Planning Committee","11-Sep-18","05-Feb-19","Refused at Appeal","2019","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01205/B"
"16/00650/B","Creation of three residential plots including access and erection of a detached dwelling with attached garage on plot one","Field Adjacent To Beechfield Glen Auldyn Ramsey Isle Of Man  ","PER","","","","04-Sep-18","APER","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/00650/B"
"16/01131/REM","Reserved Matters details of the construction of seven dwellings with associated drainage, landscaping, access, lighting, pedestrian crossing and parking relating to PA 15/00775/A","Field 320653 Main Road Crosby Isle Of Man  ","PER","","","","08-Mar-18","APER","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/01131/REM"
"16/01314/REM","Reserved Matters application for the construction of 21 residential units and 1 retail unit with parking (relating to PA 15/00775/A)","Field 320653 Main Road Crosby Isle Of Man  ","REF","","","","08-Mar-18","ASPLIT","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/01314/REM"
"16/01401/B","Erection of a detached dwelling with associated driveway and access and erection of stables","Land Adjacent To Cass A Lergy Douglas Road Kirk Michael Isle Of Man   ","REF","","","","08-Jan-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/01401/B"
"17/00006/B","Demolition of existing dwellings, garage and outbuildings and erection of four dwellings","Cliffside And End Cafe The Promenade Laxey Isle Of Man IM4 7DD ","REF","","","","15-Mar-18","APER1","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00006/B"
"17/00315/B","Erection of detached dwelling","The Dutch Garden 26 Marathon Road Douglas Isle Of Man IM2 4HL","REF","","","","19-Jan-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00315/B"
"17/00330/B","Additional use and conversion of retail units to form two residential units for permanent and tourist use","17 And 19 Malew Street Castletown Isle Of Man  ","REF","","","","15-Jan-18","APER","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00330/B"
"17/00386/B","Use of land for tourist purposes, comprising a caravan/motorhome site (up to 46 caravans/motorhomes in total) and a campsite comprising up to 120 tent pitches, along with the erection of 2 yurts and 8 log cabins and 8 camping pods and ancillary facilities","Glen Wyllin Camp Site Glen Wyllin Kirk Michael Isle Of Man IM6 1AL ","REF","","","","02-Aug-18","ARDE","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00386/B"
"17/00403/B","Erection of an extension","49 Ormly Road Ramsey Isle Of Man IM8 3LH","PER","","","","17-Jan-18","APER","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00403/B"
"17/00462/B","Construction of 7 bungalows and 6 garages, including vehicular access","Land Adjacent To Ginger Hall Hotel Ballamanagh Road Sulby Isle Of Man  ","PER","","","","19-Jul-18","APER","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00462/B"
"17/00492/B","Erection of an agricultural storage building","Field 210659 Rhendhoo Road Jurby Isle Of Man  ","REF","","","","08-Mar-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00492/B"
"17/00739/C","Change of use of site for the processing and storage of firewood, storage of related equipment, all in connection with landscaping and tree care company (retrospective)","Close Lake Jurby Road Andreas Isle Of Man IM7 2EJ ","PER","","","","17-Jan-18","APER","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00739/C"
"17/00760/B","Erection of dwelling","Land Adjacent To Farmhill Farm Farmhill Lane Douglas Isle Of Man  ","REF","","","","12-Dec-18","APER1","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00760/B"
"17/00781/B"," Erection of a single storey garage, erection of first floor lounge extension with amenity area and erection of balustrading (amendment to 14/00255/B) - part retrospective","Honey Bear House 98 Ballagarey Road Glen Vine Isle Of Man IM4 4EU ","PER","","","","19-Jul-18","APER","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00781/B"
"17/00795/B","Alterations to property including removal of a chimney stack, installation of rooflights and installation of two new window openings","8 Fort William Head Road Douglas Isle Of Man IM1 5BQ ","PER","","","","18-Apr-18","APER","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00795/B"
"17/00815/B","Erection of partial replacement fencing and landscaping (retrospective)","Rhianfa Ballafayle Ramsey Isle Of Man IM7 1ED ","REF","","","","29-May-18","APER1","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00815/B"
"17/00831/A","Approval in principle for the erection of a detached residential dwelling addressing siting and means of access","Field 314381 Adjacent To Ta Thie Ain Laurel Bank St Johns Isle Of Man  ","REF","","","","29-May-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00831/A"
"17/00843/B","Demolition of existing garage and outbuilding, and erection of two dwellings with on site parking","Land And Garage Adj To Maycroft Park Road Port St. Mary Isle Of Man  ","REF","","","","17-Jan-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00843/B"
"17/00868/B","Two storey extension to rear and side of dwelling and creation of patio to rear","Hazeldene 2 Ballaquinnea Cottages Braaid Road Glen Vine Isle Of Man IM4 2AS","PER","","","","15-Jan-18","APER","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00868/B"
"17/00915/B","Erection of a marquee for a period of 60 days over the Christmas period for use as an ice rink","Car Park Tynwald Mills Road St Johns Isle Of Man  ","REF","","","","09-Mar-18","AWDN","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00915/B"
"17/00924/B","Erection of a garage","Adjacent To  Oban House Ballure Road Ramsey Isle Of Man IM8 1ND","REF","","","","03-May-18","APER1","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00924/B"
"17/00939/B","Replacement dwelling with attached garage","Clarecourt Marathon Road Douglas Isle Of Man IM2 4HL","REF","","","","28-Jun-18","APER1","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00939/B"
"17/00947/B","Demolition of existing building and erection of a 72 bedroom residential care home with associated car parking, access, landscaping and highway alterations","Spaldrick House Bradda Road Port Erin Isle Of Man IM9 6PQ","REF","","","","26-Mar-18","APER1","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00947/B"
"17/00950/B","Replacement timber plain glazed windows to front elevation","Methodist Church Arbory Street Castletown Isle Of Man IM9 1LN","REF","","","","28-Jun-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00950/B"
"17/00969/B","Installation of Children's Playground Equipment","Public Open Space Church Close Lonan Laxey Isle Of Man  ","PER","","","","29-May-18","APER","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00969/B"
"17/00976/B","Demolition of existing building and construction of three apartments with on site parking/garages","Bay View Hotel Primrose Terrace Port St. Mary Isle Of Man IM9 5AP","REF","","","","29-May-18","APER1","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00976/B"
"17/00988/B","Erection of detached farm workers dwelling and garage","Field 234710 Orrisdale Kirk Michael Isle Of Man  ","REF","","","","13-Aug-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00988/B"
"17/01021/C","Change of use of part of upper floor from office use and meeting room to food retail and preparation of food products for retail at the premises","Ballafletcher House Ballafletcher Farm Road Cronkbourne Douglas Isle Of Man IM4 4QE ","REF","","","","09-Jul-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01021/C"
"17/01029/B","Alterations and extensions to tyre fitting workshop","45 - 46 Derby Square Douglas Isle Of Man IM1 3LP","PER","","","","01-Aug-18","APER","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01029/B"
"17/01043/B","Re-alignment driveway access erection of gateway piers/pillars","Copper Top Booilushag Ballajora Ramsey Isle Of Man IM7 1BD","PER","","","","09-Oct-18","APER","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01043/B"
"17/01067/B","Erection of temporary facility to provide stabling for tram horses, comprising a stable building, hay store, staff and welfare facilities and parking for a period of 5 years","Part Of Summerland Site King Edward Road Douglas Isle Of Man  ","PER","","","","29-May-18","AREF1","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01067/B"
"17/01116/B","Replacement timber front door","7 Eastfield Douglas Isle Of Man IM1 4AU","REF","","","","03-May-18","APER1","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01116/B"
"17/01132/A","Approval in principle for the erection of a dwelling","Land At Great Gates Main Road Santon Isle Of Man  ","REF","","","","28-Jun-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01132/A"
"17/01137/B","Conversion of garage for additional living accommodation","Ballagorry Heights Ballagorry Drive Glen Mona Ramsey Isle Of Man IM7 1HE","PER","","","","01-Aug-18","APER","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01137/B"
"17/01189/B","Demolition of existing hotel and erection of four terraced dwellings with associated parking and amenity space","Waterfall Hotel Shore Road Glen Maye Isle Of Man IM5 3BG","REF","","","","09-Oct-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01189/B"
"17/01234/B","Alterations and erection of extension","Crag Vannin Lower Dukes Road Douglas Isle Of Man IM2 4BN","REF","","","","02-Aug-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01234/B"
"17/01254/B","Demolition of former Glen Helen Inn and erection of a single storey welcome centre with cafe facility, and the erection of 12 glamping pods for tourist accommodation","Glen Helen Lodge Glen Helen St Johns Isle Of Man IM4 3NP ","PER","","","","12-Apr-18","ADEPT","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01254/B"
"17/01270/A","Approval in principle for the demolition of existing building and the erection of a dwelling","6 - 7 Fort William Head Road Douglas Isle Of Man IM1 5BG ","REF","","","","09-Oct-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01270/A"
"17/01298/A","Approval in principle for erection of four dwellings to replace existing dwelling, addressing siting and means of access","Millmount House Millmount Douglas Isle Of Man IM2 1HD","PER","","","","01-Aug-18","APER","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01298/A"
"17/01312/B","Erection of a replacement dwelling with associated access and parking","Skeddan Veg Fort Island Road Derbyhaven Isle Of Man IM9 1TZ","REF","","","","22-Nov-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/01312/B"
"18/00029/A","Approval in principle for the residential development of site including siting, design and means of access","Palm Court And Jurby Garage Coast Road Jurby Isle Of Man IM7 3ET","REF","","","","09-Oct-18","APER1","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00029/A"
"18/00071/GB","Installation of a sewage treatment plant (in association with 18/00072/CON)","Land Adjacent To Kates Cottage, Keppel Gate Mountain Road Onchan Isle Of Man  ","PER","","","","12-Apr-18","ADEPT","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00071/GB"
"18/00072/CON","Registered Building consent for the installation of a sewage treatment plant (in association with 18/00071/GB) Registered Building Nos. 117","Kate's Cottage Mountain Road Onchan Isle Of Man IM4 5BP","PER","","","","12-Apr-18","ADEPT","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00072/CON"
"18/00091/B","Erection of a replacement dwelling with associated landscaping","Denizli Booilushag Ballajora Ramsey Isle Of Man IM7 1BD","PER","","","","01-Aug-18","APER","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00091/B"
"18/00117/B","Alterations and erection of first floor extension to existing studio apartment","Garage Poyl Breck East Baldwin Isle Of Man  ","REF","","","","09-Oct-18","APER1","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00117/B"
"18/00161/B","Extension to existing quarry","Field 432440 And Part Field 432475, Adjacent Billown Quarry Foxdale Road Ballasalla Isle Of Man  ","PER","","","","02-Aug-18","ADEPT","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00161/B"
"18/00191/B","Alterations, enlargement of gable window to a doorway and installation of an external staircase to side elevation","7 Birch Hill Crescent Onchan Isle Of Man IM3 3JA","REF","","","","09-Oct-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00191/B"
"18/00238/B","Replacement of existing stable and tack store with stables and implement store","Field 134425 Glen Auldyn Ramsey Isle Of Man  ","REF","","","","03-Dec-18","APER1","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00238/B"
"18/00262/B","Alterations and erection of first floor extension","Hillview Kiondroghead Road Andreas Isle Of Man  ","REF","","","","01-Oct-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00262/B"
"18/00267/B","Erection of a conservatory above existing garage, and creation of opening and juliette balcony from new first floor living accommodation","Honey Hey Highfield Drive Baldrine Isle Of Man IM4 6EE","REF","","","","09-Oct-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00267/B"
"18/00273/B","Rendering the front elevation of property","4 Switzerland Terrace Douglas Isle Of Man IM2 4NQ","REF","","","","12-Dec-18","APER1","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00273/B"
"18/00298/B","Installation of replacement windows to roadside elevation","Seaward Bridge Street Castletown Isle Of Man IM9 1AX","PER","","","","12-Dec-18","APER1","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00298/B"
"18/00326/B","Alterations to create additional accommodation at first floor level including repositioning of front door and installation of dormer to south elevation","16 Claughbane Avenue Ramsey Isle Of Man IM8 2BF ","REF","","","","01-Oct-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00326/B"
"18/00329/REM","Reserved Matters application for the construction of retail unit with associated parking (relating to PA 15/00775/A)","Field 320653 And Part Field Nos 324324, 324323 & 324321 Ballaglonney Farm Peel Road Crosby Isle Of Man  ","REF","","","","16-Oct-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00329/REM"
"18/00339/REM","Reserved Matters application for the construction of retail unit with associated parking (relating to PA 15/00775/A)","Field 320653 And Part Field Nos 324324, 324323 & 324321 Ballaglonney Farm Peel Road Crosby Isle Of Man  ","REF","","","","16-Oct-18","APER1","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00339/REM"
"18/00376/B","Alterations in connection with an additional use of hall as a children's day nursery, including the erection of timber fencing to create a secure outdoor area","Lezayre Church Hall Churchtown Ramsey Isle Of Man IM7 2AN ","PER","","","","13-Aug-18","AWDN","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00376/B"
"18/00394/B","Alterations and extensions including installation of dormers at first floor level, raising of roof, extension to rear and erection of enlarged garage","6 Willow Close Onchan Isle Of Man IM3 3HA","REF","","","","09-Oct-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00394/B"
"18/00403/B","Removal of chimney stack and installation of dormer windows to front and rear elevations (amendments to PA 15/01199/B)","Rainbows End Beaumont Road Ramsey Isle Of Man IM8 2HN ","REF","","","","09-Oct-18","APER1","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00403/B"
"18/00444/B","Demolition of existing garage and outbuilding, and erection of two dwellings with on site parking","Land And Garage Adj To Maycroft Park Road Port St. Mary Isle Of Man  ","PER","","","","22-Nov-18","AWDN","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00444/B"
"18/00497/A","Approval in principle for the construction of five dwellings to replace existing workshop and two existing dwellings addressing means of access","Woodstock Vicarage Road Douglas Isle Of Man IM4 2QP","REF","","","","12-Dec-18","AREF","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00497/A"
"18/00508/B","Alterations, erection of extension, creation of bin store, and installation of replacement windows, fencing, solar panels, satellite dish, oil tank and replacement entrance canopy","Close-Y-Chairm 4 The Crofts Castletown Isle Of Man IM9 1LY","PER","","","","12-Dec-18","APER","2018","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=18/00508/B"
"16/00570/B","Installation of an awning","14 Strathallan Crescent Douglas Isle Of Man IM2 4NR","Refused","10-Nov-16","Senior Planning Officer - South (SC)","01-Dec-16","03-May-17","Refused at appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/00570/B"
"16/01089/B","Replacement of existing rear annex with two storey extension.","Ash House Main Road Kirk Michael Isle Of Man IM6 1ED","Refused","25-Nov-16","Senior Planning Officer - South (SC)","28-Nov-16","18-May-17","Refused at appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/01089/B"
"17/00109/B","New farm entrance track","Raby Farm Main Road Glen Maye Isle Of Man IM5 3AU","Refused","31-Mar-17","Senior Planning Officer - South (SC)","18-Apr-17","26-Jun-17","Approved at Appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00109/B"
"15/01304/B","Erection of a stable block, parking area and fencing","Part Of Field 124005 Loop Road West Craig Ramsey Isle Of Man  ","Permitted","28-Mar-17","Senior Planning Officer - South (SC)","11-Apr-17","26-Jun-17","Refused at appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=15/01304/B"
"17/00351/B","Demolition of existing garage and other external alterations to rear (retrospective)","27 Upper Dukes Road Douglas Isle Of Man IM2 4AZ","Permitted","23-Jun-17","Senior Planning Officer - South (SC)","12-Jul-17","16-Oct-17","Approved at Appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00351/B"
"16/00966/B","Creation of field accesses","Field 124385 & Field 124388 Smeale Road Andreas Isle Of Man  ","Permitted","09-Nov-16","Senior Planning Officer - South (SC)","23-Nov-16","09-Feb-17","Approved at Appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/00966/B"
"17/00404/B","Erection of a single storey conservatory on the south east facing balcony","Bridge Cottage Bridge Street Castletown Isle Of Man IM9 1AX ","Refused","21-Jun-17","Senior Planning Officer - South (SC)","07-Jul-17","16-Oct-17","Refused at appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00404/B"
"17/00350/B","Installation of replacement first floor windows to front elevation","6 Mona Street Ramsey Isle Of Man IM8 1BD","Refused","01-Jun-17","Senior Planning Officer - South (SC)","22-Jun-17","16-Oct-17","Refused at appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00350/B"
"17/00279/B","Erection of rear extension","19 Howe Road Onchan Isle Of Man IM3 2BB","Permitted","18-May-17","Senior Planning Officer - South (SC)","05-Jun-17","21-Aug-17","Approved at Appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00279/B"
"17/00182/B","Widening of existing vehicular access and creation of a pedestrian entrance","Brunswick Gardens Albany Road Douglas Isle Of Man IM2 3NP","Permitted","23-Aug-17","Senior Planning Officer - South (SC)","06-Sep-17","20-Dec-17","Approved at Appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00182/B"
"17/00007/B","Erection of extension","The Anchorage Port E Vullen Ramsey Isle Of Man IM7 1AP ","Refused","15-Feb-17","Senior Planning Officer - South (SC)","08-Mar-17","26-Jun-17","Refused at appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00007/B"
"16/00749/B","Erection of an agricultural storage shed (retrospective)","Field 130578 St Judes Road Sulby Isle Of Man  ","Refused","03-Nov-16","Senior Planning Officer - South (SC)","15-Nov-16","09-Feb-17","Refused at appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/00749/B"
"16/00899/B","Erection of an agricultural storage shed (retrospective)","Field 130688 Kella Road Sulby Isle Of Man  ","Refused","02-Nov-16","Senior Planning Officer - South (SC)","10-Nov-16","09-Feb-17","Approved at Appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/00899/B"
"16/00796/B","Conversion of stores and office building into a residential dwelling (retrospective)","Detached Building Squeen Farm Ballacrye Road Ballaugh Isle Of Man  ","Refused","14-Oct-16","Senior Planning Officer - South (SC)","24-Oct-16","02-Feb-17","Refused at appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/00796/B"
"16/00795/B","Erection of replacement shed for use as stores, office in association with repair of agricultural vehicles and machinery and agriculture (retrospective)","Detached Structure Squeen Farm Ballacrye Road Ballaugh Isle Of Man  ","Refused","14-Oct-16","Senior Planning Officer - South (SC)","24-Oct-16","02-Feb-17","Approved at Appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/00795/B"
"16/01278/B","Reinstatement of a weir mechanism","Weir And Millrace Glen Wyllin Campsite Glen Wyllin Kirk Michael Isle Of Man  ","Permitted","10-Apr-17","Department Application","16-Nov-16","10-Apr-17","Approved by Council of Ministers","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/01278/B"
"17/00149/B","Installation of three containers to provide kitchen and classroom / office (retrospective) and toilets","The Coffee Cottage (Laser-Mayhem) Watertrough Cottage Shoulder Road Foxdale Isle Of Man  ","Permitted","26-May-17","Department Application","10-Feb-17","26-May-17","Approved by Council of Ministers","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00149/B"
"17/00894/B","Creation of additional children's play provision and creation of/amendments to existing paths and access","Claughbane Plantation Field 624002 Mountain Road Ramsey Isle Of Man  ","Permitted","04-Jan-18","Department Application","22-Aug-17","21-Dec-17","Department Application Approved","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00894/B"
"17/00405/B","Conversion of existing store / retail / craft areas to provide tourist living accommodation","Silverdale Mill Complex Silverdale Glen Silverdale Road Ballasalla Isle Of Man IM9 3DS","Permitted","25-Jul-17","Department Application","07-Apr-17","25-Jul-17","Approved by Council of Ministers","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00405/B"
"16/00980/B","Installation of two wash jet units, dryer facility and associated silt traps","Corkills Garage Main Road Onchan Isle Of Man  ","Permitted","09-Feb-17","Planning Committee","24-Feb-17","05-Sep-17","Refused at appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/00980/B"
"16/01298/C","Operation of a temporary car park with controlled access (retrospective)","Vacant Land Woodbourne Lane Douglas Isle Of Man  ","Refused","07-Feb-17","Planning Committee","23-Feb-17","22-Jun-17","Refused at appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/01298/C"
"17/00056/B","Installation of window (retrospective) and construction of decking with perimeter rail","4 Market Place East Ramsey Isle Of Man IM8 1JY","Refused","25-May-17","Planning Committee","15-Jun-17","16-Nov-17","Decision Split at Appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00056/B"
"16/00664/B","Erection of an agricultural workers dwelling","Part Field 510408 Ballakissack Farm School Lane Santon Isle Of Man  ","Refused","01-Nov-16","Planning Committee","18-Nov-16","09-Feb-17","Approved at Appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/00664/B"
"16/00602/B","Erection of five dwellings","28 - 30 Derby Square Douglas Isle Of Man IM1 3LN","Refused","03-Nov-16","Planning Committee","11-Nov-16","17-Jul-17","Refused at appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/00602/B"
"16/01039/B","Erection of an agricultural building with associated storage facilities","Part Field 231019 Off Ballaleigh Road Kirk Michael Isle Of Man  ","Permitted","07-Feb-17","Planning Committee","21-Feb-17","30-May-17","Approved at Appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=16/01039/B"
"17/00254/B","Change of use of part of field to campsite including installation of 10 'Glamping' pods and a welcome centre including the creation of a new pedestrian access from Spaldrick Promenade","Field 411194 Rowany Golf Club Rowany Drive Port Erin Isle Of Man  ","Refused","25-May-17","Planning Committee","05-Jun-17","21-Aug-17","Refused at appeal","2017","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=17/00254/B"
