Planning  Applications Determined between 1/1/17 - 31/12/17,,,,,
Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,17/00587/B,Erection of a shed on existing parking area,24-Aug-17,Senior Planning Officer - South (SC),35 Brunswick Road Douglas Isle Of Man IM2 3NW
Permitted,17/00604/C,Additonal use of existing residential apartments for self catering tourist accommodation,14-Jul-17,Head of Development Management,Upper Floor Apartments 14 & 15 North Quay Douglas Isle Of Man IM1 4LE 
Permitted,17/00648/B,Erection of single storey extension to rear of property,21-Sep-17,Senior Planning Officer - South (SC),5 Briarfield Avenue Onchan Isle Of Man IM3 3JN
Permitted,17/00689/B,Replacement of existing annex roof with tiled roof,04-Aug-17,Senior Planning Officer - South (SC),4 Links Close Peel Isle Of Man IM5 1DG
Permitted,17/00690/B,Replacement of existing annex roof with tiled roof,30-Aug-17,Senior Planning Officer - South (SC),7 Beach Road Port St. Mary Isle Of Man IM9 5NG
Permitted,17/00722/B,Replacement of existing annex polycarbonate roof with tiled roof,06-Sep-17,Director 2017+,Ballacallin Farm House Dalby Isle Of Man IM5 3BR 
Permitted,17/00757/B,Erection of single storey extension to rear of dwelling,01-Sep-17,Senior Planning Officer - Enf (AM),6 Woodburn Square Douglas Isle Of Man IM1 4DB 
Permitted,17/00788/C,Additional use of dwelling as self-catering tourist accommodation,06-Sep-17,Senior Planning Officer - North (CB),1 Mill Cottages Mill Road Ballasalla Isle Of Man IM9 2EG
Permitted,17/00797/B,Replacement of existing conservatory polycarbonate roof with tiled roof,20-Sep-17,Senior Planning Officer - South (SC),8 Snaefell Crescent Onchan Isle Of Man IM3 4NJ
Permitted,17/00798/REM,Reserved matters application for the erection of an agricultural worker's dwelling,07-Sep-17,Planning Committee,Field 114374 Nassau Road Dogmills Ramsey Isle Of Man  
Permitted,17/00799/B,Erection of garage and utility room extension to side of dwelling,14-Sep-17,Senior Planning Officer - South (SC),36 Larivane Meadows Andreas Isle Of Man IM7 4JD 
Permitted,17/00803/B,Erection of an agricultural storage and machinery building and erection of a boiler house,06-Sep-17,Senior Planning Officer - North (CB),Begoade Moar Farm Begoade Road Onchan Isle Of Man IM4 6AU 
Permitted,17/00829/B,Erection of multipurpose Community Centre incorporating Braddan Commissioners offices / headquarters with associated car parking and landscaping (comprising amendments to PA 16/00601/B),19-Sep-17,Planning Committee,Strang Corner Field Strang Douglas Isle Of Man  
Permitted,17/00886/B,Alterations to form 4 residential apartments in existing office space on upper floors,29-Nov-17,Planning Committee,1 - 9 Church Street Douglas Isle Of Man IM1 2AG
Permitted,17/00888/B,Extension to stables to provide storage and tie up facilities,31-Oct-17,Head of Development Management,Ballawhetstone Farm Douglas Road Ballabeg Castletown Isle Of Man IM9 4ED
Permitted,17/00895/B,"Widening of existing access, the laying of hard standing, and the installation of associated fencing and access gates",10-Nov-17,Head of Development Management,Land To West Boundary Of 1 Manor Park Onchan Isle Of Man  
Permitted,17/00977/B,Erection of dwelling to include living accommodation in place of previously approved garage,27-Oct-17,Head of Development Management,3 Fleshwick Close Port St Mary Isle Of Man IM9 5NS 
Permitted,17/00978/B,Erection of commemorative plaque,03-Nov-17,Head of Development Management,Public Grassed Area Queen Street Castletown Isle Of Man
Permitted,17/00844/C,Change of use of first floor residential apartment to beauty salon,03-Oct-17,Planning Committee,1-3 Farrant Street Douglas Isle Of Man IM2 3HF
Permitted,17/01010/B,Alterations and extension to existing property including construction of utility room and installation of glazed door to rear,27-Oct-17,Head of Development Management,Mona Villa Glen Road Laxey Isle Of Man IM4 7AP
Permitted,17/01047/B,Erection of a sunroom extension to the north elevation,24-Nov-17,Head of Development Management,10 Bayr Grianagh Castletown Isle Of Man IM9 1HN
Permitted,17/01062/B,Alterations to facilitate the change of use from Class 2 to Class 1 retail for a Barbers Shop,15-Nov-17,Head of Development Management,62 Duke Street Douglas Isle Of Man IM1 2AR
Permitted,17/01094/B,Replacement of existing windows to front elevation with like for like units,15-Dec-17,Senior Planning Officer - South (SC),2 Summerhill Douglas Isle Of Man IM2 4PJ
Permitted,17/00162/B,Erection of boiler room/garden store extension,12-Apr-17,Director 2017+,The Lodge Great Meadow Castletown Isle Of Man IM9 4EB 
Permitted,17/00967/B,Replacement of two existing conservatories with single storey extensions and associated alterations,29-Nov-17,Senior Planning Officer - South (SC),Ballawillyn Cottage Patrick Road St Johns Isle Of Man IM4 3BR
Permitted,17/01153/B,Replacement of existing softwood windows with hardwood double glazed units,07-Dec-17,Head of Development Management,Manxonia House Bay View Road Port St. Mary Isle Of Man IM9 5AE
Permitted,16/00806/C,Creation of a fenced play area with path to roadway,07-Mar-17,Planning Committee,Field 320936 Ballawilleykilley Farm Glen Vine Road Glen Vine Isle Of Man  
Permitted,16/00807/B,Installation of replacement windows,24-Jan-17,Planning Committee,12 Demesne Road Douglas Isle Of Man IM1 3EA
Permitted,16/00811/A,Approval in principle for the erection of a dwelling addressing matters of means of access,03-Jan-17,Senior Planning Officer - South (SC),Land Forming Part Of Oatland Cottage Oatlands Road Andreas Isle Of Man IM7 4ER 
Permitted,17/00557/B,Single storey extension to front of property,30-Jun-17,Senior Planning Officer - South (SC),29 Berry Woods Avenue Douglas Isle Of Man IM2 7DA
Permitted,17/00558/C,Additional use of existing office (class 2) for education,19-Oct-17,Planning Committee,4 Christian Road Douglas Isle Of Man IM1 2SD
Permitted,16/01319/B,Proposed alterations to existing gable opening,20-Jan-17,Senior Planning Officer - South (SC),Thie Ny Cronk Ballajora Ramsey Isle Of Man IM7 1BL 
Permitted,16/01225/B,Erection of extension and porch.,20-Jan-17,Senior Planning Officer - South (SC),25 Silverburn Drive Ballasalla Isle Of Man IM9 2EE 
Permitted,16/01315/B,Variation of condition 3 of PA 13/00041/B to allow existing roof space floor area to be used for staff living accommodation.,03-Oct-17,Planning Committee,Greenhill Jurby Road Andreas Isle Of Man IM7 2EJ 
Permitted,16/01373/B,Creation of a seating area on existing roof,23-Jan-17,Senior Planning Officer - North (CB),The Kiosk Peel Breakwater Peel Isle Of Man  
Permitted,17/00052/B,Installation of a flue,30-Mar-17,Senior Planning Officer - South (SC),4 Greenlands View Ramsey Isle Of Man IM8 2PB
Permitted,17/00292/B,Replacement of existing timber windows with upvc windows,12-Apr-17,Senior Planning Officer - South (SC),The Raggatt 19 Sartfell Road Douglas Isle Of Man IM2 3NB
Permitted,17/00556/B,Single storey side extension to provide garage,29-Jun-17,Senior Planning Officer - North (CB),23 Manor Drive Douglas Isle Of Man IM2 2NW
Permitted,17/00568/B,Replacement of existing conservatory glazed roof with tiles,30-Jun-17,Senior Planning Officer - South (SC),55 Farmhill Meadows Douglas Isle Of Man IM2 2LN
Permitted,17/00643/B,Demolition of existing conservatory and erection of a two storey extension to rear (amendments to PA 16/00697/B),04-Aug-17,Head of Development Management,Thie Bane 40 Ballanard Road Douglas Isle Of Man IM2 5HE
Permitted,17/00636/B,Alterations and rear extension to property,24-Jul-17,Head of Development Management,36 Harcroft Avenue Douglas Isle Of Man IM2 1PD
Permitted,17/00637/B,Replacement of existing upvc windows with white upvc casement/tilt and turn units,17-Aug-17,Senior Planning Officer - North (CB),Flat 4   61 Bucks Road Douglas Isle Of Man IM1 3EF
Permitted,17/00645/CON,"Registered Building Consent for internal alterations including removal of pews and replacement with chairs, replacement of heating pipes/radiators, repositioning of font and cupboards around gallery pillars (RB 119)",21-Jul-17,Head of Development Management,St Peter's Church Church Road Onchan Isle Of Man  
Permitted,17/00719/B,Alterations and erection of an extension,17-Aug-17,Senior Planning Officer - North (CB),53 Barrule Park Ramsey Isle Of Man IM8 2BP
Permitted,17/01012/C,Change of use of existing apartment on upper floors to Hair/Beauty Salon as an extension of existing ground floor salon,24-Nov-17,Head of Development Management,2 Bridge Street Peel Isle Of Man IM5 1NB
Permitted,17/01095/B,Alterations and erection of a first floor extension over garage,29-Nov-17,Head of Development Management,14 Carrick Park Sulby Isle Of Man IM7 2EX
Permitted,17/01100/C,Change of use of part field 124451 to extend residential curtilage,12-Dec-17,Planning Committee,Ballakinnag Cottage Ballakinnag Road Smeale Ramsey Isle Of Man IM7 3ED
Permitted,17/00768/B,"Window / door alterations, rear roofing works and installation of two roof lanterns",27-Sep-17,Head of Development Management,Westend Cottage 9 Arbory Road Castletown Isle Of Man IM9 1NA
Permitted,17/00770/B,"Alterations, erection of extension and provision of new entrance gates",01-Sep-17,Senior Planning Officer - Enf (AM),Bluebell House  Braaid Farm Braaid Road Braaid Isle Of Man IM4 2AW 
Permitted,17/00771/B,"Replacement of existing garage door with a window, and extension of existing driveway",19-Oct-17,Head of Development Management,11 Beech Avenue Onchan Isle Of Man IM3 3HQ
Permitted,17/00773/B,Removal of existing and installation of a prefabricated site office,29-Sep-17,Senior Planning Officer - North (CB),Princess Alexandra Pier  Battery Pier Douglas Isle Of Man IM1 5PA 
Permitted,17/00838/B,"Erection of agricultural building with storage facilities, including formation of new field access and new area of hardstanding",19-Sep-17,Planning Committee,Field 231019 Ballaleigh Road Kirk Michael Isle Of Man  
Permitted,17/00560/B,Erection of rear extension,30-Jun-17,Senior Planning Officer - South (SC),24 St Runius Way Glen Vine Isle Of Man IM4 4FG
Permitted,17/00589/B,Replacement of existing windows and doors with new dark colour UPVC units,06-Jul-17,Senior Planning Officer - South (SC),Deepdale Complex Formerly The Old Curiosity Shop Glen Road Laxey Isle Of Man IM4 7AB
Permitted,16/00705/B,Proposed garage and workshop with store room over,15-Mar-17,Senior Planning Officer - South (SC),Scacafell Clenagh Road Sulby Isle Of Man IM7 3AD
Refused,16/01406/B,Erection of detached double garage with storage above,09-Feb-17,Senior Planning Officer - South (SC),Glebe Mooar Churchtown Ramsey Isle Of Man IM7 2AN 
Permitted,17/00015/B,Replacement of polycarbonate roof with tiled and glazed roof,14-Feb-17,Senior Planning Officer - North (CB),50 Malew Street Castletown Isle Of Man IM9 1AF
Permitted,17/00058/B,First floor extension over existing garage,03-Mar-17,Senior Planning Officer - South (SC),28 Ballagyr Park Peel Isle Of Man IM5 1UP
Application Withdrawn,16/00831/B,Alterations and installation of gabions to river bank,19-Sep-17,Withdrawn,Herondale Main Road Glen Maye Isle Of Man IM5 3BH
Permitted,16/01074/B,Conversion from office to residential.,24-Jan-17,Planning Committee,87 Circular Road Douglas Isle Of Man IM1 1AX
Permitted,16/01189/B,Erection of a conservatory,11-Jan-17,Senior Planning Officer - South (SC),85 Ballaquark Douglas Isle Of Man IM2 2EW 
Permitted,16/01230/C,Change of use of ground floor residential accommodation in to tea rooms.,13-Feb-17,Senior Planning Officer - North (CB),P J Cottage Main Road Kirk Michael Isle Of Man IM6 1AB
Refused,16/01355/B,Replacement PVC casement windows and PVC composite door (all rosewood finish) to front elevation.,12-Apr-17,Senior Planning Officer - South (SC),8 Watson's Court Church Lane Peel Isle Of Man IM5 1AW
Permitted,16/01370/B,Replacement shopfront and front and rear windows,11-Jan-17,Senior Planning Officer - South (SC),28 Parliament Street Ramsey Isle Of Man IM8 1AW
Refused,16/01317/B,Additional use and conversion of retail units to form two residential units for permanent and tourist use,09-Jan-17,Planning Committee,17 & 19 Malew Street Castletown Isle Of Man IM9 1AB 
Permitted,17/00256/B,Erection of agricultural building for livestock and feed,19-Apr-17,Senior Planning Officer - North (CB),Ballakaighen Farm Staarvey Road Cronk Y Voddy Peel Isle Of Man IM5 2AS
Permitted,17/00269/B,Replacement of existing garden store with new garden store and garage,23-Jun-17,Senior Planning Officer - North (CB),Ballachrink Farmhouse Bride Road Bride Isle Of Man IM7 4AP
Permitted,17/00409/B,Alterations and erection of an extension,11-May-17,Senior Planning Officer - South (SC),Alverna Somerset Road Douglas Isle Of Man IM2 5AE
Permitted,17/00411/B,Creation of a vehicular access,03-Aug-17,Senior Planning Officer - South (SC),25 Derwent Drive Onchan Isle Of Man IM3 2DE
Permitted,17/00412/B,Alterations and erection of extension,15-May-17,Senior Planning Officer - South (SC),The Shieling Baldrine Road Baldrine Isle Of Man IM4 6EG
Permitted,17/00564/B,Installation of crane as external static exhibit and associated landscaping works,29-Jun-17,Senior Planning Officer - North (CB),Jurby Transport Museum 230 Jurby Industrial Estate Jurby Isle Of Man IM7 3BD 
Permitted,17/00612/D,Installation of non-illuminated signage on shop windows,18-Jul-17,Senior Planning Officer - South (SC),Shop 1 Stanley House 7 - 9 Market Hill Douglas Isle Of Man IM1 2BF 
Permitted,17/00647/B,Installation of a flue,21-Aug-17,Planning Committee,59 King Edward Road Onchan Isle Of Man IM3 2AR 
Permitted,17/00452/B,Installation of replacement windows to front elevation,14-Jun-17,Senior Planning Officer - North (CB),Flat 1 6 Atholl Place Peel Isle Of Man IM5 1HE 
Permitted,17/00453/B,Alterations and erection of an extension,26-May-17,Senior Planning Officer - North (CB),Grey Winds Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX
Permitted,17/00523/B,Alterations and extensions including rear and side extensions and replacement roof to garage and conservatory,21-Jul-17,Head of Development Management,19 Highfield Crescent Onchan Isle Of Man IM3 3BX
Permitted,17/00588/B,"Replacement of main entrance doors with new sliding door and canopy over, and remodelling of footpaths and driveway around main entrance",21-Jul-17,Senior Planning Officer - South (SC),Manx Museum Kingswood Grove Douglas Isle Of Man IM1 3LY 
Permitted,17/00616/B,New roof over existing rear annex,19-Dec-17,Head of Development Management,Hillcrest Cottage Old Laxey Hill Laxey Isle Of Man IM4 7BZ
Permitted,17/00673/B,"Alterations, installation of a pitched roof to existing extension, and driveway and vehicular access alterations",21-Sep-17,Senior Planning Officer - South (SC),29 Furman Close Onchan Isle Of Man IM3 1BT
Permitted,17/00674/B,Alterations and erection of a ground and first floor extension to dwelling,11-Aug-17,Head of Development Management,Ash House Main Road Kirk Michael Isle Of Man IM6 1ED
Permitted,17/00675/B,Installation of replacement windows,04-Aug-17,Head of Development Management,5 Brunswick Road Douglas Isle Of Man IM2 3LH
Refused,17/00068/B,Construction of agricultural worker's dwelling and landscaping of site previously approved under 08/01567/REM for the siting of agricultural worker's dwelling,14-Nov-17,Planning Committee,Site At Orrisdale Farm Orrisdale Road Ballasalla Isle Of Man  
Permitted,17/00242/B,Change of use from Class 1 to hot food takeaway and installation of ventilation louvre above rear door,19-Apr-17,Senior Planning Officer - North (CB),Unit 7 Orchard Walk Bridson Street Port Erin Isle Of Man IM9 6AL
Permitted,17/00502/C,Change of use of dwelling to self-catering tourist accommodation,14-Jul-17,Head of Development Management,Rivendell Lhergy Cripperty Union Mills Isle Of Man IM4 4NF
Permitted,17/00517/B,Replacement of existing conservatory with larger sun room to south elevation,18-Jul-17,Senior Planning Officer - South (SC),20 Maple Avenue Ballawattleworth Estate Peel Isle Of Man IM5 1WP 
Permitted,17/00548/D,Installation of illuminated signage,29-Jun-17,Senior Planning Officer - North (CB),Santander 19 - 21 Prospect Hill Douglas Isle Of Man IM1 1ET 
Permitted,17/00552/B,"Alterations and additions including creation of a car port with living accommodation over, and extension of residential curtilage",17-Jul-17,Planning Committee,Yn Rheash Corlea Road Ballasalla Isle Of Man IM9 3BA
Refused,17/00330/B,Additional use and conversion of retail units to form two residential units for permanent and tourist use,17-Oct-17,Planning Committee,17 And 19 Malew Street Castletown Isle Of Man  
Permitted,17/00471/B,Repairs and reconstruction of weir and weir face,28-Jun-17,Senior Planning Officer - North (CB),Weir Adjacent To Laxey Woollen Mills Glen Road Laxey Isle Of Man  
Permitted,17/00681/B,Erection of a detached dwelling with integral garage,04-Aug-17,Head of Development Management,Land Adjacent To 53 Barrule Park Ramsey Isle Of Man  
Permitted,17/00682/B,Replacement of existing patio door with uPVC door,24-Aug-17,Senior Planning Officer - South (SC),Seaward Bridge Street Castletown Isle Of Man IM9 1AX
Permitted,17/00683/B,Alterations and erection of extension,04-Aug-17,Head of Development Management,Thie My Chree Ballajora Ramsey Isle Of Man IM7 1BL 
Permitted,17/00721/B,Replacement of existing conservatory with new timber framed conservatory and associated alterations,15-Aug-17,Senior Planning Officer - South (SC),Riversdale House Jurby Road Lezayre Ramsey Isle Of Man IM7 2EA
Permitted,17/00732/B,Installation of rear vehicular and pedestrian access gates,17-Aug-17,Senior Planning Officer - North (CB),Primrose House The Promenade Port St. Mary Isle Of Man IM9 5DB 
Permitted,17/00740/B,Alterations and erection of rear extension,13-Sep-17,Head of Development Management,27 Church Road Onchan Isle Of Man IM3 1BF
Permitted,17/00741/B,Installation of replacement windows,05-Sep-17,Planning Committee,1 Mona Street Peel Isle Of Man IM5 1HJ
Permitted,17/00835/B,"Alterations, including window alteration and installation of French doors, and creation of off road parking and vehicular access",15-Nov-17,Senior Planning Officer - South (SC),7 Rosemount Douglas Isle Of Man IM1 3EZ
Permitted,16/01233/B,Erection of 49 dwellings (change of house types from those approved under PA 13/91289/B),03-May-17,Director 2017+,"Plots 118 To 137 & 141 To 144,  Slieau Whallian View Off Raad Kirree Varrey Peel Isle Of Man  "
Permitted,16/01383/B,Installation of flat roof dormer to rear elevation and pitched roof dormer to front elevation and erection of a single storey extension to replace existing garage,07-Apr-17,Senior Planning Officer - South (SC),Colwood Beach Road Port St. Mary Isle Of Man IM9 5NG
Permitted,16/01395/B,"Alterations and additions to provide additional living accommodation, including creation of additional parking space",13-Feb-17,Senior Planning Officer - North (CB),5 Scarlett Road Castletown Isle Of Man IM9 1NT
Permitted,16/01404/B,Erection of replacement dwelling,25-May-17,Planning Committee,31 Scarlett Road Castletown Isle Of Man IM9 1NS 
Permitted,17/00039/B,Alterations and additions to dwelling including erection of replacement detached garage and new stable block in adjacent field,30-Mar-17,Senior Planning Officer - South (SC),The Crofts Hillberry Onchan Isle Of Man IM4 5BJ
Permitted,17/00264/B,"Rebuilding of conservatory, replacement kitchen extract cowl and new pergola in garden",06-Apr-17,Senior Planning Officer - South (SC),Cat With No Tail Hailwood Court Douglas Isle Of Man IM2 7EA 
Permitted,17/00575/B,"Alterations to create additional living accommodation on footprint of existing conservatory, including creation of decking area above",06-Jul-17,Senior Planning Officer - South (SC),Halcyon Days Main Road Ballaugh Isle Of Man IM7 5EX
Permitted,17/00693/B,Replacement of timber sash windows with double glazed PVC sash windows on the front elevation at first and second floor level,04-Aug-17,Head of Development Management,29A Malew Street Castletown Isle Of Man IM9 1AD
Permitted,17/00733/B,Installation of ground level external condensing units in connection with new air conditioning system,23-Aug-17,Senior Planning Officer - South (SC),Sailmaker House Unit 7 Carrs Lane Tromode Douglas Isle Of Man IM4 4QB 
Permitted,17/00734/B,Alterations and extension to provide additional living accommodation,17-Aug-17,Senior Planning Officer - North (CB),Marrinagh Ballajora Hill Ballajora Ramsey Isle Of Man IM7 1AZ
Permitted,17/00765/B,Erection of a link extension to provide ramp access,14-Sep-17,Senior Planning Officer - South (SC),Mountain View Innovation Centre (Including Film Studio) Jurby Road Ramsey Isle Of Man IM7 2DZ 
Permitted,17/00787/B,"Variation of condition 3 of PA12/01359/B to extend Derby Castle MER Depot, to extend the period of approval for a further 5 years",07-Sep-17,Planning Committee,Part Of Former Summerland Site King Edward Road Douglas Isle Of Man  
Permitted,17/00869/B,Replacement of existing timber gable windows with white UPVC windows,25-Sep-17,Head of Development Management,Brookdale 8 Cronkbourne Road Douglas Isle Of Man IM2 3LB
Refused,17/00915/B,Erection of a marquee for a period of 60 days over the Christmas period for use as an ice rink,05-Oct-17,Planning Committee,Car Park Tynwald Mills Road St Johns Isle Of Man  
Permitted,17/00985/B,Installation of Children's Playground Equipment,29-Nov-17,Planning Committee,Open Space All Saints Park Lonan Laxey Isle Of Man  
Permitted,17/01004/B,Demolition of existing redundant workshop and erection of a dwelling,07-Dec-17,Head of Development Management,40 Douglas Street Peel Isle Of Man  
Permitted,17/00842/C,Change of use from workshop to a dog day care facility,31-Oct-17,Planning Committee,Viking Works Warehouse Next To Mill House Mill Road Peel Isle Of Man IM5 1TB 
Permitted,17/00859/B,Alterations and extension to dwelling,25-Sep-17,Head of Development Management,Dun Aisling Mount Rule Douglas Isle Of Man IM4 4HP 
Permitted,17/00911/B,Installation of new PVC front door and new ground floor PVC window to front elevation,27-Sep-17,Head of Development Management,12 Stanley Mount Peel Isle Of Man IM5 1NE
Permitted,17/00969/B,Installation of Children's Playground Equipment,29-Nov-17,Planning Committee,Public Open Space Church Close Lonan Laxey Isle Of Man  
Permitted,17/01006/B,Demolition of existing garage and replacement with new garage and associated works to boundary walls/fences,23-Nov-17,Head of Development Management,Meadow View 8 Douglas Avenue Douglas Isle Of Man IM2 5EL
Permitted,17/01008/B,Installation of aluminium louvres,23-Nov-17,Head of Development Management,Zurich House Isle Of Man Business Park Douglas Isle Of Man IM2 2SA 
Permitted,17/01050/B,Erection of two storey extension to rear and also at first floor level over existing garage,15-Nov-17,Head of Development Management,11 Ennerdale Avenue Onchan Isle Of Man IM3 2EU 
Permitted,17/01121/B,Installation of Horse Exerciser,12-Dec-17,Planning Committee,Baldrine Equestrian Centre Baldrine Farm Baldrine Road Baldrine Isle Of Man IM4 6EG 
Permitted,17/01131/B,Alterations and additions to property,30-Nov-17,Head of Development Management,Ballashamrock Cottage Port Soderick Glen Port Soderick Isle Of Man IM4 1BE
Permitted,16/01407/B,"Conversion of existing barn in to new house, extension of existing studio and extension to existing kiln building to form new pottery studio.",21-Feb-17,Planning Committee,The Farmyard Studio Ballagraingey Bayrauyr Road St Marks Ballasalla Isle Of Man IM9 3AT 
Application Withdrawn,17/00354/B,Conversion of garage to one-bedroom tourist accommodation and creation of race day steward facility with viewing platform over,14-Jul-17,Withdrawn,Glen Moar Tearooms Glen Helen Road Laurel Bank St Johns Isle Of Man IM4 3NN 
Permitted,17/00581/B,Installation of 6 rooflights and replacement of window with patio door,29-Aug-17,Director 2017+,Land Adjacent To Kella Sheear Kella Road Sulby Isle Of Man  
Certificate of Lawfulness AGREED,17/00598/LAW,"Application to make lawful the installation of replacement windows, door and rooflights to front elevation",28-Jul-17,Senior Planning Officer - South (SC),22 Brunswick Road Douglas Isle Of Man IM2 3LQ 
Permitted,17/00840/B,Erection of a first floor extension,15-Sep-17,Senior Planning Officer - South (SC),5 Hillcroft Rise Douglas Isle Of Man IM2 7EH
Refused,17/00976/B,Demolition of existing building and construction of three apartments with on site parking/garages,15-Nov-17,Planning Committee,Bay View Hotel Primrose Terrace Port St. Mary Isle Of Man IM9 5AP
Permitted,17/01085/B,Creation of new vehicular access and concrete hardstanding for 2 vehicles on existing grassed area,22-Dec-17,Head of Development Management,29 Fairfield Avenue Onchan Isle Of Man IM3 4BG
Permitted,17/00334/B,"Replacement of existing front and side windows with upvc sliding sash windows, black external and white internal finish",08-Jun-17,Senior Planning Officer - North (CB),Grd Floor Flat (Flat 1) 8 Hawarden Avenue Douglas Isle Of Man IM1 4BY
Permitted,17/00595/B,"Erection of a detached dwelling with associated access, landscaping and drainage",14-Jul-17,Head of Development Management,Plot 2 Field 432503 Phildraw Road Ballasalla Isle Of Man  
Permitted,17/00686/B,Installation of replacement windows,05-Oct-17,Director 2017+,Flat 3  Walpole House Marine Parade Peel Isle Of Man IM5 1PB
Permitted,17/00748/B,"Alterations, erection of extension and conversion of existing garage to provide additional living accommodation",30-Aug-17,Senior Planning Officer - South (SC),The Barn Glen Auldyn Ramsey Isle Of Man IM7 2AG 
Refused,17/01088/B,"Replacement uPVC casement windows to front and rear elevations, blocking up of front dormer side windows and replacement with uPVC cladding",24-Nov-17,Head of Development Management,11 Kingswood Grove Douglas Isle Of Man IM1 3LY
Permitted,17/01204/B,Replacement of existing conservatory with extension to provide additional living accommodation,28-Dec-17,Senior Planning Officer - South (SC),5 Ballachrink Drive Onchan Isle Of Man IM3 4NY
Permitted,16/01277/B,Replacement agricultural storage building,26-Jan-17,Planning Committee,Winterbrook Cottage Ballaragh Road Laxey Isle Of Man IM4 7PG
Permitted,17/00250/B,Extensions including replacement of existing garage,19-Apr-17,Senior Planning Officer - North (CB),47 Fuchsia Grove Ballasalla Isle Of Man IM9 2DT
Permitted,17/00531/B,Erection of an extension (forming amendments to PA 15/01309/B),21-Jul-17,Senior Planning Officer - South (SC),Mill House Main Road Glen Maye Isle Of Man IM5 3BH
Permitted,17/00537/B,Alterations and extension to property including enlargement of vehicular hardstanding/driveway,18-Jul-17,Senior Planning Officer - South (SC),9 Faaie-Ny-Cabbal Kirk Michael Isle Of Man IM6 2HS
Permitted,17/01039/B,Replacement of existing annex polycarbonate roof with tiled roof,31-Oct-17,Head of Development Management,74 Port E Chee Avenue Douglas Isle Of Man IM2 5EX
Permitted,17/01061/B,Installation of replacement windows to front elevation,24-Nov-17,Head of Development Management,23 Queen Street Castletown Isle Of Man IM9 1PB
Refused,17/01097/B,Replacement of existing door and side lights with composite door and side light,24-Nov-17,Head of Development Management,7 Westminster Terrace Douglas Isle Of Man IM1 4ED
Permitted,17/00968/C,Additional use of existing self-storage/document storage warehouse as offices and use of yard for car sales (retrospective),31-Oct-17,Planning Committee,John Lancaster House Main Road Crosby Isle Of Man IM4 4BN 
Permitted,17/00993/B,Erection of stables and creation of a hard standing area and access track,22-Dec-17,Head of Development Management,Field Adjacent To Pooildhooie Cottage Killane Road Ballaugh Isle Of Man  
Permitted,17/00994/B,Creation of a bi folding window,27-Oct-17,Head of Development Management,Water Edge Shore Road Port Erin Isle Of Man IM9 6HH
Permitted,17/01198/B,"Replacement of existing pvc windows and door with new pvc windows, door and top light to front elevation",22-Dec-17,Head of Development Management,1 Wesley Terrace Douglas Isle Of Man IM1 3HG
Permitted,15/01318/CON,Application for the de-registration of Lorne House (12/00269/REGBLD) in accordance with 7(1)(a) of the (Registered Buildings) Regulations 2013,10-Feb-17,Director 2017+,Lorne House Douglas Street Castletown Isle Of Man IM9 1AZ 
Permitted,17/00359/CON,Alterations to railings to enable their temporary removal annually between 1st April and 30th September so that area can be used as external seating area - Registered Building 186 (in connection with planning application 17/00358/GB),08-Jun-17,Senior Planning Officer - North (CB),Douglas Hotel (Douglas Chambers) North Quay Douglas Isle Of Man  
Permitted,17/00505/B,Erection of a replacement conservatory,18-Jul-17,Senior Planning Officer - South (SC),8 Cronk Road Union Mills Isle Of Man IM4 4NJ
Permitted,17/00974/B,Erection of a detached dwelling,31-Oct-17,Planning Committee,Field 132375 Glen Auldyn Ramsey Isle Of Man  
Refused,14/00632/B,Erection of three 10 Kw wind turbines,06-Apr-17,Planning Committee,Field 414526 Ballaman Ballnahowe Road Port Erin Isle Of Man  
Application Withdrawn,16/01132/B,Replacement windows.,31-May-17,Withdrawn,2 Marlborough Terrace Douglas Isle Of Man IM2 3QJ
Permitted,16/01409/B,Refurbishment of existing garden store,02-Mar-17,Senior Planning Officer - South (SC),Norwood Arbory Road Castletown Isle Of Man IM9 1ND
Permitted,17/00110/C,Change of use to either retail (Class One); or hair and beauty; or beauty,08-Mar-17,Senior Planning Officer - North (CB),2 Nelson Street Douglas Isle Of Man IM1 2AH
Permitted,17/00111/B,"Installation of a first floor tri-fold door, creation of a dormer window and installation of two roof lights",17-Mar-17,Senior Planning Officer - North (CB),115 Slieau Dhoo Douglas Isle Of Man IM2 5LD
Permitted,17/00113/C,Additional use of residential dwelling as tourist accommodation,17-Mar-17,Senior Planning Officer - North (CB),157 Fairways Approach Mount Murray Douglas Isle Of Man IM4 2JH
Permitted,17/00114/C,Additional use of building as tourist accommodation,21-Mar-17,Senior Planning Officer - North (CB),The Old School Room St Marks Ballasalla Isle Of Man IM9 3AH 
Permitted,17/00116/B,Alterations and erection of extension,17-Mar-17,Senior Planning Officer - North (CB),Ballastewart Ballakilpheric Road Colby Isle Of Man IM9 4BY
Permitted,17/00118/B,Erection of a rear extension,30-Mar-17,Senior Planning Officer - South (SC),19 Marathon Road Douglas Isle Of Man IM2 4HN
Permitted,17/00491/D,Installation of non-illuminated signage over shopfront,15-Jun-17,Senior Planning Officer - North (CB),5 Station Road Port Erin Isle Of Man IM9 6AE
