PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,PA Ref,Property Address,Appeal decision
Erection of  timber stables block with tack/feed and hay shed,Refused,10-Jun-14,Head of Development Management,20-Jun-14,22-Oct-14,14/00479/B,Pine View Sulby Glen Sulby Isle Of Man IM7 2AZ,Approved at Appeal
Replacement of existing glazed conservatory roof with light weight roof tiles,Permitted,25-Jul-14,Department Application,29-Apr-14,17-Jul-14,14/00510/B,Radcliffe Villas Glencrutchery Road Douglas Isle Of Man IM2 6BG,Department Application Approved
Creation of an outside seating area,Refused,05-Sep-14,Department Application,30-Apr-14,05-Sep-14,14/00528/B,Land In Front Of La Piazza Restaurant Peveril Buildings Loch Promenade Douglas Isle Of Man IM1 2BT ,Department Application refused
Erection of signage to outside seating area barriers,Refused,05-Sep-14,Department Application,30-Apr-14,14-Aug-14,14/00529/D,Land In Front Of La Piazza Restaurant Peveril Buildings Loch Promenade Douglas ,Department Application refused
Installation of replacement windows to all elevations,Permitted,19-Aug-14,Department Application,02-May-14,14-Aug-14,14/00544/B,Aingeville 93 Woodbourne Road Douglas Isle Of Man IM2 3AW,Department Application Approved
Removal of condition 3 of PA 09/00979/B for the raising / lowering and use of flood lighting,Refused,24-Jun-14,Planning Committee,11-Jul-14,10-Nov-14,14/00546/B,Bowling Green Breagle Glen Saint Marys Road Port Erin Isle Of Man IM9 6JJ ,Approved at Appeal
"Alterations to building including replacement roof tiles, removal of existing roof dormers and formation of new roof dormer and installation of two canopies over front entrance doors",Permitted,19-Aug-14,Department Application,06-May-14,14-Aug-14,14/00552/B,Murray House 5 - 11 Mount Havelock Douglas Isle Of Man IM1 2QF,Department Application Approved
Alterations to existing sun lounge and creation of a garden terrace,Refused,17-Jun-14,Director Delegation,02-Jul-14,06-Nov-14,14/00560/B,9 Ballagorry Heights Glen Mona Ramsey Isle Of Man IM7 1HS,Approved at Appeal
"Creation of a primary school with associated parking, access and drop off areas, playing areas and sports pitches, along with highway works to form bus lay-bys and pedestrian crossing points and part demolition of former post graduate medical centre",Permitted,14-Aug-14,Department Application,12-May-14,14-Aug-14,14/00581/B,Former Nobles Hospital Site Westmoreland Road Douglas Isle Of Man  ,Department Application Approved
Approval in principle for the erection of two semi-detached dwellings,Refused,16-Jul-14,Senior Planning Officer - South (SC),25-Jul-14,25-Nov-14,14/00605/A,Land Adjacent To Field 131049  Vollan Crescent Ramsey Isle Of Man  ,Refused at appeal
Erection of replacement boundary fence and gates,Permitted,19-Aug-14,Department Application,21-May-14,14-Aug-14,14/00630/B,St Thomas' Church Of England Primary School Finch Road Douglas Isle Of Man IM1 2PL ,Department Application Approved
Erection of a bin store (in association with 14/00650/CON),Permitted,21-Aug-14,Department Application,27-May-14,14-Aug-14,14/00648/GB,Quayside Next To Castle Arms Hotel The Quay Castletown Isle Of Man IM9 1LD,Department Application Approved
Registered Building consent for the erection of a bin store (in association with 14/00648/GB) Registered Building Nos. 25,Permitted,21-Aug-14,Department Application,27-May-14,14-Aug-14,14/00650/CON,Quayside Next To  Castle Arms Hotel The Quay Castletown Isle Of Man IM9 1LD,Department Application Approved
"Alterations, erection of an extension and dormer extension to dwelling",Refused,18-Jul-14,Senior Planning Officer - South (SC),06-Aug-14,25-Nov-14,14/00665/B,44 Cronk Y Berry Douglas Isle Of Man IM2 6ET,Refused at appeal
Approval in principle for residential development of six dwellings together with highway improvements to junction of Friary Park and Main Road,Application Withdrawn,23-Jul-14,Withdrawn,02-Jun-14,23-Jul-14,14/00677/A,"The Bungalow, 118A Friary Park, 134 Friary Park And The Former Pinfold  Main Road Ballabeg Castletown Isle Of Man IM9 4HA",Department Application withdrawn
Removal of a chimney stack,Refused,17-Jul-14,Senior Planning Officer - South (SC),25-Jul-14,25-Nov-14,14/00683/B,18 Kensington Road Douglas Isle Of Man IM1 3EP,Refused at appeal
Alterations and additions to rear annex to include roof terrace and balconies,Refused,24-Jul-14,Senior Planning Officer - South (SC),30-Jul-14,25-Nov-14,14/00699/B,100 Bucks Road Douglas Isle Of Man IM1 3AQ,Refused at appeal
 Erection of shed / greenhouses on individual plots on allotment site,Refused,23-Jul-14,Planning Committee,11-Aug-14,02-Dec-14,14/00713/B,Sand Field (formally Field 1540) Mount Gawne Road Port St. Mary Isle Of Man  ,Refused at Appeal
Erection of a two storey extension to side elevation and single storey extension to rear elevation,Permitted,22-Jul-14,Planning Committee,12-Aug-14,02-Dec-14,14/00726/B,5 Windermere Drive Onchan Isle Of Man IM3 2DQ,Decision Split at Appeal
"Removal of soil and boundary piers and railings over below ground plant room, protect the roof with damp proof membrane and re-instate with granular top soil, installation of new ground water drainage and replacement piers and railings",Permitted,29-Oct-14,Department Application,20-Jun-14,23-Oct-14,14/00744/B,Garden Area  Villa Marina Complex Douglas Isle Of Man IM1 2HH,Department Application Approved
Conversion of dwelling to provide three self-contained apartments,Refused,07-Aug-14,Senior Planning Officer - South (SC),13-Aug-14,25-Nov-14,14/00745/B,54 Parliament Street Ramsey Isle Of Man IM8 1AN,Approved at Appeal
Erection of a dwelling with driveway and parking,Refused,04-Aug-14,Head of Development Management,07-Aug-14,26-Nov-14,14/00761/B,Alder Oaks Field 431505 St Marks Road St Marks Ballasalla Isle Of Man  ,Refused at Appeal
Erection of industrial unit and office accommodation with associated store and display area to exhibit timber sheds,Deemed withdrawn 4(3) Dev Pro Order 2005,31-Oct-14,Withdrawn,25-Jun-14,31-Oct-14,14/00773/B,Land At The Paddocks Jurby Industrial Estate Jurby Isle Of Man  ,Department Application withdrawn
"Creation of a camp site and motor home park with shower/toilet block, landscaping, associated facilities and new vehicular access",Refused,19-Aug-14,Planning Committee,08-Sep-14,02-Dec-14,14/00800/B,Field 411363 & Part Field 411361 Truggan Road Port St. Mary Isle Of Man  ,Approved at Appeal
"Repaving of public footpath, erection of highway signs and erection of a bus shelter at bus stop",Permitted,26-Nov-14,Department Application,17-Jul-14,20-Nov-14,14/00861/B,New Road Including Corners Of Church Hill And Captains Hill Laxey Isle Of Man  ,Department Application Approved
Replacement of section of collapsed sea wall,Permitted,29-Oct-14,Department Application,24-Jul-14,23-Oct-14,14/00884/B,Section Of Sea Wall Mooragh Promenade Ramsey Isle Of Man  ,Department Application Approved
Approval in principle for residential development of six dwellings together with highway improvements to the Main Road / Friary Park junction,Refused,09-Dec-14,Department Application,01-Aug-14,04-Dec-14,14/00920/A,"The Bungalow, 118A Friary Park, 134 Friary Park, 1 Friary Park And The Former Pinfold  Main Road Ballabeg Castletown",Department Application refused
Refurbishment of existing dressing rooms to include new window glazing and warm air heating and installation of louvre vents to existing roof lantern (in association with 14/00927/CON),Permitted,18-Dec-14,Department Application,31-Jul-14,18-Dec-14,14/00926/GB,Gaiety Theatre Harris Promenade Douglas Isle Of Man IM1 2HH,Department Application Approved
Registered Building Consent for refurbishment of existing dressing rooms to include new window glazing and warm air heating and installation of louvre vents to existing roof lantern (RB no 200 in association with 14/00926/GB),Permitted,18-Dec-14,Department Application,31-Jul-14,18-Dec-14,14/00927/CON,Gaiety Theatre Harris Promenade Douglas Isle Of Man IM1 2HH,Department Application Approved
Replacement of vehicular bridge over river and highway access improvements,Permitted,25-Nov-14,Department Application,08-Aug-14,20-Nov-14,14/00952/B,Laurel Bank Glen Helen Road Laurel Bank St Johns Isle Of Man  ,Department Application Approved
Installation of replacement rear entrance door with new glazed entrance canopy,Permitted,25-Nov-14,Department Application,04-Sep-14,20-Nov-14,14/01045/B,Government House Onchan Isle Of Man IM3 1RR ,Department Application Approved
Change to use of land to create outside seating area,Permitted,18-Dec-14,Department Application,05-Sep-14,18-Dec-14,14/01057/C,6 Marina Road Douglas Isle Of Man IM1 2HE,Department Application Approved
Erection of advertising signage on fabric barriers with posts around proposed outside seating area,Permitted,18-Dec-14,Department Application,05-Sep-14,18-Dec-14,14/01058/D,6 Marina Road Douglas Isle Of Man IM1 2HE,Department Application Approved
Remedial works to wall,Permitted,24-Dec-14,Department Application,16-Sep-14,18-Dec-14,14/01103/B,Retaining Wall Hope Street Castletown Isle Of Man  ,Department Application Approved
