"Name","Town"
"Camlork Close","Braddan"
"Camlork Close","Douglas"
"Camlork Close","Union Mills"
"Cammall Farm","Kirk Michael"
"Campion Close","Peel"
"Campion Court","Peel"
"Campion Crescent","Peel"
"Campion Cresceny","Peel"
"Campion Way","Douglas"
"Canaan","Bride"
"Cannan Avenue","Kirk Michael"
"Cannan Court","Kirk Michael"
"Capital Car Park","Douglas"
"Captains Hill","Laxey"
"Car Park","Douglas"
"Car Park","Ramsey"
"Car Parking Space","Ramsey"
"Cardle Cottages","Maughold"
"Carlton Apartments","Port Erin"
"Carlton Court","Ramsey"
"Carmodil Beg","Ballaugh"
"Carnane Estate","Braddan"
"Carnane Estate","Douglas"
"Carnane Lane","Port Erin"
"Carnane Lane","Port St Mary"
"Carnane Lane","Rushen"
"Carnane View","Port St Mary"
"Carnane View","Rushen"
"Carrick Bay View","Colby"
"Carrick Bay View Estate","Colby"
"Carrick Court","Port St Mary"
"Carrick Mews","Port St Mary"
"Carrick Park","Lezayre"
"Carrick Park","Sulby"
"Carrick Park Estate","Lezayre"
"Cashtal Vanannan","Port Erin"
"Cassa Field","Onchan"
"Castle Court","Castletown"
"Castle Court","Douglas"
"Castle Drive","Douglas"
"Castle Hill","Douglas"
"Castle Mona Avenue","Douglas"
"Castle Mona Terrace","Douglas"
"Castle Quay","Castletown"
"Castle Street","Castletown"
"Castle Street","Douglas"
"Castle Street","Peel"
"Castle Terrace","Douglas"
"Castlemona Avenue","Douglas"
"Castletown Road","Arbory"
"Castletown Road","Ballabeg"
"Castletown Road","Douglas"
"Castletown Road","Malew"
"Castletown Road","Port Erin"
"Castletown Road","Port St Mary"
"Castletown Road","Santon"
"Castletown Square","Castletown"
"Castleward Green","Douglas"
"Cedar East","Colby"
"Cedar Walk","Douglas"
"Cedar Walk","Tromode"
"Central Apartments","Douglas"
"Central Drive","Onchan"
"Central Promenade","Douglas"
"Century Court","Douglas"
"Chaffinch Close","Douglas"
"Chapel Close","Ballaugh"
"Chapel Court","Derbyhaven"
"Chapel Court","Malew"
"Chapel Court","Port St Mary"
"Chapel Hill","Bride"
"Chapel Lane","Baldrine"
"Chapel Lane","Lonan"
"Chapel Lane","Ramsey"
"Chapel Row","Foxdale"
"Chapel Terrace","Laxey"
"Charles Street","Peel"
"Chasm Road","Port St Mary"
"Cherry Orchard","Port Erin"
"Cherry Orchard Apartments","Port Erin"
"Cherry Tree Cottage","Lezayre"
"Cherry Tree Drive","Crosby"
"Cherry Walk","Douglas"
"Chestnut Cottages","Ballaugh"
"Christeens Way","Colby"
"Christeens Way","Rushen"
"Christian Avenue","Kirk Michael"
"Christian Avenue","Peel"
"Christian Close","Ballasalla"
"Christian Close","Ramsey"
"Christian Road","Douglas"
"Christian Street","Peel"
"Christian Street","Ramsey"
"Chruch Street","Peel"
"Church Avenue","Onchan"
"Church Close","Lonan"
"Church Cottages","St Marks"
"Church Hill","Laxey"
"Church Lane","Peel"
"Church Road","Douglas"
"Church Road","Jurby"
"Church Road","Laxey"
"Church Road","Lezayre"
"Church Road","Lonan"
"Church Road","Maughold"
"Church Road","Onchan"
"Church Road","Port Erin"
"Church Road","Port Lewaigue"
"Church Road","Rushen"
"Church Road","Santon"
"Church Street","Douglas"
"Church Street","Peel"
"Church View","Braddan"
"Church View","Bride"
"Church View Court","Port Erin"
"Church Walk","Ramsey"
"Churchtown","Lezayre"
"Churchtown Road","Lezayre"
"Circular Road","Douglas"
"Circular Road","Peel"
"Claddagh Road","Lezayre"
"Claddagh Road","Sulby"
"Clagh Vane","Ballasalla"
"Clagh Wyllin","Ballaugh"
"Clanna Road","Braaid"
"Clanna Road","Marown"
"Clanna Road","Santon"
"Clannagh Road","Santon"
"Clanner Road","Braaid"
"Clarence Terrace","Douglas"
"Clarke Street","Douglas"
"Clarke Street Lane","Douglas"
"Clarum Farm","Lonan"
"Claughbane","Ramsey"
"Claughbane Avenue","Ramsey"
"Claughbane Drive","Ramsey"
"Claughbane Plantation","Maughold"
"Claughbane Plantation And Elfin Glen","Ramsey"
"Claughbane Road","Ramsey"
"Claughbane Walk","Ramsey"
"Claughvane Field","Arbory"
"Clay Head Close","Baldrine"
"Clay Head Road","Baldrine"
"Clay Head Road","Lonan"
"Cleiy Rhennee","Kirk Michael"
"Cleiy Rhennee","Michael"
"Clenagh Road","Jurby"
"Clenagh Road","Lezayre"
"Clenagh Road","Ramsey"
"Clenagh Road","Sandygate"
"Clenagh Road","Sulby"
"Cliey Rhennee","Kirk Michael"
"Clifton Drive","Port St Mary"
"Clifton Drive","Ramsey"
"Clifton Park","Ramsey"
"Clifton Road","Port St Mary"
"Clifton Road","Rushen"
"Clifton Road North","Port St Mary"
"Clifton Road South","Port St Mary"
"Clifton Terrace","Douglas"
"Clock Tower Industrial Estate","Patrick"
"Clock Tower Industrial Park","Foxdale"
"Close Beg","Peel"
"Close Caaig","Peel"
"Close Cam","Port Erin"
"Close Chairn","Lezayre"
"Close Chairn","Sulby"
"Close Chiarn","Peel"
"Close Corlett","Peel"
"Close Corlett Estate","Peel"
"Close Corneil","Port Erin"
"Close Corran","Union Mills"
"Close Cowley","Douglas"
"Close Cranstal","Lezayre"
"Close Cronk","Peel"
"Close Cubbon","Peel"
"Close Cullyn","Kirk Michael"
"Close Famman","Port Erin"
"Close Kennish","Douglas"
"Close Leece","St Johns"
"Close Lhear Meadows","Sulby"
"Close Oard","Ramsey"
"Close Quane","Peel"
"Close Quirk","Douglas"
"Close To Lhen Trench","Andreas"
"Close Toalt","German"
"Close Toalt","Peel"
"Close Umpson","Ballaugh Curragh"
"Close-E-Quayle","Lezayre"
"Clover Avenue","Peel"
"Clybane Close","Braddan"
"Clybane Close","Douglas"
"Clybane Court","Braddan"
"Clybane Court","Douglas"
"Clybane Manor","Douglas"
"Clybane Rise","Braddan"
"Clybane Rise","Douglas"
"Clybane Road","Braddan"
"Clybane Road","Douglas"
"Clypse","Onchan"
"Clypse Cottages","Onchan"
"Clypse Moar Road","Onchan"
"Clypse Mooar Cottage","Onchan"
"Clypse Mooar Road","Onchan"
"Clypse View","Onchan"
"Coan-Ny-Glion","Onchan"
"Coast Road","Andreas"
"Coast Road","Jurby"
"Coburg Road","Ramsey"
"Coburn Drive","Ramsey"
"Colas Drive","Ballasalla"
"Colas Road","Ballasalla"
"Colas Road","Malew"
"Colby","Arbory"
"Colby","Castletown"
"Colby","Isle Of Man"
"Colby Station","Colby"
"Colden Lane","Douglas"
"Colden Road","Douglas"
"College Green","Castletown"
"College Green Road","Castletown"
"College Street","Ramsey"
"Collins Lane","Ramsey"
"Colloway","Port St Mary"
"Colony Road","Maughold"
"Colooneys Lane","Braddan"
"Colooneys Lane","Douglas"
"Concorde Developments","Cronk Road"
"Confederate Cottage","Bride"
"Conister Close","Onchan"
"Convery Close","Onchan"
"Cooil Avenue","Kirk Michael"
"Cooil Breryck","Ramsey"
"Cooil Breryk","Ramsey"
"Cooil Close","Douglas"
"Cooil Dharry","Kirk Michael"
"Cooil Drive","Braddan"
"Cooil Drive","Douglas"
"Cooil Farrane","Douglas"
"Cooil Road","Braaid"
"Cooil Road","Braddan"
"Cooil Road","Douglas"
"Cooil Road","Marown"
"Cooil Smithy Industrial Estate","Braddan"
"Cooil Veg","Andreas"
"Cooil View","Douglas"
"Cooilbane","Sulby"
"Cooilbane Cottages","Sulby"
"Cooilushtey","Maughold"
"Cooilushtey","Port Lewaigue"
"Coopers Close","Kirk Michael"
"Copse Hill","Braddan"
"Copse Hill","Douglas"
"Cordeman Road","Malew"
"Cordeman Road","St Marks"
"Corlea Farm","Ballasalla"
"Corlea Road","Ballasalla"
"Corlea Road","Malew"
"Corlea Road","Ronague"
"Corlea Road And Grenaby Road","Kerrowkeil"
"Cornelly","German"
"Corner Of Ballaquayle Road/Dukes Road","Douglas"
"Corner Of Keowns Lane And East Quay","Peel"
"Corner Of Orry Street And Demesne Road","Douglas"
"Coronation Court","Ramsey"
"Corony","Maughold"
"Corony Bridge","Maughold"
"Corony Hill","Maughold"
"Corran Pirragh","Peel"
"Corrany Bridge","Ramsey"
"Corrany Valley","Maughold"
"Corrib House","Douglas"
"Corrins Way","Peel"
"Corrody","Lezayre"
"Corvalley","Marown"
"Corvalley House","Castletown"
"Costain Close","Arbory"
"Costain Close","Colby"
"Court Row","Ramsey"
"Cowell's Terrace","Ramsey"
"Cowells Terrace","Ramsey"
"Cowles Cottage","Andreas"
"Cowles Croft","Foxdale"
"Cranstal","Bride"
"Cranstal Road","Bride"
"Creg Na Molt","Maughold"
"Creg Ny Baa","Onchan"
"Creg Ny Baa Back Road","Onchan"
"Creg Willeys Hill","St Johns"
"Creg-E-Cowin","Braddan"
"Creg-E-Cowin","East Baldwin"
"Creg-Ny-Baa","Onchan"
"Creggan Aashen","Glen Maye"
"Creggan Aashen","Patrick"
"Creggan Ashen","Glen Maye"
"Creggan Ashen","Patrick"
"Creggan Lea","Port St Mary"
"Creggan Mooar","Patrick"
"Creggan Mooar","Port St Mary"
"Creggans Avenue","Peel"
"Cregneash","Rushen"
"Crellin Close","Ballasalla"
"Crescent Road","Ramsey"
"Crescent West","Ramsey"
"Cringle Close","Ballasalla"
"Croft Park","Andreas"
"Crogga","Santon"
"Croit E Caley","Colby"
"Croit E Cubbon","Colby"
"Croit E Quill Close","Laxey"
"Croit E Quill Close","Lonan"
"Croit E Quill Road","Laxey"
"Croit E Quill Road","Lonan"
"Croit Ny Glionney","Arbory"
"Croit Ny Glionney","Colby"
"Croit Ny Kenzie","Andreas"
"Croit Ny Kenzie Close","Andreas"
"Croit Ny Kenzie Estate","Andreas"
"Croit- E- Caley","Colby"
"Croit-E- Caley","Colby"
"Croit-E-Caley","Colby"
"Croit-E-Caley","Rushen"
"Croit-E-Callow","Laxey"
"Croit-E-Cubbon","Colby"
"Croit-E-Quill","Lonan"
"Croit-E-Quill Close","Laxey"
"Croit-E-Quill Close","Lonan"
"Croit-E-Quill Road","Laxey"
"Croit-E-Quill Road","Lonan"
"Croit-Ne-Kenzie","Andreas"
"Croit-Ny-Kenzie Estate","Andreas"
"Cronk Avenue","Onchan"
"Cronk Breck","Andreas"
"Cronk Breck Close","Ballaugh"
"Cronk Cardle","Maughold"
"Cronk Cardle","Ramsey"
"Cronk Coar","Douglas"
"Cronk Cullen","Arbory"
"Cronk Cullyn","Arbory"
"Cronk Cullyn","Colby"
"Cronk Cullyn Estate","Colby"
"Cronk Dhoo","Greeba"
"Cronk Drean","Douglas"
"Cronk Drean, Second Avenue","Douglas"
"Cronk Drine","Braddan"
"Cronk Drine","Union Mills"
"Cronk E Berry","Douglas"
"Cronk E Dhooney","Colby"
"Cronk Froy","Santon"
"Cronk Gennal","Laxey"
"Cronk Gennal And Garage","Laxey"
"Cronk Grainagh","Braddan"
"Cronk Grianagh","Braddan"
"Cronk Grianagh","Strang"
"Cronk Grianagh Estate","Braddan"
"Cronk Lheanag","Peel"
"Cronk Liauyr","Douglas"
"Cronk Moar Cottage","Dalby"
"Cronk Ny Greiney","Douglas"
"Cronk Reayrt","Peel"
"Cronk Road","Ballaugh"
"Cronk Road","Port St Mary"
"Cronk Road","Union Mills"
"Cronk Ruagh","Lezayre"
"Cronk Ruagh","Ramsey"
"Cronk View Crescent","Port Erin"
"Cronk Y Berry","Douglas"
"Cronk Y Berry Avenue","Douglas"
"Cronk Y Berry Beg","Douglas"
"Cronk Y Berry Drive","Douglas"
"Cronk Y Berry Mews","Douglas"
"Cronk Y Berry Mooar","Douglas"
"Cronk Y Berry View","Douglas"
"Cronk Y Dhooney","Rushen"
"Cronk Y Thatcher","Colby"
"Cronk Y Voddy","German"
"Cronk Y Voddy","Kirk Michael"
"Cronk Y Voddy","St Johns"
"Cronk- Y- Berry Drive","Douglas"
"Cronk- Y- Berry Mooar","Douglas"
"Cronk-E-Dhooney","Colby"
"Cronk-E-Dhooney","Rushen"
"Cronk-Ny-Greiney","Douglas"
"Cronk-Y-Berry","Douglas"
"Cronk-Y-Berry Avenue","Douglas"
"Cronk-Y-Berry Beg","Douglas"
"Cronk-Y-Berry Drive","Douglas"
"Cronk-Y-Berry Mews","Douglas"
"Cronk-Y-Berry Mooar","Douglas"
"Cronk-Y-Berry View","Douglas"
"Cronk-Y-Thatcher","Arbory"
"Cronk-Y-Thatcher","Colby"
"Cronk-Y-Voddy","German"
"Cronk-Y-Voddy","Kirk Michael"
"Cronkbourne","Braddan"
"Cronkbourne","Douglas"
"Cronkbourne","Tromode"
"Cronkbourne Avenue","Douglas"
"Cronkbourne Road","Douglas"
"Crosby","Marown"
"Crosby Farm Lane","Bride"
"Crosby Mews","Crosby"
"Crosby Terrace","Crosby"
"Crosby Terrace","Douglas"
"Crosby Terrace","Marown"
"Cross Four Ways","Ballasalla"
"Cross Four Ways","Malew"
"Crossack Road","Ballasalla"
"Crossag Road","Ballasalla"
"Crossags Lane","Ramsey"
"Crovens Close","Douglas"
"Crown Street","Peel"
"Cubbon's Bridge","Colby"
"Cubbons Close","Peel"
"Cumberland Road","Ramsey"
"Curragh Beg Farm","Bride"
"Curragh Road","German"
"Curragh Road","St Johns"
"Cushag Drive","Peel"
"Cushag Road","Douglas"
"Dalby","Glen Maye"
"Dalby","Patrick"
"Dale Street","Ramsey"
"Dale Street/Queens Promenade","Ramsey"
"Dalton Street","Douglas"
"Dandy Hill","Port Erin"
"Darragh","Port Erin"
"Darragh Road","Port Erin"
"Demense Road","Douglas"
"Demesne Road","Douglas"
"Depot Site Near Four Roads","Port St Mary"
"Derby Court","Castletown"
"Derby Drive","Peel"
"Derby Road","Douglas"
"Derby Road","Peel"
"Derby Road","Ramsey"
"Derby Square","Douglas"
"Derby Terrace","Douglas"
"Derbyhaven","Castletown"
"Derbyhaven","Malew"
"Derbyhaven Road","Derbyhaven"
"Derwent Drive","Onchan"
"Desmene Road","Douglas"
"Desmesne Road","Douglas"
"Devonshire Crescent","Douglas"
"Devonshire Road","Douglas"
"Dhoon Loop Road","Maughold"
"Dhoor","Lezayre"
"Dhoor Cottages","Ramsey"
"Disused Railway Line","Ramsey"
"Ditchfield Lane","Port Erin"
"Doarlish Ard","Foxdale"
"Dodds Lane","Peel"
"Dog Mills","Bride"
"Dogmills","Bride"
"Dollagh","Ballaugh"
"Dollagh Green","Ballaugh"
"Dollagh Mooar Road","Ballaugh"
"Dolphin Court","Port St Mary"
"Douglas","Braddan"
"Douglas","Farmhill"
"Douglas","Isle Of Man"
"Douglas Avenue","Douglas"
"Douglas Corner","Kirk Michael"
"Douglas Harbour","Douglas"
"Douglas Head","Douglas"
"Douglas Head Apartments","Douglas"
"Douglas Head Road","Douglas"
"Douglas Road","Arbory"
"Douglas Road","Ballabeg"
"Douglas Road","Ballasalla"
"Douglas Road","Castletown"
"Douglas Road","Kirk Michael"
"Douglas Road","Malew"
"Douglas Road","Peel"
"Douglas Road/ Michael Street","Peel"
"Douglas Road/Michael Street","Peel"
"Douglas Street","Castletown"
"Douglas Street","Peel"
"Douglas Street/Michael Street","Peel"
"Doves Croft","Douglas"
"Dovescroft","Douglas"
"Dreemskerry","Maughold"
"Dreemskerry Hill","Maughold"
"Dreemskerry Road","Maughold"
"Dreemskerry Road","Ramsey"
"Dreeym Balley Cubbon","Colby"
"Dreeym Beary","Douglas"
"Drinkwater Street","Douglas"
"Droghadfayle Park","Port Erin"
"Droghadfayle Road","Port Erin"
"Druidale","Kirk Michael"
"Druidale","Michael"
"Drumain Farm","Laxey"
"Drumgold Street","Douglas"
"Drury Terrace","Douglas"
"Duke Street","Douglas"
"Duke Street","Peel"
"Dukes Road","Douglas"
"Dumbell's Terrace","Laxey"
"Dumbells Terrace","Laxey"
"Eagle Mews","Port Erin"
"Eairy","Foxdale"
"Eairy","Malew"
"Eairy","Marown"
"Eairy Dam","Malew"
"Eairy Jora Lane","Crosby"
"Eairy Ploydwell","Marown"
"Eairy Terrace","Foxdale"
"Eairy Terrace","Marown"
"Eary Lhane","German"
"Eary Veg","Douglas"
"Earystane","Arbory"
"Earystane","Colby"
"Earystane/Ballacannell","Arbory"
"Earystone","Colby"
"East Baldwin","Braddan"
"East Ballacaley","Sulby"
"East Bretney","Jurby"
"East Foxdale","Malew"
"East Foxdale Road","Higher Foxdale"
"East Loughan","Jurby East"
"East Nappin","Jurby"
"East Of Bulgham House","Laxey"
"East Quay","Peel"
"East Quay","Ramsey"
"East Street","Ramsey"
"Eastfield","Douglas"
"Eastfield Gardens","Ramsey"
"Eastfield Mansion House","Douglas"
"Easy Quay","Peel"
"Eden Park","Braddan"
"Edmund Chadwick Grove","Douglas"
"Egerton Terrace","Douglas"
"Elderberry Rise","Douglas"
"Eleanora Drive","Douglas"
"Eleanora Gardens","Douglas"
"Electricity Sub Station","Ballasalla"
"Electricity Substation","Port Erin"
"Elfin Court","Ramsey"
"Elizabeth Rise","Castletown"
"Ellan Farm","Jurby East"
"Ellan Park","Ramsey"
"Ellenbrook Avenue","Douglas"
"Ellenbrook Close","Douglas"
"Ellenbrook Drive","Douglas"
"Ellerslie Gardens","Castletown"
"Elm Bank","Glen Vine"
"Elm Drive","Onchan"
"Elm Drive","Peel"
"Elm Drive And Elm Tree Road","Onchan"
"Elm Tree Road","Onchan"
"Empire Terrace","Douglas"
"Empress Apartments","Douglas"
"Empress Drive","Douglas"
"Empress Mews","Douglas"
"Empress Terrace","Douglas"
"Endfield Avenue","Port St Mary"
"Ennerdale Avenue","Onchan"
"Erin Close","Port Erin"
"Erin Crescent","Port Erin"
"Erin Lane","Port Erin"
"Erin Rise","Port Erin"
"Erin View","Port Erin"
"Erin Way","Port Erin"
"Erinville Cottages","Kirk Michael"
"Eskdale Road","Onchan"
"Esplanade Court","Douglas"
"Esplanade Lane","Douglas"
"Esplanade Mews","Douglas"
"Estate Of Baldromma","Lezayre"
"Estate Of Ballaclarey","Arbory"
"Estate Of Ballagarrett","Bride"
"Estate Of Billown Farm","Malew"
"Estate Of Druin","Lezayre"
"Estate Of Loughen-E-Yeigh","Lezayre"
"Estates Of Ballaseyre And Ballacorey","Andreas"
"Eyremont Terrace","Crosby"
"Eyreton","Marown"
"Eyreton Farm Cottages","Crosby"
"Eyreton Farm Cottages","Marown"
"Eyreton Lea","Crosby"
"Eyreton Lea","Marown"
"Eyreton Park","Crosby"
"Eyreton Park","Marown"
"Eyreton Road","Crosby"
"Eyreton Road","Marown"
"Eyreton Terrace","Crosby"
"Faaie Craine","Ballaugh"
"Faaie Ny Cabbal","Kirk Michael"
"Faaie Ny Cabball","Kirk Michael"
"Faaie-Ny-Cabbal","Kirk Michael"
"Factory Lane","Peel"
"Fairfield Avenue","Onchan"
"Fairfield Avenue","Ramsey"
"Fairfield House","St Johns"
"Fairfield Terrace","Douglas"
"Fairholme","Port Erin"
"Fairview Cottages","Glen Maye"
"Fairway Close","Onchan"
"Fairway Close","Port Erin"
"Fairway Drive","Port Erin"
"Fairway Drive","Ramsey"
"Fairways Approach","Braddan"
"Fairways Approach","Douglas"
"Fairways Court","Port Erin"
"Fairways Crescent","Braddan"
"Fairways Crescent","Douglas"
"Fairways Drive","Braddan"
"Fairways Drive","Douglas"
"Fairways Drive","Mount Murray"
"Fairways Drive Fairways Crescent And Fairways Approach","Mount Murray"
"Fairy Bridge","Santon"
"Fairy Cottage","Laxey"
"Falcon Cliff Court","Douglas"
"Falcon Cliff Terrace","Douglas"
"Falcon Cliff Terrace Lane","Douglas"
"Falcon Hill","Port Erin"
"Falcon Lane","Port Erin"
"Falcon Street","Douglas"
"Falkland Drive","Onchan"
"Faragher Road","Ballasalla"
"Farmhill","Braddan"
"Farmhill","Douglas"
"Farmhill Drive","Douglas"
"Farmhill Estate","Braddan"
"Farmhill Farm","Douglas"
"Farmhill Gardens","Douglas"
"Farmhill Grange","Douglas"
"Farmhill Lane","Douglas"
"Farmhill Meadows","Douglas"
"Farmhill Mews","Douglas"
"Farmhill Park","Douglas"
"Farrant Street","Douglas"
"Farrant Street","Onchan"
"Farrant's Park","Castletown"
"Farrant's Way","Castletown"
"Farrant's Way","Douglas"
"Farrants Park","Castletown"
"Farrants Way","Castletown"
"Farrants Way","Malew"
"Fenella Avenue","Douglas"
"Fenella Court","Douglas"
"Fern Glen Road","Lezayre"
"Fernlea","Bride"
"Field","Malew"
"Fildraw Road","Ballasalla"
"Finch Hill Grove","Douglas"
"Finch Road","Douglas"
"Finch Road/Mount Havelock","Douglas"
"Fir View","St Johns"
"First Avenue","Douglas"
"First Avenue","Onchan"
"Fisher Close","Crosby"
"Fishers Hill","Castletown"
"Fistard","Port St Mary"
"Fistard","Rushen"
"Fistard Grove","Port St Mary"
"Fistard Road","Port St Mary"
"Fistard Road","Rushen"
"Fleshwick Close","Ballakilley"
"Fleshwick Close","Port St Mary"
"Forest Close","Crosby"
"Former Port Soderick Hotel","Santon"
"Formerly Known As Shellaugh","Bride"
"Fort Anne","Douglas"
"Fort Anne Road","Douglas"
"Fort Island Road","Derbyhaven"
"Fort Street","Douglas"
"Fort William","Douglas"
"Four Roads","Port St Mary"
"Four Roads","Rushen"
"Foxdale","Patrick"
"Foxdale Clock Tower","Foxdale"
"Foxdale Road","Ballasalla"
"Foxdale Road","Crosby"
"Foxdale Road","Foxdale"
"Foxdale Road","Malew"
"Foxdale Road","Marown"
"Foxdale Road","Patrick"
"Foxdale Road","St Johns"
"Foxdale Road","The Braaid"
"Foxglove Close","Douglas"
"Freeport Ronaldsway","Malew"
"Friary Cottages","Ballabeg"
"Friary Farm","Ballabeg"
"Friary Park","Arbory"
"Friary Park","Ballabeg"
"Friary Park","Castletown"
"Friary Park","Colby"
"Friary Park Road","Ballabeg"
"Friary Park Road","Castletown"
"From St Johns To Castletown","Patrick"
"Fuchsia Avenue","Peel"
"Fuchsia Close","Glen Vine"
"Fuchsia Close","Peel"
"Fuchsia Court","Douglas"
"Fuchsia Gardens","Braddan"
"Fuchsia Grove","Ballasalla"
"Fuchsia Lane","Douglas"
"Fuchsia Lane","Peel"
"Fuchsia Lane, Hailwood Avenue","Douglas"
"Fuchsia Road","Peel"
"Furman Close","Onchan"
"Furman Road","Onchan"
"Fuschia Close","Glen Vine"
"Fuschia Lane","Douglas"
"Gainsborough Crescent","Ramsey"
"Gainsborourgh Crescent","Ramsey"
"Gansey","Port St Mary"
"Gansey Bay","Port St Mary"
"Gansey Mill","Port St Mary"
"Gansey Point","Port St Mary"
"Garage","Castletown"
"Garage","Port Erin"
"Garage","Ramsey"
"Garage Off Queens Road","Port St Mary"
"Garages","Ramsey"
"Garages","Sulby"
"Gardeners Lane","Lezayre"
"Gardeners Lane","Ramsey"
"Garey Road","Lezayre"
"Garrett's Court","Ramsey"
"Garth Avenue","Port Erin"
"Garth Avenue","Rushen"
"Garth Avenue","Surby"
"Garth Road","Crosby"
"Garth Road","Marown"
"Garwick View","Baldrine"
"Gat E Whing","Andreas"
"Gawne's Court","Peel"
"Gawnes Court","Peel"
"Gellings Avenue","Port St Mary"
"Gellings Farm","Baldrine"
"Geln Auldyn","Lezayre"
"Georges Close","Andreas"
"Gib Lane","Peel"
"Gibbs Grove","Ramsey"
"Gibbs Park","Ramsey"
"Gibson Street","Ramsey"
"Ginger Hall And Claddagh Road","Sulby"
"Givernors Hill","Douglas"
"Gladstone Avenue","Ramsey"
"Gladstone Lane","Ramsey"
"Gladstone Road","Ramsey"
"Glan Maye","Patrick"
"Glashen Close","Ballasalla"
"Glebe Aailin","Ballaugh"
"Glebe Aalin","Ballaugh"
"Glebe Aalin Close","Ballaugh"
"Glebe Aalin Estate","Ballaugh"
"Glebe Cottage","St Marks"
"Glebe Farm","Kirk Michael"
"Glebe Farm","Michael"
"Glebe Land","Bride"
"Glen Auldyn","Lezayre"
"Glen Auldyn","Ramsey"
"Glen Auldyn Road","Lezayre"
"Glen Bank","Glen Maye"
"Glen Bank Cottages","Patrick"
"Glen Bank Terrace","Patrick"
"Glen Chass","Port Erin"
"Glen Chass","Port St Mary"
"Glen Chass Road","Glen Chass"
"Glen Chass Road","Port St Mary"
"Glen Chass Road","Rushen"
"Glen Close","Glen Maye"
"Glen Close","Patrick"
"Glen Darragh Gardens","Glen Vine"
"Glen Darragh Road","Glen Vine"
"Glen Darragh Road","Marown"
"Glen Duff","Lezayre"
"Glen Elfin Road","Ramsey"
"Glen Falcon Road","Douglas"
"Glen Falcon Terrace","Douglas"
"Glen Garwick","Baldrine"
"Glen Helen","German"
"Glen Helen Road","German"
"Glen Helen Road","St Johns"
"Glen Hill","Union Mills"
"Glen Loop Road","Maughold"
"Glen Lough Circle","Glen Vine"
"Glen Maye","Patrick"
"Glen Maye Hill","Glen Maye"
"Glen Maye Hill","Patrick"
"Glen Maye Park","Glen Maye"
"Glen Maye Park","Patrick"
"Glen Maye Park Estate","Glen Maye"
"Glen Maye Park Estate","Patrick"
"Glen Maye Road","Patrick"
"Glen Maye To Glen Rushen Road","Patrick"
"Glen Mona","Maughold"
"Glen Mona Loop Road","Glen Mona"
"Glen Mona Loop Road","Maughold"
"Glen Mooar","Kirk Michael"
"Glen Mooar","Michael"
"Glen Mooar Loop Road","German"
"Glen Mooar Loop Road","St Johns"
"Glen Mooar Road","St Johns"
"Glen Park Drive","Douglas"
"Glen Road","Arbory"
"Glen Road","Ballaugh"
"Glen Road","Colby"
"Glen Road","Laxey"
"Glen Road","Sulby"
"Glen Roy","Laxey"
"Glen Roy","Lonan"
"Glen Roy Cottages","Laxey"
"Glen Rushen","Glen Maye"
"Glen Rushen Road","Glen Maye"
"Glen Rushen Road","Patrick"
"Glen Tramman","Lezayre"
"Glen View Road","Glen Vine"
"Glen View Road","Onchan"
"Glen View Terrace","Ballaugh"
"Glen View Terrace","Port Erin"
"Glen Vine","Marown"
"Glen Vine Bungalow","Glen Vine"
"Glen Vine Cottages","Glen Vine"
"Glen Vine Drive","Glen Vine"
"Glen Vine Park","Glen Vine"
"Glen Vine Park","Marown"
"Glen Vine Road","Glen Vine"
"Glen Vine Road","Marown"
"Glen Wyllin","Kirk Michael"
"Glencrutchery Road","Douglas"
"Glenduff","Sulby"
"Gleneedle","Foxdale"
"Gleneedle","Lower Foxdale"
"Gleneedle","Nr Lower Foxdale"
"Gleneedle","Patrick"
"Gleneedle","St Johns"
"Gleneedles","Patrick"
"Glenfaba Rise","Peel"
"Glenfaba Road","Patrick"
"Glenfaba Road","Peel"
"Glenhill","Union Mills"
"Glenlough Circle","Glen Vine"
"Glenlough Circle","Marown"
"Glenlough Farm","Marown"
"Glenmoar Road","Malew"
"Glenns Home","Marown"
"Glentramman Terrace","Higher Foxdale"
"Glentrammon Tops","Lezayre"
"Glentruan And Lhen Road","Bride"
"Glentruan Cottage","Bride"
"Gob-E-Volley","Sulby"
"Godred Court","Ramsey"
"Golden Meadow Mill","Castletown"
"Goldie Terrace","Douglas"
"Gooseneck Lane","Douglas"
"Gooseneck Road","Maughold"
"Gordon","Patrick"
"Gordon Lane","Gordon"
"Gordon Lane","Patrick"
"Gorsecroft","Douglas"
"Governers Road","Onchan"
"Governors Hill","Douglas"
"Governors Hill","Onchan"
"Governors Road","Onchan"
"Grafton Street","Douglas"
"Grammah Avenue","Port Erin"
"Grand Island","Bride Road"
"Grand Island","Ramsey"
"Granite Mountain And Stoney Mountain","Malew"
"Granville Street","Douglas"
"Grays Garden","Ramsey"
"Great Meadow","Castletown"
"Greeba","German"
"Greeba","St Johns"
"Greeba Avenue","Glen Vine"
"Greeba Avenue","Marown"
"Greeba Bridge","St Johns"
"Greeba Drive","Onchan"
"Greeba Grove","Glen Vine"
"Greeba Mill Road","Greeba"
"Greenfield Road","Douglas"
"Greenlands Avenue","Ramsey"
"Greenlands Park","Ramsey"
"Greenlands View","Ramsey"
"Grenaby","Ballasalla"
"Grenaby","Bride"
"Grenaby","Malew"
"Grenaby Corner","Ballasalla"
