Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,11/00102/B,Alterations and extensions to dwelling and creation of additional vehicular access and hard standing,08-Apr-11,Head of Development Management,12 Howe Road Onchan Isle Of Man IM3 2BB
Permitted,11/00103/B,Extension to side elevation,14-Mar-11,Head of Development Management,Thie Dhrynane  Maughold Isle Of Man IM7 1AS 
Permitted,11/00104/B,Create additional living accommodation from existing garage,01-Mar-11,Head of Development Management,6 Orchard View Douglas Isle Of Man IM2 1QU 
Permitted,11/00105/B,Raise the eaves and ridge level to the northern corner of existing building,01-Mar-11,Head of Development Management,JCK Workshop Port View Port Way Balthane Industrial Estate Ballasalla Isle Of Man IM9 2AJ 
Permitted,11/00106/B,Erection of a dwelling (comprising amendments to PA 09/01333B),12-Apr-11,Head of Development Management,Land Adjacent To Burnside Main Road Union Mills Isle Of Man  
Permitted,11/00107/B,"Extension to dwelling, alterations to ground levels within part of rear garden and erection of pergola, covered canopy and fencing",14-Mar-11,Head of Development Management,Glenmore Belmont Hill Douglas Isle Of Man IM1 4NX 
Refused,11/00108/B,Erection of a front porch,14-Mar-11,Head of Development Management,22 Hillcroft Rise Douglas Isle Of Man IM2 7EE 
Permitted,11/00109/D,Erection of advertising signage and canopy,01-Mar-11,Head of Development Management,Hanley's Corner Of Demesne Road & Westmoreland Road Douglas Isle Of Man IM1 4AH
Refused,11/00110/B,Installation of dormer to rear elevation,01-Mar-11,Head of Development Management,31 Hailwood Avenue Douglas Isle Of Man IM2 7DQ
Permitted,11/00111/C,Change of use from restaurant to office accommodation,26-Apr-11,Planning Committee,Unit 17a/17b The Village Walk Onchan Isle Of Man IM3 4EB
Permitted,11/00112/B,"Door and window alterations, installation of solar panels and re location of oil tank",14-Mar-11,Head of Development Management,Gill Rhennie Glen Auldyn Ramsey Isle Of Man IM7 2AD 
Permitted,11/00113/B,"Alterations and extension to storage building to create a helicopter hangar and store (comprising amendments to PA's 09/000293B, 09/01988B and 10/00907B)",01-Mar-11,Head of Development Management,Ballaman Ballnahowe Port Erin Isle Of Man IM9 6JF 
Permitted,11/00114/B,Extension to dwelling,01-Mar-11,Head of Development Management,79 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JF
Permitted,11/00115/D,Erection of signage (In association with 11/00116/CON),14-Mar-11,Head of Development Management,Site Adjacent To Junction Of Lezayre Road & Glen Auldyn Road Milntown House Glen Auldyn Ramsey Isle Of Man IM7 2AB 
Permitted,11/00116/CON,Registered Building consent for the erection of signage (In association with 11/00115/D) Registered Building Nos. 168,14-Mar-11,Head of Development Management,Site Adjacent To Junction Of Lezayre Road & Glen Auldyn Road Milntown House Glen Auldyn Ramsey Isle Of Man IM7 2AB
Permitted,11/00117/B,Erection of a single storey extension to side and rear elevation,01-Mar-11,Head of Development Management,1 Ballacottier Meadow Douglas Isle Of Man IM2 2QX 
Permitted,11/00118/B,Erection of an outdoor WC and garden store (Amendment to 10/00870/B),01-Mar-11,Head of Development Management,22 Majestic Close Onchan Isle Of Man IM3 2JH 
Permitted,11/00119/C,Change of use of part of dwelling to a beauty treatment room,28-Mar-11,Head of Development Management,Brookfield Main Road Ballaugh Isle Of Man IM7 5EQ 
Permitted,11/00120/REM,Reserved Matters application for renovation and conversion of redundant Mill into a residential dwelling,01-Apr-11,Planning Committee,The Old Starch Mill  Sulby Glen Sulby Isle Of Man IM7 2BD
Permitted,11/00121/B,Construction of a garage and toilet extension in rear yard of dwelling,11-Jul-11,Head of Development Management,28 Farrant Street Douglas Isle Of Man IM2 3HG
Permitted,11/00122/B,Installation of replacement windows to front elevation,18-Mar-11,Head of Development Management,Four Winds  23 Demesne Road Douglas Isle Of Man IM1 3DZ 
Permitted,11/00123/B,"Alterations, erection of extension and first floor extension to dwelling",14-Mar-11,Head of Development Management,La Serene Little Mill Road Onchan Isle Of Man IM4 5BQ
Permitted,11/00124/B,Erection of a conservatory (Retrospective),12-Apr-11,Head of Development Management,Garey Veg Main Road Kirk Michael Isle Of Man IM6 1AH
Permitted,11/00125/B,Erection of a pool house building,21-Mar-11,Director Delegation,Sea Mount Scarlett Castletown Isle Of Man IM9 1TB 
Permitted,11/00126/B,Alterations and erection of a two storey extension to dwelling,01-Apr-11,Head of Development Management,7 The Millrace Sulby Isle Of Man IM7 2HT
Permitted,11/00127/B,Installation of replacement windows,14-Mar-11,Head of Development Management,Glen Grawe House 28 New Road Laxey Isle Of Man IM4 7BF
Permitted,11/00128/B,Erection of a first floor extension over existing garage,07-Jun-11,Head of Development Management,The Cottage Dalby Isle Of Man IM5 3BR 
Permitted,11/00129/B,Alterations and erection of a two storey extension to existing converted outbuilding,18-Mar-11,Head of Development Management,Ballacregga Farm Peel Road Kirk Michael Isle Of Man IM6 1AP
Permitted,11/00130/D,Erection of illuminated signage (Retrospective),18-Mar-11,Head of Development Management,Lloyds Pharmacy  Cushag Road Douglas Isle Of Man IM2 2BZ
Permitted,11/00131/B,Erection of a two storey extension to side elevation,21-Mar-11,Director Delegation,Brookwood The Hope St. Johns Isle Of Man IM4 3AT 
Permitted,11/00132/B,Erection of stables,14-Mar-11,Head of Development Management,Leodest Farm Leodest Road Andreas Isle Of Man IM7 3EG 
Permitted,11/00133/B,Erection of a two storey extension to dwelling,14-Mar-11,Head of Development Management,14 Heywood Close Onchan Isle Of Man IM3 3AE
Permitted,11/00134/C,Change of use from agricultural to an ash tree plantation,05-Apr-11,Head of Development Management,Field 134186 Holly Bank Farm   Main Road Sulby Isle Of Man  
Permitted,11/00135/GB,Conversion of garage into living accommodation (In association with 11/00136CON),14-Mar-11,Head of Development Management,19 Governors Road Onchan Isle Of Man IM3 1AY
Permitted,11/00136/CON,Registered Building Consent for conversion of garage into living accommodation (RB no 125 in association with 11/00135GB),14-Mar-11,Head of Development Management,19 Governors Road Onchan Isle Of Man IM3 1AY
Permitted,11/00137/B,Installation of a replacement bulk fuel storage tank,14-Mar-11,Head of Development Management,Bus Station And Garage Westbourne Road Ramsey Isle Of Man IM8 2ER
Permitted,11/00138/B,Replace and relocate bulk fuel storage tanks,01-Apr-11,Head of Development Management,Bus Depot Banks Circus Douglas Isle Of Man IM1 5AB 
Permitted,11/00139/B,Extension to dwelling,14-Mar-11,Head of Development Management,Struie Highfield Drive Baldrine Isle Of Man IM4 6ED
Permitted,11/00140/C,Change of use of ground floor from an office to a taxi dispatch base,28-Apr-11,Head of Development Management,100 Market Street Douglas Isle Of Man IM1 2PH
Permitted,11/00141/B,Alterations and replacement of flat roof with pitched to dwelling,18-Mar-11,Head of Development Management,Carraghyn Glenlough Circle Glen Vine Isle Of Man IM4 4AX
Permitted,11/00142/B,Installation of a satellite dish to dwelling,14-Mar-11,Head of Development Management,38 The Crofts Castletown Isle Of Man IM9 1LZ
Permitted,11/00143/B,Erection of a private multi purpose sports range,28-Apr-11,Planning Committee,Plot 3 - McCreggans Land Adjacent To Rockwood Ramsey Road Laxey Isle Of Man  
Permitted,11/00144/B,Creation of a doorway to quad area,14-Mar-11,Head of Development Management,Braddan School Braddan Road Braddan Douglas Isle Of Man IM4 4TQ
Permitted,11/00145/D,Erection of illuminated signage,04-Apr-11,Planning Committee,Site Adjacent To Cooil Road Spring Valley Industrial Estate Douglas Isle Of Man  
Permitted,11/00146/B,Demolition of existing garage to create open courtyard parking and installation of a roller shutter door and doorway for access,14-Mar-11,Head of Development Management,36 Arbory Street Castletown Isle Of Man IM9 1LN
Refused,11/00147/B,Alterations and erection of extensions to dwelling,14-Jun-11,Head of Development Management,18 Bridge Street Peel Isle Of Man IM5 1NF
Permitted,11/00148/C,Additional use of residential dwelling as tourist accommodation,01-Apr-11,Planning Committee,Nekia Bay View Road Port Erin Isle Of Man IM9 6NA
Permitted,11/00149/B,Erection of an extension to replace existing conservatory,18-Mar-11,Head of Development Management,57 Windermere Drive Onchan Isle Of Man IM3 2DX
Permitted,11/00150/B,Erection of a detached garage and private stables,01-Apr-11,Director Delegation,Earystane Chapel Earystane Colby Isle Of Man IM9 4HN 
Permitted,11/00151/B,Alterations and erection of an extension to dwelling,22-Mar-11,Director Delegation,12 Riverbank Road Ramsey Isle Of Man IM8 3PP
Permitted,11/00152/B,Alterations and extensions to dwelling house,22-Mar-11,Director Delegation,The Pits Main Road Ballaugh Isle Of Man IM7 5ES
Permitted,11/00153/B,Conversion of chapel into a residential dwelling,08-Aug-11,Department Application,Methodist Chapel Main Road Santon Isle Of Man IM4 1HU
Permitted,11/00154/B,Alterations and extensions to dwelling.,28-Apr-11,Head of Development Management,Heath Bank St. Judes Isle Of Man IM7 2EW 
Permitted,11/00155/B,Residential development comprising four detached dwellings and garages,01-Apr-11,Planning Committee,Land Adjacent To Ginger Hall Hotel Ballamanagh Road Sulby Isle Of Man  
Permitted,11/00156/B,Surfacing works to existing track (retrospective),22-Mar-11,Director Delegation,Track Adjacent To Ballagarmin House Main Road Colby Isle Of Man  
Permitted,11/00157/B,Construction of a roof over rear yard to form extension to dwelling,12-May-11,Head of Development Management,50 Alberta Drive Onchan Isle Of Man IM3 1LX
Permitted,11/00158/B,Replacement of an existing garage door with a glazed unit with access door,05-Apr-11,Head of Development Management,Braddan Bridge House Peel Road Braddan IM4 4TN 
Permitted,11/00159/B,Erection of an extension to hen house to provide a garage,02-Aug-11,Head of Development Management,Gollane Farm Clenagh Road Sandygate Ramsey Isle Of Man IM7 3AF 
Permitted,11/00160/B,Extend existing driveway and vehicular access,22-Mar-11,Director Delegation,33 Glebe Aalin Ballaugh Isle Of Man IM7 5BX
Application Withdrawn,11/00161/B,"Alterations, replace existing garage door with a window, erection of an extension to provide garage and utility and driveway amendment",28-Feb-11,Withdrawn,2 Moaney Quill Close Laxey Isle Of Man IM4 7JL
Permitted,11/00162/B,"Creation of a vehicular entrance, erection of a horse walker, creation of staff accommodation and external revisions to replacement dwelling (Amendments to 10/00807/B)",01-Apr-11,Planning Committee,Ballacomaish Ronague Road Ballabeg Castletown Isle Of Man IM9 4HF 
Permitted,11/00163/B,"Alterations, raise roof level to create a second floor extension and installation of dormer windows to dwelling",23-Mar-11,Director Delegation,Seaside Cottage The Promenade Castletown Isle Of Man IM9 1BQ
Permitted,11/00164/B,Replace existing door and window with patio doors to rear elevation of dwelling,19-May-11,Head of Development Management,Tregath Four Roads Port St. Mary Isle Of Man IM9 5LL 
Permitted,11/00165/B,Erection of a chantry,05-Apr-11,Head of Development Management,Land At St Anthony's Church Ridgeway Road Onchan Isle Of Man  
Permitted,11/00166/B,Installation of a light tunnel,23-Mar-11,Director Delegation,2 Rheast Bridson Peel Isle Of Man IM5 1JF
Refused,11/00167/B,Installation of replacement windows to front elevation,12-Apr-11,Head of Development Management,6 Upper Dukes Road Douglas Isle Of Man IM2 4BA
Permitted,11/00168/B,Formation and operation of a public car park following the demolition of school building,05-Apr-11,Head of Development Management,Albert Road School Albert Road Ramsey Isle Of Man IM8 1JB
Permitted,11/00169/B,"Erection of office building (Blocks B & C) with associated drainage works, car parking and landscaping",23-Mar-11,Director Delegation,"Fields 521888 And 521895, Between Cooil Road And MEA Building  Isle Of Man Business Park  Braddan"
Permitted,11/00170/B,"Erection of an office building (Block A) with associated drainage works, car parking and landscaping",23-Mar-11,Director Delegation,Field 521895 Between Cooil Road And MEA Building  Isle Of Man Business Park Braddan     
Permitted,11/00171/B,Door alterations and installation of an awning,23-Mar-11,Director Delegation,The New Manila Cafe / Restaurant Marathon Terrace Queens Promenade Douglas Isle Of Man IM2 4NH 
Permitted,11/00172/D,Erection of illuminated signage,23-Mar-11,Director Delegation,The New Manila Cafe / Restaurant Marathon Terrace Queens Promenade Douglas Isle Of Man IM2 4NH 
Permitted,11/00173/B,Widening of driveway and access onto highway,18-Mar-11,Head of Development Management,30 Ashlar Drive Union Mills Isle Of Man IM4 4LL
Permitted,11/00174/B,Installation of replacement windows,23-Mar-11,Director Delegation,2 Hildesley Road Douglas Isle Of Man IM2 5AZ
Permitted,11/00175/B,Installation of a replacement window,28-Mar-11,Head of Development Management,Flat 3  Withington Court Withington Road Douglas Isle Of Man IM2 3BE
Permitted,11/00176/B,Installation of replacement windows to front and rear elevations,07-Apr-11,Head of Development Management,5 Railway Terrace Douglas Isle Of Man IM1 4LT
Permitted,11/00177/B,Extension to dwelling,23-Mar-11,Director Delegation,Kerrowcottle Cottage Gleneedle Lower Foxdale Isle Of Man IM4 3BF 
Permitted,11/00178/B,"Erection of four office units with associated car parking, drainage and hard and soft landscaping works",08-Jul-11,Planning Committee,Site Of Former Isle Of Man Holiday Camp Switzerland Road / Victoria Road Douglas Isle Of Man  
Permitted,11/00179/B,Erection of a detached garage,28-Apr-11,Head of Development Management,Ballig Barn  West Baldwin Isle Of Man IM4 5EU 
Permitted,11/00180/B,"Conversion of station building into three holiday letting units, retain and refurbish existing station masters accommodation and public facilities and creation of new vehicular access and parking",27-May-11,Head of Development Management,Port St Mary Station Station Road Port St. Mary Isle Of Man IM9 5LF
Refused,11/00181/B,Erection of a replacement dwelling,28-Apr-11,Head of Development Management,Perth Cottage St Judes Road Andreas Isle Of Man IM7 3HF
Application Withdrawn,11/00182/B,Erection of a dwelling,15-Mar-11,Withdrawn,Garage / Sheds Adjacent To 1 Douglas Road Ballabeg Isle Of Man IM9 4EG
Permitted,11/00183/B,"Installation of additional windows and roof lights, removal of chimney stack",23-Mar-11,Director Delegation,Ny Clyst Lheaney Road Ramsey Isle Of Man IM8 2JF
Permitted,11/00184/B,"Drilling of borehole, installation of submersible pump and ancillary equipment",21-Apr-11,Head of Development Management,Unit 2  Port Way Balthane Industrial Estate Ballasalla Isle Of Man IM9 2AJ 
Permitted,11/00185/B,Installation of dormer to rear elevation,05-Apr-11,Head of Development Management,6 Cronk Y Berry Douglas Isle Of Man IM2 6EX
Permitted,11/00186/B,Creation of paddock roads,04-Apr-11,Head of Development Management,Paddock A  Grandstand Glencrutchery Road Douglas Isle Of Man IM2 6DA
Permitted,11/00187/B,Access alterations and creation of additional disabled parking spaces,23-Mar-11,Director Delegation,Cummal Mooar Residential Home Queens Promenade Ramsey Isle Of Man IM8 1ES 
Permitted,11/00188/B,Access alterations to public conveniences,05-Apr-11,Head of Development Management,Jubilee Kiosk Toilets Loch Promenade Douglas Isle Of Man IM1 2BT 
Permitted,11/00189/B,Access alterations to public conveniences,05-Apr-11,Head of Development Management,Boating Pool Toilets Loch Promenade Douglas Isle Of Man  
Permitted,11/00190/C,Additional use of existing residential apartment as tourist accommodation,05-Apr-11,Head of Development Management,Apartment 1 Castleview Apartments  5 Marine Parade Peel Isle Of Man  
Permitted,11/00191/B,Installation of replacement windows to front elevation,05-Apr-11,Head of Development Management,35 Peel Road Douglas Isle Of Man IM1 4LU
Permitted,11/00192/B,Installation of roof lights to dwelling,28-Mar-11,Head of Development Management,20 Hailwood Avenue Douglas Isle Of Man IM2 7AB
Permitted,11/00193/B,Erection of a sun room extension,23-Mar-11,Director Delegation,9 Carrick Bay View Colby Isle Of Man IM9 4DD 
Permitted,11/00194/B,Erection of an extension to dwelling,23-Mar-11,Director Delegation,8A Crown Street Peel Isle Of Man IM5 1AJ
Permitted,11/00195/REM,Reserved matters application for erection of a dwelling with ancillary living accommodation and garage,27-May-11,Head of Development Management,Field 614729 Baldrine Road Baldrine Isle Of Man  
Application Withdrawn,11/00196/C,Change of use from Medical Centre to a Police Station,05-Apr-11,Withdrawn,Peel Medical Centre Derby Road Peel Isle Of Man IM5 1HP
Permitted,11/00197/B,"Erection of a two storey extension to dwelling to provide a replacement garage, additional living accommodation, rear ground floor store and decking (amendment to PA 10/01145/B)",23-Mar-11,Director Delegation,Killingan Beg Churchtown Ramsey Isle Of Man IM7 2AN 
Permitted,11/00198/B,Alterations and erection of a replacement extension to dwelling,28-Apr-11,Head of Development Management,Sycamore Cottage Glen Road Laxey Isle Of Man IM4 7AN
Permitted,11/00199/B,Erection of a two storey extension to side elevation,05-Apr-11,Head of Development Management,4 Larch Hill Douglas Isle Of Man IM2 5NQ
Refused,11/00200/D,Placement of advertising board on highway outside premises,19-Aug-11,Department Application,Victoria Arcade 15 Castle Street Douglas Isle Of Man IM1 2EX
Permitted,11/00201/B,Conversion of barn to additional living accommodation and construction of link atrium to main dwelling (including regularisation of works already undertaken),01-Apr-11,Planning Committee,Ballagorry Beg Glen Mona Ramsey Isle Of Man IM7 1HF 
Permitted,11/00202/B,Extension to front elevation of dwelling,23-Mar-11,Director Delegation,20 Ennerdale Avenue Onchan Isle Of Man IM3 2DL 
Permitted,11/00203/B,Installation of roof lights to dwelling,23-Mar-11,Director Delegation,Reayrt Aalin Beaumont Road Ramsey Isle Of Man IM8 2HW
Permitted,11/00204/B,Erection of a detached garage/store and amendments to vehicular access,24-Mar-11,Director Delegation,Eskadale King Edward Road Onchan Isle Of Man IM4 6AB
Permitted,11/00205/B,"Alterations, erection of extension and raising roof to provide additional living accommodation (Amendment to 10/00440/B)",24-May-11,Head of Development Management,79 Cronk Drean Douglas Isle Of Man IM2 6AS
Permitted,11/00206/B,Installation of replacement windows to front and side elevations,24-Mar-11,Director Delegation,Meadowside Cottage Main Road Greeba Isle Of Man IM4 2DU
Permitted,11/00207/B,Erection of a porch to dwelling,24-Mar-11,Director Delegation,Willoughby Fistard Road Fistard Port St. Mary Isle Of Man IM9 5HD
Refused,11/00208/B,Erection of an agricultural building,12-May-11,Head of Development Management,Field 130853 Jurby Road Andreas Isle Of Man  
Permitted,11/00209/B,Erection of an extension to dwelling,24-Mar-11,Director Delegation,Clovelly Strang Road Union Mills Isle Of Man IM4 4NW
Permitted,11/00210/B,Erection of a replacement dwelling,23-Jun-11,Planning Committee,Cedar Bank Ballajora Hill Ballajora Ramsey Isle Of Man IM7 1AZ
Refused,11/00211/B,Demolition of existing chalet dwelling and replacement in new location with a single storey dwelling,12-Apr-11,Head of Development Management,Field 134924 Lower Glentramman Farm Garey Road Garey Ramsey Isle Of Man  
Permitted,11/00212/B,Erection of access stairs and landing to dwelling,24-Mar-11,Director Delegation,Unit 3 Lower Sulby Farm  Scollag Road Abbeylands Isle Of Man
Permitted,11/00213/B,Erection of a garden shed / storage area,24-Mar-11,Director Delegation,Unit 3 Lower Sulby Farm  Scollag Road Abbeylands Isle Of Man
Permitted,11/00214/B,Erection of an extension to dwelling,24-Mar-11,Director Delegation,Unit 3 Lower Sulby Farm  Scollag Road Abbeylands Isle Of Man
Permitted,11/00215/B,Conversion of boarding house into four apartments,20-May-11,Planning Committee,Lincluden Glenview Terrace Port Erin Isle Of Man IM9 6HA
Permitted,11/00216/B,Alterations and extensions to dwelling including formation of pitched roof over garage  and creation of a doorway (Amendment to PA 10/00712/B),24-Mar-11,Director Delegation,39 Groudle Road Onchan Isle Of Man IM3 2EF
Permitted,11/00217/B,Residential development with associated car parking,27-Jul-11,Department Application,Phase 9 Heather Crescent / Hazel Crescent Upper Pulrose Estate  Douglas Isle Of Man  
Refused,11/00218/D,Erection of advertising sign (Retrospective),24-Mar-11,Director Delegation,Field 521888  Adjacent To Cooil Road  Isle Of Man Business Park  Douglas Isle Of Man  
Permitted,11/00219/B,Extension to chapel,26-Jul-11,Director Delegation,Barregarroo Chapel Ballaleigh Road Kirk Michael Isle Of Man IM6 1HH
Permitted,11/00220/D,Erection of signage,02-Jun-11,Department Application,Hangar 230 Jurby Industrial Estate Jurby Isle Of Man IM7 3BD 
Permitted,11/00221/B,Removal of a chimney stack,28-Mar-11,Head of Development Management,152 & 154 Woodbourne Road Douglas Isle Of Man 
Permitted,11/00222/B,Installation of replacement upper floor windows to front and rear elevations,01-Apr-11,Head of Development Management,76 Bucks Road Douglas Isle Of Man IM1 3AF
Permitted,11/00223/B,Erection of a replacement dwelling,19-Apr-11,Director Delegation,33 Birch Hill Avenue Onchan Isle Of Man IM3 4ES
Permitted,11/00224/B,Alterations and erection of an extension to dwelling,05-Apr-11,Head of Development Management,116 Cronk Liauyr Douglas Isle Of Man IM2 5LL
Permitted,11/00225/B,Erection of safety fencing to boundary with Douglas Golf Course and approved residential development,19-Apr-11,Director Delegation,Land At Pulrose Farm Castletown Road Douglas Isle Of Man  
Permitted,11/00226/B,Erection of a first floor extension over existing garage,05-Apr-11,Head of Development Management,20 Governors Hill Douglas Isle Of Man IM2 7AS
Permitted,11/00227/B,Conversion of hotel to six serviced hotel suites including retention of existing managers and associated lounge accommodation (Retrospective),19-Apr-11,Director Delegation,Gloucester Hotel 32 Loch Promenade Douglas Isle Of Man IM1 2LY
Permitted,11/00228/B,Erection of replacement fencing (retrospective),01-Apr-11,Head of Development Management,1 Rosedene Cottages Glen Road Laxey Isle Of Man IM4 7AB
Permitted,11/00229/B,Erection of an extension to form additional bedroom accommodation (Amendments to PA 05/01894/B),27-May-11,Head of Development Management,Brookfield Residential & Nursing Home Claughbane Drive Ramsey Isle Of Man IM8 2RE
Permitted,11/00230/B,Erection of conservatory,01-Apr-11,Head of Development Management,The Old Mill Lower Foxdale Isle Of Man IM4 3AZ 
Refused,11/00231/A,Approval in principle for the erection of lock up garages,24-Jun-11,Head of Development Management,Land To Rear Of Garage Church Road Onchan Isle Of Man  
Permitted,11/00232/B,Alterations and erection of extensions within enclosed courtyard,12-Apr-11,Head of Development Management,Ramsey Grammar School West Building   Lezayre Road Ramsey Isle Of Man IM8 2RG
Permitted,11/00233/B,Re-tiling roof of dwelling,04-Apr-11,Head of Development Management,6 Greeba Avenue Glen Vine Isle Of Man IM4 4ED
Application Withdrawn,11/00234/B,Conversion and erection of extensions to existing barn to provide living accommodation,22-Mar-11,Withdrawn,Ballacondra Farm Cranstal Bride Isle Of Man IM7 4BP 
Permitted,11/00235/B,Erection of agricultural building,27-May-11,Head of Development Management,Field 234064 Ballacregga  Peel Road Kirk Michael Isle Of Man  
Application Withdrawn,11/00236/GB,Alterations and extensions to dwelling (in association with 11/00237CON),15-Apr-11,Withdrawn,Ballaradcliffe House Kiondroghad Road Andreas Isle Of Man IM7 3EL
Application Withdrawn,11/00237/CON,Registered Building Consent for alterations and extensions to dwelling (RB no 247 in association with 11/00236GB),15-Apr-11,Withdrawn,Ballaradcliffe House Kiondroghad Road Andreas Isle Of Man IM7 3EL
Permitted,11/00238/B,Demolition of existing and erection of a replacement dwelling,04-Apr-11,Head of Development Management,2 Ballacallin Cottage Gordon Peel Isle Of Man IM5 3AR 
Permitted,11/00239/B,"Erection of sun lounge to replace existing conservatory, installation of three additional rooflights and steel flue on main dwelling and erection of detached carport/store",19-Apr-11,Director Delegation,Old Parsonage Barns St Marks Ballasalla Isle Of Man IM9 3AH 
Refused,11/00240/B,"Erection of swimming pool, garden shed, infill porch, additional garaging and widening of driveway",06-May-11,Head of Development Management,7 Montreux Court Douglas Isle Of Man IM2 6AF
Permitted,11/00241/B,"Estate layout for two detached dwellings and garages with associated access road, drainage and other services and access for construction traffic to adjacent land",18-Oct-11,Planning Committee,Land Off Station Road St Johns Isle Of Man  
Permitted,11/00242/B,Installation of replacement windows to front elevation,04-Apr-11,Head of Development Management,37 Hawarden Avenue Douglas Isle Of Man IM1 4BW
Permitted,11/00243/B,Creation of additional doorway to front elevation,25-Mar-11,Head of Development Management,40 Allan Street Douglas Isle Of Man IM1 3DH
Certificate of Lawfulness AGREED,11/00244/LAW,Application for a certificate of lawful use for installation of windows,04-Apr-11,Head of Development Management,9 Athol Street Douglas Isle Of Man IM1 1LD 
Permitted,11/00245/B,"Erection of extension to dwelling, garden shed and new boundary wall",04-Apr-11,Head of Development Management,Strooan Cottage Sound Road Glen Maye Isle Of Man IM5 3BJ
Permitted,11/00246/A,Approval in principle to convert former workshop / store into a private dwelling,07-Apr-11,Head of Development Management,Workshop / Store Adjacent To 1 Victoria Terrace Glen Road Laxey Isle Of Man  
Permitted,11/00247/B,Door and window alterations to dwelling,04-Apr-11,Head of Development Management,9 Brunswick Road Douglas Isle Of Man IM2 3LH
Refused,11/00248/B,Installation of a single shop front and facia including the amalgamation of building at ground floor level,24-Jun-11,Head of Development Management,37/39 Victoria Street Douglas Isle Of Man IM1 2LF
Refused,11/00249/D,Erection of advertising signage,24-Jun-11,Head of Development Management,37/39 Victoria Street Douglas Isle Of Man IM1 2LF
Permitted,11/00250/B,Installation of replacement windows to front and rear elevations,04-Apr-11,Head of Development Management,41 Woodbourne Road Douglas Isle Of Man IM2 3AD
Permitted,11/00251/B,Alterations and extensions to dwelling,19-Apr-11,Director Delegation,Carisbrooke Clenagh Road Sulby Isle Of Man IM7 3AD
Permitted,11/00252/C,Additional use of residential apartment as self catering holiday accommodation,19-Apr-11,Director Delegation,Apartment 3 Captain Cannons House 7 Michael Street Peel Isle Of Man IM5 1HA 
Permitted,11/00253/B,Erection of a two storey extension to dwelling,12-Apr-11,Head of Development Management,16 Milner Close Port Erin Isle Of Man IM9 6BG
Permitted,11/00254/B,Erection of a two storey extension to dwelling house (Amendments to PA 10/00604/B),19-Apr-11,Director Delegation,Rose Cottage Groves Lane Douglas Isle Of Man IM2 1HF
Permitted,11/00255/B,Erection of replacement extensions to dwelling,07-Apr-11,Head of Development Management,15 Groudle Road Onchan Isle Of Man IM3 2EH
Permitted,11/00256/C,Extension of domestic curtilage into part of adjacent Field 424840,19-Apr-11,Director Delegation,Magher Feailley Main Road Colby Isle Of Man IM9 4AD
Permitted,11/00257/B,Extend existing hard standing,28-Apr-11,Head of Development Management,Silverdale Lodge Silverdale Road Ballasalla Isle Of Man IM9 3DT
Permitted,11/00258/B,Alterations and extensions to dwelling and erection of a detached garage (Amendments to PA 10/00683/B),20-Apr-11,Director Delegation,Headlands Bradda West Road Spaldrick Port Erin Isle Of Man IM9 6PN
Permitted,11/00259/B,Alterations and extension to former garage and change of use of garage to office  (Retrospective),19-Apr-11,Director Delegation,Lower Strenaby Farm Abbeylands Isle Of Man IM4 5EF 
Permitted,11/00260/C,Change of use of Police Station to Post Office with internal alterations to registered building (In association with 11/00261/CON),06-Jun-11,Head of Development Management,Court House Parliament Street Ramsey Isle Of Man IM8 1AR
Permitted,11/00261/CON,Registered Building consent for internal alterations to form new Post Office (In association with 11/00260/C) Registered Building Nos. 079,06-Jun-11,Head of Development Management,Court House Parliament Street Ramsey Isle Of Man IM8 1AR
Permitted,11/00262/B,Installation of replacement windows and creation of a doorway to rear elevation,20-Apr-11,Director Delegation,5 Primrose Avenue Douglas Isle Of Man IM1 4EA
Permitted,11/00263/B,Installation of replacement windows to front elevation,28-Apr-11,Head of Development Management,17 Victoria Road Port St. Mary Isle Of Man IM9 5AF
Refused,11/00264/C,Variation of condition 4 of PA 99/01898/C (Extending temporary open hours under 09/00907/R),20-May-11,Planning Committee,2 Marina Road Douglas Isle Of Man IM1 2HE
Permitted,11/00265/B,Erection of a replacement extension to dwelling,28-Apr-11,Head of Development Management,Meadow Bank 8 Eyreton Terrace Main Road Crosby Isle Of Man IM4 4BL 
Permitted,11/00266/B,Replacement of existing garage door with window,28-Apr-11,Head of Development Management,24 Claughbane Drive Ramsey Isle Of Man IM8 2AY
Permitted,11/00267/B,Replace existing garage with extension to dwelling and widen driveway,24-Jun-11,Head of Development Management,19A Odins Way Ballakillowey Colby Isle Of Man IM9 4BQ
Permitted,11/00268/B,Erection of a conservatory to dwelling,04-Apr-11,Head of Development Management,8 Cooil Breryk Ramsey Isle Of Man IM8 3HJ 
Application Withdrawn,11/00269/B,Erection of dwelling,01-Jul-11,Withdrawn,Plot 14 Poachers Pocket Development Bridge Road Ballasalla Isle Of Man  
Application Withdrawn,11/00270/B,Alterations and erection of extensions to dwelling,05-Apr-11,Withdrawn,Coach House Old Castletown Road Crogga Santon Isle Of Man IM4 1EB
Permitted,11/00271/B,Erection of extension to rear elevation of dwelling,28-Apr-11,Head of Development Management,80 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JF
