PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,PA Ref,Property Address,Appeal decision
Erection of 25 sheds (Re advertised due to additional information received),Refused,15-Mar-11,Planning Committee,22-Mar-11,24-Aug-11,10/01815/B,Sand Field (formerly Field 1540) Mount Gawne Road Port St. Mary Isle Of Man  ,Refused at Appeal
Erection of a dwelling and creation of new vehicular access,Permitted,15-Mar-11,Planning Committee,04-Apr-11,24-Aug-11,10/01832/B,Plot Adjacent To Maughold Lodge Claughbane Walk Ramsey Isle Of Man  ,Approved at Appeal
Alterations and erection of extensions,Refused,12-Jul-11,Planning Committee,28-Jul-11,25-Nov-11,10/01838/B,Beehive Nursery Hillberry Road Onchan Isle Of Man IM3 3JP,Refused at Appeal
Extension to rear elevation of dwellings,Permitted,08-Mar-11,Head of Development Management,16-Mar-11,14-Jul-11,10/01844/B,3 & 5 The Crofts Glen Vine Isle Of Man IM4 4FB,Approved at Appeal
Installation of replacement windows and doors,Permitted,10-Mar-11,Department Application,15-Dec-10,10-Mar-11,10/01851/B,South Lodge  Harcroft New Castletown Road Douglas Isle Of Man IM2 1JL,Department Application Approved
Erection of a replacement garage with tourist accommodation above and driveway amendments,Refused,15-Jun-11,Head of Development Management,30-Jun-11,23-Nov-11,10/01856/B,Tigh An Craubhan Ballaughton Meadows Douglas Isle Of Man IM2 1JG,Refused at Appeal
Alterations and extensions to dwelling,Permitted,14-Feb-11,Head of Development Management,15-Feb-11,19-Jul-11,10/01877/B,Eaglehurst Belmont Hill Douglas Isle Of Man IM1 4NY,Approved at Appeal
Erection of a replacement dwelling,Refused,17-Mar-11,Planning Committee,23-Mar-11,21-Apr-11,10/01883/B,Ashdowne House Ballavale Road Santon Isle Of Man IM4 1EH,Appeal Withdrawn
Installation of recessed lighting and paving works,Permitted,10-Mar-11,Department Application,24-Dec-10,10-Mar-11,10/01891/B,Collins Lane Ramsey Isle Of Man  ,Department Application Approved
Erection of two dwellings with integral garages and associated visitor parking,Permitted,26-Apr-11,Planning Committee,09-May-11,18-Oct-11,10/01892/B,Land In Front Of Bay View Hotel Between Shore Road Underway And High Street Port St. Mary Isle Of Man  ,Approved at Appeal
Installation of recessed lighting and paving works,Permitted,10-Mar-11,Department Application,30-Dec-10,10-Mar-11,10/01893/B,Old Post Office Lane Ramsey Isle Of Man  ,Department Application Approved
Installation of recessed lighting and paving works,Permitted,10-Mar-11,Department Application,30-Dec-10,10-Mar-11,10/01894/B,Trafalgar Hotel Lane Ramsey Isle Of Man  ,Department Application Approved
Erection of a pair of semi detached dwellings to replace existing garage block,Refused,28-Mar-11,Head of Development Management,13-Apr-11,05-Aug-11,10/01905/B,Garage Block Between Hollybank And Holmcrest  Lower Foxdale Isle Of Man IM4 3EA ,Refused at Appeal
"Erection of an extension containing a fire escape staircase, plant room and service duct and amendments to garage door",Permitted,04-Jul-11,Department Application,30-Dec-10,30-Jun-11,10/01908/B,Broadcasting House Douglas Head Douglas Isle Of Man IM1 5BW ,Department Application Approved
Approval in principle for the erection of a detached dwelling,Refused,08-Mar-11,Head of Development Management,15-Mar-11,24-Aug-11,10/01909/A,Site To Rear Of Signpost Cottage Cronk Ny Mona Mountain Road Onchan Isle Of Man  ,Refused at Appeal
Installation of a replacement window to front elevation,Refused,08-Feb-11,Head of Development Management,09-Feb-11,14-Jul-11,11/00006/B,Flat 1 Selby House 72 Derby Square Douglas Isle Of Man IM1 3LR,Refused at Appeal
"Demolition of existing 14 dwellings and erection of 16 elderly persons dwellings with new access road, parking and associated Biomass Boiler House to serve community heating scheme",Permitted,26-May-11,Department Application,07-Jan-11,26-May-11,11/00013/B,1-27 Clagh Vane Ballasalla Isle Of Man IM9 2EU,Department Application Approved
Erection of an agricultural building,Refused,28-Jun-11,Head of Development Management,04-Jul-11,25-Nov-11,11/00014/B,Field 234046 Orrisdale Road Orrisdale Kirk Michael Isle Of Man  ,Refused at Appeal
Extension to existing Dental Surgery,Permitted,15-Mar-11,Planning Committee,22-Mar-11,14-Jul-11,11/00015/B,Abbey Dental Practice  4 Silverburn Drive Ballasalla Isle Of Man IM9 2DR,Approved at Appeal
Erection of advertising banners (Retrospective),Refused,21-Feb-11,Head of Development Management,07-Mar-11,14-Jul-11,11/00038/D,Empress Hotel Central Promenade Douglas Isle Of Man IM2 4RA,Refused at Appeal
Erection of fencing (Retrospective),Permitted,14-Mar-11,Head of Development Management,18-Mar-11,14-Jul-11,11/00046/B,9 Glen Road Terrace Laxey Isle Of Man IM4 7AD,Approved at Appeal
Approval in principle for erection of a dwelling to replace existing barn and stables,Refused,25-Feb-11,Head of Development Management,10-Mar-11,14-Jul-11,11/00053/A,Field 120259 Smeale Andreas Isle Of Man  ,Refused at Appeal
First floor extension over existing garage to provide roof space storage,Refused,01-Apr-11,Head of Development Management,15-Apr-11,24-Aug-11,11/00079/B,Lock Up Garages Off Ballure Road Ramsey Isle Of Man IM8 1NB,Refused at Appeal
Approval in principle for the erection of a dwelling with garage and stables,Refused,15-Mar-11,Planning Committee,25-Mar-11,16-Aug-11,11/00082/A,Land Adjacent To  Lawsons Croft The Lhen Andreas Isle Of Man  ,Refused at Appeal
"Erection of a replacement dwelling, with landscaping and re positioned vehicular entrance",Permitted,15-Mar-11,Planning Committee,17-Mar-11,14-Jul-11,11/00084/B,Overseas 3 Lag Birragh Drive Onchan Isle Of Man IM3 2JW,Approved at Appeal
"Erection of bollards, metal panels and chains to parking area (Retrospective)",Refused,23-Feb-11,Head of Development Management,16-Mar-11,14-Jul-11,11/00090/B,32 Malew Street Castletown Isle Of Man IM9 1AF,Refused at Appeal
Alterations and extensions to existing restaurant,Refused,08-Mar-11,Head of Development Management,24-Mar-11,11-Apr-11,11/00093/B,Hawthorn Inn  Main Road Greeba Isle Of Man IM4 3LF,Appeal Withdrawn
Erection of fencing to front garden (Retrospective),Permitted,01-Mar-11,Head of Development Management,22-Mar-11,03-Jun-11,11/00094/B,8 Glen Road Terrace Laxey Isle Of Man IM4 7AD,Appeal Withdrawn
Approval in principle for erection of three dwellings,Refused,08-Mar-11,Head of Development Management,24-Mar-11,05-Aug-11,11/00095/A,Gardens And Grounds  Thie Varrey The Colony Port Lewaigue Maughold  Ramsey Isle Of Man  ,Refused at Appeal
Extension to side elevation,Permitted,14-Mar-11,Head of Development Management,01-Apr-11,05-Aug-11,11/00103/B,Thie Dhrynane  Maughold Isle Of Man IM7 1AS ,Approved at Appeal
Erection of a front porch,Refused,14-Mar-11,Head of Development Management,04-Apr-11,27-May-11,11/00108/B,22 Hillcroft Rise Douglas Isle Of Man IM2 7EE ,Appeal Withdrawn
Installation of dormer to rear elevation,Refused,01-Mar-11,Head of Development Management,10-Mar-11,14-Jul-11,11/00110/B,31 Hailwood Avenue Douglas Isle Of Man IM2 7DQ,Refused at Appeal
Erection of a private multi purpose sports range,Permitted,28-Apr-11,Planning Committee,06-May-11,24-Aug-11,11/00143/B,Plot 3 - McCreggans Land Adjacent To Rockwood Ramsey Road Laxey Isle Of Man  ,Approved at Appeal
Conversion of chapel into a residential dwelling,Permitted,08-Aug-11,Department Application,17-Mar-11,28-Jul-11,11/00153/B,Methodist Chapel Main Road Santon Isle Of Man IM4 1HU,Department Application Approved
Installation of replacement windows to front elevation,Refused,12-Apr-11,Head of Development Management,03-May-11,15-Aug-11,11/00167/B,6 Upper Dukes Road Douglas Isle Of Man IM2 4BA,Refused at Appeal
Erection of a replacement dwelling,Refused,28-Apr-11,Head of Development Management,11-May-11,15-Aug-11,11/00181/B,Perth Cottage St Judes Road Andreas Isle Of Man IM7 3HF,Refused at Appeal
Placement of advertising board on highway outside premises,Refused,19-Aug-11,Department Application,18-Feb-11,28-Jul-11,11/00200/D,Victoria Arcade 15 Castle Street Douglas Isle Of Man IM1 2EX,Department Application Refused
Erection of an agricultural building,Refused,12-May-11,Head of Development Management,25-May-11,09-Sep-11,11/00208/B,Field 130853 Jurby Road Andreas Isle Of Man  ,Refused at Appeal
Demolition of existing chalet dwelling and replacement in new location with a single storey dwelling,Refused,12-Apr-11,Head of Development Management,12-Apr-11,03-Aug-11,11/00211/B,Field 134924 Lower Glentramman Farm Garey Road Garey Ramsey Isle Of Man  ,Refused at Appeal
Conversion of boarding house into four apartments,Permitted,20-May-11,Planning Committee,31-May-11,04-Oct-11,11/00215/B,Lincluden Glenview Terrace Port Erin Isle Of Man IM9 6HA,Refused at Appeal
Residential development with associated car parking,Permitted,27-Jul-11,Department Application,14-Feb-11,21-Jul-11,11/00217/B,Phase 9 Heather Crescent / Hazel Crescent Upper Pulrose Estate  Douglas Isle Of Man  ,Department Application Approved
Erection of advertising sign (Retrospective),Refused,24-Mar-11,Director Delegation,12-Apr-11,15-Aug-11,11/00218/D,Field 521888  Adjacent To Cooil Road  Isle Of Man Business Park  Douglas Isle Of Man  ,Refused at Appeal
Erection of signage,Permitted,02-Jun-11,Department Application,22-Feb-11,02-Jun-11,11/00220/D,Hangar 230 Jurby Industrial Estate Jurby Isle Of Man IM7 3BD ,Department Application Approved
Additional use of residential apartment as self catering holiday accommodation,Permitted,19-Apr-11,Director Delegation,04-May-11,22-Jun-11,11/00252/C,Apartment 3 Captain Cannons House 7 Michael Street Peel Isle Of Man IM5 1HA ,Appeal Withdrawn
Variation of condition 4 of PA 99/01898/C (Extending temporary open hours under 09/00907/R),Refused,20-May-11,Planning Committee,08-Jun-11,11-Oct-11,11/00264/C,2 Marina Road Douglas Isle Of Man IM1 2HE,Refused at Appeal
Erection of two dwellings with associated parking,Permitted,27-May-11,Head of Development Management,13-Jun-11,11-Oct-11,11/00292/B,Kalaw 41 Groudle Road Onchan Isle Of Man IM3 2EF,Refused at Appeal
Replacement of two cabins,Permitted,26-Jul-11,Department Application,07-Mar-11,21-Jul-11,11/00305/B,Timekeepers & Scouts Cabins Grandstand Glencrutchery Road Douglas Isle Of Man  ,Department Application Approved
"Erection of a building to provide storage, garaging and repair facility of plant and equipment",Refused,08-Jun-11,Head of Development Management,29-Jun-11,20-Oct-11,11/00329/B,The Old Quarry Glen Maye Road Patrick Village Isle Of Man  ,Refused at Appeal
Re-construction of downstream apron,Permitted,19-Jul-11,Department Application,16-Mar-11,14-Jul-11,11/00330/B,Laxey River Weir Opposite New Fire Station Mines Road Laxey Isle Of Man  ,Department Application Approved
Erection of a detached dwelling,Refused,06-May-11,Head of Development Management,10-May-11,24-Aug-11,11/00346/B,Hilltop Nursery Vicarage Road Douglas Isle Of Man IM4 2AE,Refused at Appeal
Repairs work to apron,Permitted,02-Jun-11,Department Application,16-Mar-11,02-Jun-11,11/00352/B,Bridge Apron - Laxey River Mines Road Laxey Isle Of Man  ,Department Application Approved
Erection of a conservatory to dwelling,Refused,13-May-11,Director Delegation,01-Jun-11,09-Sep-11,11/00364/B,Riverside Cottage Port Cornaa Road Glen Mona Ramsey Isle Of Man IM7 1HQ ,Refused at Appeal
One year extension to existing planning permission (10/00335/C),Permitted,30-Jun-11,Department Application,15-Mar-11,30-Jun-11,11/00365/C,Stoney Mountain Quarry Stoney Mountain Road Eairy Isle Of Man IM4 3HJ,Department Application Approved
"Alterations, erection of replacement porch and dormers and conversion of garage to provide additional living accommodation (comprising amendments to PA 10/01456/B)",Refused,13-May-11,Director Delegation,02-Jun-11,09-Sep-11,11/00368/B,20 Ballachrink Drive Onchan Isle Of Man IM3 4NL,Refused at Appeal
"Erection of three two storey blocks to provide six apartments and associated works to existing road, service infrastructure and landscaping",Permitted,18-Jul-11,Department Application,18-Mar-11,14-Jul-11,11/00379/B,Land At The Bretney Jurby Isle Of Man  ,Department Application Approved
"Erection of a dwelling with car port, off street parking and turning bay",Refused,08-Jul-11,Head of Development Management,20-Jul-11,25-Nov-11,11/00384/B,Land Forming Part Of Glen Beigh Clay Head Road Baldrine Isle Of Man IM4 6DR,Refused at Appeal
Approval in principle for the erection of a detached dwelling,Refused,08-Jul-11,Planning Committee,18-Jul-11,08-Dec-11,11/00396/A,Former Ayre Mowers Site Bride Road Bride Isle Of Man  ,Refused at Appeal
Erection of a building for agricultural machinery,Refused,12-Jul-11,Planning Committee,29-Jul-11,08-Dec-11,11/00403/B,Field 134902 Garey Road Garey Ramsey Isle Of Man  ,Approved at Appeal
Conversion of ground floor apartment to two apartments and conversion of first and second floor store rooms to a duplex apartment (Retrospective),Refused,28-Jun-11,Head of Development Management,04-Jul-11,15-Nov-11,11/00423/B,15 Demesne Road Douglas Isle Of Man IM1 3EB ,Approved at Appeal
Change of use of existing ancillary accommodation to a dwelling,Refused,16-May-11,Director Delegation,01-Jun-11,09-Sep-11,11/00426/C,46 Ballachurry Avenue Onchan Isle Of Man IM3 4BB,Refused at Appeal
Demolition of existing rear elevation outlet and erection of a two storey extension with balcony,Refused,08-Jun-11,Head of Development Management,24-Jun-11,20-Oct-11,11/00429/B,23 Hatfield Grove Douglas Isle Of Man IM1 3HE,Refused at Appeal
Erection of gate and fencing (Retrospective),Refused,20-May-11,Director Delegation,23-May-11,09-Sep-11,11/00438/B,Thie Gennal Glen Road Laxey Isle Of Man IM4 7AH,Refused at Appeal
Alterations and erection of an extension,Permitted,20-May-11,Head of Development Management,27-May-11,30-Sep-11,11/00441/B,Band Hall Queen Street Castletown Isle Of Man  ,Approved at Appeal
"Alterations, erection of extensions and driveway / access amendments",Permitted,27-May-11,Head of Development Management,13-Jun-11,11-Oct-11,11/00443/B,Aalin Thie Tromode Park Douglas Isle Of Man IM2 5LA,Refused at Appeal
Demolition of existing rear elevation annex and erection of replacement extension,Refused,24-Jun-11,Director Delegation,12-Jul-11,15-Nov-11,11/00445/B,10 Woodbourne Villas Alexander Drive Douglas Isle Of Man IM2 3QG,Refused at Appeal
Creation of a campsite and alteration to entrance driveway,Refused,26-Jul-11,Director Delegation,04-Aug-11,19-Aug-11,11/00447/B,"Fields 134295, 134296 & 134297 Ballakillingan Farm  Churchtown Ramsey Isle Of Man  ",Appeal Withdrawn
Extension to dwelling,Permitted,28-Jun-11,Director Delegation,08-Jul-11,08-Dec-11,11/00452/B,8 Ballaquane Park Peel Isle Of Man IM5 1PT,Approved at Appeal
Erection of a replacement dwelling,Refused,22-Jun-11,Planning Committee,04-Jul-11,17-Aug-11,11/00458/B,Kafue Cottage St Judes Road Sulby Isle Of Man IM7 2ES,Appeal Withdrawn
Alterations and extensions to dwelling (comprising amendments to PA 09/00245B),Refused,24-Jun-11,Planning Committee,29-Jun-11,15-Nov-11,11/00471/B,Fern Glen Cottage Glen Auldyn Ramsey Isle Of Man IM7 2AG ,Refused at Appeal
Approval in principle for the erection of a dwelling,Refused,27-May-11,Head of Development Management,17-Jun-11,12-Aug-11,11/00473/A,Land Adjacent To Slieau Ny Creggin Cottage Barrule Road Foxdale Isle Of Man  ,Appeal Withdrawn
Installation of replacement windows and front door,Refused,27-May-11,Head of Development Management,08-Jun-11,09-Sep-11,11/00485/B,45 Hildesley Road Douglas Isle Of Man IM2 5AX,Approved at Appeal
Installation of replacement windows,Refused,07-Jun-11,Head of Development Management,13-Jun-11,09-Sep-11,11/00491/B,Apartment 409 Admirals Court Mooragh Promenade Ramsey Isle Of Man IM8 3BE ,Refused at Appeal
Erection of a conservatory (Retrospective),Refused,05-Aug-11,Planning Committee,22-Aug-11,08-Dec-11,11/00515/B,10 Ballagyr Park Peel Isle Of Man IM5 1UL,Refused at Appeal
Erection of a garage/storage building with room over to replace existing detached garage,Refused,31-May-11,Head of Development Management,17-Jun-11,20-Oct-11,11/00519/B,Ash Lodge Patrick Road St Johns Isle Of Man IM4 3BR,Refused at Appeal
"Erection of three detached dwellings with associated services, parking and landscaping",Permitted,22-Jun-11,Planning Committee,06-Jul-11,19-Dec-11,11/00538/B,Field 612835 Clay Head Close Baldrine Isle Of Man  ,Approved at Appeal
Erection of a detached garage(retrospective) (Amendment to PA 04/01353/B),Refused,24-Jun-11,Planning Committee,08-Jul-11,19-Dec-11,11/00539/B,Sarah's Cottage Cornaa Ramsey Isle Of Man IM7 1EQ ,Approved at Appeal
Partial change of use of building to provide office and storage facilities,Permitted,08-Jul-11,Planning Committee,26-Jul-11,25-Nov-11,11/00588/C,Training Centre Hills Meadow Industrial Estate Douglas Isle Of Man IM1 5EB ,Approved at Appeal
Erection of a shed (Retrospective),Refused,16-Jun-11,Director Delegation,04-Jul-11,25-Nov-11,11/00600/B,Site Off Station Road Ballaugh Isle Of Man  ,Refused at Appeal
Installation of underground heating pipes in field (Retrospective),Permitted,02-Aug-11,Head of Development Management,19-Aug-11,19-Dec-11,11/00623/B,Field 624472 Glen Mona Ramsey Isle Of Man  ,Approved at Appeal
Approval in principle for erection of a dwelling,Refused,28-Jun-11,Head of Development Management,18-Jul-11,08-Dec-11,11/00640/A,Land Between Plevna And Fairhaven  Slieau Whallian Road Lower Foxdale Isle Of Man  ,Refused at Appeal
Erection of a dwelling,Permitted,08-Jul-11,Planning Committee,26-Jul-11,19-Dec-11,11/00645/B,Field 134548 Glen Auldyn Road Glen Auldyn Ramsey Isle Of Man  ,Approved at Appeal
Erection of a detached garage,Permitted,21-Jun-11,Head of Development Management,07-Jul-11,25-Nov-11,11/00660/B,Leahurst Main Road Santon Isle Of Man IM4 1JB,Approved at Appeal
Conversion of public house to five apartments with parking,Refused,28-Jun-11,Director Delegation,06-Jul-11,18-Oct-11,11/00665/B,Bridge Inn New Road Laxey Isle Of Man IM4 7BE,Appeal Withdrawn
"Alterations, erection of extension and installation of replacement windows to dwelling",Refused,29-Jun-11,Head of Development Management,06-Jul-11,08-Dec-11,11/00709/B,Woodville Castletown Road Port St. Mary Isle Of Man IM9 5LT,Refused at Appeal
"Alterations, erection of extension to church and creation of a church hall",Permitted,05-Aug-11,Planning Committee,22-Aug-11,19-Dec-11,11/00715/B,St Anthonys Church Strathallan Road Onchan Isle Of Man IM3 1NN,Approved at Appeal
Removal of an agricultural workers tie to dwelling,Refused,16-Aug-11,Head of Development Management,22-Aug-11,08-Dec-11,11/00745/C,Ballaloaghtan (formerly Ballarobin) Kerrowkeil Road Grenaby Ballasalla Isle Of Man IM9 3BB ,Refused at Appeal
Approval in principle for erection of a dwelling,Refused,04-Jul-11,Head of Development Management,15-Jul-11,08-Dec-11,11/00750/A,Field 432558 Douglas Road Ballasalla Isle Of Man  ,Refused at Appeal
"Material alteration of field access, creation of a hard standing and access drive and change of use of land to residential (Retrospective)",Refused,27-Jul-11,Director Delegation,04-Aug-11,14-Sep-11,11/00752/B,Field 315982 Scravorley Curragh Road St Johns Isle Of Man  ,Appeal Withdrawn
"Alterations and amendments to highways, installation of new street furniture, lighting plus hard and soft landscaping",Permitted,01-Dec-11,Department Application,09-Jun-11,01-Dec-11,11/00791/B,"Water Street, Peel Street. Bourne Place, Parliament Street & Courthouse Gardens Ramsey Isle Of Man  ",Department Application Approved
"Alterations and amendments to highways, installation of new street furniture, lighting plus hard and soft landscaping",Permitted,08-Dec-11,Department Application,09-Jun-11,01-Dec-11,11/00796/B,Market Hill Ramsey Isle Of Man  ,Department Application Approved
Re positioning of gates and alterations to hedges and removal of trees to improve visibility,Refused,27-Jul-11,Director Delegation,04-Aug-11,14-Sep-11,11/00810/B,Field 315982 Scravorley Curragh Road St Johns Isle Of Man  ,Appeal Withdrawn
Alterations and erection of an extension to dwelling,Refused,25-Jul-11,Director Delegation,03-Aug-11,19-Dec-11,11/00817/B,28 Larivane Meadows Andreas Isle Of Man IM7 4JD ,Approved at Appeal
Extension to dwelling to form indoor swimming pool,Permitted,30-Aug-11,Planning Committee,09-Sep-11,08-Dec-11,11/00825/B,Clough Willey  Tosaby Road St Marks Ballasalla Isle Of Man IM9 3AN,Approved at Appeal
Erection of a replacement dwelling,Refused,29-Jul-11,Head of Development Management,09-Aug-11,19-Dec-11,11/00839/B,Upper Kirkill Ballakillowey Road Colby Isle Of Man IM9 4BW,Refused at Appeal
Erection of replacement dwelling,Refused,29-Jul-11,Director Delegation,09-Aug-11,19-Dec-11,11/00840/B,Upper Kirkill Ballakillowey Road Colby Isle Of Man IM9 4BW,Refused at Appeal
"Erection of a dwelling with integral garage, associated parking and landscaping",Refused,29-Jul-11,Director Delegation,09-Aug-11,19-Dec-11,11/00850/B,Mount Rule Nursery Mount Rule Douglas Isle Of Man IM4 4HW ,Refused at Appeal
Erection of four non illuminated advertising signs,Permitted,22-Sep-11,Department Application,28-Jun-11,22-Sep-11,11/00857/D,Sea Terminal Victoria Pier Douglas Isle Of Man IM1 2RF,Department Application Approved
Installation of six additional benches to match existing benches,Permitted,24-Nov-11,Department Application,08-Jul-11,24-Nov-11,11/00923/B,North Quay Douglas Isle Of Man  ,Department Application Approved
Installation of dormer to rear elevation,Refused,30-Aug-11,Head of Development Management,14-Sep-11,11-Oct-11,11/00938/B,18 Greeba Drive Onchan Isle Of Man IM3 1EW,Appeal Withdrawn
Erection of information signage,Permitted,09-Dec-11,Department Application,13-Jul-11,24-Nov-11,11/00945/D,Hills Meadow Industrial Estate  Peel Road Douglas Isle Of Man IM1 5EB ,Department Application Approved
"Location of four shipping containers for the storage of items from Queen's Pier, Ramsey",Permitted,01-Dec-11,Department Application,22-Aug-11,01-Dec-11,11/01181/B,Land At Jurby Industrial Estate Jurby Isle Of Man  ,Department Application Approved
Erection of four non illuminated signs,Permitted,01-Dec-11,Department Application,14-Sep-11,01-Dec-11,11/01280/D,Jurby  Industrial Estate Jurby Isle Of Man  ,Department Application Approved
