PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,PA Ref,Property Address,Appeal decision
Erection of a detached dwelling,Permitted,03-Jul-13,Planning Committee,23-Jul-13,18-Oct-13,13/00409/B,Land Adjacent To Longmead Ballakillowey Road Colby Isle Of Man  ,Approved at Appeal
Erection of a dwelling,Refused,09-Jul-13,Senior Planning Officer - South (SC),12-Jul-13,30-Oct-13,13/00417/B,Plot To Rear Of 47 Governors Road Onchan Isle Of Man  ,Refused at Appeal
"Alterations, erection of a building to provide an indoor tennis court, squash court and gymnasium and creation of a vehicular access",Permitted,18-Jun-13,Planning Committee,19-Jun-13,07-Oct-13,13/00423/B,Thie Ny Strooan Hillberry Green Douglas Isle Of Man IM2 6DE,Approved at Appeal
Erection of a breathing apparatus and fire training facility with associated rest room area,Permitted,25-Nov-13,Department Application,16-Apr-13,21-Nov-13,13/00433/B,Woodside East Baldwin Isle Of Man IM4 5EW ,Department Application Approved
Erection of a two storey extension to dwelling,Refused,22-May-13,Senior Planning Officer - South (SC),11-Jun-13,09-Jul-13,13/00438/B,21 Sunnybank Avenue Onchan Isle Of Man IM3 3BP,Appeal Withdrawn
Demolition of former clinic building and erection of six dwellings and associated external works,Permitted,02-Aug-13,Department Application,12-Apr-13,30-Jul-13,13/00443/B,Project 5A Janets Corner Estate Redevelopment  Douglas Road  Castletown Isle Of Man ,Department Application Approved
Erection of barriers with advertising to form an outside smoking area,Permitted,23-May-13,Senior Planning Officer - South (SC),13-Jun-13,09-Sep-13,13/00472/D,The Crescent  Queens Promenade Douglas Isle Of Man IM2 4NN,Approved at Appeal
Conversion of former police station to four apartments and a maisonette,Permitted,12-Jun-13,Senior Planning Officer - South (SC),27-Jun-13,07-Oct-13,13/00493/B,Former Police Station 1 & 3 Elm Drive Onchan Isle Of Man IM3 4EH,Approved at Appeal
Siting of a static caravan (Retrospective),Refused,18-Jun-13,Planning Committee,08-Jul-13,28-Oct-13,13/00496/C,Field 234211 Cronk Aashen Farm  Barregarrow Kirk Michael Isle Of Man IM6 1HQ ,Refused at Appeal
Erection of two dwellings with associated parking to replace existing dwelling,Permitted,12-Jun-13,Senior Planning Officer - South (SC),18-Jun-13,09-Sep-13,13/00499/B,158 Woodbourne Road Douglas Isle Of Man IM2 3BD,Approved at Appeal
"Highway alterations including placement of new granite kerbs, granite footway surfacing, granite surfacing to road table, bitumen macadam surfacing to roadway and the provision of new signs, litter bins and lamp standard heads",Permitted,04-Jul-13,Department Application,26-Apr-13,04-Jul-13,13/00502/B,"Parliament Street, Between East Street And Court Row Ramsey Isle Of Man  ",Department Application Approved
Conversion of Pooildhooie Beg to a residential dwelling and erection of two detached garages,Refused,20-Jun-13,Senior Planning Officer - South (SC),24-Jun-13,28-Oct-13,13/00512/B,Pooildhooie Cottage / Pooildhooie Beg Bayr Ny Killane Ballaugh Isle Of Man IM7 5BD ,Refused at Appeal
Creation of two gable windows to dwelling and widen existing driveway and vehicular access,Permitted,04-Jun-13,Senior Planning Officer - North (CB),21-Jun-13,10-Sep-13,13/00523/B,Anchor House Queens Road Port St. Mary Isle Of Man IM9 5ES,Approved at Appeal
"Redevelopment of existing coach park including creation of five coach parking bays and drop off area, formation of paved passenger waiting and alighting area with associated seating and lighting",Permitted,16-Sep-13,Department Application,01-May-13,12-Sep-13,13/00525/B,Coach Park Mines Road Laxey Isle Of Man  ,Department Application Approved
Installation of replacement doors,Refused,04-Jun-13,Senior Planning Officer - North (CB),13-Jun-13,20-Jun-13,13/00529/B,1 Peveril Road Peel Isle Of Man IM5 1NU,Appeal Withdrawn
Approval in principle for conversion of existing building into permanent and or tourist apartments and provision of associated off road parking facilities,Permitted,21-Jun-13,Senior Planning Officer - South (SC),12-Jul-13,18-Oct-13,13/00531/A,Groudle Glen Hotel King Edward Road Onchan Isle Of Man IM3 2JY ,Approved at Appeal
Conversion of redundant tank room to storeroom,Permitted,18-Sep-13,Department Application,02-May-13,12-Sep-13,13/00542/B,Isle Of Man College Of Further Education Homefield Road Douglas Isle Of Man IM2 6RB,Department Application Approved
Erection of replacement balcony panels,Permitted,03-Jul-13,Senior Planning Officer - South (SC),23-Jul-13,18-Oct-13,13/00543/B,Brewery Wharf Apartments Brewery Wharf Castletown Isle Of Man IM9 1ES ,Approved at Appeal
Erection of pavement barriers for outside seating area,Permitted,18-Sep-13,Department Application,09-May-13,12-Sep-13,13/00565/D,26 Victoria Street Douglas Isle Of Man IM1 2LE,Department Application Approved
"Demolition of redundant shop unit, refurbishment of toilets, modification of roof and creation of glazed canopy to existing station building together with reconstruction of the entrance from Station Road and paving of existing Goods Yard to create a publi",Permitted,17-Sep-13,Department Application,16-May-13,12-Sep-13,13/00573/B,Port Erin Railway Station Station Road Port Erin Isle Of Man IM9 6AD,Department Application Approved
Change of use from temporary amenity building to permanent,Permitted,18-Sep-13,Department Application,16-May-13,12-Sep-13,13/00591/C,Peel Inner Harbour  Mill Road Peel Isle Of Man IM5 1TB ,Department Application Approved
Change of use of land from agricultural to residential gardens,Refused,07-Nov-13,Department Application,21-May-13,31-Oct-13,13/00601/C,Part Field 121410 & Rear Of 1 - 4 Georges Close & Larivane Villa Leodest Road Andreas Isle Of Man  ,Department Application refused
Erection of a dwelling (comprising amendments to PA 11/00674/REM)(revised drawing to show all the proposed elevations and floor plans),Refused,28-Aug-13,Senior Planning Officer - South (SC),30-Aug-13,17-Oct-13,13/00621/B,Land To Rear Of St Catherines Drive And Off Belmont Hill Douglas Isle Of Man  ,Appeal Withdrawn
Installation of flat roof dormer to west elevation,Refused,09-Jul-13,Senior Planning Officer - South (SC),17-Jul-13,18-Oct-13,13/00623/B,Maynrys 16 Mountain View Peel Isle Of Man IM5 1QE,Approved at Appeal
Alterations and extension to existing detached additional living accommodation/ tourist unit,Permitted,10-Jul-13,Head of Development Management,16-Jul-13,09-Sep-13,13/00644/B,Corbrek Church Road Santon Isle Of Man IM4 1EZ,Approved at Appeal
Extension to rear elevation and replacement roof construction to create first floor living space,Refused,10-Jul-13,Senior Planning Officer - South (SC),29-Jul-13,18-Oct-13,13/00650/B,Dunluce 19 Groudle Road Onchan Isle Of Man IM3 2EH,Refused at Appeal
Widening of carriageway to facilitate left turning traffic onto Peel Road,Permitted,19-Sep-13,Withdrawn,06-Jun-13,12-Sep-13,13/00675/B,Eastern Access  Hills Meadow Industrial Estate Peel Road Douglas Isle Of Man  ,Department Application Approved
Extension of residential curtilage (retrospective),Refused,30-Jul-13,Planning Committee,06-Aug-13,09-Dec-13,13/00680/B,Ballaclucas Cottage Top Road Crosby Isle Of Man IM4 4HN ,Refused at Appeal
Alterations and first floor extension to dwelling to provide additional living accommodation,Permitted,29-Aug-13,Planning Committee,17-Sep-13,09-Dec-13,13/00698/B,Park Na Silla Woodlands Avenue Douglas Isle Of Man IM2 3QS,Approved at Appeal
Installation of replacement windows to front elevation,Refused,01-Aug-13,Senior Planning Officer - South (SC),13-Aug-13,18-Oct-13,13/00734/B,35 Brunswick Road Douglas Isle Of Man IM2 3NW,Approved at Appeal
Change of use of ground floor from store to gymnasium to increase floor area of existing gymnasium,Permitted,07-Oct-13,Department Application,20-Jun-13,03-Oct-13,13/00748/C,Old Kipper House Rear Of Lime Street Port St. Mary Isle Of Man IM9 5ED,Department Application Approved
Erection of replacement signage and advertising signage,Permitted,18-Sep-13,Department Application,26-Jun-13,12-Sep-13,13/00751/D,Chester Street Car Park Chester Street Douglas Isle Of Man IM1 2PG,Department Application Approved
Demolition of annexe and erection of a dwelling with associated parking (amendment to PA 09/00228/B),Permitted,30-Aug-13,Planning Committee,10-Sep-13,27-Nov-13,13/00767/B,Rear Of 6 Sydney Street Douglas Isle Of Man IM1 3JB,Approved at Appeal
" Residential development of 155 dwellings with highway and drainage infrastructure, Public Open Space and landscaping, including Public Open Space which is suitable for future sports and recreation use and cemetery extension",Permitted,03-Oct-13,Director Delegation,24-Oct-13,21-Nov-13,13/00777/B,"Fields 411529, 414546, 414214 & 414532, Part Of Footway To Church Road And Small Parcel Of Adjoining Land Within Southern Group Practice Site Port Erin & Rushen Isle Of Man  ",Appeal Withdrawn
"Conversion of houses 1-6, Callow's Yard and cottages 1-3, Callow's Yard to 18 apartments, conversion of 8 apartments over 10,12,14,16,18 and 20 Arbory Street Castletown into 18 apartments and conversion of the Function Room at the rear of 28 Arbory Street",Refused,01-Oct-13,Planning Committee,07-Oct-13,29-Oct-13,13/00797/B,Callow's Yard Arbory Street Castletown Isle Of Man  ,Appeal Withdrawn
Removal of agricultural worker's occupancy condition from dwelling,Refused,11-Sep-13,Planning Committee,24-Sep-13,16-Oct-13,13/00835/C,Three Acres Ballafreer Lane Union Mills Isle Of Man IM4 4AS,Appeal Withdrawn
Extension to rear elevation,Refused,28-Aug-13,Head of Development Management,09-Sep-13,27-Nov-13,13/00840/B,1 Furman Road Onchan Isle Of Man IM3 1BS,Refused at Appeal
"Reserved Matters application for the erection of a development comprising new town centre library, offices, multi-storey car park and public toilets with associated external works",Permitted,24-Oct-13,Department Application,16-Jul-13,24-Oct-13,13/00841/REM,"Site Bounded By Lord Street Fort Street, Cambrian Place And Muckles Gate  Douglas Isle Of Man   ",Department Application Approved
Construction of access road,Permitted,13-Nov-13,Department Application,03-Sep-13,13-Nov-13,13/91047/B,Land Adjacent To Hangar 229 Jurby Industrial Estate Jurby Isle Of Man  ,Department Application Approved
Erection of a fire station with associated parking and training facilities to replace the stations for Castletown and Ballasalla,Permitted,20-Nov-13,Department Application,09-Sep-13,13-Nov-13,13/91065/B,Land Adjacent To Forrest House Ronaldsway Industrial Estate Ronaldsway Ballasalla Isle Of Man  ,Department Application Approved
Variation of condition 3 of approved fish and chip shop take-away (PA 10/01682/C) to allow additional opening days,Permitted,19-Nov-13,Department Application,13-Sep-13,13-Nov-13,13/91088/C,Andy's Plaice  37 Clagh Vane Ballasalla Isle Of Man IM9 2HD,Department Application Approved
"Construction of a lychgate along Derby Road to form new pedestrian entrance, which incorporates facilities for a relocated bus shelter",Application Withdrawn,12-Dec-13,Department Application,11-Oct-13,12-Dec-13,13/91212/B,Land At St German's Cathedral Derby Road Peel Isle Of Man  ,Department Application withdrawn
