Decisions issued under delegated authority 1/1/15 - 31/12/15,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
"Alterations, creation of a first floor extension to dwelling, landscaping works and creation of a pedestrian access",3 Howe Road Onchan Isle Of Man IM3 2AP,REF,13-Apr-15,15/00254/B
Application to make lawful the use of site as an operational base and depot for forestry and/or land management activity undertaken off site including: Storage of timber and construction materials associated with forestry and/or land management activity: ,Gob E Volley Depot Main Road Sulby Isle Of Man IM7 2HR,CLAWA,03-Nov-15,15/00888/LAW
Installation of replacement windows and door,Hazelwood 1 Cronkbourne Avenue Douglas Isle Of Man IM2 3LA,PER,08-Dec-15,15/00891/B
Alterations and erection of a new storage building above existing garages (amendment to PA 15/00298/B),Garage And Store Adjacent To 5 Mona Street Ramsey Isle Of Man,PER,04-Dec-15,15/01200/B
Erection of a glazed porch to rear elevation,5 The Crescent Derbyhaven Isle Of Man IM9 1TX,PER,14-Jan-15,14/01396/B
Construction of four concrete buttresses to stabilise the retaining wall to west side of property,Kione Droghad Castle Hill Douglas Isle Of Man IM2 4AD,PER,07-Jan-15,14/01397/B
Alterations and extensions to dwelling,Cronk Geayee Ballagawne Road Colby Isle Of Man IM9 4BB,PER,09-Jan-15,14/01398/B
Conversion of existing detached barn into two tourist units,East Loughan Jurby East Isle Of Man IM7 3EZ ,PER,09-Jan-15,14/01400/B
Installation of a cash transfer unit to rear elevation and installation of gates to rear yard entrance (in association with 15/00035/CON),Isle Of Man Bank The Parade Castletown Isle Of Man IM9 1LG,PER,11-Mar-15,15/00034/GB
Registered Building consent for the installation of a cash transfer unit to rear elevation and installation of gates to rear yard entrance (in association with 15/00034/GB) Registered Building Nos. 39,Isle Of Man Bank The Parade Castletown Isle Of Man IM9 1LG,PER,11-Mar-15,15/00035/CON
Erection of gate pillars and installation of wooden gates to existing vehicular accesses,Brookside  Tosaby Road Eairy Isle Of Man IM4 3HW,PER,16-Feb-15,14/01387/B
Conversion of existing shop into a hot food takeaway,1 Bray Hill Douglas Isle Of Man IM2 5EQ,REF,29-Jan-15,14/01440/B
Installation of a replacement 12.5m monopole with two replacement and two additional antennas and erection of an additional equipment cabinet within compound,Embankment Off A2 Bulgham Bay Isle Of Man  ,PER,17-Sep-15,15/00861/B
"Variation of condition one of approved PA 11/00169/B (erection of an office building (Blocks B & C) with associated drainage works, car parking and landscaping) to extend period of permission by two years","Part Fields 521888 And 521895, Between Isle Of Man Business Park And Cooil Road Douglas Isle Of Man  ",PER,23-Jan-15,14/01442/B
Variation of condition 1 of approved PA 10/01900/B (erection of a dwelling and construction of access road) to extend period of permission,Part Of Field 214287 Adjacent To 16 The Threshold Jurby Isle Of Man  ,PER,26-Feb-15,15/00031/B
Removal of chimney stack to rear elevation,26 Woodburn Square Douglas Isle Of Man IM1 4DE ,PER,26-Feb-15,15/00032/B
Installation of replacement garage door,26 Woodburn Square Douglas Isle Of Man IM1 4DE ,PER,26-Feb-15,15/00033/B
Conversion of roof space into additional office accommodation (in association with PA 15/00073/CON),1 Prospect Hill Douglas Isle Of Man IM1 1ES ,PER,02-Apr-15,15/00072/GB
Registered Building Consent for conversion of roof space into additional office accommodation (RB no 195 in association with PA 15/00072/GB),1 Prospect Hill Douglas Isle Of Man IM1 1ES ,PER,02-Apr-15,15/00073/CON
Erection of a first floor extension to dwelling,14 Governors Hill Douglas Isle Of Man IM2 7AS,PER,17-Mar-15,15/00097/B
Variation of condition 3 of PA 14/00337/C to extend permission to erect a dwelling for a further two years,Land At Fairfield House Fairfield Avenue Ramsey Isle Of Man IM8 2LS,PER,17-Mar-15,15/00114/B
Replacement of existing glazed conservatory roof with light weight roof tiles,19 Close Quane Peel Isle Of Man IM5 1PZ,PER,17-Mar-15,15/00157/B
Installation of replacement windows and door to front elevation,2 Hutchinson Square Douglas Isle Of Man IM2 4HU ,PER,12-Nov-15,15/01086/B
"Erection of detached garage with attic storage, gable window and roof lights (comprising amendments to PA 15/00147/B)",Sandygate House Clenagh Road Sandygate Ramsey Isle Of Man IM7 3AF,PER,04-Dec-15,15/01088/B
Replacement of existing glazed conservatory roof with light weight roof tiles,2 Farmhill Drive Douglas Isle Of Man IM2 2EQ,PER,25-Mar-15,15/00158/B
"Erection of a storage cabin, chicken coop and two polytunnels and creation of a water retention pond (partial retrospective)",Field No 431211 Bayrauyr Road St Marks Ballasalla Isle Of Man IM9 3AT ,PER,24-Aug-15,15/00432/B
"Alterations, replacement of garage door with a window and erection of ground and first floor extensions to dwelling",9 Close Toalt Peel Isle Of Man IM5 1XB ,PER,19-Aug-15,15/00494/B
Alterations and erection of extension to rear elevation of dwelling,Troodos 32 Mill Street Castletown Isle Of Man IM9 1AG,PER,18-Jun-15,15/00495/B
Additional use of residential property as tourist accommodation,28 Shore Road Peel Isle Of Man IM5 1NZ,PER,30-Jun-15,15/00571/C
Erection of a first floor extension over existing detached garage,The Cedars 17 Odin's Way Ballakillowey Colby Isle Of Man IM9 4BQ,PER,30-Jun-15,15/00572/B
Installation of glazing to enclose existing balcony,1 Bradda Court Bradda Road Port Erin Isle Of Man IM9 6PQ,PER,03-Jul-15,15/00595/B
Removal of existing cladding and application of render to dwelling,8 Hillcrest Grove Onchan Isle Of Man IM3 3HY,PER,26-Feb-15,15/00061/B
Replacement of existing garage door with a window and erection of a rear extension to dwelling,9 Laureston Grove Douglas Isle Of Man IM2 4BG,PER,03-Mar-15,15/00077/B
Alterations and erection of a first floor extension,Masonic Hall Hope Street Castletown Isle Of Man IM9 1AP,PER,10-Apr-15,15/00080/B
Variation of condition one of approved dwelling (PA 14/00441/VAR) to extend permission for one year,Plot 5 Highfield Glen Vine Drive Glen Vine Isle Of Man  ,PER,05-Mar-15,15/00082/B
"Alterations to existing windows, creation of a window and French doors with Juliet balcony to rear elevation and creation of a window to side elevation of dwelling",2 High Street Port St. Mary Isle Of Man IM9 5DR,PER,26-Feb-15,15/00083/B
Erection of a detached garden shed,88 Ballacriy Park Colby Isle Of Man IM9 4LZ,PER,05-Mar-15,15/00098/B
Installation of replacement shop front and  replacement windows to front elevation (comprising amendment to PA 13/91115/B),Ken Quines  15 Station Road Port Erin Isle Of Man IM9 6AE ,PER,17-Mar-15,15/00154/B
Installation of replacement front door and rear windows to dwelling,70 Derby Road Douglas Isle Of Man IM2 3EB,PER,03-Jul-15,15/00596/B
Replacement of existing glazed conservatory roof with tiles,12 Meadowbrook Gardens Douglas Isle Of Man IM2 2NT,PER,13-Jul-15,15/00674/B
Alterations and extensions to dwelling,Brackenhill House  Ballacraine St Johns Isle Of Man IM4 3LR ,PER,24-Jul-15,15/00685/B
Construction of mezzanine floors in both units,Unit 4 & 5 Former Cooil Smithy Site  Isle Of Man Business Park Douglas Isle Of Man IM2 2QA ,PER,27-Jul-15,15/00686/B
"Installation of replacement windows, dormer window and door to front elevation",19 Shore Road Peel Isle Of Man IM5 1NH,PER,20-Aug-15,15/00806/B
Erection of two agricultural buildings,Ballaseyre Farm Andreas Isle Of Man  ,PER,17-Sep-15,15/00807/B
"Alterations, erection of extensions, creation of a dwelling from two flats and creation of ancillary living accommodation to main dwelling",The Old Vicarage Barracks Road Port St. Mary Isle Of Man IM9 5LP,PER,20-Aug-15,15/00808/B
Installation of replacement windows,Flat 8  Athol Buildings Derby Road Peel Isle Of Man IM5 1HH,PER,30-Mar-15,15/00194/B
Demolition of existing building and erection of a pair of semi-detached dwellings with parking,Methodist Sunday School Glen Road Laxey Isle Of Man IM4 7AQ,REF,26-Jun-15,15/00196/B
Installation of dormer to rear elevation,31 Linden Gardens Douglas Isle Of Man IM2 6AB ,PER,29-Jun-15,15/00562/B
Installation of flue on existing conservatory,Ballalhen Cottage The Lhen Andreas Isle Of Man IM7 3EH ,PER,29-Jun-15,15/00563/B
Registered Building Consent for demolition of existing electricity sub-station building (in association with PA 15/00630B),Rear Of Eastfield Mansion House  Eastfield Douglas Isle Of Man IM1 4AU ,PER,17-Sep-15,15/00631/CON
Alterations and erection of a chimney stack to south elevation,Ballachesed St Marks Ballasalla Isle Of Man IM9 3AH ,PER,15-Jul-15,15/00633/B
Installation of replacement windows,The Viking Hotel Station Road Castletown Isle Of Man IM9 1EF,PER,09-Oct-15,15/01004/B
"Alterations, erection of a two storey extension to provide garage with living accommodation above and widening of driveway and vehicular access",3 Cronk Y Berry Drive Douglas Isle Of Man IM2 6HB,PER,28-Aug-15,15/00844/B
Alteration to existing window and creation of an addition window to dwelling,4 Bradda View Ballakillowey Colby Isle Of Man IM9 4BE,PER,28-Aug-15,15/00847/B
Installation of a business name plate,Bridge Court 10 Bridge Street Castletown Isle Of Man IM9 1AX,PER,28-Aug-15,15/00855/D
"Alterations, erection of extension to dwelling and erection of a detached garage",Cains Croft Smeale Road Andreas Isle Of Man IM7 4JA,PER,09-Oct-15,15/00900/B
Creation of an additional window to dwelling,Caardee Dreemskerry Hill Dreemskerry Ramsey Isle Of Man IM7 1BE,PER,17-Sep-15,15/00901/B
Erection of a dwelling with detached garage and extension to residential curtilage,Land Opposite Ballachree Cottage Churchtown Ramsey Isle Of Man  ,PER,21-Sep-15,15/00903/B
Erection of a sun lounge extension to rear elevation,3 Glen Park Drive Douglas Isle Of Man IM2 6HN,PER,05-Oct-15,15/00990/B
Installation of replacement windows,12 Malew Street Castletown Isle Of Man IM9 1AB,PER,16-Dec-15,15/01139/B
Alterations and erection of a rear extension to dwelling,Ballamenagh Moar Farm Ballamenagh Road Baldrine Isle Of Man IM4 6AJ ,PER,24-Nov-15,15/01170/B
"Installation of exterior illumination (in association with 15/01209/CON, 15/01210/CON & 15/012011/CON)","Manannan House, Lloyds Pharmacy, The George Hotel & Barclays Bank  Market Square Castletown Isle Of Man ",PER,07-Dec-15,15/01208/GB
Registered Building Consent for the installation of external lighting (RB no 30 in association with 15/01208/GB),Barclays Bank Market Square Castletown Isle Of Man IM9 1LQ,PER,07-Dec-15,15/01209/CON
Registered Building Consent for the installation of external lighting (RB no 17 in association with 15/01208/GB),Manannan House Market Square Castletown Isle Of Man IM9 1RB,PER,07-Dec-15,15/01210/CON
Registered Building Consent for the installation of external lighting (RB no 38 in association with 15/01208/GB),The George Hotel The Parade Castletown Isle Of Man IM9 1LG,PER,07-Dec-15,15/01211/CON
"Erection of conservatory, installation of two bi-fold doors, French double door and first floor window and door with juliet balcony",Ballavartyn Farm  Ballavartyn Road Santon Isle Of Man IM4 1HT ,PER,07-Dec-15,15/01216/B
Change of use of room currently designated as restaurant to delicatessen in addition to present restaurant activities,Ground Floor Court Row Chambers Court Row Ramsey Isle Of Man IM8 1AA ,PER,24-Mar-15,15/00146/C
Erection of a replacement dwelling (comprising amendments to PA 14/01084/B),Sandygate House Clenagh Road Sandygate Ramsey Isle Of Man IM7 3AF,PER,26-Mar-15,15/00147/B
Removal of existing conservatory and erection of replacement sun room over existing footprint,Waters-Edge Kewaigue Douglas Isle Of Man IM4 1AF ,PER,17-Mar-15,15/00148/B
Provision of staircase and alterations to form extension to restaurant (in association with PA 15/00150/CON),Stanley House Castle Street Castletown Isle Of Man IM9 1LF,PER,02-Apr-15,15/00149/GB
Registered Building Consent for provision of staircase and alterations to form extension to restaurant (RB no 66 in association with PA 15/00149/GB),Stanley House Castle Street Castletown Isle Of Man IM9 1LF,PER,02-Apr-15,15/00150/CON
Erection of temporary office accommodation,Greenhill Communications Centre Isle Of Man Business Park Douglas Isle Of Man IM2 2QZ,PER,30-Mar-15,15/00176/B
Replacement of existing glazed conservatory roof with light weight roof tiles,8 The Laurels Douglas Isle Of Man IM2 7DN,PER,25-Mar-15,15/00181/B
Installation of replacement window to rear elevation,9 Woodburn Square Douglas Isle Of Man IM1 4DB ,PER,07-Apr-15,15/00206/B
Additional use of dwelling as tourist accommodation,Yn Thie Thooit Lhen Bridge The Lhen Ramsey Isle Of Man IM7 3EP,PER,06-Aug-15,15/00743/C
Alterations and first floor extensions to dwelling,21 Scarlett Road Castletown Isle Of Man IM9 1NS,PER,21-Oct-15,15/01051/B
Approval in principle for erection of a dwelling,Land In The Grounds Of  Rotherwood Belmont Road Douglas Isle Of Man IM1 4NR,PER,07-Dec-15,15/01172/A
Replacement of existing glazed conservatory roof with light weight roof tiles and roof light,23 Meadow Crescent Douglas Isle Of Man IM2 1NS,PER,24-Dec-15,15/01269/B
Installation of glazed pvc framed enclosure to existing balcony,803 Kings Court Ramsey Isle Of Man IM8 1LP ,PER,24-Dec-15,15/01270/B
Erection of two storey extension to rear elevation,18 The Park Onchan Isle Of Man IM3 1HP,REF,25-Mar-15,14/01168/B
Erection of a single storey extension to rear elevation,3 Woodburn Square Douglas Isle Of Man IM1 4DB ,PER,09-Jan-15,14/01379/B
Conversion from Emergency services HQ to retail and office space,Elm Tree House Elm Tree Road / Main Road Onchan Isle Of Man IM3 1AH,PER,04-Feb-15,14/01383/B
"Construction of additional roads, car parking spaces, hard standing area and alterations to security fence and gate",Manx Utilities Authority Ballacottier Headquarters Isle Of Man Business Park Douglas Isle Of Man IM2 2QZ ,PER,05-Jan-15,14/01375/B
Alterations and two storey extension to rear elevation,Railway Cottage Main Road Kirk Michael Isle Of Man IM6 1AD,PER,12-Oct-15,15/00887/B
"Alterations, erection of a dormer extension and installation of a roof light to dwelling",18 Y Vaarney Yiarg Castletown Isle Of Man IM9 1HZ ,PER,13-Apr-15,15/00263/B
Installation of a flue to dwelling,1 Elm Drive Ballawattleworth Peel Isle Of Man IM5 1WA ,PER,13-Apr-15,15/00264/B
Conversion of loft / storage space to an exercise area for combined use by the childrens nursery and ladies gym,Diamond House Demesne Road Douglas Isle Of Man IM1 3DS,PER,10-Apr-15,15/00265/B
Demolition of existing building and erection of three detached dwellings with integral garaging,Former Apartment Building  Hillside House Vernon Road Ramsey Isle Of Man IM8 2EG,REF,28-Apr-15,15/00266/B
Installation of a flue to dwelling (retrospective),38 Windermere Drive Onchan Isle Of Man IM3 2DS,PER,29-Jul-15,15/00726/B
"Alterations, demolition of existing conservatory and erection of a replacement extension to dwelling",1 Sunnybank Avenue Onchan Isle Of Man IM3 3BN,PER,06-Aug-15,15/00740/B
Alterations and erection of a rear extension to dwelling,Derbyhaven House Derbyhaven Isle Of Man IM9 1TS ,PER,06-Aug-15,15/00741/B
Alterations and erection of extension (amendments to PA 14/00273/B) and relocation of site boundary,11 & 13 Snaefell Crescent Onchan Isle Of Man IM3 4NH,PER,28-Jul-15,15/00712/B
Alterations to existing shop frontage,KFC Restaurant 46 - 50 Duke Street Douglas Isle Of Man IM1 2AX,PER,28-Jul-15,15/00714/B
Installation of illuminated signage and projecting signage to premises,KFC Restaurant 46 - 50 Duke Street Douglas Isle Of Man IM1 2AX,PER,28-Jul-15,15/00715/D
Creation of a driveway and vehicular access to dwelling,33 Selborne Drive Douglas Isle Of Man IM2 3NJ,PER,03-Aug-15,15/00716/B
Alterations and extension to dwelling,Hebron Grove Mount Ramsey Isle Of Man IM8 3HE ,PER,03-Aug-15,15/00750/B
Application to make lawful the erection of a garden summer house,4 Market Street Peel Isle Of Man IM5 1AD,PER,01-Oct-15,15/00964/LAW
Erection of signage,38 Woodburn Square Douglas Isle Of Man IM1 4DD ,PER,12-Oct-15,15/01011/D
"Erection of a single storey extension with roof terrace over, to rear elevation of dwelling",Twin View Douglas Road Ballabeg Castletown Isle Of Man IM9 4EF,PER,27-Aug-15,14/01435/B
Erection of a commercial polytunnel,Field 314294 Staarvey Road Peel Isle Of Man  ,PER,22-Jan-15,14/01436/B
Installation of replacement windows and doors,Whiteleas Main Road Kirk Michael Isle Of Man IM6 2HG,PER,17-Mar-15,15/00123/B
Enlargement and improvement to existing external courtyard,Ballagrest Bride Road Ramsey Isle Of Man IM7 4AB,PER,24-Dec-15,15/01285/B
"Alterations and erection of a two storey extension to side elevation and single storey extension to rear elevation, widening of driveway and vehicular access",40 Erin Way Port Erin Isle Of Man IM9 6EF ,PER,24-Dec-15,15/01288/B
Erection of a dwelling with detached garage and greenhouse/shed,Land At Clarecourt Marathon Road Douglas Isle Of Man  ,PER,15-Oct-15,15/01013/B
"Conversion of existing agricultural store/office into tourist accommodation (comprising amendments to PA 13/91154/B to incorporate staff accommodation, window opening alterations and two storey extension in lieu of external patio)",Barn & Office Ballaloaghtan Farm Kerrowkeil Road Grenaby Ballasalla Isle Of Man  ,PER,14-Jan-15,14/01414/B
"Alterations, replacement of garage doors with bi folding doors and erection of extension to dwelling",Yn Conney Shore Road Castletown Isle Of Man IM9 1BF,PER,13-Jan-15,14/01416/B
Erection of a covered walkway with associated landscaping,House Of Manannan Mill Road Peel Isle Of Man IM5 1TA,PER,17-Feb-15,15/00043/B
Installation of a replacement front door,16 Wesley Terrace Douglas Isle Of Man IM1 3HF,PER,25-Mar-15,15/00190/B
Erection of an extension to front elevation of dwelling,30 Droghadfayle Road Port Erin Isle Of Man IM9 6EN,PER,25-Mar-15,15/00191/B
Erection of replacement garage/utility extension and sun lounge extension,Lilac Cottage Cronk Road Ballaugh Isle Of Man IM7 5AT,PER,18-Jun-15,15/00529/B
Enclosure below existing entrance canopy to create an entrance porch,12 Kirby Hill Douglas Isle Of Man IM2 1PA,PER,18-Jun-15,15/00534/B
Extension of existing graveyard and creation of a vehicular access,Part Field 424885 Adjacent To St Columba's Church Ballagawne Road Ballabeg Castletown Isle Of Man  ,PER,25-Jun-15,15/00451/B
Conversion of existing retail premises to a coffee shop including blocking up existing entrance door and installation of new entrance door (in association with 15/01030/CON),18A-20 Victoria Street Douglas Isle Of Man IM1 2LE ,PER,12-Nov-15,15/01029/GB
"Registered Building Consent for conversion of existing retail premises to a coffee shop including internal alterations, blocking up existing entrance door and installation of new entrance door (RB no 223 in association with 15/01029/GB)",18A-20 Victoria Street Douglas Isle Of Man IM1 2LE ,PER,12-Nov-15,15/01030/CON
Erection of a two storey extension to dwelling and widening of driveway and vehicular access,45 Erin Way Port Erin Isle Of Man IM9 6EF ,PER,22-Oct-15,15/00928/B
Erection of a rear utility room extension,15 St Catherines Drive Douglas Isle Of Man IM1 4BH,PER,01-Oct-15,15/00930/B
Installation of replacement windows (in association with 15/00932/CON),Derby House 7 Castle Street Castletown Isle Of Man IM9 1LA,PER,09-Oct-15,15/00931/GB
Change of use of existing outbuildings to provide ancillary living accommodation,Outbuildings At Ballavoddan Phildraw Road Ballasalla Isle Of Man IM9 3EG,PER,09-Nov-15,15/01019/C
Installation of replacement windows to front elevation,55 Arbory Street Castletown Isle Of Man IM9 1LL,PER,30-Dec-15,15/01252/B
Erection of non-illuminated signage,1 Quines Corner Douglas Isle Of Man IM1 4LF ,PER,28-Apr-15,15/00223/D
Erection of fencing and gates,QEII High School Douglas Road Peel Isle Of Man IM5 1RD ,PER,28-Apr-15,15/00225/B
Creation of a TETRA radio site comprising of a 12.2 metre mast accommodating two antennas and associated equipment cabinet,Part Of Field 234366 Cammall Farm Douglas Road Kirk Michael Isle Of Man  ,PER,07-Apr-15,15/00227/B
"Alterations, replacement of existing garage door with a window, erection of a garage extension and porch to dwelling",26 Ballaterson Fields Ballaugh Isle Of Man IM7 5AW,PER,07-Apr-15,15/00228/B
Creation of a temporary car park,19 - 20 St Georges Street Douglas Isle Of Man,PER,07-Apr-15,15/00232/B
Erection of a conservatory to front elevation of dwelling,Strathcona Ballakillowey Road Colby Isle Of Man IM9 4BN,REF,07-Apr-15,15/00234/B
"Installation of both illuminated and non-illuminated signage to premises, canopies and barriers (retrospective)",Former Clarendon / Douglas Hotels Site North Quay Douglas Isle Of Man  ,PER,11-Dec-15,15/00611/D
Replacement of existing glazed conservatory roof with tiles,Shady Moar Shore Road Glen Maye Isle Of Man IM5 3BG,PER,15-Jul-15,15/00615/B
Erection of an extension to existing block to provide additional shower / toilet facilities,Peel Campsite Amenity Block Derby Road Peel Isle Of Man IM5 1HP ,PER,16-Sep-15,15/00885/B
Installation of a dormer extension to dwelling,13 Ballakneale Avenue Port Erin Isle Of Man IM9 6ND ,PER,24-Dec-15,15/01206/B
Erection of fencing and use of land as a childrens play area (retrospective),Land At Milner Terrace Castletown Isle Of Man  ,PER,08-Dec-15,15/01232/B
Installation of replacement windows to front elevation,1 Waverley Terrace Douglas Isle Of Man IM2 3HZ,PER,17-Dec-15,15/01248/B
Installation of replacement windows throughout front elevation,Laurel Dene Tennis Road Douglas Isle Of Man IM2 3LW,PER,24-Dec-15,15/01249/B
Extension to dwelling to provide an indoor swimming pool (comprising amendments to PA 15/00744/B),59 Howe Road Onchan Isle Of Man IM3 2AY,PER,17-Dec-15,15/01250/B
Erection of a sun room extension (comprising amendment to PA 15/00753/B),10 Ballacriy Park Colby Isle Of Man IM9 4LT,PER,17-Dec-15,15/01251/B
Installation of external flue to rear elevation,10 Little Meddow Andreas Isle Of Man IM7 4HY,PER,29-Oct-15,15/01043/B
Conversion of existing residential accommodation above retail units into three apartments,44-46 Broadway Douglas Isle Of Man IM2 4EW,PER,26-Oct-15,15/01047/B
Alterations and extension to dwelling (comprising amendments to PA 14/01408/B),3 Bayr Grianagh Castletown Isle Of Man IM9 1HJ,PER,21-Oct-15,15/01048/B
Installation of replacement front door,4 Bay View Terrace Laxey Isle Of Man IM4 7DG,PER,21-Oct-15,15/01061/B
"Shop front colour change, installation of ATM, two bollards and two lighting columns in the car park",Co-Op Supermarket  Christian Street Ramsey Isle Of Man IM8 1DG ,PER,21-Oct-15,15/01062/B
Replacement of existing polycarbonate conservatory roof with light weight roof tiles,5 Ashlar Drive Union Mills Isle Of Man IM4 4LJ,PER,21-Oct-15,15/01065/B
Erection of single storey extension to rear elevation,Carraghan Lower Dukes Road Douglas Isle Of Man IM2 4BH ,PER,16-Feb-15,15/00044/B
Erection of conservatory extension to rear elevation,5 Lhon Dhoo Close Onchan Isle Of Man IM3 3BD,REF,05-Mar-15,15/00045/B
Erection of single storey extension to dwelling,New Farmhouse Mylvoirrey Glen Road Ballaugh Isle Of Man IM7 5JD ,PER,25-Mar-15,15/00168/B
Erection of a sun lounge extension to replace existing conservatory,40 Ballatessan Meadow Peel Isle Of Man IM5 1DU ,PER,25-Mar-15,15/00169/B
Installation of single garage door to replace existing two garage doors and creation of rear doorway,Garage To Rear Of  6 The Maples Woodbourne Road Douglas Isle Of Man IM2 3AW ,PER,25-Mar-15,15/00171/B
"Creation of woodland centenary park incorporating a nature trail, memorial garden, ponds, tree planting and implement shed",Field 534102 & 534103 Hillberry Onchan Isle Of Man  ,PER,24-Apr-15,15/00172/B
Erection of a porch extension,54 Ballacriy Park Colby Isle Of Man IM9 4LX,PER,02-Jun-15,15/00438/B
Erection of a single storey extension to south elevation,Avistine Glen Road Colby Isle Of Man IM9 4HW,PER,16-Sep-15,15/00690/B
Erection of an extension to existing agricultural building,Ballafletcher Jurby East Isle Of Man IM7 3HD ,PER,27-Jul-15,15/00691/B
Variation of condition 1 of approved extension and conversion of existing warehouse and garage to a dwelling (PA 10/01242/B) to extend period of permission,Workshop & Garage Kensington Lane Douglas Isle Of Man IM1 3ES,PER,20-Jul-15,15/00692/B
Erection of a single storey extension to rear elevation,8 Westlands Close Ramsey Isle Of Man IM8 3PU,PER,27-Jul-15,15/00693/B
Installation of dormer with balcony to replace existing roof lights and amalgamation of two apartments to create a single two bedroom unit,Apartment 8 & 9 Sefton Apartments Harris Promenade Douglas Isle Of Man IM1 2HH ,REF,26-Feb-15,15/00046/B
Installation of dormer window to replace existing roof lights to front elevation,1 Dalton Street Douglas Isle Of Man IM1 3JU,PER,17-Feb-15,15/00048/B
Replacement of existing glazed conservatory roof with light weight roof tiles,17 Cronk Y Berry Douglas Isle Of Man IM2 6EY,PER,26-Feb-15,15/00050/B
Blocking up existing and creation of new vehicular access,The Old Mill Sulby Glen Sulby Isle Of Man IM7 2BD ,PER,07-Apr-15,15/00052/B
Installation of decking in rear garden,14 Balleigh Park Ramsey Isle Of Man IM8 3NN,PER,26-Feb-15,15/00069/B
Erection of four detached dwellings (comprising amendments to PA 13/91392/B),"Plots 74, 75, 76A & 76B  Cronk Cullyn Colby Isle Of Man  ",PER,25-Mar-15,15/00189/B
Erection of a sun room extension and ramped approach to porch,Grest Home Andreas Road Ramsey Isle Of Man IM7 4EA,PER,30-Mar-15,15/00192/B
"Alterations, erection of ground and first floor extensions and retaining wall to dwelling",Kirk Bank Croit E Quill Road Laxey Isle Of Man IM4 7JD,PER,25-Jun-15,15/00485/B
Alterations to vehicular access and relocation of approved equestrian storage building,Goshen Stables St Judes Road Sulby Isle Of Man  ,PER,18-Jun-15,15/00486/B
Erection of a pair of dwellings to replace demolished dwellings,Vacant Site Formerly 1 And 2 The Promenade Port St. Mary Isle Of Man  ,PER,30-Apr-15,15/00346/B
Installation of replacement windows,The Bluffs Formerly Hawarden Villas   Hawarden Avenue Douglas Isle Of Man IM1 4BX ,PER,19-May-15,15/00349/B
Erection of a porch extension to front elevation,Aust Vane Aust Lane Aust Ramsey Isle Of Man IM7 4EG,PER,26-May-15,15/00384/B
Installation of replacement dormer to front elevation,The White Cottage The Promenade Castletown Isle Of Man IM9 1BQ,PER,14-May-15,15/00385/B
Re-rendering of all elevations with painted smooth render incorporating part stone cladding to front elevation,The Cedars 17 Odins Way Ballakillowey Colby Isle Of Man IM9 4BQ,PER,14-May-15,15/00386/B
Erection of advertising signage,3 And 4 The Promenade Port St. Mary Isle Of Man  ,PER,09-Jun-15,15/00452/D
"Replacement of two dormer windows to rear elevation with velux combination roof lights, re-roofing of main roof and alteration to rear elevation  window",St Marys House High Street Port St. Mary Isle Of Man IM9 5DR,PER,09-Jun-15,15/00453/B
Erection of two detached dwellings with integral garages (amendment to PA 15/00189/B),Plot 76A & Plot 76B New Development Adjacent To Cronk Cullyn Colby Isle Of Man  ,PER,09-Jun-15,15/00461/B
Alterations and installation of roof lights to dwelling,Springfield House Brookfield Avenue Castletown Isle Of Man IM9 1TL ,PER,27-Jul-15,15/00695/B
"Alterations, erection of extension to dwelling and creation of ancillary living accommodation above detached garage",Ballacosney Main Road Glen Vine Isle Of Man IM4 4AZ,PER,27-Jul-15,15/00703/B
Erection of a first floor extension to dwelling,33 Fairfield Avenue Onchan Isle Of Man IM3 4BG,PER,27-Jul-15,15/00705/B
"Blocking up existing garage door, conversion of garage to lounge/utility room and erection of a flue to dwelling (partial retrospective)",115 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JE,PER,17-Dec-15,15/01162/B
Internal alterations to amalgamate two existing apartments into one single residential apartment (in association with PA 15/01164/CON),Apartments 7 & 8 Central Apartments Broadway Douglas Isle Of Man IM2 4EL ,PER,18-Nov-15,15/01163/GB
Registered Building consent for internal alterations to amalgamate two existing apartments into one single residential apartment (in association with PA 15/01163/GB) Registered Building Nos. 173,Apartments 7 & 8 Central Apartments Broadway Douglas Isle Of Man IM2 4EL ,PER,18-Nov-15,15/01164/CON
Erection of extension to existing shower block facilities,Laxey Camp Site Quarry Road Laxey Isle Of Man IM4 7DU,PER,29-Jun-15,15/00567/B
Alterations and extensions to dwelling and creation of pedestrian access,1 Farrant Park Castletown Isle Of Man IM9 1NG,PER,29-Jun-15,15/00568/B
Installation of illuminated advertising signage to replace existing,Capital House 16 - 18 Circular Road Douglas Isle Of Man IM1 1AG ,PER,30-Jun-15,15/00570/D
Erection of a single storey extension to rear elevation (retrospective),Unity Cottage Bibaloe Beg Road Onchan Isle Of Man IM4 5AD,PER,17-Jul-15,15/00652/B
Alteration to existing ground floor apartment and first floor extension over ground floor outlet to create a dwelling,Garthleigh    1 Clifton Terrace Douglas Isle Of Man IM2 3HU,PER,06-Aug-15,15/00653/B
Erection of a sunroom extension to rear elevation,27 Copse Hill Douglas Isle Of Man IM2 1NE,PER,17-Jul-15,15/00655/B
Replacement of existing polycarbonate roof on conservatory with light weight roof tiles,24 Hillberry Heights Douglas Isle Of Man IM2 7BP,PER,16-Jul-15,15/00656/B
